sample_id,tau_peak_MPa_csds,tau_r_MPa,delta_peak_mm,u_r_mm,CSDS_a,CSDS_b,CSDS_c,CSDS_d,CSDS_e,tau_peak_estimated,u_r_estimated,tau_r_estimated
1,0.0,0.0011547005383792,0.33,1.875,0.0011547005383792,-0.003919810177785579,2.6666666666666665,-0.002765109639406379,,0,0,1
2,0.0,0.0021939310229205,0.46,1.875,0.0021939310229205,-0.009624488151788442,2.6666666666666665,-0.007430557128867942,,0,0,1
3,0.0,0.004618802153517,0.5,1.875,0.004618802153517,-0.022022939930586554,2.6666666666666665,-0.017404137777069555,,0,0,1
4,0.0,0.0075055534994651,0.53,1.875,0.0075055534994651,-0.038142779238605554,2.6666666666666665,-0.03063722573914045,,0,0,1
5,0.0,0.0115470053837925,0.58,1.875,0.0115470053837925,-0.06540398710299707,2.6666666666666665,-0.05385698171920456,,0,0,1
6,0.0,0.0242487113059642,1.18,2.075,0.0242487113059642,-0.43788051641721054,2.4096385542168672,-0.41363180511124636,,0,0,1
7,0.044,0.03175,0.72,2.75,0.03175,0.05575083825323794,1.8181818181818181,0.08750083825323794,4.777436810346223,0,0,0
8,0.035,0.02825,0.92,3.0,0.02825,0.033693334495018115,1.6666666666666667,0.06194333449501812,5.192618350163137,0,0,0
9,0.029,0.0255,0.97,3.0,0.0255,-0.0070077175868188055,1.6666666666666667,0.018492282413181193,,0,0,0
10,0.023,0.02325,1.85,3.0,0.02325,-0.02528776998776853,1.6666666666666667,-0.0020377699877685276,,0,0,0
11,0.05,0.0417499999999999,0.78,3.5,0.0417499999999999,-0.015751767470826544,1.4285714285714286,0.025998232529173354,,0,0,0
12,0.04,0.034,1.25,3.5,0.034,0.03781471980058762,1.4285714285714286,0.07181471980058762,4.2807486602183875,0,0,0
13,0.035,0.033,1.8,4.0,0.033,-0.011914908907461556,1.25,0.021085091092538446,,0,0,0
14,0.032,0.0375,2.22,4.5,0.0375,-0.09932980120510418,1.1111111111111112,-0.06182980120510417,,0,0,0
15,4.17,3.725,1.64,10.5,3.725,-2.6985152519287805,0.47619047619047616,1.0264847480712194,,0,0,0
16,13.41,12.8475,1.61,10.5,12.8475,-11.45033463322594,0.47619047619047616,1.39716536677406,,0,0,0
17,3.72,3.5425,2.76,10.5,3.5425,-2.792985517395996,0.47619047619047616,0.7495144826040041,,0,0,0
18,12.57,12.4375,3.07,10.5,12.4375,-11.504331334533413,0.47619047619047616,0.9331686654665876,,0,0,0
19,1.02,0.8525,1.55,12.0,0.8525,-0.5220237106605013,0.4166666666666667,0.3304762893394987,,0,0,0
20,2.57,1.7327500000000002,1.71,12.0,1.7327500000000002,-0.0017214429555587607,0.4166666666666667,1.7310285570444415,,0,0,0
21,7.53,5.32,1.67,12.0,5.32,-0.8162266544288617,0.4166666666666667,4.503773345571139,,0,0,0
22,19.67,18.994999999999997,1.67,12.0,18.994999999999997,-17.384705701282247,0.4166666666666667,1.6102942987177513,,0,0,0
23,8.44,7.47,0.84,16.0,7.47,-6.1433877404906925,0.3125,1.3266122595093073,,0,0,0
24,7.62,7.29,1.81,16.0,7.29,-6.622541770177261,0.3125,0.6674582298227395,,0,0,0
25,7.05,7.105,3.61,16.0,7.105,-7.127021064511645,0.3125,-0.02202106451164435,,0,0,0
26,6.64,6.9125,7.34,16.0,6.9125,-9.151866741097354,0.3125,-2.2393667410973537,,0,0,0
27,2.35,1.9075,0.87,3.25,1.9075,-0.17116182624020015,1.5384615384615385,1.7363381737597998,,0,0,0
28,1.02,0.6675,0.13,1.325,0.6675,-0.08443711809352439,3.7735849056603774,0.5830628819064756,,0,0,0
29,4.93,4.2975,0.6,2.425,4.2975,-2.018351100378424,2.061855670103093,2.2791488996215765,,0,0,0
30,16.37,14.955,2.17,3.85,14.955,39.02612111439461,1.2987012987012987,53.98112111439461,1.8788039040274016,0,0,0
31,0.66,0.475,0.24,1.275,0.475,0.4760628981245243,3.9215686274509807,0.9510628981245243,29.801097234072913,0,0,0
32,4.71,4.1925,0.3,2.175,4.1925,-3.104807186034475,2.298850574712644,1.0876928139655246,,0,0,0
33,16.14,11.3475,2.26,4.125,11.3475,374.20393792617875,1.2121212121212122,385.5514379261788,1.32309482972551,0,0,0
34,1.07,0.6975,0.47,1.525,0.6975,3.141396627877728,3.278688524590164,3.8388966278777277,5.42165604907832,0,0,0
35,4.91,4.25,0.47,2.2,4.25,-2.2460108526833102,2.2727272727272725,2.0039891473166898,,0,0,0
36,14.91,14.235,1.48,3.625,14.235,-8.298013202450143,1.3793103448275863,5.936986797549856,,0,0,0
37,0.89,0.5625,0.11,1.325,0.5625,-0.06075664112128476,3.7735849056603774,0.5017433588787152,,0,0,0
38,5.3,4.1,0.26,2.175,4.1,-1.868256691899179,2.298850574712644,2.2317433081008207,,0,0,0
39,15.9,14.4675,0.54,3.35,14.4675,-11.042074736573177,1.4925373134328357,3.4254252634268223,,0,0,0
40,0.88,0.635,0.3,1.35,0.635,0.8045091632888843,3.7037037037037033,1.4395091632888843,14.281397034897376,0,0,0
41,5.2,4.3975,0.38,2.175,4.3975,-2.404189619258692,2.298850574712644,1.9933103807413082,,0,0,0
42,16.28,14.8375,0.71,3.35,14.8375,-10.386675764264659,1.4925373134328357,4.450824235735341,,0,0,0
43,0.58,0.535,0.88,1.475,0.535,1.5597605103371723,3.389830508474576,2.0947605103371725,4.683323434968274,0,0,0
44,3.89,3.6325,1.5,2.625,3.6325,6.007331499628517,1.9047619047619047,9.639831499628517,3.134552219592181,0,0,0
45,13.67,13.42,2.87,4.1,13.42,-2.1467302611349606,1.2195121951219514,11.27326973886504,,0,0,0
46,0.8,0.665,0.79,1.5,0.665,4.744437081948091,3.3333333333333335,5.4094370819480915,4.137761584396538,0,0,0
47,5.04,4.655,0.6,2.175,4.655,-3.0011305073920225,2.298850574712644,1.653869492607978,,0,0,0
48,16.38,14.3675,2.37,4.125,14.3675,84.27377984199455,1.2121212121212122,98.64127984199456,1.5100846663472067,0,0,0
49,4.68,4.1066666666666665,1.46,2.566666666666667,4.1066666666666665,22.65901259302186,1.9480519480519478,26.765679259688525,2.453035741088021,0,0,0
50,15.04,14.775,4.16,4.75,14.775,45.914529910324205,1.0526315789473684,60.689529910324204,1.2679551421531783,0,0,0
51,0.94,0.785,1.26,1.85,0.785,24.08549928095518,2.7027027027027026,24.87049928095518,2.899203093183504,0,0,0
52,15.58,14.793333333333337,3.13,4.466666666666667,14.793333333333337,52.66889044585757,1.1194029850746268,67.46222377919091,1.417691454177405,0,0,0
53,0.71,0.65,1.15,1.85,0.65,2.859486770875059,2.7027027027027026,3.509486770875059,3.4321712667109314,0,0,0
54,4.68,4.205,0.35,2.175,4.205,-3.0796495092943568,2.298850574712644,1.125350490705643,,0,0,0
55,16.18,14.365,0.63,3.85,14.365,-10.032164781950817,1.2987012987012987,4.332835218049183,,0,0,0
56,0.87,0.6366666666666667,0.45,1.5666666666666669,0.6366666666666667,1.2871730509283383,3.191489361702127,1.923839717595005,7.276242047292788,0,0,0
57,5.35,4.42,0.58,2.175,4.42,-0.7789068811718836,2.298850574712644,3.6410931188281164,,0,0,0
58,16.28,13.935,0.94,3.875,13.935,-5.732429398484172,1.2903225806451613,8.202570601515829,,0,0,0
59,0.97,0.8033333333333333,0.13,1.5666666666666669,0.8033333333333333,-0.5427689186482507,3.191489361702127,0.2605644146850826,,0,0,0
60,5.22,4.84,2.38,2.85,4.84,124.7533581703656,1.7543859649122806,129.5933581703656,1.8631916867253802,0,0,0
61,16.95,15.5375,2.68,4.125,15.5375,87.29286354359239,1.2121212121212122,102.83036354359238,1.4743754513589202,0,0,0
62,1.14,0.9133333333333334,0.71,1.6,0.9133333333333334,4.15533570871695,3.125,5.068669042050283,4.385664615697521,0,0,0
63,5.03,4.68,0.76,2.2,4.68,-2.533762417699234,2.2727272727272725,2.1462375823007656,,0,0,0
64,15.88,13.97,2.73,4.125,13.97,182.4713822493758,1.2121212121212122,196.4413822493758,1.3627402733770912,0,0,0
65,1.42,0.9733333333333332,0.63,1.5666666666666669,0.9733333333333332,8.573190562393753,3.191489361702127,9.546523895727086,4.14441466274739,0,0,0
66,5.0,4.24,0.34,2.175,4.24,-2.5169883928458434,2.298850574712644,1.7230116071541566,,0,0,0
67,14.91,14.596666666666666,3.13,4.533333333333333,14.596666666666666,-1.599792841637079,1.1029411764705883,12.996873825029587,,0,0,0
68,0.79,0.63,0.49,1.5666666666666669,0.63,0.8756378042096914,3.191489361702127,1.5056378042096914,8.507203158719324,0,0,0
