No,L_m,JRC,JCS_MPa,delta_peak_mm,sigma_n_MPa,tau_peak_MPa,phi_deg,Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4
1.0,0.1,16.0,0.45,0.33,0.002,0.0,30.0,1,1.5,2,3,-,-,-,-
2.0,0.1,16.0,0.45,0.46,0.0038,0.0,30.0,1,1.5,2,3,-,-,-,-
3.0,0.1,16.0,0.45,0.5,0.008,0.0,30.0,1,1.5,2,3,-,-,-,-
4.0,0.1,16.0,0.45,0.53,0.013,0.0,30.0,1,1.5,2,3,-,-,-,-
5.0,0.1,16.0,0.45,0.58,0.02,0.0,30.0,1,1.5,2,3,-,-,-,-
6.0,0.1,16.0,0.45,1.18,0.042,0.0,30.0,1.5,2,2.3,2.5,-,-,-,-
7.0,0.06,15.0,2.0,0.72,0.0245,0.044,32.0,1,2,3,5,0.035,0.032,0.031,0.029
8.0,0.12,12.2,1.46,0.92,0.0245,0.035,32.0,1,2,3,6,0.031,0.028,0.027,0.027
9.0,0.18,10.8,1.22,0.97,0.0245,0.029,32.0,1,2,3,6,0.026,0.026,0.026,0.024
10.0,0.36,8.8,0.89,1.85,0.0245,0.023,32.0,1,2,3,6,0.024,0.023,0.023,0.023
11.0,0.06,12.5,9.55,0.78,0.0245,0.05,32.0,2,3,4,5,0.047,0.044,0.039,0.037
12.0,0.12,11.5,4.03,1.25,0.0245,0.04,32.0,2,3,4,5,0.038,0.035,0.032,0.031
13.0,0.18,11.0,2.31,1.8,0.0245,0.035,32.0,2,3,5,6,0.034,0.034,0.032,0.032
14.0,0.36,9.0,1.68,2.22,0.0245,0.032,32.0,3,4,5,6,0.031,0.04,0.04,0.039
15.0,0.25,8.3,57.0,1.64,6.0,4.17,30.0,3,6,12,21,3.98,3.79,3.63,3.5
16.0,0.25,8.3,57.0,1.61,24.0,13.41,30.0,3,6,12,21,13.13,12.97,12.73,12.56
17.0,0.75,6.7,41.0,2.76,6.0,3.72,30.0,3,6,12,21,3.67,3.6,3.52,3.38
18.0,0.75,6.7,41.0,3.07,24.0,12.57,30.0,3,6,12,21,12.54,12.52,12.43,12.26
19.0,0.3,8.0,72.0,1.55,1.0,1.02,30.0,4,8,14,22,0.91,0.76,0.88,0.86
20.0,0.3,8.0,72.0,1.71,3.0,2.57,30.0,4,8,14,22,0.231,2.22,2.24,2.24
21.0,0.3,8.0,72.0,1.67,10.0,7.53,30.0,4,8,14,22,0.71,6.94,6.86,6.77
22.0,0.3,8.0,72.0,1.67,30.0,19.67,30.0,4,8,14,22,19.31,19,18.86,18.81
23.0,0.1,10.0,100.0,0.84,10.0,8.44,30.0,8,14,18,24,7.66,7.49,7.39,7.34
24.0,0.3,8.0,72.0,1.81,10.0,7.62,30.0,8,14,18,24,7.49,7.31,7.2,7.16
25.0,1.0,6.3,50.0,3.61,10.0,7.05,30.0,8,14,18,24,7.21,7.13,7.08,7
26.0,3.0,5.1,36.0,7.34,10.0,6.64,30.0,8,14,18,24,7,6.93,6.86,6.86
27.0,0.2,9.7,169.0,0.87,2.0,2.35,31.0,1,2.5,4,5.5,2.23,1.89,1.77,1.74
28.0,0.06,12.0,184.0,0.13,0.5,1.02,33.0,0.6,1,1.7,2,0.8,0.69,0.61,0.57
29.0,0.06,7.4,184.0,0.6,5.0,4.93,33.0,1,2,3.2,3.5,4.87,4.45,3.97,3.9
30.0,0.06,6.5,184.0,2.17,20.0,16.37,33.0,2.6,3.2,4.6,5,16.04,15.18,14.19,14.41
31.0,0.06,7.7,184.0,0.24,0.5,0.66,33.0,0.5,1,1.6,2,0.55,0.45,0.45,0.45
32.0,0.06,6.6,184.0,0.3,5.0,4.71,33.0,1,2,2.7,3,4.32,4.17,4.15,4.13
33.0,0.06,6.1,184.0,2.26,20.0,16.14,33.0,3,4,4.5,5,1.52,15.06,14.58,14.23
34.0,0.06,12.5,184.0,0.47,0.5,1.07,33.0,1,1.4,1.7,2,0.77,0.73,0.67,0.62
35.0,0.06,7.3,184.0,0.47,5.0,4.91,33.0,1,2,2.8,3,4.73,4.27,4,4
36.0,0.06,3.8,184.0,1.48,20.0,14.91,33.0,2,3,4.5,5,15.06,14.46,13.84,13.58
37.0,0.06,10.8,184.0,0.11,0.5,0.89,33.0,0.6,1,1.7,2,0.66,0.57,0.52,0.5
38.0,0.06,8.7,184.0,0.26,5.0,5.3,33.0,1,2,2.7,3,4.6,4,3.9,3.9
39.0,0.06,5.7,184.0,0.54,20.0,15.9,33.0,1,3,4.4,5,15.35,14.46,14.12,13.94
40.0,0.06,10.7,184.0,0.3,0.5,0.88,33.0,0.7,1,1.7,2,0.69,0.63,0.61,0.61
41.0,0.06,8.4,184.0,0.38,5.0,5.2,33.0,1,2,2.7,3,4.46,4.56,4.29,4.28
42.0,0.06,6.4,184.0,0.71,20.0,16.28,33.0,1,3,4.4,5,15.84,15.36,14.15,14
