No,L_m,JRC,JCS_MPa,delta_peak_mm,sigma_n_MPa,tau_peak_MPa,phi_deg,Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
1.0,0.1,16.0,0.45,0.33,0.002,0.0,30.0,1,1.5,2,3,-,-,-,-,0.0,1.875,0.0011547005383792516,0,0,1
2.0,0.1,16.0,0.45,0.46,0.0038,0.0,30.0,1,1.5,2,3,-,-,-,-,0.0,1.875,0.002193931022920578,0,0,1
3.0,0.1,16.0,0.45,0.5,0.008,0.0,30.0,1,1.5,2,3,-,-,-,-,0.0,1.875,0.004618802153517006,0,0,1
4.0,0.1,16.0,0.45,0.53,0.013,0.0,30.0,1,1.5,2,3,-,-,-,-,0.0,1.875,0.007505553499465134,0,0,1
5.0,0.1,16.0,0.45,0.58,0.02,0.0,30.0,1,1.5,2,3,-,-,-,-,0.0,1.875,0.011547005383792514,0,0,1
6.0,0.1,16.0,0.45,1.18,0.042,0.0,30.0,1.5,2,2.3,2.5,-,-,-,-,0.0,2.075,0.02424871130596428,0,0,1
7.0,0.06,15.0,2.0,0.72,0.0245,0.044,32.0,1,2,3,5,0.035,0.032,0.031,0.029,0.044,2.75,0.03175,0,0,0
8.0,0.12,12.2,1.46,0.92,0.0245,0.035,32.0,1,2,3,6,0.031,0.028,0.027,0.027,0.035,3.0,0.02825,0,0,0
9.0,0.18,10.8,1.22,0.97,0.0245,0.029,32.0,1,2,3,6,0.026,0.026,0.026,0.024,0.029,3.0,0.0255,0,0,0
10.0,0.36,8.8,0.89,1.85,0.0245,0.023,32.0,1,2,3,6,0.024,0.023,0.023,0.023,0.023,3.0,0.02325,0,0,0
11.0,0.06,12.5,9.55,0.78,0.0245,0.05,32.0,2,3,4,5,0.047,0.044,0.039,0.037,0.05,3.5,0.041749999999999995,0,0,0
12.0,0.12,11.5,4.03,1.25,0.0245,0.04,32.0,2,3,4,5,0.038,0.035,0.032,0.031,0.04,3.5,0.034,0,0,0
13.0,0.18,11.0,2.31,1.8,0.0245,0.035,32.0,2,3,5,6,0.034,0.034,0.032,0.032,0.035,4.0,0.033,0,0,0
14.0,0.36,9.0,1.68,2.22,0.0245,0.032,32.0,3,4,5,6,0.031,0.04,0.04,0.039,0.032,4.5,0.0375,0,0,0
