sample_id,delta_peak_mm,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
1,0.33,0.0,1.875,0.0011547005383792,0,0,1
2,0.46,0.0,1.875,0.0021939310229205,0,0,1
3,0.5,0.0,1.875,0.004618802153517,0,0,1
4,0.53,0.0,1.875,0.0075055534994651,0,0,1
5,0.58,0.0,1.875,0.0115470053837925,0,0,1
6,1.18,0.0,2.075,0.0242487113059642,0,0,1
7,0.72,0.044,2.75,0.03175,0,0,0
8,0.92,0.035,3.0,0.02825,0,0,0
9,0.97,0.029,3.0,0.0255,0,0,0
10,1.85,0.023,3.0,0.02325,0,0,0
11,0.78,0.05,3.5,0.0417499999999999,0,0,0
12,1.25,0.04,3.5,0.034,0,0,0
13,1.8,0.035,4.0,0.033,0,0,0
14,2.22,0.032,4.5,0.0375,0,0,0
15,1.64,4.17,10.5,3.725,0,0,0
16,1.61,13.41,10.5,12.8475,0,0,0
17,2.76,3.72,10.5,3.5425,0,0,0
18,3.07,12.57,10.5,12.4375,0,0,0
19,1.55,1.02,12.0,0.8525,0,0,0
20,1.71,2.57,12.0,1.7327500000000002,0,0,0
21,1.67,7.53,12.0,5.32,0,0,0
22,1.67,19.67,12.0,18.995,0,0,0
23,0.84,8.44,16.0,7.47,0,0,0
24,1.81,7.62,16.0,7.29,0,0,0
25,3.61,7.05,16.0,7.105,0,0,0
26,7.34,6.64,16.0,6.9125,0,0,0
27,0.87,2.35,3.25,1.9075,0,0,0
28,0.13,1.02,1.325,0.6675,0,0,0
29,0.6,4.93,2.425,4.2975,0,0,0
30,2.17,16.37,3.85,14.955,0,0,0
31,0.24,0.66,1.275,0.475,0,0,0
32,0.3,4.71,2.175,4.1925,0,0,0
33,2.26,16.14,4.125,11.3475,0,0,0
34,0.47,1.07,1.525,0.6975,0,0,0
35,0.47,4.91,2.2,4.25,0,0,0
36,1.48,14.91,3.625,14.235,0,0,0
37,0.11,0.89,1.325,0.5625,0,0,0
38,0.26,5.3,2.175,4.1,0,0,0
39,0.54,15.9,3.35,14.4675,0,0,0
40,0.3,0.88,1.35,0.635,0,0,0
41,0.38,5.2,2.175,4.3975,0,0,0
42,0.71,16.28,3.35,14.8375,0,0,0
43,0.88,0.58,1.475,0.535,0,0,0
44,1.5,3.89,2.625,3.6325,0,0,0
45,2.87,13.67,4.1,13.42,0,0,0
46,0.79,0.8,1.5,0.665,0,0,0
47,0.6,5.04,2.175,4.655,0,0,0
48,2.37,16.38,4.125,14.3675,0,0,0
49,1.46,4.68,2.566666666666667,4.1066666666666665,0,0,0
50,4.16,15.04,4.75,14.775,0,0,0
51,1.26,0.94,1.85,0.785,0,0,0
52,3.13,15.58,4.466666666666667,14.793333333333337,0,0,0
53,1.15,0.71,1.85,0.65,0,0,0
54,0.35,4.68,2.175,4.205,0,0,0
55,0.63,16.18,3.85,14.365,0,0,0
56,0.45,0.87,1.5666666666666669,0.6366666666666667,0,0,0
57,0.58,5.35,2.175,4.42,0,0,0
58,0.94,16.28,3.875,13.935,0,0,0
59,0.13,0.97,1.5666666666666669,0.8033333333333333,0,0,0
60,2.38,5.22,2.85,4.84,0,0,0
61,2.68,16.95,4.125,15.5375,0,0,0
62,0.71,1.14,1.6,0.9133333333333334,0,0,0
63,0.76,5.03,2.2,4.68,0,0,0
64,2.73,15.88,4.125,13.97,0,0,0
65,0.63,1.42,1.5666666666666669,0.9733333333333332,0,0,0
66,0.34,5.0,2.175,4.24,0,0,0
67,3.13,14.91,4.533333333333333,14.596666666666666,0,0,0
68,0.49,0.79,1.5666666666666669,0.63,0,0,0
69,1.69,5.04,2.566666666666667,4.426666666666667,0,0,0
70,3.12,16.37,4.466666666666667,15.163333333333334,0,0,0
71,0.18,0.87,1.5666666666666669,0.6,0,0,0
72,0.42,5.1,2.175,3.8825,0,0,0
73,1.09,15.19,3.85,13.3025,0,0,0
74,0.47,0.66,1.5666666666666669,0.5066666666666667,0,0,0
75,0.57,4.24,2.175,4.0125,0,0,0
76,4.13,14.9,4.7,13.285,0,0,0
77,0.18,0.88,1.5666666666666669,0.4966666666666666,0,0,0
78,1.25,4.37,2.566666666666667,3.77,0,0,0
79,3.62,14.62,4.5,13.843333333333334,0,0,0
80,0.11,1.04,1.5633333333333332,0.5006666666666667,0,0,0
81,0.23,4.79,2.1775,3.54875,0,0,0
82,0.39,14.13,3.9275,12.93,0,0,0
83,0.21,0.75,1.5566666666666666,0.4896666666666667,0,0,0
84,1.52,4.53,2.19,3.98,0,0,0
85,0.46,15.2,3.86,13.9425,0,0,0
86,1.14,0.47,1.85,0.4455,0,0,0
87,1.53,3.84,2.29,3.588,0,0,0
88,5.05,14.16,5.1,14.16,0,0,0
89,0.31,0.64,1.5733333333333333,0.434,0,0,0
90,0.44,4.09,2.0033333333333334,3.8813333333333335,0,0,0
91,2.56,14.35,4.125,13.695,0,0,0
92,0.1,0.84,1.5666666666666669,0.5786666666666667,0,0,0
93,0.29,4.72,2.175,4.314,0,0,0
94,2.24,16.29,4.125,15.185,0,0,0
95,0.15,1.04,1.5666666666666669,0.515,0,0,0
96,0.32,5.75,2.225,4.01075,0,0,0
97,0.98,16.9,3.925,13.655,0,0,0
98,0.12,1.33,1.5666666666666669,0.569,0,0,0
99,0.38,5.29,2.1775,3.8055,0,0,0
100,1.12,15.69,3.865,14.2025,0,0,0
101,0.11,1.19,1.5599999999999998,0.5136666666666666,0,0,0
102,0.33,5.38,2.175,4.15275,0,0,0
103,0.94,15.17,4.6125,14.2325,0,0,0
104,0.46,0.57,1.61,0.4153333333333333,0,0,0
105,0.38,3.22,2.1725,2.8175,0,0,0
106,6.69,11.06,7.0,11.03,0,0,0
107,0.15,0.88,1.5566666666666666,0.5103333333333334,0,0,0
108,0.24,5.1,2.175,3.69825,0,0,0
109,0.47,14.84,3.8575,13.285,0,0,0
110,0.15,1.23,2.1675,0.6225,0,0,0
111,0.25,6.22,2.165,4.547499999999999,0,0,0
112,0.46,18.37,4.1075,16.2525,0,0,0
113,0.21,0.72,1.5599999999999998,0.5333333333333333,0,0,0
114,0.46,4.54,2.215,3.755,0,0,0
115,3.02,14.29,4.84,13.226666666666668,0,0,0
116,0.1,1.16,1.5533333333333337,0.5640000000000001,0,0,0
117,0.28,4.98,2.16,3.80875,0,0,0
118,0.84,14.83,3.88,12.9825,0,0,0
119,0.05,1.06,1.5533333333333337,0.4603333333333333,0,0,0
120,0.24,5.34,2.1675,3.634,0,0,0
121,0.58,15.72,3.8475,12.52,0,0,0
122,0.16,1.46,1.7866666666666664,0.5153333333333333,0,0,0
123,0.34,5.86,2.19,3.70375,0,0,0
124,0.72,15.23,3.9025,13.1975,0,0,0
125,0.13,0.83,1.5766666666666669,0.5316666666666667,0,0,0
126,0.33,4.91,2.195,4.2615,0,0,0
127,2.99,16.39,4.513333333333333,14.923333333333332,0,0,0
128,0.22,1.38,1.5666666666666669,0.6789999999999999,0,0,0
129,0.39,6.11,2.18,4.593,0,0,0
130,2.78,17.18,4.13,15.5675,0,0,0
131,0.3,0.69,1.57,0.4403333333333333,0,0,0
132,0.38,4.61,2.2025,3.49275,0,0,0
133,0.58,14.25,3.89,12.71,0,0,0
134,0.29,0.81,1.5933333333333335,0.6846666666666668,0,0,0
135,0.42,4.74,2.1925,4.255,0,0,0
136,2.48,15.4,4.18,14.19,0,0,0
137,1.18,0.63,1.85,0.575,0,0,0
138,0.99,4.93,2.603333333333333,4.496666666666667,0,0,0
139,1.92,17.14,4.2125,16.56,0,0,0
140,0.42,0.83,1.7400000000000002,0.4525,0,0,0
141,1.23,4.22,2.5733333333333337,4.026666666666666,0,0,0
