sample_id,sigma_n_MPa,delta_peak_mm,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated,a_csds,b_csds,c_csds,d_csds,e_csds,csds_converged,csds_iterations
7,0.0245,0.72,0.044,2.75,0.03175,0,0,0,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,True,5
8,0.0245,0.92,0.035,3.0,0.02825,0,0,0,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,True,4
9,0.0245,0.97,0.029,3.0,0.0255,0,0,0,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,True,4
11,0.0245,0.78,0.05,3.5,0.0417499999999999,0,0,0,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,True,5
12,0.0245,1.25,0.04,3.5,0.034,0,0,0,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,True,4
13,0.0245,1.8,0.035,4.0,0.033,0,0,0,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,True,5
19,1.0,1.55,1.02,12.0,0.8525,0,0,0,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,True,4
20,3.0,1.71,2.57,12.0,1.7327500000000002,0,0,0,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,True,5
27,2.0,0.87,2.35,3.25,1.9075,0,0,0,1.9075,2.7034029995062916,1.5384615384615383,4.610902999506291,3.276941309100947,True,4
28,0.5,0.13,1.02,1.325,0.6675,0,0,0,0.6675,0.6738254010838505,3.7735849056603774,1.3413254010838505,23.891608655167115,True,12
31,0.5,0.24,0.66,1.275,0.475,0,0,0,0.475,0.6758571313827281,3.9215686274509807,1.150857131382728,11.17767536247715,True,8
34,0.5,0.47,1.07,1.525,0.6975,0,0,0,0.6975,4.0455139668571585,3.278688524590164,4.743013966857158,4.812842755740618,True,5
37,0.5,0.11,0.89,1.325,0.5625,0,0,0,0.5625,0.5639971811696873,3.7735849056603774,1.1264971811696871,29.2958502513531,True,14
40,0.5,0.3,0.88,1.35,0.635,0,0,0,0.635,1.1651130574348498,3.7037037037037033,1.8001130574348498,8.547982610717572,True,7
43,0.5,0.88,0.58,1.475,0.535,0,0,0,0.535,2.3643732180319175,3.389830508474576,2.8993732180319176,4.157276354583812,True,5
46,0.5,0.79,0.8,1.5,0.665,0,0,0,0.665,6.166849946093346,3.3333333333333335,6.831849946093346,3.9230290740544778,True,5
51,0.5,1.26,0.94,1.85,0.785,0,0,0,0.785,27.151829140946248,2.702702702702702,27.936829140946248,2.8751003676389564,True,3
53,0.5,1.15,0.71,1.85,0.65,0,0,0,0.65,3.9933470021604136,2.702702702702702,4.6433470021604135,3.19021506632708,True,4
56,0.5,0.45,0.87,1.5666666666666669,0.6366666666666667,0,0,0,0.6366666666666667,1.8543711063769357,3.191489361702127,2.4910377730436024,5.520751658815112,True,6
59,0.5,0.13,0.97,1.5666666666666669,0.8033333333333333,0,0,0,0.8033333333333333,0.2782264175865835,3.191489361702127,1.0815597509199169,31.910981063129015,True,17
62,0.5,0.71,1.14,1.6,0.9133333333333334,0,0,0,0.9133333333333334,5.696830896813862,3.125,6.610164230147195,3.976020028848459,True,5
65,0.5,0.63,1.42,1.5666666666666669,0.9733333333333332,0,0,0,0.9733333333333332,10.644929502666052,3.191489361702127,11.618262835999383,3.927118476960182,True,5
68,0.5,0.49,0.79,1.5666666666666669,0.63,0,0,0,0.63,1.4068332196782207,3.191489361702127,2.0368332196782206,5.5461514668738845,True,6
71,0.5,0.18,0.87,1.5666666666666669,0.6,0,0,0,0.6,0.5778652142592701,3.191489361702127,1.17786521425927,16.988625203858206,True,10
74,0.5,0.47,0.66,1.5666666666666669,0.5066666666666667,0,0,0,0.5066666666666667,1.2794449424210406,3.191489361702127,1.7861116090877074,5.540134014051035,True,6
77,0.5,0.18,0.88,1.5666666666666669,0.4966666666666666,0,0,0,0.4966666666666666,0.8494890683979475,3.191489361702127,1.346155735064614,14.732448429095294,True,9
80,0.5,0.11,1.04,1.5633333333333332,0.5006666666666667,0,0,0,0.5006666666666667,0.863642983300683,3.1982942430703627,1.3643096499673495,27.24084861115649,True,13
83,0.5,0.21,0.75,1.5566666666666666,0.4896666666666667,0,0,0,0.4896666666666667,0.6541837303857423,3.211991434689508,1.143850397052409,13.109251845364824,True,9
86,0.5,1.14,0.47,1.85,0.4455,0,0,0,0.4455,1.2635859558868447,2.702702702702702,1.7090859558868448,3.448989911906233,True,4
89,0.5,0.31,0.64,1.5733333333333333,0.434,0,0,0,0.434,0.831446191232911,3.1779661016949152,1.265446191232911,8.046929532076042,True,7
92,0.5,0.1,0.84,1.5666666666666669,0.5786666666666667,0,0,0,0.5786666666666667,0.3913124802400913,3.191489361702127,0.969979146906758,37.39184550372476,True,19
95,0.5,0.15,1.04,1.5666666666666669,0.515,0,0,0,0.515,1.0180921290257392,3.191489361702127,1.533092129025739,17.824332391452327,True,10
98,0.5,0.12,1.33,1.5666666666666669,0.569,0,0,0,0.569,1.2856106349233354,3.191489361702127,1.854610634923335,23.13000566043724,True,12
101,0.5,0.11,1.19,1.5599999999999998,0.5136666666666666,0,0,0,0.5136666666666666,1.0901897584596147,3.2051282051282053,1.6038564251262817,26.190812099681132,True,13
