sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.3250401280287623,1.818181818181818,0.3567901280287623,2.2331431661584333,0.2449075870281884,0.2449075870281884,0.2449075870281884,0.2449075870281884,-1.2080991206411178,1.2080991206411178,0.0028697185699047513,0.00236144584819095,0.8214071788941751,True,FULL,FULL_poly_rank_3
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.1741326985396737,1.6666666666666667,0.2023826985396737,2.060820183578273,0.11840851331308189,0.11840851331308189,0.1184085133130819,0.1184085133130819,-0.9471347229997087,0.9471347229997087,0.0012931013176826173,0.0010208425323557204,0.9432108104214169,True,FULL,FULL_poly_rank_3
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.0798646643529236,1.6666666666666667,0.1053646643529236,2.271538261506258,0.0509774198376885,0.0509774198376885,0.050977419837688505,0.050977419837688505,-1.0186829376534159,1.0186829376534159,0.0008899218683990048,0.000702610045683522,0.9620453967426678,True,FULL,FULL_poly_rank_3
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.1336953902675826,1.4285714285714286,0.1754453902675825,2.48856534920677,0.09819730571845539,0.09819730571845539,0.09819730571845539,0.09819730571845539,-1.5160942226664607,1.5160942226664607,0.005338751890671978,0.003943797244707902,0.41145167380691383,True,FULL,FULL_poly_rank_3
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.1686942520998779,1.4285714285714286,0.2026942520998779,1.7274260896635938,0.1016318181834492,0.1016318181834492,0.1016318181834492,0.1016318181834492,-0.63936823495755,0.63936823495755,0.0019011101874983956,0.001140324020368732,0.9135930109152968,True,FULL,FULL_poly_rank_3
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0479805508418777,1.25,0.0809805508418777,1.717203926252307,0.014550330521389404,0.014550330521389404,0.014550330521389404,0.014550330521389404,-0.38009001349035954,0.38009001349035954,0.001330372465598986,0.0007810156556135705,0.9539981056579981,True,FULL,FULL_poly_rank_3
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,0.4976000300943561,0.4166666666666667,1.3501000300943562,2.1059347515465165,0.11931785124994548,0.11931785124994548,0.11931785124994532,0.11931785124994532,-0.27324121468486773,0.27324121468486773,0.017352092962146008,0.011167846025198018,0.9787107280187646,True,FULL,FULL_poly_rank_3
20,1.71,12.0,2.57,1.7327500000000002,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,1.7327500000000002,1.5842347938670929,0.4166666666666667,3.316984793867093,1.655609840077671,-0.6260808285068542,0.6260808285068542,-0.6260808285068542,0.6260808285068542,0.03488626827930075,0.03488626827930075,0.11097473901041918,0.07056337627575378,0.9006786867510576,True,FULL,FULL_poly_rank_3
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,2.002287350203586,0.4166666666666667,7.322287350203586,2.18549526783555,-3.6148852119520747,3.6148852119520747,-3.614885211952073,3.614885211952073,0.43817885927630984,0.43817885927630984,0.5888692797153398,0.3793292119355573,0.6444672227909963,True,FULL,FULL_poly_rank_3
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,4.463969586521294,0.4166666666666667,23.45896958652129,2.477769716455319,2.9365955448356686,2.9365955448356686,2.9365955448356686,2.9365955448356686,-0.7961991015239143,0.7961991015239143,0.47167124449796266,0.30245659290159116,0.9584218817526948,True,FULL,FULL_poly_rank_3
