dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
FULL,FULL_poly_rank_2,285,43.27851545652241,0.7322379729908819,43.27851545652239,0.7212595032642446,4.294548434312884,0.7819225056433291,0.7267019941009809,0.30973728946364487,0.08928338112459626,5.23356829100102,285,0.9836198424192154
FULL,FULL_poly_rank_1,284,43.363011658864906,0.7320653086089479,43.363011658864885,0.721101889676562,4.0461717272015605,0.8041685135127916,0.7424821955208244,0.31525283988313724,0.09139339484560124,5.233060072053841,284,0.9829264058611555
FULL,FULL_poly_rank_4,283,40.408648469446426,0.7681820063875382,40.40864846944641,0.7586420036926339,3.3047336165687478,0.8847967318492526,0.9224124961938922,0.3316652621108362,0.0580666766346989,9.8353756605776,283,0.9735723821561361
FULL,FULL_poly_rank_5,283,44.13482326825743,0.7234391863686209,44.13482326825741,0.7120680660132515,2.8044328989932623,0.9169611935874875,0.8224526070952453,0.3433701316495759,0.10044040276390649,6.599344424506395,283,0.9785725010358763
FULL,FULL_poly_rank_3,279,46.796591877138205,0.6933351684059179,46.79659187713819,0.680653132479819,2.9472581646831117,0.9093729507988619,0.8448926901252376,0.36806397384726497,0.08313120005250589,5.895983826938991,279,0.9776215831895885
FULL,FULL_exp_d_rank_2,259,69.76937270786074,0.3652694985174415,69.76937270786074,0.3390239298719748,4.237465559521349,0.8297710040079342,1.2483958595929572,0.43622149501262536,0.12063746893072261,12.86439634255768,259,0.9535224191886719
FULL,FULL_exp_log_rank_2,265,68.9942120523557,0.36534750361071444,68.99421205235569,0.3392014129550921,4.111342039313641,0.830082589845512,1.0039947210260638,0.4416001311068085,0.1331059691472857,9.340639204068161,265,0.9702715610638604
FULL,FULL_exp_log_rank_5,264,72.07162326986355,0.30982189142892125,72.07162326986354,0.2815639354214642,3.9402969246506006,0.8475083046240378,1.384776103317536,0.46866446547646656,0.11741587065469929,15.979459109503741,264,0.9433898654793548
FULL,FULL_exp_d_rank_3,276,76.92952767056043,0.17960149860566088,76.92952767056042,0.14620690551775972,4.689424044992519,0.7816031597488203,1.708246860040675,0.5094263265470282,0.12555680373774503,21.654252940422765,276,0.912710559353014
FULL,FULL_exp_d_rank_5,280,71.25295814540239,0.286538337060825,71.25295814540237,0.25722717290656083,4.660476160269121,0.7816637970147878,1.4460777457502558,0.5136871781499356,0.17816629665995623,15.85771063769211,280,0.9363645567275068
FULL,FULL_exp_log_rank_4,270,77.08600515600979,0.19362358281343706,77.08600515600979,0.16051584651166317,4.0572055033604135,0.8393330210634626,3.1394238771431144,0.5778599295861034,0.09010196327220565,49.15144433696943,270,0.7039877751675847
FULL,FULL_exp_log_rank_1,254,71.40700343133427,0.3474287465226724,71.40700343133425,0.3204256847262532,6.106707296035205,0.6385971569136819,3.0153665590355443,0.5840917734622301,0.10122467416137548,46.1782554861575,254,0.7401484572757846
FULL,FULL_exp_log_rank_3,264,76.72747296196893,0.21774206576809763,76.72747296196891,0.18573280829079963,3.922825899178743,0.8489968231451812,3.374111786597611,0.5971478794649738,0.11682615218774565,52.67836126491672,264,0.6638054513846159
FULL,FULL_exp_d_rank_4,255,78.16533449581706,0.2147583305415538,78.16533449581705,0.1825572111112963,4.243200202284635,0.8317719076548187,4.515354400402666,0.6768033796224844,0.10731536202643528,70.47502965005401,255,0.41245545745181333
FULL,FULL_exp_d_rank_1,272,112.12140197945835,-0.7179209109981368,112.12140197945834,-0.7890510029185791,4.801505227124755,0.768133544370144,10.294747535154745,1.026269072782229,0.1370918920933039,169.21723751236772,272,-2.19366577630952
