dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
HIGH,HIGH_poly_rank_2,65,138.12621844717287,0.2633777323861368,138.12621844717282,0.265093644037792,0.7882891224960444,0.9080334616367396,1.5022962557905333,1.0060183327209342,0.5592870732504471,5.23613546864312,65,0.8726950341304192
HIGH,HIGH_exp_d_rank_3,66,147.47375572266054,0.14900134856331515,147.4737557226605,0.15131610887851765,1.1844911604089838,0.7891615542218285,1.6905001645332043,1.0643928821398099,0.6019975506899881,7.30757194346208,66,0.8404765843886692
HIGH,HIGH_poly_rank_1,61,149.94344475798067,0.17761555112000094,149.94344475798064,0.17962936612249947,0.8989180486186886,0.8756272441009849,1.538342266850078,1.0648086296987889,0.601076337711906,5.235767409072749,61,0.8681515669520566
HIGH,HIGH_poly_rank_4,62,151.17513808038643,0.1521000253836321,151.17513808038638,0.15455464414049502,0.8737153853595083,0.877788444997616,1.6154019811328948,1.083087381090196,0.6042524030679641,5.600026546438379,62,0.8559960684045685
HIGH,HIGH_poly_rank_5,67,149.1899744369778,0.11780376194224529,149.1899744369778,0.12020401149163462,0.8751907807654472,0.8845115598984327,1.8727252837129835,1.135369970283672,0.6085767052373023,9.356189848821462,67,0.8018278859752765
HIGH,HIGH_exp_d_rank_2,59,149.66164073551033,0.20259030775730902,149.66164073551033,0.20498066939368087,0.5677478450291702,0.9140217212011008,1.836488912034268,1.1452702739710792,0.5999629121725627,8.229984565512538,59,0.809784843367463
HIGH,HIGH_poly_rank_3,63,153.3418044749702,0.11535733709598306,153.34180447497013,0.11787714998720422,1.3173693503424164,0.74594545184569,1.8385830233538,1.2030214995453627,0.664309014344693,8.573437135882596,63,0.8080094106040346
HIGH,HIGH_exp_log_rank_2,63,146.4129278700573,0.19450616068135806,146.41292787005725,0.19610731797741154,1.2379300392816694,0.7398685592470395,2.180327932884782,1.2186765609404526,0.5970348270121772,11.798978237382922,63,0.7359989426921499
HIGH,HIGH_exp_log_rank_4,66,143.51457800142015,0.19408093937653892,143.5145780014201,0.19627308087482132,0.8327917643544247,0.8957780963520344,2.4941202958094086,1.2440415256128319,0.5989369073340156,15.482729818150638,66,0.6527607591910095
HIGH,HIGH_exp_log_rank_3,61,148.76184902330763,0.19083032545734557,148.7618490233076,0.19242152070846685,0.6153009473177012,0.9008880413398433,2.185570544375798,1.2458628101304947,0.6005208910371685,11.270840096810526,61,0.7418306754575554
HIGH,HIGH_exp_log_rank_1,64,145.85332309260238,0.18970155553558243,145.85332309260232,0.1914249484748809,0.6930082457614647,0.9234735599422054,2.555500481299466,1.2642020234756468,0.598825185275836,16.20218656942746,64,0.6336442473002788
HIGH,HIGH_exp_d_rank_1,65,148.9052444691194,0.14265812822468238,148.90524446911934,0.1458128527214555,0.8693881706777781,0.8871410957757312,2.664136245273078,1.3150644034799328,0.600044082537879,17.727785628980083,65,0.5806184993874741
