sample_id,delta_peak_mm,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated,a_csds,b_csds,c_csds,d_csds,e_csds,csds_converged,csds_iterations
1,0.33,0.0,1.875,0.0011547005383792,0,0,1,,,,,,False,0
2,0.46,0.0,1.875,0.0021939310229205,0,0,1,,,,,,False,0
3,0.5,0.0,1.875,0.004618802153517,0,0,1,,,,,,False,0
4,0.53,0.0,1.875,0.0075055534994651,0,0,1,,,,,,False,0
5,0.58,0.0,1.875,0.0115470053837925,0,0,1,,,,,,False,0
6,1.18,0.0,2.075,0.0242487113059642,0,0,1,,,,,,False,0
7,0.72,0.044,2.75,0.03175,0,0,0,0.03175,0.08013254100057399,1.8181818181818181,0.11188254100057399,3.441242286799551,True,5
8,0.92,0.035,3.0,0.02825,0,0,0,0.02825,0.05572418522659184,1.6666666666666667,0.08397418522659184,3.007954906577982,True,4
9,0.97,0.029,3.0,0.0255,0,0,0,0.0255,0.028887244515235114,1.6666666666666667,0.05438724451523511,3.290221199159674,True,4
10,1.85,0.023,3.0,0.02325,0,0,0,0.02325,,1.6666666666666667,,,False,0
11,0.78,0.05,3.5,0.0417499999999999,0,0,0,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,True,5
12,1.25,0.04,3.5,0.034,0,0,0,0.034,0.06706243391642876,1.4285714285714286,0.10106243391642876,2.366794324621144,True,4
13,1.8,0.035,4.0,0.033,0,0,0,0.033,0.03343022032048838,1.25,0.06643022032048838,2.0972939397426664,True,5
14,2.22,0.032,4.5,0.0375,0,0,0,0.0375,,1.1111111111111112,,,False,0
15,1.64,4.17,10.5,3.725,0,0,0,3.725,1.1700588885069725,0.47619047619047616,4.895058888506973,2.4309486751406535,True,4
16,1.61,13.41,10.5,12.8475,0,0,0,12.8475,1.3946189571869354,0.47619047619047616,14.242118957186936,3.178145408783804,True,3
17,2.76,3.72,10.5,3.5425,0,0,0,3.5425,0.8694826394566157,0.47619047619047616,4.411982639456616,1.5814976920825412,True,6
18,3.07,12.57,10.5,12.4375,0,0,0,12.4375,0.7124450836759753,0.47619047619047616,13.149945083675975,1.9539451798171725,True,6
19,1.55,1.02,12.0,0.8525,0,0,0,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444107,2.3791759662313843,True,4
20,1.71,2.57,12.0,1.7327500000000002,0,0,0,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,True,5
21,1.67,7.53,12.0,5.32,0,0,0,5.32,5.617172562155661,0.4166666666666667,10.937172562155661,1.7473164085592405,True,5
22,1.67,19.67,12.0,18.994999999999997,0,0,0,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,True,3
23,0.84,8.44,16.0,7.47,0,0,0,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,True,6
24,1.81,7.62,16.0,7.29,0,0,0,7.29,0.6419185077225471,0.3125,7.931918507722547,3.0024433868829834,True,4
25,3.61,7.05,16.0,7.105,0,0,0,7.105,,0.3125,,,False,0
26,7.34,6.64,16.0,6.9125,0,0,0,6.9125,,0.3125,,,False,0
27,0.87,2.35,3.25,1.9075,0,0,0,1.9075,2.7034029995062916,1.5384615384615385,4.610902999506291,3.276941309100947,True,4
