sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.0537224623859156,1.818181818181818,0.0854724623859156,5.046468478847871,-0.026410078614658307,0.026410078614658307,-0.0264100786146583,0.0264100786146583,1.6052261920483195,1.6052261920483195,0.0020856577086147,0.0012373575476299,0.9056653046288996,True,True,True,True,FULL,FULL_direct_exp_rank_5
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.0401094005785731,1.6666666666666667,0.0683594005785731,3.8909350079038103,-0.0156147846480187,0.0156147846480187,-0.015614784648018687,0.015614784648018687,0.8829801013258285,0.8829801013258285,0.0011234673727436,0.0006529918877217,0.957133157901684,True,True,True,True,FULL,FULL_direct_exp_rank_5
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.0255667062426067,1.6666666666666667,0.0510667062426067,3.585482771133256,-0.0033205382726284004,0.0033205382726284004,-0.003320538272628397,0.003320538272628397,0.29526157197358227,0.29526157197358227,0.0002827892641676,0.0001588586266579,0.9961674614337376,True,True,True,True,FULL,FULL_direct_exp_rank_5
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.02774983437152,1.4285714285714286,0.0694998343715199,5.63679012821286,-0.0077482501776072014,0.0077482501776072014,-0.007748250177607205,0.007748250177607205,1.6321305563396296,1.6321305563396296,0.0017110675612172,0.0008321474077465,0.9395443397858364,True,True,True,True,FULL,FULL_direct_exp_rank_5
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.0482442019288189,1.4285714285714286,0.0822442019288189,2.9382316837340863,-0.018818231987609804,0.018818231987609804,-0.018818231987609804,0.018818231987609804,0.5714373591129425,0.5714373591129425,0.0011449612850077,0.0006598559189874,0.9686587800121202,True,True,True,True,FULL,FULL_direct_exp_rank_5
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0398772418511483,1.25,0.0728772418511483,1.9438569745815415,0.006447021530659999,0.006447021530659999,0.006447021530659999,0.006447021530659999,-0.15343696516112493,0.15343696516112493,0.0003190621815007,0.000182767448899,0.9973540606750474,True,True,True,True,FULL,FULL_direct_exp_rank_5
15,1.64,10.5,4.17,3.725,3.725,1.1700588885069725,0.4761904761904761,4.895058888506973,2.4309486751406535,3.725,0.9727495542030796,0.4761904761904761,4.69774955420308,5.590651401356763,-0.19730933430389286,0.19730933430389286,-0.19730933430389275,0.19730933430389275,3.1597027262161097,3.1597027262161097,0.2527175834681924,0.0786352274143679,0.7556962099536633,True,True,True,True,FULL,FULL_direct_exp_rank_5
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,1.2203193292637575,0.4761904761904761,14.067819329263758,5.010987960519195,-0.17429962792317788,0.17429962792317788,-0.17429962792317788,0.17429962792317788,1.832842551735391,1.832842551735391,0.4147823284537926,0.1175605693288664,0.9352383152236836,True,True,True,True,FULL,FULL_direct_exp_rank_5
17,2.76,10.5,3.72,3.5425,3.5425,0.8694826394566157,0.4761904761904761,4.411982639456616,1.5814976920825412,3.5425,0.6682783163490522,0.4761904761904761,4.210778316349052,2.764712821523363,-0.20120432310756353,0.20120432310756353,-0.20120432310756353,0.20120432310756353,1.1832151294408217,1.1832151294408217,0.1969068877999556,0.0749761898626638,0.8717615268157229,True,True,True,True,FULL,FULL_direct_exp_rank_5
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,0.5845975128375986,0.4761904761904761,13.0220975128376,2.727576953475586,-0.1278475708383766,0.1278475708383766,-0.12784757083837484,0.12784757083837484,0.7736317736584137,0.7736317736584137,0.3736103822310372,0.1331728597597642,0.9592751784030512,True,True,True,True,FULL,FULL_direct_exp_rank_5
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,0.319596429026252,0.4166666666666667,1.172096429026252,6.626159785494753,-0.058685749818158606,0.058685749818158606,-0.05868574981815877,0.05868574981815877,4.246983819263368,4.246983819263368,0.0693249373679425,0.020594423826257,0.6601900817888551,True,True,True,True,FULL,FULL_direct_exp_rank_5
20,1.71,12.0,2.57,1.7327500000000002,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,1.7327500000000002,1.7076422649392584,0.4166666666666667,3.440392264939258,5.685664186067085,-0.5026733574346887,0.5026733574346887,-0.5026733574346891,0.5026733574346891,4.064940614268715,4.064940614268715,0.2623796599902245,0.0972249598475944,0.4447935299557544,True,True,True,True,FULL,FULL_direct_exp_rank_5
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,4.435103148872676,0.4166666666666667,9.755103148872676,5.217808708562435,-1.182069413282985,1.182069413282985,-1.1820694132829832,1.1820694132829832,3.470492300003195,3.470492300003195,0.65517801110957,0.2400812257051254,0.5598907718103465,True,True,True,True,FULL,FULL_direct_exp_rank_5
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,1.3675782321532424,0.4166666666666667,20.36257823215324,4.779652293513427,-0.15979580953238326,0.15979580953238326,-0.15979580953238326,0.15979580953238326,1.5056834755341941,1.5056834755341941,0.4734378618976272,0.1253271260289191,0.9581098416006382,True,True,True,True,FULL,FULL_direct_exp_rank_5
23,0.84,16.0,8.44,7.47,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,7.47,1.267982760086798,0.3125,8.737982760086798,8.832511495304514,-0.057575532693155074,0.057575532693155074,-0.057575532693155296,0.057575532693155296,2.666334660371545,2.666334660371545,0.1110451540806667,0.0223160618633015,0.9814149088974068,True,True,True,True,FULL,FULL_direct_exp_rank_5
