sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,1.432413351818635,0.4761904761904761,14.279913351818635,3.063638257363186,0.037794394631699646,0.037794394631699646,0.037794394631699646,0.037794394631699646,-0.11450715142061796,0.11450715142061796,0.0352396444184454,0.0119425015467387,0.9995325440597368,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,0.8851334315572963,0.4761904761904761,13.322633431557296,1.697493759315705,0.17268834788132104,0.17268834788132104,0.17268834788132104,0.17268834788132104,-0.2564514205014674,0.2564514205014674,0.163760120709749,0.065352068605709,0.9921758419014156,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,6.2356505720500675,0.4166666666666667,11.555650572050068,1.528822452433705,0.6184780098944067,0.6184780098944067,0.6184780098944085,0.6184780098944085,-0.21849395612553524,0.21849395612553524,0.0852286993193576,0.052024841723436,0.9925524475637436,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,1.456299428354562,0.4166666666666667,20.45129942835456,3.586905475541899,-0.07107461333106357,0.07107461333106357,-0.07107461333106357,0.07107461333106357,0.31293665756266575,0.31293665756266575,0.1193663859615963,0.0349507370805034,0.9973371290517652,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
23,0.84,16.0,8.44,7.47,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,7.47,1.395002045986435,0.3125,8.865002045986435,5.3045114247734935,0.06944375320648177,0.06944375320648177,0.06944375320648177,0.06944375320648177,-0.8616654101594756,0.8616654101594756,0.0531520056105846,0.0157334488509653,0.9957420085459812,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
24,1.81,16.0,7.62,7.29,7.29,0.6419185077225471,0.3125,7.931918507722547,3.0024433868829834,7.29,0.5925280911325288,0.3125,7.882528091132529,3.917997399802426,-0.049390416590018305,0.049390416590018305,-0.049390416590018305,0.049390416590018305,0.9155540129194426,0.9155540129194426,0.1187485889361431,0.0300753284700966,0.9803211036247516,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,49.799639116779446,1.2987012987012987,64.75463911677944,1.717381129289148,-10.87450876339365,10.87450876339365,-10.87450876339365,10.87450876339365,0.08894808617621752,0.08894808617621752,0.1556892350357746,0.094555933320528,0.9973171364141924,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,261.2431556501781,1.2121212121212122,272.5906556501781,1.378716673410262,-161.55559338184753,161.55559338184753,-161.55559338184747,161.55559338184747,0.06951925109247026,0.06951925109247026,0.2756306675777976,0.1787460457453832,0.9942833792411442,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,10.31239991044906,1.3793103448275863,24.54739991044906,2.4391817516292873,2.0799438641800734,2.0799438641800734,2.0799438641800734,2.0799438641800734,-0.2929280822730642,0.2929280822730642,0.1863433488230408,0.1014691776446018,0.99476874929346,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,3.7510542566596943,1.4925373134328357,18.218554256659697,7.99526593222187,-0.10141562063723386,0.10141562063723386,-0.10141562063722986,0.10141562063722986,0.30635132208708793,0.30635132208708793,0.0479264750631198,0.0193085260502009,0.9994084336735352,True,True,True,True,HIGH,HIGH_direct_exp_rank_4
