sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,1.3415774216327616,0.4761904761904761,14.189077421632762,3.3873255475792248,-0.05304153555417379,0.05304153555417379,-0.05304153555417379,0.05304153555417379,0.20918013879542086,0.20918013879542086,0.0609744436554123,0.0197833845660262,0.9986004985889224,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,2.2515999818847305,0.4761904761904761,14.68909998188473,1.1824863253935978,1.5391548982087553,1.5391548982087553,1.5391548982087553,1.5391548982087553,-0.7714588544235745,0.7714588544235745,0.5625323118234947,0.2499570324754838,0.9076756487588428,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,6.353156551622899,0.4166666666666667,11.6731565516229,1.497089789696667,0.735983989467238,0.735983989467238,0.7359839894672415,0.7359839894672415,-0.25022661886257325,0.25022661886257325,0.0988258259622376,0.0608440668607225,0.9899865725918068,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,1.4375574479663271,0.4166666666666667,20.432557447966325,3.707053625941687,-0.08981659371929851,0.08981659371929851,-0.08981659371929851,0.08981659371929851,0.43308480796245385,0.43308480796245385,0.1618443638954561,0.0467702117107073,0.9951046788348296,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
23,0.84,16.0,8.44,7.47,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,7.47,1.3399109998854462,0.3125,8.809910999885446,5.928551838122976,0.014352707105492968,0.014352707105492968,0.014352707105492968,0.014352707105492968,-0.23762499680999305,0.23762499680999305,0.0135615083044602,0.0036345044246679,0.9997228075093696,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
24,1.81,16.0,7.62,7.29,7.29,0.6419185077225471,0.3125,7.931918507722547,3.0024433868829834,7.29,0.5889559035951857,0.3125,7.878955903595186,4.122235912718567,-0.05296260412736142,0.05296260412736142,-0.05296260412736142,0.05296260412736142,1.1197925258355839,1.1197925258355839,0.1401007650921722,0.0348096910263221,0.9726079309737348,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,51.66978377123989,1.2987012987012987,66.62478377123989,1.6986152030617456,-9.004364108933203,9.004364108933203,-9.004364108933203,9.004364108933203,0.07018215994881505,0.07018215994881505,0.1227565548302639,0.0747088270846207,0.9983320969448964,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,447.54487896717075,1.2121212121212122,458.8923789671708,1.3033822394176062,24.74612993514512,24.74612993514512,24.746129935145234,24.746129935145234,-0.005815182900185567,0.005815182900185567,0.0229116438644271,0.0150405002651736,0.9999605000261385,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,8.479492289750674,1.3793103448275863,22.714492289750673,2.686610564871242,0.24703624348168773,0.24703624348168773,0.24703624348168773,0.24703624348168773,-0.045499269031109346,0.045499269031109346,0.0285513163460588,0.0151674832396897,0.999877191051216,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,3.9790578585143432,1.4925373134328357,18.446557858514343,7.369951610118135,0.1265879812174151,0.1265879812174151,0.12658798121741555,0.12658798121741555,-0.31896300001664724,0.31896300001664724,0.051730464341807,0.0216912600035698,0.9993108000747538,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
42,0.71,3.35,16.28,14.8375,14.8375,5.373344828404187,1.4925373134328357,20.210844828404188,5.457009220110153,14.8375,5.407752686138059,1.4925373134328357,20.24525268613806,5.419944894947555,0.03440785773387134,0.03440785773387134,0.03440785773387134,0.03440785773387134,-0.037064325162598166,0.037064325162598166,0.0097178139303871,0.0044954979387847,0.9999808935871642,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
45,2.87,4.1,13.67,13.42,13.42,16.705556614946417,1.2195121951219514,30.12555661494642,1.6634039681803665,13.42,20.298095022979524,1.2195121951219514,33.718095022979526,1.5789291293488872,3.592538408033107,3.592538408033107,3.592538408033107,3.592538408033107,-0.08447483883147933,0.08447483883147933,0.0968256018551586,0.055311451366936,0.9986245956293168,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
48,2.37,4.125,16.38,14.3675,14.3675,112.7264689844744,1.2121212121212122,127.0939689844744,1.4228254925840296,14.3675,98.67890816038935,1.2121212121212122,113.04640816038936,1.4582293095204228,-14.04756082408504,14.04756082408504,-14.04756082408504,14.04756082408504,0.03540381693639327,0.03540381693639327,0.0857250093411852,0.053522044634646,0.9991909984129392,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
50,4.16,4.75,15.04,14.775,14.775,58.5314735148253,1.0526315789473684,73.3064735148253,1.2144266984360343,14.775,56.56317821896551,1.0526315789473684,71.33817821896551,1.2208813536602263,-1.9682952958597895,1.9682952958597895,-1.9682952958597895,1.9682952958597895,0.006454655224191974,0.006454655224191974,0.0138920081886315,0.0075741659384901,0.9999732836137408,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
52,3.13,4.466666666666667,15.58,14.793333333333337,14.793333333333337,75.02328336156236,1.1194029850746268,89.8166166948957,1.313812712287742,14.793333333333337,67.41380790538884,1.1194029850746268,82.20714123872217,1.339598819653649,-7.609475456173527,7.609475456173527,-7.609475456173527,7.609475456173527,0.02578610736590692,0.02578610736590692,0.0591786730545067,0.0349046495647892,0.9995759271286396,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
55,0.63,3.85,16.18,14.365,14.365,5.024596391351091,1.2987012987012987,19.38959639135109,6.152370825583352,14.365,5.002132317388723,1.2987012987012987,19.367132317388723,6.190156717295359,-0.022464073962368047,0.022464073962368047,-0.022464073962368047,0.022464073962368047,0.03778589171200686,0.03778589171200686,0.0078103218502997,0.0034290880853595,0.9999849843166968,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
58,0.94,3.875,16.28,13.935,13.935,11.349260923481204,1.2903225806451613,25.28426092348121,3.405427164282276,13.935,11.298021572379724,1.2903225806451613,25.233021572379723,3.419129797658604,-0.05123935110147926,0.05123935110147926,-0.05123935110148636,0.05123935110148636,0.01370263337632771,0.01370263337632771,0.0063436008838066,0.0035132345416615,0.9999925697915124,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
61,2.68,4.125,16.95,15.5375,15.5375,116.71406105996982,1.2121212121212122,132.25156105996982,1.3981039630569712,15.5375,94.6644808147878,1.2121212121212122,110.2019808147878,1.4497596274143374,-22.049580245182028,22.049580245182028,-22.049580245182014,22.049580245182014,0.05165566435736624,0.05165566435736624,0.1373030835309915,0.083878220611899,0.9981022035420862,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
64,2.73,4.125,15.88,13.97,13.97,220.02903798852773,1.2121212121212122,233.99903798852773,1.3339956390040135,13.97,169.35810149942662,1.2121212121212122,183.32810149942665,1.376314923861014,-50.67093648910111,50.67093648910111,-50.67093648910108,50.67093648910108,0.04231928485700043,0.04231928485700043,0.1415303453299055,0.0870629912416368,0.9977994543960016,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
67,3.13,4.533333333333333,14.91,14.596666666666666,14.596666666666666,20.35467702287054,1.1029411764705883,34.951343689537204,1.4882877719989878,14.596666666666666,25.73231332445819,1.1029411764705883,40.328979991124854,1.4015057306788032,5.37763630158765,5.37763630158765,5.37763630158765,5.37763630158765,-0.08678204132018452,0.08678204132018452,0.1236046599173684,0.0712858225164613,0.9981180939632904,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
70,3.12,4.466666666666667,16.37,15.163333333333334,15.163333333333334,137.96164146287623,1.1194029850746268,153.12497479620956,1.2614658876838951,15.163333333333334,114.01171082639831,1.1194029850746268,129.17504415973164,1.296451564101023,-23.949930636477916,23.949930636477916,-23.949930636477916,23.949930636477916,0.03498567641712791,0.03498567641712791,0.1061610275748708,0.0633666432604476,0.9987465908463476,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
73,1.09,3.85,15.19,13.3025,13.3025,11.821633061680007,1.2987012987012987,25.12413306168001,2.9737453064844868,13.3025,11.725396434420952,1.2987012987012987,25.027896434420953,2.9923030181760364,-0.09623662725905469,0.09623662725905469,-0.09623662725905646,0.09623662725905646,0.018557711691549628,0.018557711691549628,0.0097523536858563,0.0054573667106089,0.9999818655695236,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
76,4.13,4.7,14.9,13.285,13.285,1213.8760619263403,1.0638297872340423,1227.1610619263406,1.0940505167399543,13.285,658.1194633765807,1.0638297872340423,671.4044633765807,1.1222770731272798,-555.7565985497596,555.7565985497596,-555.7565985497599,555.7565985497599,0.028226556387325408,0.028226556387325408,0.2267654420159698,0.1267588846362543,0.996032542677297,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
79,3.62,4.5,14.62,13.843333333333334,13.843333333333334,173.78668847200146,1.1111111111111112,187.6300218053348,1.2115644521301927,13.843333333333334,124.21030868158272,1.1111111111111112,138.05364201491605,1.2589042580741174,-49.57637979041874,49.57637979041874,-49.57637979041874,49.57637979041874,0.04733980594392473,0.04733980594392473,0.1503954204379488,0.0854707461472031,0.9966403934800954,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
82,0.39,3.9275,14.13,12.93,12.93,2.178980729198466,1.273074474856779,15.108980729198466,12.268593789286898,12.93,2.3641618936788973,1.273074474856779,15.294161893678895,10.66386352122148,0.1851811644804311,0.1851811644804311,0.18518116448042932,0.18518116448042932,-1.6047302680654187,1.6047302680654187,0.1184364126712187,0.041372641260926,0.9938928472457724,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
85,0.46,3.86,15.2,13.9425,13.9425,2.582793456166362,1.2953367875647668,16.525293456166363,10.00333623780827,13.9425,2.685164619291177,1.2953367875647668,16.627664619291178,9.3802767694776,0.10237116312481476,0.10237116312481476,0.10237116312481476,0.10237116312481476,-0.6230594683306698,0.6230594683306698,0.0640988104999706,0.0230932784137602,0.9985981723392532,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
91,2.56,4.125,14.35,13.695,13.695,33.24347166872315,1.2121212121212122,46.93847166872315,1.5724619149710894,13.695,32.18322276972814,1.2121212121212122,45.87822276972814,1.5863882312818844,-1.0602488989950132,1.0602488989950132,-1.0602488989950132,1.0602488989950132,0.013926316310794995,0.013926316310794995,0.020421850787939,0.0122911733291806,0.9999446446828256,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
94,2.24,4.125,16.29,15.185,15.185,36.934910613682646,1.2121212121212122,52.11991061368265,1.6343524111032697,15.185,35.52157446020849,1.2121212121212122,50.70657446020849,1.6543919644189842,-1.4133361534741553,1.4133361534741553,-1.4133361534741553,1.4133361534741553,0.020039553315714498,0.020039553315714498,0.0303733391854065,0.0181620595410536,0.9998973542864744,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
97,0.98,3.925,16.9,13.655,13.655,17.423005323734152,1.2738853503184715,31.07800532373415,2.9328424113361327,13.655,17.571644464132113,1.2738853503184715,31.22664446413211,2.913203906539867,0.148639140397961,0.148639140397961,0.148639140397961,0.148639140397961,-0.01963850479626572,0.01963850479626572,0.0115861503671787,0.0070824772911947,0.999977755287518,True,True,True,True,HIGH,HIGH_direct_poly_rank_5
