sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.0672130604436565,1.818181818181818,0.0989630604436565,3.9159276576042874,-0.012919480556917398,0.012919480556917398,-0.012919480556917398,0.012919480556917398,0.4746853708047363,0.4746853708047363,0.000664491042261,0.0004358595840071,0.9904244518814462,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.0443046770288199,1.6666666666666667,0.0725546770288199,3.5332396509365607,-0.011419508197771905,0.011419508197771905,-0.011419508197771891,0.011419508197771891,0.5252847443585789,0.5252847443585789,0.0006821478602622,0.0004109029365116,0.9841963426488722,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.0252560563441257,1.6666666666666667,0.0507560563441257,3.620338568608149,-0.0036311881711094014,0.0036311881711094014,-0.003631188171109398,0.003631188171109398,0.3301173694484749,0.3301173694484749,0.0003155898887236,0.000176689043888,0.9952268304806065,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.0313434931458721,1.4285714285714286,0.073093493145872,4.591114635553456,-0.004154591403255102,0.004154591403255102,-0.004154591403255095,0.004154591403255095,0.5864550636802255,0.5864550636802255,0.000662375826873,0.0003503493225662,0.9909403462070484,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.0498214924588975,1.4285714285714286,0.0838214924588975,2.8580822743452963,-0.017240941457531203,0.017240941457531203,-0.017240941457531203,0.017240941457531203,0.49128794972415246,0.49128794972415246,0.0009886934208446,0.0005749286861285,0.9766300608135547,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0313684356355235,1.25,0.0643684356355235,2.1652747188125177,-0.0020617846849647972,0.0020617846849647972,-0.002061784684964804,0.002061784684964804,0.06798077906985123,0.06798077906985123,0.0001401976794741,7.825576833236637e-05,0.9994891294459876,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,0.321572092779387,0.4166666666666667,1.174072092779387,4.5127166409705435,-0.056710086065023646,0.056710086065023646,-0.05671008606502381,0.05671008606502381,2.133540674739159,2.133540674739159,0.0463282466619245,0.0154148351265553,0.8482429738910934,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
20,1.71,12.0,2.57,1.7327500000000002,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,1.7327500000000002,1.8198135300184388,0.4166666666666667,3.552563530018439,2.4351797731782314,-0.39050209235550826,0.39050209235550826,-0.39050209235550826,0.39050209235550826,0.8144562013798611,0.8144562013798611,0.0907153692662465,0.0455900591587492,0.9336324273187112,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
27,0.87,3.25,2.35,1.9075,1.9075,2.7034029995062916,1.5384615384615383,4.610902999506291,3.276941309100947,1.9075,2.2876475905886515,1.5384615384615383,4.195147590588651,3.7732007033673263,-0.41575540891764007,0.41575540891764007,-0.41575540891764007,0.41575540891764007,0.49625939426637933,0.49625939426637933,0.0362906289239964,0.0211696341308733,0.9891831914209352,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
28,0.13,1.325,1.02,0.6675,0.6675,0.6738254010838505,3.7735849056603774,1.3413254010838505,23.891608655167115,0.6675,0.6925311763694264,3.7735849056603774,1.3600311763694264,22.655743614552783,0.018705775285575932,0.018705775285575932,0.018705775285575932,0.018705775285575932,-1.2358650406143319,1.2358650406143319,0.0039927028015815,0.0021979448644847,0.9990829872707208,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
31,0.24,1.275,0.66,0.475,0.475,0.6758571313827281,3.9215686274509807,1.150857131382728,11.17767536247715,0.475,0.8224594443427752,3.9215686274509807,1.2974594443427752,9.401084166381338,0.1466023129600471,0.1466023129600471,0.1466023129600471,0.1466023129600471,-1.7765911960958114,1.7765911960958114,0.010940922578315,0.0073978823952139,0.9860941387385296,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
34,0.47,1.525,1.07,0.6975,0.6975,4.0455139668571585,3.278688524590164,4.743013966857158,4.812842755740618,0.6975,3.165877573267701,3.278688524590164,3.8633775732677007,5.3983531514315715,-0.8796363935894576,0.8796363935894576,-0.8796363935894576,0.8796363935894576,0.5855103956909531,0.5855103956909531,0.0173913248875909,0.0124393234075167,0.9911225700591698,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
37,0.11,1.325,0.89,0.5625,0.5625,0.5639971811696873,3.7735849056603774,1.1264971811696871,29.2958502513531,0.5625,0.6137998664021604,3.7735849056603774,1.1762998664021604,24.69330473604788,0.04980268523247311,0.04980268523247311,0.04980268523247333,0.04980268523247333,-4.60254551530522,4.60254551530522,0.0107466390891472,0.006019469063356,0.9912916108956203,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
40,0.3,1.35,0.88,0.635,0.635,1.1651130574348498,3.7037037037037033,1.8001130574348498,8.547982610717572,0.635,1.2136132988994308,3.7037037037037033,1.8486132988994308,8.273043039694793,0.048500241464580984,0.048500241464580984,0.048500241464580984,0.048500241464580984,-0.2749395710227791,0.2749395710227791,0.0029851296412609,0.0020065266121307,0.9994689272110694,True,True,True,True,LOW_1,LOW_1_direct_exp_rank_2
