sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.1017157386132652,1.818181818181818,0.1334657386132652,3.015611836541944,0.0215831976126913,0.0215831976126913,0.021583197612691285,0.021583197612691285,-0.42563045025760715,0.42563045025760715,0.0006465233993455,0.0004687734580345,0.9909352907862656,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.0611489335881259,1.6666666666666667,0.0893989335881259,2.8581687189418856,0.005424748361534094,0.005424748361534094,0.005424748361534101,0.005424748361534101,-0.1497861876360962,0.1497861876360962,0.000202634645769,0.0001324050480973,0.9986054696657908,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.0296405115624645,1.6666666666666667,0.0551405115624645,3.237645533883462,0.0007532670472293994,0.0007532670472293994,0.0007532670472294029,0.0007532670472294029,-0.052575665276211936,0.052575665276211936,5.1269119898290406e-05,2.9866181011303296e-05,0.9998740284646424,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.037241117632702,1.4285714285714286,0.0789911176327019,3.8338509466236568,0.0017430330835747979,0.0017430330835747979,0.0017430330835748048,0.0017430330835748048,-0.17080862524957396,0.17080862524957396,0.000204475905099,0.0001169982209641,0.999136649925266,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.0637296688167418,1.4285714285714286,0.0977296688167418,2.4300980249242423,-0.003332765099686899,0.003332765099686899,-0.003332765099686899,0.003332765099686899,0.06330370030309851,0.06330370030309851,0.0001301928015926,7.99601341914051e-05,0.999594763795479,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0286256798558331,1.25,0.0616256798558331,2.2800550977484693,-0.004804540464655199,0.004804540464655199,-0.004804540464655199,0.004804540464655199,0.18276115800580284,0.18276115800580284,0.0003747694350626,0.0002066974453531,0.9963494563255096,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,0.3619211994004125,0.4166666666666667,1.2144211994004126,2.5810680940201944,-0.016360979443998114,0.016360979443998114,-0.01636097944399828,0.01636097944399828,0.20189212778881016,0.20189212778881016,0.0060491544542923,0.0026108279261455,0.9974127021591278,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
20,1.71,12.0,2.57,1.7327500000000002,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,1.7327500000000002,2.155446911657698,0.4166666666666667,3.888196911657699,1.6800616713143872,-0.05486871071624888,0.05486871071624888,-0.05486871071624844,0.05486871071624844,0.05933809951601687,0.05933809951601687,0.0080691891912101,0.0048003026179597,0.9994748855312148,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
27,0.87,3.25,2.35,1.9075,1.9075,2.7034029995062916,1.5384615384615383,4.610902999506291,3.276941309100947,1.9075,2.679262315028359,1.5384615384615383,4.586762315028359,3.298546199937558,-0.024140684477932606,0.024140684477932606,-0.02414068447793216,0.02414068447793216,0.0216048908366111,0.0216048908366111,0.0016347673115209,0.0010070251791318,0.9999780506307306,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
28,0.13,1.325,1.02,0.6675,0.6675,0.6738254010838505,3.7735849056603774,1.3413254010838505,23.891608655167115,0.6675,0.6223400472841969,3.7735849056603774,1.2898400472841969,29.313461261934147,-0.05148535379965358,0.05148535379965358,-0.05148535379965358,0.05148535379965358,5.4218526067670325,5.4218526067670325,0.0148036239492648,0.0071504424330461,0.9873939947422428,True,True,True,True,LOW_1,LOW_1_direct_poly_rank_5
