dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
LOW_2,LOW_2_direct_poly_rank_3,69,1.9612219769219918,0.9932810327587506,1.9612219769219918,0.9932132492850358,0.2433650592474053,0.9967851054326473,0.011736062014296673,0.00960772002146674,0.0089820546228547,0.0345175168954561,69,0.9998372938030017,69,69,69
LOW_2,LOW_2_direct_poly_rank_2,69,1.5183347405362095,0.9959729772834448,1.51833474053621,0.9959323511606115,0.30252920080518203,0.9950319622805637,0.015535506122650776,0.012597945076710323,0.0118336713894472,0.0387255864736171,69,0.9997148915324469,69,69,69
LOW_2,LOW_2_direct_poly_rank_5,69,1.697369581838904,0.9949672906306628,1.6973695818389045,0.9949165187618619,0.3316537393626841,0.9940293710706681,0.01682725467611069,0.01359153734956768,0.0118340362372734,0.0420089465919669,69,0.9996655079206478,69,69,69
LOW_2,LOW_2_direct_poly_rank_4,69,1.9101074039916242,0.9936266965439821,1.9101074039916244,0.9935624002568034,0.4073749798157667,0.9909917799128944,0.030605897176831588,0.020414899504944267,0.0130631013094252,0.1500438943289575,69,0.9988934538471332,69,69,69
LOW_2,LOW_2_direct_poly_rank_1,69,2.8503046146136146,0.9858083930927313,2.8503046146136146,0.9856652228138433,0.7169195172106718,0.972100842306734,0.03152134889754317,0.024676531896284205,0.0229103625045425,0.0704827530024092,69,0.9988262681463911,69,69,69
LOW_2,LOW_2_direct_exp_rank_2,69,4.279021134871981,0.9680156238430339,4.279021134871982,0.9676929534023732,0.6751021935032623,0.9752605908902866,0.03464722411995941,0.02609706930985863,0.0196452969699801,0.0927989127953524,69,0.9985819348188124,69,69,69
LOW_2,LOW_2_direct_exp_rank_4,69,4.837731255177702,0.9591179656330368,4.837731255177702,0.9587055322630829,0.63868275487478,0.97785780535887,0.03811484482101591,0.028675848647369242,0.0194481751504839,0.0990423024687995,69,0.998283880149914,69,69,69
LOW_2,LOW_2_direct_exp_rank_5,69,4.7757028720495445,0.9601596065634441,4.7757028720495445,0.9597576816597606,0.652036193447428,0.9769222379531006,0.038532975176566814,0.028913124022595636,0.0192310175304236,0.0988993378805488,69,0.9982460210043829,69,69,69
LOW_2,LOW_2_direct_exp_rank_1,69,4.718550106932753,0.9611074728304543,4.718550106932753,0.9607151103588958,0.6927406535807834,0.9739509652945538,0.03937029659913709,0.030115779566339908,0.0199451943230388,0.0935109479762742,69,0.9981689648727124,69,69,69
LOW_2,LOW_2_direct_exp_rank_3,69,4.733338661197005,0.9608633022460491,4.733338661197005,0.9604684764896143,0.6807783953266843,0.9748428282911428,0.04260594863624206,0.031891347704705544,0.0212618564744669,0.1265986421045093,69,0.9978556297084791,69,69,69
