,count,mean,std,min,25%,50%,75%,max,missing
sigma_n_MPa,299.0,173.39420401337793,766.3742883857766,0.01,0.5,5.0,20.0,5516.0,0
log_sigma_n_MPa,299.0,0.7263112607398104,3.010297765595572,-4.605170185988091,-0.6931471805599453,1.6094379124341003,2.995732273553991,8.615408238913192,0
delta_peak_mm,299.0,1.3074247491638795,1.4822413160422763,0.05,0.42,0.92,1.68,12.65,0
log_delta_peak_mm,299.0,-0.19893715743424023,1.0026342816447804,-2.995732273553991,-0.8675005677047231,-0.08338160893905101,0.5187760776818229,2.5376572151735295,0
u_r_mm,299.0,5.215171858222852,4.7467643658607965,0.6167440601439975,2.175,3.75,5.806185473655189,31.453947067343865,0
log_u_r_mm,299.0,1.3457922013983816,0.7458845097995768,-0.4833011545164987,0.7770286645406473,1.3217558399823195,1.7583663641171803,3.448524478207827,0
tau_peak_MPa_csds,299.0,5.0738117056856185,6.683966274000536,0.015,0.5465,1.816,5.645,55.263,0
log_tau_peak_MPa_csds,299.0,0.2522530334908291,2.1640200039150246,-4.199705077879927,-0.6051463665353778,0.5966362801791015,1.7305971777842257,4.01210360683819,0
tau_r_MPa,299.0,4.151476337601302,5.3885211176227354,0.014,0.4429166666666666,1.2245,4.427583333333333,18.994999999999997,0
log_tau_r_MPa,299.0,-0.07779177921870353,2.276224208618771,-4.268697949366879,-0.8143906475995972,0.2025325974100853,1.4878538908238395,2.9441757866395886,0
c_target,299.0,1.6479076327566495,1.0407386467556279,0.1589625616554528,0.8621112075693093,1.3333333333333333,2.298850574712644,8.107090644428094,0
d_csds,299.0,21.87828640851028,81.87348634825008,0.0164195869070291,0.9109324454113867,5.131835000811389,15.343495138549281,1227.1610619263406,0
log_d_csds,299.0,1.0117818221857722,2.375603760374338,-4.109280333189722,-0.09364557302072588,1.6354632951865318,2.730574796355939,7.112458700910083,0
e_csds,299.0,6.8526708651773856,9.738644229889237,0.3027127732951231,1.898440208356655,3.420782268328867,7.934756385196393,77.68977402204777,0
e_minus_c_csds,299.0,5.204763232420736,9.146556047592684,0.016998487580837385,0.7966472768533859,1.975232314400436,5.664555069335248,73.47363196212504,0
log_e_minus_c_csds,299.0,0.673972380956891,1.505214699112091,-4.07463090471671,-0.2273674951973788,0.6806860189800326,1.7342267435275962,4.296926593038415,0
