dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file
LOW_2,LOW_2_direct_poly_rank_3,polynomial,log_gap,3,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_r_div_u_p,0.9874258030586498,0.9672109352832364,0.9991038305684924,0.1268583825712618,1.4189541815496298,69,0.04931118709581709,0.9985786359630099,1.9612219769219923,0.9932810327587506,1.9612219769219923,0.9932132492850358,0.24336505924740537,0.9967851054326473,0.011736062014296703,0.9998372938030017,0.009607720021466797,0.008982054622854705,0.03451751689545619,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_poly_rank_3_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_poly_rank_2,polynomial,log_gap,2,delta_peak_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_r_div_u_p,0.9861031846116388,0.9700145973902874,0.9981309554817092,0.1832035689594305,1.4194363216150752,69,0.059577898528082866,0.9979251592530847,1.5183347405362093,0.9959729772834448,1.51833474053621,0.9959323511606115,0.302529200805182,0.9950319622805637,0.015535506122650734,0.9997148915324469,0.012597945076710377,0.011833671389447287,0.03872558647361717,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_poly_rank_2_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_poly_rank_5,polynomial,log_gap,5,u_r_mm + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_r_div_u_p,0.9823157783714702,0.9679461942022024,0.9980451152954004,0.187363366553123,1.4159613295120426,69,0.06388067977227396,0.9976146425646804,1.6973695818389047,0.9949672906306628,1.6973695818389052,0.9949165187618619,0.33165373936268416,0.9940293710706681,0.01682725467611067,0.9996655079206478,0.013591537349567737,0.011834036237273436,0.04200894659196698,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_poly_rank_5_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_poly_rank_4,polynomial,log_gap,4,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_r_div_u_p,0.9734534520817149,0.9710131040076634,0.990372922619739,0.4157874132577532,1.4182412643014246,69,0.10732628572348017,0.9932667210476761,1.910107403991624,0.9936266965439821,1.9101074039916244,0.9935624002568034,0.4073749798157668,0.9909917799128944,0.030605897176831588,0.9988934538471332,0.02041489950494432,0.01306310130942521,0.15004389432895757,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_poly_rank_4_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_poly_rank_1,polynomial,log_gap,1,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p,0.9732354916161045,0.9631594813691948,0.9303045288467108,1.1187328380799018,1.4238340458704566,69,0.1116512970627961,0.9927131143759047,2.8503046146136146,0.9858083930927313,2.8503046146136146,0.9856652228138433,0.7169195172106717,0.972100842306734,0.03152134889754316,0.9988262681463911,0.024676531896284253,0.02291036250454252,0.07048275300240926,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_poly_rank_1_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_2,exponential,log_gap,2,u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + tau_p_div_u_p,0.9776343645910842,0.9625016204257352,0.9732364405113568,0.6932598413542788,1.4080125424208203,69,0.1470399884014662,0.9873617969953913,4.279021134871982,0.9680156238430337,4.279021134871982,0.9676929534023732,0.6751021935032622,0.9752605908902867,0.03464722411995942,0.9985819348188124,0.02609706930985867,0.01964529696998013,0.09279891279535242,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_exp_rank_2_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_4,exponential,log_gap,4,u_p_x_tau_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.9734776050307168,0.9652539563272886,0.9725621319287836,0.7019388642993066,1.4052517940632927,69,0.16318670959138726,0.9844337508013417,4.837731255177702,0.9591179656330368,4.837731255177702,0.9587055322630829,0.63868275487478,0.97785780535887,0.038114844821015896,0.998283880149914,0.028675848647369294,0.019448175150483946,0.09904230246879951,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_exp_rank_4_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_5,exponential,log_gap,5,tau_peak_MPa_csds + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.973801455716614,0.964461706894246,0.9708150156305948,0.7239421103168134,1.405156336664067,69,0.16376188528629002,0.9843238263241941,4.7757028720495445,0.9601596065634441,4.775702872049544,0.9597576816597606,0.6520361934474279,0.9769222379531006,0.038532975176566814,0.9982460210043829,0.02891312402259568,0.01923101753042364,0.09889933788054882,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_exp_rank_5_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_1,exponential,log_gap,1,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.9711268530040136,0.9626914788568218,0.97280299689968,0.6988510665417637,1.4115960405540615,69,0.16573322795237821,0.9839441395172016,4.718550106932754,0.9611074728304543,4.718550106932754,0.9607151103588958,0.6927406535807834,0.9739509652945538,0.039370296599137114,0.9981689648727124,0.030115779566339953,0.01994519432303886,0.09351094797627427,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_exp_rank_1_b_d_from_e_predictions.csv
LOW_2,LOW_2_direct_exp_rank_3,exponential,log_gap,3,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9690942645353676,0.9587636218921224,0.9715404602183924,0.7148880595952756,1.4075742930665485,69,0.17532213742301958,0.9820324889410345,4.733338661197005,0.9608633022460491,4.733338661197005,0.9604684764896143,0.6807783953266842,0.9748428282911428,0.04260594863624206,0.9978556297084791,0.031891347704705586,0.021261856474466906,0.12659864210450933,69,69,69,69,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/low/LOW_2_direct_exp_rank_3_b_d_from_e_predictions.csv
