Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
HIGH,polynomial,delta_peak_mm + u_r_div_u_p + tau_r_div_tau_p,"['delta_peak_mm', 'u_r_div_u_p', 'tau_r_div_tau_p']",3,0.9741987007036805,0.2323471032761454,0.973644681685454,0.21264611234944242,0.9164592040036933,0.027597014935708087,0.9684371071143627,0.45147368876693234,0.9553443406426985,0.36712430750368025,0.7003754222446402,1.4162535275960204,0.9709678370346843,0.4514736887669323,0.9570092266915001,0.3671243075036799,0.7938340036280256,0.5961295159120173,0.7221345086339523,1.4162535275960204,0.17614132421273915,0.9984610593691778,0.10990435588053744,0.9984484752394749,0.4940022382723612,0.9859971006329105,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3991145821937299
HIGH,polynomial,delta_peak_mm + tau_peak_estimated + u_r_div_u_p + tau_r_div_tau_p,"['delta_peak_mm', 'tau_peak_estimated', 'u_r_div_u_p', 'tau_r_div_tau_p']",4,0.9741987007036805,0.23234710327614555,0.973644681685454,0.2126461123494424,0.9164592040036933,0.02759701493570811,0.9684371071143627,0.4514736887669328,0.955344340642699,0.36712430750367797,0.7003754222446399,1.416253527596021,0.9709678370346843,0.4514736887669328,0.9570092266915006,0.36712430750367797,0.7938340036280249,0.5961295159120182,0.722134508633952,1.416253527596021,0.1761413242127398,0.9984610593691778,0.10990435588053755,0.9984484752394749,0.494002238272363,0.9859971006329105,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3891145821937299
HIGH,polynomial,delta_peak_mm + u_r_estimated + u_r_div_u_p + tau_r_div_tau_p,"['delta_peak_mm', 'u_r_estimated', 'u_r_div_u_p', 'tau_r_div_tau_p']",4,0.9779964363302884,0.21456702823642418,0.9687098526239821,0.23170057876745434,0.8894386581528697,0.015427623100919274,0.9735524860734592,0.4132724661689507,0.9959978532144227,0.10990599787966966,0.9299772434128615,0.6846551652013072,0.9756730621263113,0.4132724661689507,0.9961470642762335,0.10990599787966959,0.9582362047276216,0.26830705097344637,0.9350623776872645,0.6846551652013072,0.14655024718447335,0.9989346986863823,0.09551981357487868,0.9988280317871581,0.35386975034523094,0.9928146651194206,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.371886419390325
HIGH,polynomial,delta_peak_mm + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,"['delta_peak_mm', 'tau_r_estimated', 'u_r_div_u_p', 'tau_r_div_tau_p']",4,0.9779964363302884,0.21456702823642418,0.9687098526239821,0.23170057876745434,0.8894386581528697,0.015427623100919274,0.9735524860734592,0.4132724661689507,0.9959978532144227,0.10990599787966966,0.9299772434128615,0.6846551652013072,0.9756730621263113,0.4132724661689507,0.9961470642762335,0.10990599787966959,0.9582362047276216,0.26830705097344637,0.9350623776872645,0.6846551652013072,0.14655024718447335,0.9989346986863823,0.09551981357487868,0.9988280317871581,0.35386975034523094,0.9928146651194206,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.371886419390325
HIGH,polynomial,delta_peak_mm + u_r_estimated + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,"['delta_peak_mm', 'u_r_estimated', 'tau_r_estimated', 'u_r_div_u_p', 'tau_r_div_tau_p']",5,0.9785670218459886,0.2117667320666028,0.9684295831985007,0.23273594973194114,0.8901429086220883,0.01739478916337626,0.9737375662435733,0.41182388340469134,0.9956834030169163,0.11414204221673878,0.9300187580428368,0.6844521781916579,0.9758433024677107,0.4118238834046914,0.9958443376486934,0.11414204221673876,0.9569189235138549,0.27250556777395796,0.9351008774763786,0.6844521781916579,0.14522580834627694,0.9989538668676815,0.0959078689405274,0.998818490052514,0.3614821342414017,0.9925022007209764,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3617615585932072
HIGH,polynomial,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'u_p_div_u_r', 'tau_r_div_tau_p']",3,0.9845712915655018,0.1796723549445208,0.9133710183160979,0.3855271066305745,0.9463325957972405,0.01731846515763065,0.9497835841399099,0.5694648213112322,0.9712683700145522,0.29447946783636164,0.9665530287065962,0.4731846914569353,0.9538099636789752,0.5694648213112323,0.9723395643628286,0.2944794678363616,0.987210189495227,0.1484787018192568,0.9689819867823527,0.4731846914569351,0.12082585677385659,0.9992758657006698,0.14261350451694096,0.9973875366620173,0.16334680215030956,0.9984689780830829,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.354805469698955
HIGH,polynomial,delta_peak_mm + u_r_div_u_p + tau_r_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'u_r_div_u_p', 'tau_r_div_tau_p', 'tau_r_div_u_p']",4,0.9753476373964576,0.22711496291299998,0.9677936705146959,0.23506822615352949,0.8524817851369161,0.03983680096914726,0.9432643843195837,0.605301751570259,0.852594993486013,0.667007940924128,0.6297854107301133,1.5742693921647821,0.9478134768463854,0.605301751570259,0.8580906583670312,0.667007940924128,0.45034224873203255,0.973370735875796,0.6566708261084353,1.5742693921647821,0.18439276685018594,0.9983134970156057,0.15113781123913886,0.9970658983391723,0.9715477417055781,0.9458387813444741,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3500508829862392
HIGH,polynomial,delta_peak_mm + tau_peak_estimated + u_p_div_u_r + tau_r_div_tau_p,"['delta_peak_mm', 'tau_peak_estimated', 'u_p_div_u_r', 'tau_r_div_tau_p']",4,0.9845712915655018,0.17967235494452063,0.9133710183160982,0.3855271066305736,0.9463325957972408,0.017318465157630355,0.9497835841399098,0.5694648213112325,0.9712683700145521,0.2944794678363619,0.9665530287065961,0.47318469145693615,0.9538099636789752,0.5694648213112325,0.9723395643628286,0.2944794678363618,0.9872101894952271,0.14847870181925635,0.9689819867823526,0.47318469145693604,0.12082585677385639,0.9992758657006698,0.14261350451694102,0.9973875366620173,0.16334680215030858,0.9984689780830829,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3448054696989555
HIGH,polynomial,delta_peak_mm + u_p_x_tau_r + u_r_div_u_p + tau_r_div_tau_p,"['delta_peak_mm', 'u_p_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p']",4,0.979990009932437,0.20461615083767523,0.9245980283602935,0.35967865484264006,0.9280570351379476,0.03829014494097918,0.9845753066951339,0.31561113233067034,0.9964534004085847,0.10346202326304675,0.952667512436283,0.5629009114007028,0.9858120669946365,0.3156111323306704,0.9965856274155399,0.1034620232630468,0.9819488488057329,0.17639430464861466,0.9561048529029281,0.5629009114007028,0.1362553572303786,0.9990791126115667,0.1201371053971232,0.9981461131337755,0.11699426105943969,0.9992146029749988,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3447975314351692
HIGH,polynomial,u_p_div_u_r + tau_r_div_tau_p,"['u_p_div_u_r', 'tau_r_div_tau_p']",2,0.9175374823988568,0.4153792223970199,0.9503484553664746,0.29187015996985766,0.8457035621419889,0.08504210437577779,0.73020238964929,1.319967061556887,0.8751436873463312,0.6138752721048394,0.5798968569745199,1.6769891489082431,0.7518349088046079,1.3199670615568873,0.8797986747775695,0.6138752721048394,0.9250143698113753,0.3595184060639207,0.6104052373283391,1.676989148908243,0.3077012455984145,0.99530367806248,0.17473964058855837,0.9960779621877462,0.2464044697869544,0.9965161672475876,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3446960259998912
HIGH,polynomial,tau_peak_estimated + u_p_div_u_r + tau_r_div_tau_p,"['tau_peak_estimated', 'u_p_div_u_r', 'tau_r_div_tau_p']",3,0.9175374823988568,0.41537922239701996,0.9503484553664746,0.2918701599698577,0.8457035621419887,0.08504210437577817,0.7302023896492899,1.3199670615568875,0.875143687346331,0.6138752721048399,0.5798968569745196,1.6769891489082436,0.7518349088046079,1.3199670615568875,0.8797986747775692,0.61387527210484,0.9250143698113753,0.3595184060639209,0.610405237328339,1.6769891489082434,0.307701245598414,0.99530367806248,0.17473964058855845,0.9960779621877462,0.2464044697869545,0.9965161672475876,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.334696025999891
HIGH,polynomial,delta_peak_mm + tau_peak_estimated + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'tau_peak_estimated', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_div_u_p']",5,0.9863202447203019,0.16918257791300612,0.9162451741602211,0.379077697634344,0.9322622012778322,0.03728727953533744,0.9663641588759996,0.4660636057684667,0.9872621537390488,0.19607530021436637,0.9491332753215306,0.5835380425124869,0.9690610989136609,0.4660636057684668,0.9877370557522953,0.1960753002143663,0.98355875294024,0.16834471413630395,0.9528272762106161,0.5835380425124868,0.1210908529225154,0.9992726858642357,0.13657145119854766,0.9976042099958226,0.15149811449978445,0.9986830339182043,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3286475468456034
HIGH,polynomial,delta_peak_mm + tau_r_estimated + u_p_x_tau_r + u_r_div_u_p + tau_r_div_tau_p,"['delta_peak_mm', 'tau_r_estimated', 'u_p_x_tau_r', 'u_r_div_u_p', 'tau_r_div_tau_p']",5,0.9807538205564468,0.20067290579865749,0.9258487170386416,0.35668319572018814,0.9068096056828496,0.011781012228037556,0.9845684058143052,0.3156817253473239,0.996402506342755,0.1042017243117733,0.608862541345293,1.6181433469092656,0.9858057194301864,0.31568172534732386,0.996536630820745,0.10420172431177326,0.9574687899369544,0.2707609170257309,0.6372673999077063,1.6181433469092656,0.13539513476469228,0.9990907036041611,0.12071047191029405,0.998128375180477,0.15291745147441038,0.998658241864339,42,11,14,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.3280754186572625
