Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_e_minus_c_equation
FULL,log_gap,1,tau_r_MPa,-0.17974276436291947
FULL,log_gap,1,u_r_estimated,-1.0175297672706647
FULL,log_gap,1,u_r_x_u_p,-0.021468073051991037
FULL,log_gap,1,u_p_x_tau_r,0.05275620734619614
FULL,log_gap,1,u_p_div_u_r,-5.644212631128771
FULL,log_gap,1,tau_r_div_u_p,0.09265456999132528
FULL,log_gap,2,u_r_mm,-0.12914327986332283
FULL,log_gap,2,tau_r_MPa,-0.1037490052621332
FULL,log_gap,2,u_r_estimated,-0.8484474704359417
FULL,log_gap,2,u_p_x_tau_r,0.04200531716237191
FULL,log_gap,2,u_p_div_u_r,-7.016304502970146
FULL,log_gap,2,tau_r_div_u_p,0.043034350014237714
FULL,log_gap,3,tau_peak_MPa_csds,-0.08590222815407911
FULL,log_gap,3,tau_r_estimated,-1.0990975992375016
FULL,log_gap,3,u_r_x_u_p,-0.0188930680164258
FULL,log_gap,3,u_p_x_tau_r,0.029926226503195815
FULL,log_gap,3,u_p_div_u_r,-5.996413491618545
FULL,log_gap,3,tau_r_div_u_p,0.05291686842383386
FULL,log_gap,4,tau_peak_MPa_csds,-0.08590222815407911
FULL,log_gap,4,u_r_estimated,-1.0990975992375016
FULL,log_gap,4,u_r_x_u_p,-0.0188930680164258
FULL,log_gap,4,u_p_x_tau_r,0.029926226503195815
FULL,log_gap,4,u_p_div_u_r,-5.996413491618545
FULL,log_gap,4,tau_r_div_u_p,0.05291686842383386
FULL,log_gap,5,tau_peak_MPa_csds,-0.057037727565118365
FULL,log_gap,5,u_r_estimated,-1.0024498448621266
FULL,log_gap,5,u_r_x_u_p,-0.019607455222371076
FULL,log_gap,5,u_p_x_tau_r,0.026063478684088596
FULL,log_gap,5,u_p_div_u_r,-6.492887555259209
FULL,log_gap,5,u_p_div_tau_r,-0.006737493036100912
