Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_e_minus_c_equation
HIGH,log_gap,1,delta_peak_mm,-0.26912055453471473
HIGH,log_gap,1,u_p_div_u_r,-3.7369392339144265
HIGH,log_gap,1,tau_r_div_tau_p,4.93622337110751
HIGH,log_gap,1,u_p_div_tau_r,2.6743365641693
HIGH,log_gap,1,tau_p_div_u_p,0.053135123581484194
HIGH,log_gap,2,u_r_x_u_p,-0.010173123675455873
HIGH,log_gap,2,u_p_div_u_r,-4.736933935126106
HIGH,log_gap,2,tau_r_div_tau_p,4.783652101871367
HIGH,log_gap,2,u_p_div_tau_r,2.2786947756432316
HIGH,log_gap,2,tau_p_div_u_p,0.05095532031833326
HIGH,log_gap,3,u_r_x_tau_r,-0.0039962283295629135
HIGH,log_gap,3,u_p_div_u_r,-4.949106670966513
HIGH,log_gap,3,tau_r_div_tau_p,4.916696938965752
HIGH,log_gap,3,u_p_div_tau_r,1.8634029633652824
HIGH,log_gap,3,tau_p_div_u_p,0.04727992804719808
HIGH,log_gap,4,delta_peak_mm,-0.15463958288724622
HIGH,log_gap,4,u_p_div_u_r,-3.145051771892614
HIGH,log_gap,4,tau_r_div_tau_p,4.612956605523555
HIGH,log_gap,4,u_r_div_tau_r,0.34687559152069564
HIGH,log_gap,4,tau_p_div_u_p,0.05711922020984164
HIGH,log_gap,5,delta_peak_mm,-0.26912055453471534
HIGH,log_gap,5,tau_peak_estimated,0.0
HIGH,log_gap,5,u_p_div_u_r,-3.7369392339144256
HIGH,log_gap,5,tau_r_div_tau_p,4.9362233711075145
HIGH,log_gap,5,u_p_div_tau_r,2.6743365641693058
HIGH,log_gap,5,tau_p_div_u_p,0.053135123581484214
