Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_e_minus_c_equation
LOW_1,log_gap,1,delta_peak_mm,-0.2934879007040037
LOW_1,log_gap,1,tau_r_MPa,-0.34959779906263905
LOW_1,log_gap,1,u_r_estimated,-0.5819288916872745
LOW_1,log_gap,1,u_p_div_u_r,-4.896067023787989
LOW_1,log_gap,1,tau_r_div_tau_p,1.9996765381150428
LOW_1,log_gap,1,tau_p_div_u_p,0.18730865962434515
LOW_1,log_gap,2,delta_peak_mm,-0.29174404532713005
LOW_1,log_gap,2,tau_r_estimated,-0.5239179981813045
LOW_1,log_gap,2,tau_p_x_tau_r,-0.11690238001708184
LOW_1,log_gap,2,u_p_div_u_r,-5.075674634631568
LOW_1,log_gap,2,tau_r_div_tau_p,2.0263209207035144
LOW_1,log_gap,2,tau_p_div_u_p,0.18109960194755922
LOW_1,log_gap,3,u_r_estimated,-0.692459103529926
LOW_1,log_gap,3,sigma_n_x_u_r,-2.350190774937683e-05
LOW_1,log_gap,3,u_r_x_u_p,-0.01641006051054809
LOW_1,log_gap,3,u_p_div_u_r,-6.031621856703599
LOW_1,log_gap,3,tau_r_div_tau_p,1.8549955528986077
LOW_1,log_gap,3,tau_p_div_u_p,0.15823066738684266
LOW_1,log_gap,4,tau_r_estimated,-0.692459103529926
LOW_1,log_gap,4,sigma_n_x_u_r,-2.350190774937683e-05
LOW_1,log_gap,4,u_r_x_u_p,-0.01641006051054809
LOW_1,log_gap,4,u_p_div_u_r,-6.031621856703599
LOW_1,log_gap,4,tau_r_div_tau_p,1.8549955528986077
LOW_1,log_gap,4,tau_p_div_u_p,0.15823066738684266
LOW_1,log_gap,5,delta_peak_mm,-0.2639631090732863
LOW_1,log_gap,5,u_r_estimated,-0.6435076561397408
LOW_1,log_gap,5,u_r_x_tau_p,-0.018587405880538633
LOW_1,log_gap,5,u_p_div_u_r,-5.3695155108448445
LOW_1,log_gap,5,tau_r_div_tau_p,1.8328598619788734
LOW_1,log_gap,5,tau_p_div_u_p,0.15930155268378482
