Dataset,Rank_in_saved_results,Polynomial_Term,Coefficient_in_scaled_space
LOW_1,1,delta_peak_mm,-1.0220140417240464
LOW_1,1,tau_r_MPa,-0.30641346463243707
LOW_1,1,u_r_x_tau_r,-0.14827138874216703
LOW_1,1,u_p_div_u_r,-1.4872002147734795
LOW_1,1,tau_r_div_tau_p,0.8128494139065459
LOW_1,1,tau_p_div_u_r,0.5946060347245528
LOW_1,1,delta_peak_mm^2,0.11305354407585112
LOW_1,1,delta_peak_mm tau_r_MPa,0.30362609994607287
LOW_1,1,delta_peak_mm u_r_x_tau_r,-0.3084209273710326
LOW_1,1,delta_peak_mm u_p_div_u_r,0.08723463491252577
LOW_1,1,delta_peak_mm tau_r_div_tau_p,0.05292364783866809
LOW_1,1,delta_peak_mm tau_p_div_u_r,-0.10257182897071511
LOW_1,1,tau_r_MPa^2,0.10245952596496326
LOW_1,1,tau_r_MPa u_r_x_tau_r,0.08873587067314988
LOW_1,1,tau_r_MPa u_p_div_u_r,-0.0386605072959128
LOW_1,1,tau_r_MPa tau_r_div_tau_p,-0.3118785771601978
LOW_1,1,tau_r_MPa tau_p_div_u_r,-0.0741818540588553
LOW_1,1,u_r_x_tau_r^2,-0.05363576635497625
LOW_1,1,u_r_x_tau_r u_p_div_u_r,0.15335618915552476
LOW_1,1,u_r_x_tau_r tau_r_div_tau_p,0.18777102636813622
LOW_1,1,u_r_x_tau_r tau_p_div_u_r,-0.43763701555174495
LOW_1,1,u_p_div_u_r^2,0.07039481894316198
LOW_1,1,u_p_div_u_r tau_r_div_tau_p,0.45815047561276306
LOW_1,1,u_p_div_u_r tau_p_div_u_r,-0.207928403491925
LOW_1,1,tau_r_div_tau_p^2,0.10603292014705408
LOW_1,1,tau_r_div_tau_p tau_p_div_u_r,0.3251074743889125
LOW_1,1,tau_p_div_u_r^2,-0.05486713268728372
LOW_1,2,delta_peak_mm,-1.0216879855066057
LOW_1,2,tau_r_MPa,-0.28234841530858845
LOW_1,2,u_p_div_u_r,-1.2878977001614071
LOW_1,2,tau_r_div_tau_p,0.7258104731593265
LOW_1,2,tau_p_div_u_r,0.5191313047921855
LOW_1,2,sigma_n_div_tau_r,0.05028889016987889
LOW_1,2,delta_peak_mm^2,-0.04148595577423015
LOW_1,2,delta_peak_mm tau_r_MPa,-0.025769811100463936
LOW_1,2,delta_peak_mm u_p_div_u_r,0.2342175861870093
LOW_1,2,delta_peak_mm tau_r_div_tau_p,0.06148089819314465
LOW_1,2,delta_peak_mm tau_p_div_u_r,-0.1575642215651168
LOW_1,2,delta_peak_mm sigma_n_div_tau_r,-0.23836187873919892
LOW_1,2,tau_r_MPa^2,0.054409611105548115
LOW_1,2,tau_r_MPa u_p_div_u_r,0.14529430560109666
LOW_1,2,tau_r_MPa tau_r_div_tau_p,-0.09893779332754173
LOW_1,2,tau_r_MPa tau_p_div_u_r,-0.16192399551330827
LOW_1,2,tau_r_MPa sigma_n_div_tau_r,0.06247437807493289
LOW_1,2,u_p_div_u_r^2,0.07302536721965408
LOW_1,2,u_p_div_u_r tau_r_div_tau_p,0.21692264496575572
LOW_1,2,u_p_div_u_r tau_p_div_u_r,-0.40666973126432815
LOW_1,2,u_p_div_u_r sigma_n_div_tau_r,0.08008572089472023
LOW_1,2,tau_r_div_tau_p^2,0.11148863336709151
LOW_1,2,tau_r_div_tau_p tau_p_div_u_r,0.23805777592986047
LOW_1,2,tau_r_div_tau_p sigma_n_div_tau_r,-0.14351821624661837
LOW_1,2,tau_p_div_u_r^2,-0.03738318732273497
LOW_1,2,tau_p_div_u_r sigma_n_div_tau_r,-0.2792796424247807
LOW_1,2,sigma_n_div_tau_r^2,-0.06834528621496105
LOW_1,3,delta_peak_mm,-1.0138246036804428
LOW_1,3,tau_r_MPa,-0.32273771642808435
LOW_1,3,u_p_div_u_r,-1.4652715772861178
LOW_1,3,tau_r_div_tau_p,0.8219299452249578
LOW_1,3,tau_p_div_u_r,0.6139992698450728
LOW_1,3,delta_peak_mm^2,-0.007265966743511184
LOW_1,3,delta_peak_mm tau_r_MPa,-0.0034865822200105924
LOW_1,3,delta_peak_mm u_p_div_u_r,0.2422835005869974
LOW_1,3,delta_peak_mm tau_r_div_tau_p,0.11927974015800766
LOW_1,3,delta_peak_mm tau_p_div_u_r,-0.18333444930435003
LOW_1,3,tau_r_MPa^2,0.04199637632367197
LOW_1,3,tau_r_MPa u_p_div_u_r,0.02635893112496053
LOW_1,3,tau_r_MPa tau_r_div_tau_p,-0.12898673557038853
