Dataset,Model_Label,Model_Family,Selection_Mode,Rank_in_saved_results,Model_Features,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_Selection_Score,N_rows,N_e_converged,N_c_lt_e,N_converged_and_c_lt_e,Pct_converged_and_c_lt_e,RMSE_d_pred_vs_d_csds,R2_d_pred_vs_d_csds,N_d_metric_rows,RMSE_e_pred_vs_e_csds,R2_e_pred_vs_e_csds,N_e_metric_rows,Mean_e_pred,Median_e_pred,Mean_residual_eq_515_abs,Mean_residual_eq_518_abs,Detailed_Output_File
FULL,FULL_exp_log_rank_1,exponential,log,1,sigma_n_div_tau_r + tau_p_div_u_r + u_p_div_u_r + u_r_mm + tau_r_div_tau_p + u_p_div_tau_r,0.8590845948217003,0.8613587756459866,0.8269360592798684,15.696980194855858,1.228362071915037,299,254,254,254,84.94983277591973,65.8423116109771,0.351098921578605,299,6.106707296035205,0.6385971569136819,254,6.788848237064254,2.417193962841871,6.999793570669029e-12,0.8749295452009389,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_log_rank_1_e_predictions.csv
FULL,FULL_exp_log_rank_2,exponential,log,2,u_p_div_tau_p + u_r_x_u_p + u_p_div_u_r + u_r_mm + tau_r_div_tau_p + tau_p_div_u_r,0.8487217439552559,0.8816214248089398,0.8869268118427047,12.687984365109529,1.2270275958591126,299,265,265,265,88.62876254180603,64.97312104207502,0.36811824704820495,299,4.111342039313641,0.830082589845512,265,6.5937439161850655,2.693004164856806,6.3325152249820535e-12,0.5768969993460322,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_log_rank_2_e_predictions.csv
FULL,FULL_exp_log_rank_3,exponential,log,3,u_p_div_u_r + sigma_n_x_u_r + u_r_x_u_p + tau_r_div_tau_p + tau_p_div_u_r + u_p_div_tau_p,0.8456514179981025,0.8809444156764792,0.3005289085384746,31.557144695052287,1.2231421201580863,299,264,264,264,88.29431438127091,72.11919492195064,0.2214794222602351,299,3.922825899178743,0.8489968231451812,264,6.418564258064517,2.7511540259971183,4.8874624885951165e-12,0.9060864436108305,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_log_rank_3_e_predictions.csv
FULL,FULL_exp_log_rank_4,exponential,log,4,tau_r_div_u_r + u_r_x_u_p + u_p_div_u_r + tau_p_div_u_r + u_p_div_tau_p,0.8392944100313054,0.8707298929970133,-0.4641828126282266,45.657325542435224,1.2227801004252374,299,270,270,270,90.3010033444816,73.27441308902489,0.19633870405204668,299,4.0572055033604135,0.8393330210634626,270,6.470139627641282,2.725042727499135,4.7035026079706096e-12,0.8702857165965514,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_log_rank_4_e_predictions.csv
FULL,FULL_exp_log_rank_5,exponential,log,5,tau_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + sigma_n_div_u_p + u_r_x_u_p + u_p_div_u_r,0.8446005614102747,0.8803537899656231,-0.0759809524390291,39.13948507437708,1.2217699941417328,299,264,264,264,88.29431438127091,67.74581145417328,0.31303714552316697,299,3.9402969246506006,0.8475083046240378,264,6.448770795770816,2.7999353466329113,5.0752129771519155e-12,0.6292902753978282,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_log_rank_5_e_predictions.csv
FULL,FULL_exp_d_rank_1,exponential,d,1,tau_r_div_u_r + u_p_div_tau_p + tau_p_div_u_r + u_p_div_u_r + u_r_mm,0.8545118600738705,0.8826697066388615,0.8435665546704096,14.923738181261266,1.2339926520782734,299,272,272,272,90.96989966555184,106.94849825407424,-0.7120550999208837,299,4.801505227124755,0.768133544370144,272,7.0024443415563935,2.6115722139096684,6.975611265084868e-12,1.8582842282517424,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_d_rank_1_e_predictions.csv
FULL,FULL_exp_d_rank_2,exponential,d,2,tau_p_div_u_r + u_p_div_tau_p + u_p_div_u_r + u_p_x_tau_p + tau_r_div_tau_p,0.7675529643750203,0.8413485625869574,0.8292823115343912,15.590214011711648,1.1972174447265054,299,259,259,259,86.62207357859532,64.9688625351898,0.3682010746719683,299,4.237465559521349,0.8297710040079342,259,6.444483967883503,2.729413484867872,5.563524758864354e-12,0.5405112784157425,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_d_rank_2_e_predictions.csv
FULL,FULL_exp_d_rank_3,exponential,d,3,u_r_div_tau_r + u_p_div_u_r + u_p_x_tau_p + u_p_div_tau_p + tau_r_div_u_r + delta_peak_mm,0.7523496975748931,0.8085046276910386,0.8549159829107147,14.372178484959402,1.195218516632403,299,276,276,276,92.3076923076923,73.92595726022375,0.18198311152009528,299,4.689424044992519,0.7816031597488203,276,6.990436080283664,2.8174787701471367,5.820245251936493e-12,0.7384122620952439,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_d_rank_3_e_predictions.csv
FULL,FULL_exp_d_rank_4,exponential,d,4,tau_r_MPa + u_p_div_u_r + u_r_div_tau_r + tau_p_div_u_r + tau_r_div_u_r + u_p_div_tau_p,0.7823566639627468,0.8575965089551646,0.8231417842435468,15.868118524437458,1.1897069262305249,299,255,255,255,85.28428093645485,72.2045350523805,0.2196358532335393,299,4.243200202284635,0.8317719076548187,255,6.533958498192062,2.6889139961983743,4.481517553570341e-12,1.0618076363608886,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_d_rank_4_e_predictions.csv
FULL,FULL_exp_d_rank_5,exponential,d,5,u_r_mm + tau_p_div_u_r + u_p_div_u_r + u_p_div_tau_p + u_r_div_tau_r,0.8193809967715561,0.8639851003020184,0.8085064688146386,16.511627024089186,1.18798642830317,299,280,280,280,93.64548494983278,68.9636186923996,0.2881172980196134,299,4.660476160269121,0.7816637970147878,280,7.350673674793615,2.7485166689510603,4.926601983510994e-12,0.7622784788898964,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_exp_d_rank_5_e_predictions.csv
FULL,FULL_poly_rank_1,polynomial,log,1,u_p_div_tau_r + tau_p_div_u_r + u_r_mm + u_p_div_u_r + tau_r_div_tau_p,0.96666457611214,0.964202530567065,0.8317548526241064,15.47690402666735,1.3978008162498772,299,284,284,284,94.98327759197325,42.26564889972303,0.7326110607452657,299,4.0461717272015605,0.8041685135127916,284,6.507696211115993,2.934785304021033,5.836238378335133e-12,0.3241823762027115,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_poly_rank_1_e_predictions.csv
FULL,FULL_poly_rank_2,polynomial,log,2,u_r_div_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + u_r_mm,0.9647035980796196,0.9660672772368348,0.8048971335185219,16.666508998867158,1.3969997481108778,299,285,285,285,95.31772575250837,42.25833577716021,0.7327035840573357,299,4.294548434312884,0.7819225056433291,285,6.6756644517150505,2.946324270205254,5.501021860254696e-12,0.3123569106411523,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_poly_rank_2_e_predictions.csv
FULL,FULL_poly_rank_3,polynomial,log,3,u_r_div_tau_r + u_p_div_u_r + u_r_mm + tau_r_div_tau_p + tau_p_div_u_p,0.957910007604998,0.9586758624753364,0.8703656122183085,13.585415532043418,1.3857798158959476,299,279,279,279,93.31103678929766,45.21866658362189,0.6939419128582736,299,2.9472581646831117,0.9093729507988619,279,6.372384245982601,2.7858386421070387,4.953169694391448e-12,0.4500066547806438,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/full/FULL_poly_rank_3_e_predictions.csv
