Dataset,Model_Label,Model_Family,Selection_Mode,Rank_in_saved_results,Model_Features,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_Selection_Score,N_rows,N_e_converged,N_c_lt_e,N_converged_and_c_lt_e,Pct_converged_and_c_lt_e,RMSE_d_pred_vs_d_csds,R2_d_pred_vs_d_csds,N_d_metric_rows,RMSE_e_pred_vs_e_csds,R2_e_pred_vs_e_csds,N_e_metric_rows,Mean_e_pred,Median_e_pred,Mean_residual_eq_515_abs,Mean_residual_eq_518_abs,Detailed_Output_File
HIGH,HIGH_exp_log_rank_1,exponential,log,1,delta_peak_mm + tau_p_div_u_r + tau_r_div_u_r + u_p_div_u_r + u_p_div_tau_p,0.8902372164526314,0.4704545324063846,0.7271911479651227,30.29166929417075,1.0673900994081291,67,64,64,64,95.5223880597015,142.55377093295172,0.19454117812042448,67,0.6930082457614647,0.9234735599422054,64,2.9007183748627767,1.6413489335523659,6.1374516580059435e-12,1.40351132454691,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_exp_log_rank_1_e_predictions.csv
HIGH,HIGH_exp_log_rank_2,exponential,log,2,tau_p_div_u_r + tau_r_div_u_r + u_r_div_u_p + u_p_div_u_r + u_p_div_tau_p,0.8821115216176166,0.4684214052558734,0.6860956853979994,32.4932102215937,1.0597890266647871,67,63,63,63,94.02985074626865,141.98314595181466,0.20097657483289366,67,1.2379300392816694,0.7398685592470395,63,2.9192570088430894,1.5372615737584976,4.911598464801384e-12,1.2782457462723777,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_exp_log_rank_2_e_predictions.csv
HIGH,HIGH_exp_log_rank_3,exponential,log,3,tau_r_div_u_r + u_p_div_u_r + tau_p_div_u_r + u_p_div_tau_p + tau_p_div_u_p,0.8723400121859026,0.4824307334977126,0.6956369121358534,31.99557862053628,1.0571957480130938,67,61,61,61,91.04477611940298,141.95419547027308,0.20130238469487416,67,0.6153009473177014,0.9008880413398433,61,2.449653915282262,1.4784985970673565,3.4191047079189717e-12,1.2925124364384681,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_exp_log_rank_3_e_predictions.csv
HIGH,HIGH_exp_log_rank_4,exponential,log,4,tau_r_div_u_r + u_p_div_u_r + tau_p_div_u_r + u_p_div_tau_p + tau_p_x_tau_r,0.8745034818226078,0.4760346764975663,0.6588808144918625,33.87248435021665,1.0549059158743614,67,66,66,66,98.50746268656717,142.44355474483442,0.19578618598209507,67,0.8327917643544247,0.8957780963520344,66,3.0592321041948844,1.6478257894035573,2.6712975266140018e-12,1.4007931725471259,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_exp_log_rank_4_e_predictions.csv
HIGH,HIGH_exp_d_rank_1,exponential,d,1,u_r_div_tau_r + delta_peak_mm + u_p_div_tau_p + tau_r_div_tau_p + u_r_div_u_p,0.1908910254790187,0.5009517881897046,0.8235144460166726,24.36399821601519,1.0076960087940663,67,65,65,65,97.01492537313433,146.66845393372512,0.14737247155561906,67,0.8693881706777781,0.8871410957757312,65,2.7813279716222166,1.5287230465132073,3.698006003980061e-12,1.5620119334656233,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_exp_d_rank_1_e_predictions.csv
HIGH,HIGH_exp_d_rank_2,exponential,d,2,u_r_div_tau_r + u_p_div_u_r + tau_r_div_tau_p + delta_peak_mm + tau_p_div_u_p + u_p_div_tau_p,0.8343590919540227,0.4203435252257619,0.860934646138555,21.627357061678975,0.9909806435024138,67,59,59,59,88.05970149253731,140.45110069692007,0.21812699927624268,67,0.5677478450291702,0.9140217212011008,59,2.4130585488042255,1.4720929535029708,4.7469598873164416e-12,1.0117779287442492,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_exp_d_rank_2_e_predictions.csv
HIGH,HIGH_exp_d_rank_3,exponential,d,3,delta_peak_mm + u_p_div_u_r + u_p_div_tau_p + u_r_div_tau_r,0.870700559557666,0.4768198003872353,0.7910887748126854,26.50787205955176,0.9700718984900688,67,66,66,66,98.50746268656717,146.36945296541333,0.15084529193032414,67,1.1844911604089838,0.7891615542218285,66,3.0856188298360028,1.5737982242636956,4.659831443268903e-12,1.044401438082691,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_exp_d_rank_3_e_predictions.csv
HIGH,HIGH_poly_rank_1,polynomial,log,1,tau_p_div_u_p + tau_r_div_u_r + tau_p_div_u_r,0.9087902451464704,0.499216691049644,0.859648309752901,21.72715193652344,1.1255517976419962,67,61,61,61,91.04477611940298,143.08082944188533,0.18857418460243403,67,0.8989180486186886,0.8756272441009849,61,2.668586329986023,1.4526522010215182,5.673476260741437e-12,0.9381884850203641,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_poly_rank_1_e_predictions.csv
HIGH,HIGH_poly_rank_2,polynomial,log,2,tau_r_div_u_r + tau_p_div_u_p + u_p_div_tau_p + tau_p_div_u_r,0.9187889594453152,0.4150853689070655,0.7643068031144895,28.155775994388105,1.077829691797998,67,65,65,65,97.01492537313433,136.05423077241372,0.266314349977524,67,0.7882891224960444,0.9080334616367396,65,2.976832002286035,1.6071901247788616,5.481540008225658e-12,0.877882413505414,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_poly_rank_2_e_predictions.csv
HIGH,HIGH_poly_rank_3,polynomial,log,3,tau_p_div_u_r + tau_r_div_u_p,0.8137688082725855,0.5269440661817376,0.5191112604429629,40.217612160587336,1.0456288151624438,67,63,63,63,94.02985074626865,148.6987607254653,0.12360352810465791,67,1.3173693503424164,0.7459454518456899,63,3.099620384969636,1.4560896505696082,7.750537425258988e-12,1.281210169239722,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_poly_rank_3_e_predictions.csv
HIGH,HIGH_poly_rank_4,polynomial,log,4,tau_p_div_u_p + tau_p_div_u_r + tau_r_MPa,0.7795210551697171,0.5162136433443856,0.6503624075810248,34.292807239244645,1.0012340036871306,67,62,62,62,92.53731343283582,145.43024831468577,0.16170782220358648,67,0.8737153853595084,0.877788444997616,62,2.63598863212051,1.464985188996807,7.247883297118792e-12,0.9839111020590064,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_poly_rank_4_e_predictions.csv
HIGH,HIGH_poly_rank_5,polynomial,log,5,u_p_x_tau_p + tau_p_div_u_r,0.7887899663411092,0.4816048093362884,0.4796158621703026,41.83656339379357,0.9966212799383698,67,67,67,67,100.0,149.1899744369778,0.11780376194224529,67,0.8751907807654472,0.8845115598984327,67,3.0973237435363354,1.5015748756007579,6.003946925032446e-12,1.1794561735570412,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/high/HIGH_poly_rank_5_e_predictions.csv
