Dataset,Model_Label,Model_Family,Selection_Mode,Rank_in_saved_results,Model_Features,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_Selection_Score,N_rows,N_e_converged,N_c_lt_e,N_converged_and_c_lt_e,Pct_converged_and_c_lt_e,RMSE_d_pred_vs_d_csds,R2_d_pred_vs_d_csds,N_d_metric_rows,RMSE_e_pred_vs_e_csds,R2_e_pred_vs_e_csds,N_e_metric_rows,Mean_e_pred,Median_e_pred,Mean_residual_eq_515_abs,Mean_residual_eq_518_abs,Detailed_Output_File
LOW_1,LOW_1_exp_log_rank_1,exponential,log,1,u_p_div_u_r + tau_peak_MPa_csds + tau_r_MPa + u_p_div_tau_p + tau_p_x_tau_r + u_r_div_tau_r,0.9579539428455917,0.928188223936709,0.2233831539042071,4.669210591169994,1.3600390931563089,163,159,159,159,97.54601226993866,5.800156300927931,0.46986823348981777,163,4.233742571873281,0.886358772286463,159,8.210671902519978,2.9781872617068323,2.8779648126557058e-12,0.10399287351277148,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_exp_log_rank_1_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_1,exponential,d,1,u_r_div_tau_p + tau_r_div_u_p + u_p_div_tau_p + sigma_n_x_u_r + u_p_div_u_r + tau_p_div_sigma_n,0.8344912311457373,0.7174784311685111,0.8928353915981684,1.7344658331038811,1.1819891370120077,163,145,145,145,88.95705521472392,6.682108564589788,0.2963908321490404,163,5.538142959564048,0.8191560038719545,145,7.954228141983539,2.7843813002384383,3.5065452457392265e-12,0.20270872610673638,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_1_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_2,exponential,d,2,u_p_div_u_r + u_p_div_tau_p + u_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p + tau_r_div_u_p,0.8528309857486782,0.7113652961849259,0.8714988720725168,1.8992998257314215,1.1572265067087468,163,144,144,144,88.34355828220859,6.395431222087481,0.35546856964195084,163,5.052294998535527,0.850231153805154,144,8.005178527024936,2.8018267116944475,6.311960213759941e-12,0.1784019588278016,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_2_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_3,exponential,d,3,tau_r_div_u_p + sigma_n_div_u_p + u_r_div_tau_p + u_p_div_tau_p + tau_p_div_sigma_n + u_p_div_u_r,0.839664056212486,0.7022320453685,0.8718784375977005,1.8964926835348517,1.1522943462151822,163,145,145,145,88.95705521472392,6.722208462652504,0.28792065693406477,163,5.513436091308723,0.8201402509475407,145,7.937184683215054,2.7871674056351567,4.031002351835327e-12,0.19546258168534844,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_3_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_4,exponential,d,4,u_p_div_tau_r + tau_r_div_u_p + tau_r_div_tau_p + u_p_div_u_r + u_r_div_tau_r,0.8525370775539646,0.7098381496606019,0.8535869282464237,2.0273558503632203,1.1511082422863363,163,143,143,143,87.73006134969326,6.401572118283359,0.35423021660261356,163,4.784386907976205,0.8638349549229847,143,7.783633488280134,2.77992827677533,6.674693431995416e-12,0.19332285138318256,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_4_e_predictions.csv
LOW_1,LOW_1_exp_d_rank_5,exponential,d,5,u_p_div_u_r + tau_r_div_tau_p + sigma_n_x_u_r + u_p_div_tau_p + sigma_n_div_u_r + tau_r_div_u_p,0.869671688779061,0.73363279319213,0.847942370399707,2.066065884472097,1.142972336872461,163,151,151,151,92.63803680981596,6.334964333755633,0.3675986576847702,163,4.975953363228028,0.8487805680622862,151,8.159505438918874,2.852965837497788,5.116103273184344e-12,0.19474163214185966,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_exp_d_rank_5_e_predictions.csv
LOW_1,LOW_1_poly_rank_1,polynomial,log,1,u_r_div_tau_r + tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p,0.9793188750268284,0.9654464973220976,0.8545353963561753,2.0207785461726777,1.419550813487295,163,159,159,159,97.54601226993866,1.7089776572389608,0.9539767583858294,163,3.383659178005399,0.9273921034210904,159,8.21695349975045,3.3335046548470753,6.326078724453126e-12,0.07285992965433537,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_poly_rank_1_e_predictions.csv
LOW_1,LOW_1_poly_rank_2,polynomial,log,2,tau_r_div_tau_p + u_p_div_u_r + u_p_div_tau_r + tau_r_div_sigma_n + tau_peak_MPa_csds,0.9881261647081948,0.9660655721200924,0.9911634424664392,0.4980599415081708,1.4187950300042946,163,161,161,161,98.77300613496932,1.471712916946592,0.9658688722712218,163,3.8765417833597073,0.9038662503950652,161,8.086655364960642,3.2755198748339502,5.42572887929498e-12,0.06552886787282568,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_poly_rank_2_e_predictions.csv
LOW_1,LOW_1_poly_rank_3,polynomial,log,3,u_p_div_tau_p + tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_sigma_n + tau_r_div_tau_p,0.9866053492715005,0.9645835552222822,0.9924509743698898,0.4603472026539548,1.4176398368674674,163,161,161,161,98.77300613496932,1.5389593984214542,0.9626785284468781,163,3.90434082985495,0.9024825383979619,161,8.011632346342957,3.2219930097135414,6.224261961603012e-12,0.06543515060886465,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_poly_rank_3_e_predictions.csv
LOW_1,LOW_1_poly_rank_4,polynomial,log,4,tau_r_div_tau_p + tau_p_div_sigma_n + tau_peak_MPa_csds + u_p_div_u_r + u_p_div_tau_p,0.986624585930945,0.964459914412284,0.9798759995576656,0.7516180786463317,1.4172657249859115,163,160,160,160,98.15950920245399,1.9783832369095604,0.9383227101924768,163,3.7704708808143867,0.909548763747293,160,8.04673576976115,3.2539018104709356,4.219040394826124e-12,0.0617607003194348,/Users/hariderarako/Desktop/python/data/processed/e_from_all_retained_d_models/low/LOW_1_poly_rank_4_e_predictions.csv
