Dataset,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val
HIGH,u_r_mm + delta_peak_mm,3,0.8487256301351804,1.469168687448834,0.7887909424117194,1.9134442110739258
HIGH,u_r_mm + delta_peak_mm,2,0.7524837324242835,1.879277270404271,0.7586245271758423,2.0455311794620576
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.8132142825879514,1.6325286803742152,0.7496197829763112,2.08333706591299
HIGH,u_r_mm,4,0.5513717463123534,2.5300686065602984,0.5854725855775971,2.6806256181115695
HIGH,u_r_mm,3,0.5321554121223477,2.5836863587775536,0.5618742159478934,2.7558713582583967
HIGH,u_r_mm,2,0.3088491769534454,3.1403308243785375,0.1175224984952048,3.9112119931217837
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.7840500090590057,1.7553575130450134,-0.3999616939542807,4.926263196305689
HIGH,u_r_mm + delta_peak_mm,4,0.9232204363281169,1.0466748942192323,-27.758700184140682,22.3277089106959
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.9031602026818175,1.1754818376517668,-278.85126424474356,69.65032889723096
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9579287983311495,0.7747854311114507,-133752.90506766184,1522.6944689649433
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.9633590743623358,0.7230564516324294,-8895904.801566496,12418.084843303697
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.9987614136199825,0.1329389172803074,-864265736.7458202,122400.49755710093
