u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
2.75,0.03175,0.72,0.044,3.441242286799551,9.208502821601968,0.07748811295641035
3.0,0.02825,0.92,0.035,3.007954906577982,8.831772092558596,0.05960852517412056
3.0,0.0255,0.97,0.029,3.290221199159674,8.831772092558596,0.0431683379187452
3.5,0.0417499999999999,0.78,0.05,4.004659571873231,8.100979120726151,0.06726036151262894
3.5,0.034,1.25,0.04,2.366794324621144,8.100979120726151,0.0697996876101362
4.0,0.033,1.8,0.035,2.0972939397426664,7.400410797232777,0.051976280478318135
10.5,3.725,1.64,4.17,2.4309486751406535,1.0434655906742218,7.75571165623774
10.5,12.8475,1.61,13.41,3.178145408783804,1.0434655906742218,23.47721922896798
10.5,3.5425,2.76,3.72,1.5814976920825412,1.0434655906742218,5.3133810762387705
10.5,12.4375,3.07,12.57,1.9539451798171723,1.0434655906742218,15.773443085223565
12.0,0.8525,1.55,1.02,2.3791759662313843,0.3018697954522258,-6.018135983539646
12.0,1.7327500000000002,1.71,2.57,1.6207235717983703,0.3018697954522258,-15.860068895005002
12.0,5.32,1.67,7.53,1.7473164085592403,0.3018697954522258,-46.147468857026915
12.0,18.994999999999997,1.67,19.67,3.2739688179792332,0.3018697954522258,-96.29291794044742
16.0,7.47,0.84,8.44,6.166176834932969,1e-06,-29.086900097764364
16.0,7.29,1.81,7.62,3.0024433868829834,1e-06,-10.349137739672088
3.25,1.9075,0.87,2.35,3.276941309100947,8.46259752559999,3.6035493599783255
1.325,0.6675,0.13,1.02,23.891608655167115,11.500152892157832,1.9616673414457022
2.425,4.2975,0.6,4.93,5.517814597970529,9.709549231675084,6.543401677310857
3.85,14.955,2.17,16.37,1.6284330431129306,7.607407706205186,38.65116447901982
1.275,0.475,0.24,0.66,11.17767536247715,11.585019802193314,1.128521274306202
2.175,4.1925,0.3,4.71,13.642584509493682,10.103659133513421,5.779848661882596
4.125,11.3475,2.26,16.14,1.3091974223177918,7.229991317662412,85.52401310152365
1.525,0.6975,0.47,1.07,4.812842755740618,11.163707716849812,2.498166317710444
2.2,4.25,0.47,4.91,7.213346651196478,10.063908116035773,6.333325540185846
3.625,14.235,1.48,14.91,2.7321098339023515,7.92300347907102,19.43453579221447
1.325,0.5625,0.11,0.89,29.2958502513531,11.500152892157832,1.8487461961999965
2.175,4.1,0.26,5.3,13.042743993933716,10.103659133513421,7.23206068038854
3.35,14.4675,0.54,15.9,7.688914610134782,8.317043424200282,18.129572578162414
1.35,0.635,0.3,0.88,8.547982610717572,11.457832779571362,1.5285235525733318
2.175,4.3975,0.38,5.2,9.031706106944794,10.103659133513421,6.663102045793822
3.35,14.8375,0.71,16.28,5.457009220110153,8.317043424200282,19.15045577920328
1.475,0.535,0.88,0.58,4.157276354583812,11.247365640951731,1.4250740893289007
2.625,3.6325,1.5,3.89,2.474961892115721,9.399701746905444,8.116121199452035
4.1,13.42,2.87,13.67,1.6634039681803665,7.26392409033479,21.69886362431672
1.5,0.665,0.79,0.8,3.9230290740544778,11.205498898090347,2.5492887294478295
2.175,4.655,0.6,5.04,6.310564627174357,10.103659133513421,6.242035150358724
4.125,14.3675,2.37,16.38,1.4228254925840296,7.229991317662412,49.958966387046054
2.566666666666667,4.1066666666666665,1.46,4.68,2.300589855794831,9.489574383692094,13.960802598593844
4.75,14.775,4.16,15.04,1.2144266984360343,6.4062295276284695,35.90981996792996
1.85,0.785,1.26,0.94,2.8751003676389564,10.627298468219987,5.454859933427276
4.466666666666667,14.793333333333337,3.13,15.58,1.313812712287742,6.77381637802932,40.941542521987806
1.85,0.65,1.15,0.71,3.19021506632708,10.627298468219987,1.9929395847663016
2.175,4.205,0.35,4.68,11.46515887900422,10.103659133513421,5.63381933408157
3.85,14.365,0.63,16.18,6.152370825583352,7.607407706205186,18.832311180125284
1.5666666666666669,0.6366666666666667,0.45,0.87,5.520751658815112,11.094223662828579,1.665268349843004
2.175,4.42,0.58,5.35,5.059116621676996,10.103659133513421,8.03501260639613
3.875,13.935,0.94,16.28,3.405427164282276,7.572719317324333,21.881402342876108
1.5666666666666669,0.8033333333333333,0.13,0.97,31.910981063129015,11.094223662828579,1.644272935240312
2.85,4.84,2.38,5.22,1.8523237169572588,9.056903790534449,29.565982259059723
4.125,15.5375,2.68,16.95,1.3981039630569712,7.229991317662412,51.91120683196223
1.6,0.9133333333333334,0.71,1.14,3.976020028848459,11.038787542853292,3.0086396672072118
