u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
10.5,12.8475,1.61,13.41,3.178145408783804,3.3219790541116088,14.203733249844554
10.5,12.4375,3.07,12.57,1.9539451798171723,1.6737190607934684,13.346987974570466
12.0,5.32,1.67,7.53,1.7473164085592403,3.3861310830125664,9.820830050870583
12.0,18.994999999999997,1.67,19.67,3.2739688179792332,2.7680997301150674,20.757656571288724
16.0,7.47,0.84,8.44,6.166176834932969,5.252751372608956,8.871044425249753
16.0,7.29,1.81,7.62,3.0024433868829834,3.409113558148031,7.900052145322822
3.85,14.955,2.17,16.37,1.6284330431129306,2.3047572914600427,43.5597351045668
4.125,11.3475,2.26,16.14,1.3091974223177918,1.8790142899540947,109.86212326904682
3.625,14.235,1.48,14.91,2.7321098339023515,3.4821445057701825,20.338452239409566
2.175,4.1,0.26,5.3,13.042743993933716,7.779727982384969,8.270619945855037
3.35,14.4675,0.54,15.9,7.688914610134782,5.240191091895239,20.366313721269215
2.175,4.3975,0.38,5.2,9.031706106944794,7.489119369318683,7.3412696511889415
3.35,14.8375,0.71,16.28,5.457009220110153,4.771979540711931,21.051323282976124
4.1,13.42,2.87,13.67,1.6634039681803665,1.8298724930506627,26.253055983015912
2.175,4.655,0.6,5.04,6.310564627174357,6.875921346107512,6.608328792827535
4.125,14.3675,2.37,16.38,1.4228254925840296,2.024858361141509,58.47956485288967
4.75,14.775,4.16,15.04,1.2144266984360343,0.9317321596940938,-54.94341227109687
4.466666666666667,14.793333333333337,3.13,15.58,1.313812712287742,1.4984313269556933,58.9367657191201
3.85,14.365,0.63,16.18,6.152370825583352,4.87983559343296,20.64072604352084
2.175,4.42,0.58,5.35,5.059116621676996,6.7158883659776265,8.612658684023332
3.875,13.935,0.94,16.28,3.405427164282276,4.067414692884128,23.5529315858651
2.85,4.84,2.38,5.22,1.8523237169572588,2.822247946687106,32.09323657140015
4.125,15.5375,2.68,16.95,1.3981039630569712,1.7640477802202494,67.2275332669983
2.2,4.68,0.76,5.03,4.87933520201715,6.362155244502383,6.959902507841977
4.125,13.97,2.73,15.88,1.3339956390040135,1.7210877307717516,88.21060211556521
2.175,4.24,0.34,5.0,10.49368724913285,7.6901155187290815,7.023910631605978
4.533333333333333,14.596666666666666,3.13,14.91,1.4882877719989878,1.5564382045155125,32.30036606806445
2.566666666666667,4.426666666666667,1.69,5.04,2.1459242646578933,3.9514161756756785,21.659963754747302
4.466666666666667,15.163333333333334,3.12,16.37,1.2614658876838951,1.4492583803648307,85.30649858608986
2.175,3.8825,0.42,5.1,6.759501195047857,7.21177909325826,8.109936658042287
3.85,13.3025,1.09,15.19,2.9737453064844868,3.9571675683468412,22.307110996919562
4.7,13.285,4.13,14.9,1.0940505167399543,0.8887378701322332,-135.72897701892754
4.5,13.843333333333334,3.62,14.62,1.2115644521301927,1.2009852415132998,205.96456340990883
3.9275,12.93,0.39,14.13,12.268593789286898,5.933175337936346,17.791647213318136
3.86,13.9425,0.46,15.2,10.00333623780827,5.578265754538304,18.853150096606967
4.125,13.695,2.56,14.35,1.5724619149710894,2.060805639701793,31.912950957220215
4.125,15.185,2.24,16.29,1.6343524111032697,2.2618169776063595,35.233925569024564
2.225,4.01075,0.32,5.75,8.90252129065327,7.2801817439565335,9.473241758920453
3.925,13.655,0.98,16.9,2.9328424113361327,3.7629902514711575,27.34847293660143
2.1775,3.8055,0.38,5.29,7.231167894086396,7.230519840804594,8.690658819021232
3.865,14.2025,1.12,15.69,3.133851414322128,3.9298909554614387,21.668096025097583
2.175,4.15275,0.33,5.38,9.464816530487427,7.490217347528022,8.263152072322749
4.6125,14.2325,0.94,15.17,4.61254903129243,4.4555923191686455,17.568146070721575
7.0,11.03,6.69,11.06,0.9707346090728766,0.2913606637197872,-0.9161120357892893
2.175,3.69825,0.24,5.1,13.53664985652516,7.816357121580789,8.354438058703428
3.8575,13.285,0.47,14.84,9.133208341560495,5.51608623000044,18.72067560228222
2.165,4.547499999999999,0.25,6.22,12.896286747191096,7.483377366376308,10.371990726390015
4.1075,16.2525,0.46,18.37,9.296747223836368,4.974349705102634,24.26951285736519
4.84,13.226666666666668,3.02,14.29,1.2379494369579531,1.6060622271479374,45.33709453495983
3.88,12.9825,0.84,14.83,4.123242699657944,4.525742024976859,19.737588295424036
2.1675,3.634,0.24,5.34,12.76758648025316,7.660108878612077,9.127283678098705
