u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
2.75,0.03175,0.72,0.044,3.441242286799551,7.863414882257068,0.07811500356057256
3.0,0.02825,0.92,0.035,3.007954906577982,6.418641762750532,0.06028811062399482
3.0,0.0255,0.97,0.029,3.290221199159674,6.418641762750532,0.043560723247040176
3.5,0.0417499999999999,0.78,0.05,4.004659571873231,3.9510969728797605,0.07776176998586878
3.5,0.034,1.25,0.04,2.366794324621144,3.9510969728797605,0.07289697421467867
4.0,0.033,1.8,0.035,2.0972939397426664,1.9984242693603633,0.0702349021304287
10.5,3.725,1.64,4.17,2.4309486751406535,1.7659607476052983,5.340816584358074
10.5,3.5425,2.76,3.72,1.5814976920825412,1.7659607476052983,4.326233004730712
12.0,0.8525,1.55,1.02,2.3791759662313843,3.3852444046506847,1.1839039837663654
12.0,1.7327500000000002,1.71,2.57,1.6207235717983703,3.3852444046506847,3.4615831419220826
3.25,1.9075,0.87,2.35,3.276941309100947,5.1169645747832035,3.762068296761361
1.325,0.6675,0.13,1.02,23.891608655167115,19.204756497762055,1.4364460613368666
2.425,4.2975,0.6,4.93,5.517814597970529,9.967806223324992,6.533768247024111
1.275,0.475,0.24,0.66,11.17767536247715,19.709437206478277,0.9711170478998973
2.175,4.1925,0.3,4.71,13.642584509493682,11.770199275447645,5.547556834983325
1.525,0.6975,0.47,1.07,4.812842755740618,17.263732085748792,2.44018028460333
2.2,4.25,0.47,4.91,7.213346651196478,11.582518810687738,6.249274605789738
1.325,0.5625,0.11,0.89,29.2958502513531,19.204756497762055,1.2958415522015272
1.35,0.635,0.3,0.88,8.547982610717572,18.95535916781231,1.3936000127697585
1.475,0.535,0.88,0.58,4.157276354583812,17.73746720990986,1.4236634577052074
2.625,3.6325,1.5,3.89,2.474961892115721,8.641782007642227,8.116346403454774
1.5,0.665,0.79,0.8,3.9230290740544778,17.499649280481158,2.5442476415370434
2.566666666666667,4.1066666666666665,1.46,4.68,2.300589855794831,9.018164044666229,13.961031061554227
1.85,0.785,1.26,0.94,2.8751003676389564,14.36602408765956,5.454610799926847
1.85,0.65,1.15,0.71,3.19021506632708,14.36602408765956,1.992722959323465
2.175,4.205,0.35,4.68,11.46515887900422,11.770199275447645,5.465596301244047
1.5666666666666669,0.6366666666666667,0.45,0.87,5.520751658815112,16.87473810323568,1.6211642297858102
1.5666666666666669,0.8033333333333333,0.13,0.97,31.910981063129015,16.87473810323568,1.2701496986625824
1.6,0.9133333333333334,0.71,1.14,3.976020028848459,16.56730207348793,2.997935949654943
1.5666666666666669,0.9733333333333332,0.63,1.42,3.927118476960182,16.87473810323568,4.3098543438524155
1.5666666666666669,0.63,0.49,0.79,5.5461514668738845,16.87473810323568,1.396043225445616
1.5666666666666669,0.6,0.18,0.87,16.988625203858206,16.87473810323568,1.180090586171033
1.5666666666666669,0.5066666666666667,0.47,0.66,5.540134014051035,16.87473810323568,1.1957849636290536
2.175,4.0125,0.57,4.24,7.4273022742503985,11.770199275447645,4.878006573432812
1.5666666666666669,0.4966666666666666,0.18,0.88,14.732448429095294,16.87473810323568,1.2871802044489429
2.566666666666667,3.77,1.25,4.37,2.4976694597033373,9.018164044666229,10.621477880546692
1.5633333333333332,0.5006666666666667,0.11,1.04,27.24084861115649,16.90566507441367,1.627788195726972
2.1775,3.54875,0.23,4.79,14.649101403235154,11.75135565384327,6.3784844187292205
1.5566666666666666,0.4896666666666667,0.21,0.75,13.109251845364824,16.967619290151625,1.0596951576767184
2.19,3.98,1.52,4.53,2.4678705594788535,11.657389620353165,21.66087290032896
1.85,0.4455,1.14,0.47,3.448989911906233,14.36602408765956,0.979159119825657
2.29,3.5879999999999996,1.53,3.84,2.5522940611621228,10.920677386240307,10.703585474061338
1.5733333333333333,0.434,0.31,0.64,8.046929532076042,16.812984336380886,1.0003257279783524
2.0033333333333334,3.8813333333333335,0.44,4.09,10.177837650659969,13.104794024549527,4.549786114096473
1.5666666666666669,0.5786666666666667,0.1,0.84,37.39184550372476,16.87473810323568,1.2586068447913348
2.175,4.314,0.29,4.72,15.255568277966066,11.770199275447645,5.454639163721697
1.5666666666666669,0.515,0.15,1.04,17.824332391452327,16.87473810323568,1.5630796666294713
1.5666666666666669,0.569,0.12,1.33,23.13000566043724,16.87473810323568,2.0896659283299868
1.5599999999999998,0.5136666666666666,0.11,1.19,26.190812099681132,16.93662546352531,1.8941316127769874
1.61,0.4153333333333333,0.46,0.57,5.380408458094788,16.475719609451637,1.0629834411497427
2.1725,2.8175,0.38,3.22,9.674876431868377,11.789059720398463,3.8883150995998044
1.5566666666666666,0.5103333333333334,0.15,0.88,19.26598627033951,16.967619290151625,1.2701647720769031
2.1675,0.6225,0.15,1.23,20.507804388385548,11.826831111857992,1.9483487872021066
1.5599999999999998,0.5333333333333333,0.21,0.72,14.758619332850811,16.93662546352531,0.9525253321660581
2.215,3.755,0.46,4.54,6.812602552841997,11.470714778223574,6.0597970344339664
1.5533333333333337,0.5640000000000001,0.1,1.16,31.1344826944979,16.998646573878666,1.8535869654648816
2.16,3.80875,0.28,4.98,11.627647012732409,11.88361457117778,6.4937350675061225
1.5533333333333337,0.4603333333333333,0.05,1.06,76.69251608229672,16.998646573878666,2.339175930788046
1.7866666666666664,0.5153333333333333,0.16,1.46,15.27471027903135,14.906467988642909,2.329178326006083
1.5766666666666669,0.5316666666666667,0.13,0.83,25.070549134255213,16.78215750156648,1.1840124275636152
2.195,4.2615,0.33,4.91,11.444353107108954,11.619920694782714,5.907446997505255
1.5666666666666669,0.6789999999999999,0.22,1.38,10.298464829923804,16.87473810323568,2.202161411769875
1.57,0.4403333333333333,0.3,0.69,7.9675990689291964,16.843844530415147,1.1078042544408009
2.2025,3.49275,0.38,4.61,7.697329513236288,11.563842989531388,6.325071856678117
1.5933333333333335,0.6846666666666668,0.29,0.81,11.679447292728767,16.62852303131738,1.0163713419900078
