Model_ID,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
13,u_p_x_tau_p,1,0.24534182351236866,21.81861082144207,0.7482420952022865,10.060940395888254,d_csds = 2.116822 + 3.063773*u_p_x_tau_p
14,u_p_x_tau_r,1,0.29375454475298457,21.10715930567895,0.614525544452055,12.449296777590341,d_csds = 1.719285 + 3.870101*u_p_x_tau_r
137,u_p_div_u_r,2,0.9212426010086716,7.048515146978459,0.39253318272630144,15.628176168429693,d_csds = 25.766891 - 183.805371*u_p_div_u_r + 368.200530*u_p_div_u_r^2
87,sigma_n_MPa + u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_p_div_tau_p,1,0.525070614838688,17.308780704333937,0.384992806623788,15.724871894053473,d_csds = 14.818857 - 0.002143*sigma_n_MPa - 3.256136*u_r_mm + 49.473077*delta_peak_mm - 1.810496*tau_peak_MPa_csds - 104.053678*u_p_div_tau_p
63,sigma_n_MPa + u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_p_x_tau_r,1,0.5484643281337638,16.87710637883523,0.2573438265243335,17.279887714863218,d_csds = 21.909790 - 0.001569*sigma_n_MPa - 2.412996*u_r_mm - 15.934422*delta_peak_mm - 3.152725*tau_peak_MPa_csds + 9.893211*u_p_x_tau_r
88,sigma_n_MPa + u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_p_div_tau_p,1,0.525891174879501,17.293821602708604,0.2552822978190391,17.30385459128481,d_csds = 13.602895 - 0.002029*sigma_n_MPa - 3.393531*u_r_mm + 48.847280*delta_peak_mm - 0.429798*tau_peak_MPa_csds - 1.429247*tau_r_MPa - 98.490796*u_p_div_tau_p
17,u_r_div_u_p,1,0.21875775441660683,22.199582901845336,0.25358897568800276,17.323515976242252,d_csds = 37.935811 - 4.069245*u_r_div_u_p
148,tau_r_div_u_p,2,0.13774753288848085,23.3221818716136,0.21168500866575946,17.803152464414705,d_csds = 35.191407 - 4.669973*tau_r_div_u_p + 0.179186*tau_r_div_u_p^2
3,delta_peak_mm,1,0.17554467677473984,22.805285740943738,0.1992767851364905,17.942717865995093,d_csds = 4.013114 + 11.559544*delta_peak_mm
146,tau_p_div_u_p,2,0.1664440153177802,22.93080715049938,0.1985733111419442,17.950597907489033,d_csds = 37.904566 - 4.174446*tau_p_div_u_p + 0.127552*tau_p_div_u_p^2
