Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train,RMSE_train,R2_val,RMSE_val,R2_cv_mean,R2_cv_std,Selection_Score
FULL,tau_r_div_u_p + tau_p_div_u_r,"['tau_r_div_u_p', 'tau_p_div_u_r']",core_taup_over_ur | ratio,2,2,0.26025247916055283,76.91131433902649,0.6533761701045613,22.214780393038907,0.12534934799811426,0.4294265613925301,0.6531081879643654
FULL,tau_r_div_u_p + u_r_x_tau_p + tau_p_div_u_r,"['tau_r_div_u_p', 'u_r_x_tau_p', 'tau_p_div_u_r']",core_taup_over_ur | product | ratio,2,3,0.2677101912977061,76.5226442913638,0.7090466150668816,20.352816784829418,0.04321116886511041,0.5143379065795675,0.6492184088414801
FULL,u_r_mm + tau_r_div_u_p + tau_p_div_u_r,"['u_r_mm', 'tau_r_div_u_p', 'tau_p_div_u_r']",base_ur | core_taup_over_ur | ratio,2,3,0.26197821255044584,76.82154998066434,0.6890210672920978,21.04157771261856,0.04722939922625955,0.3606778282661782,0.6465679840786097
FULL,sigma_n_x_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['sigma_n_x_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_sigma_combo | core_taup_over_ur | product | ratio,2,3,0.2635456670034546,76.73992753645834,0.6580308246126765,22.065120149925107,0.11595237188145051,0.42190259199026275,0.6438167513543754
FULL,tau_p_div_u_r + tau_r_div_u_p + u_r_div_tau_r,"['tau_p_div_u_r', 'tau_r_div_u_p', 'u_r_div_tau_r']",core_taup_over_ur | ratio,2,3,0.2602998835891023,76.90884998787017,0.6517309390853092,22.267438601247054,0.11956416810447867,0.43684836878087485,0.6378281862594611
FULL,u_p_div_tau_r + tau_r_div_u_p + tau_p_div_u_r,"['u_p_div_tau_r', 'tau_r_div_u_p', 'tau_p_div_u_r']",core_taup_over_ur | ratio,2,3,0.2601677219173425,76.91572030462828,0.6517257920132351,22.267603145992467,0.11918301770124969,0.43672707623900286,0.6376445932399596
FULL,sigma_n_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['sigma_n_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_sigma_combo | core_taup_over_ur | ratio,2,3,0.2604604887006302,76.90050023592438,0.6520759794531455,22.25640536574651,0.11131160252548847,0.43269054776783544,0.6344627259391062
FULL,tau_peak_MPa_csds + tau_p_div_u_r + tau_r_div_u_p,"['tau_peak_MPa_csds', 'tau_p_div_u_r', 'tau_r_div_u_p']",base_taup | core_taup_over_ur | ratio,2,3,0.2723118794575854,76.28183233005458,0.7169324159270452,20.07510776136336,0.009763758850361603,0.577707565066537,0.6340435388455723
FULL,sigma_n_div_tau_p + tau_p_div_u_r + tau_r_div_u_p + u_r_x_tau_p,"['sigma_n_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p', 'u_r_x_tau_p']",core_sigma_combo | core_taup_over_ur | product | ratio,2,4,0.2682764603571298,76.4930516453835,0.7138911941159187,20.18266113221286,0.01926035724313029,0.5317371702492911,0.6303476557125547
FULL,tau_p_div_u_r + u_r_mm + tau_r_div_u_p + sigma_n_div_u_p,"['tau_p_div_u_r', 'u_r_mm', 'tau_r_div_u_p', 'sigma_n_div_u_p']",base_ur | core_sigma_combo | core_taup_over_ur | ratio,2,4,0.2670921334244426,76.55493031188125,0.7114369408014032,20.26904014313469,0.015587208319737988,0.49137495882044263,0.6300930490792278
