Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train,RMSE_train,R2_val,RMSE_val,R2_cv_mean,R2_cv_std,Selection_Score
HIGH,delta_peak_mm + tau_r_div_u_p + tau_p_div_u_p,"['delta_peak_mm', 'tau_r_div_u_p', 'tau_p_div_u_p']",base_up | ratio,2,3,0.17528341915641388,159.30840048176825,0.7638406468010439,28.183605625531584,-0.4962708810195364,0.44649047811953047,0.4410561584793226
HIGH,tau_p_div_u_r + u_p_x_tau_p + delta_peak_mm,"['tau_p_div_u_r', 'u_p_x_tau_p', 'delta_peak_mm']",base_up | core_taup_over_ur | core_up_xtaup | product | ratio,2,3,0.18779668519130832,158.09520313201338,0.7177304918118619,30.81243078494779,-0.5062443184963096,0.5758212560710285,0.37702620695660427
HIGH,u_p_x_tau_p + tau_r_div_u_p,"['u_p_x_tau_p', 'tau_r_div_u_p']",core_up_xtaup | product | ratio,2,2,0.1289199596126709,163.72513055388816,0.8530259021727977,22.233835046267956,-0.738438612030813,0.942146277377407,0.36959196841965053
HIGH,tau_r_div_u_p + tau_p_div_u_r,"['tau_r_div_u_p', 'tau_p_div_u_r']",core_taup_over_ur | ratio,2,2,0.1617179978410631,160.61325554672936,0.4530834627116398,42.88984784089816,-0.13377301428712116,0.11237880825101035,0.35495907474297816
HIGH,u_p_x_tau_p,['u_p_x_tau_p'],core_up_xtaup | product,2,1,0.11828056424956634,164.72196754767202,0.8112595225906233,25.195704277873837,-0.7720385849226036,0.9908083404865974,0.31615939608066174
HIGH,delta_peak_mm + tau_p_div_u_p,"['delta_peak_mm', 'tau_p_div_u_p']",base_up | ratio,2,2,0.1522992204015059,161.51304516483694,0.6908691988016104,32.245203157915164,-0.5987921670879292,0.5793332842560001,0.31353978683204575
HIGH,tau_r_div_u_p + tau_p_div_u_p + tau_p_div_u_r,"['tau_r_div_u_p', 'tau_p_div_u_p', 'tau_p_div_u_r']",core_taup_over_ur | ratio,2,3,0.16528267205072256,160.27139929757777,0.4282070416860445,43.854420759535195,-0.15115820125217902,0.13931274137366068,0.3086966669225889
HIGH,delta_peak_mm + tau_r_div_u_p,"['delta_peak_mm', 'tau_r_div_u_p']",base_up | ratio,2,2,0.15767468886861824,161.00013479515894,0.6463165029848428,34.490649740531595,-0.5494110409675209,0.5358638085828914,0.29802460164279315
HIGH,u_p_x_tau_r + tau_r_div_u_p + tau_p_div_u_p,"['u_p_x_tau_r', 'tau_r_div_u_p', 'tau_p_div_u_p']",product | ratio,2,3,0.16266783712138144,160.52223604621202,0.6685328282429502,33.389832399665664,-0.6096502192964689,0.807938437025421,0.2529138748921737
HIGH,delta_peak_mm + u_p_x_tau_p + tau_r_div_u_p,"['delta_peak_mm', 'u_p_x_tau_p', 'tau_r_div_u_p']",base_up | core_up_xtaup | product | ratio,2,3,0.17569152090206763,159.26897961725467,0.7481074155847791,29.107283034404023,-0.7941659905272077,0.7806563626214289,0.24295878405903237
HIGH,u_p_x_tau_r + tau_p_div_u_r + tau_r_div_u_p,"['u_p_x_tau_r', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_taup_over_ur | product | ratio,2,3,0.18222663017214225,158.63638188689808,0.5877846888034916,37.2354011740697,-0.5681263989315029,0.4156069664248968,0.23216079269525042
HIGH,delta_peak_mm + u_p_x_tau_p,"['delta_peak_mm', 'u_p_x_tau_p']",base_up | core_up_xtaup | product,2,2,0.14308016728252093,162.38892666526752,0.8059521632285748,25.54749839759847,-0.9273434070364198,0.988144313063548,0.22346602840401003
HIGH,u_p_x_tau_p + tau_p_div_u_r + tau_r_div_u_p,"['u_p_x_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_p']",core_taup_over_ur | core_up_xtaup | product | ratio,2,3,0.19313456731207934,157.57483793760815,0.8709596738313157,20.833234572331158,-1.1112834650474452,1.2017298692544114,0.16514495438215188
HIGH,delta_peak_mm + tau_p_div_u_r,"['delta_peak_mm', 'tau_p_div_u_r']",base_up | core_taup_over_ur | ratio,2,2,0.16550753602259105,160.2498101381751,0.46218623969217654,42.531424882402085,-0.4984710676222142,0.3721665017745011,0.1557340557036193
HIGH,tau_p_div_u_r,['tau_p_div_u_r'],core_taup_over_ur | ratio,2,1,0.05223338378955533,170.78000333947043,0.21753784982750168,51.30097830301622,-0.160263137313248,0.10057317257611623,0.11734896391326603
HIGH,tau_p_div_u_r + delta_peak_mm + tau_p_div_u_p + tau_r_div_u_p,"['tau_p_div_u_r', 'delta_peak_mm', 'tau_p_div_u_p', 'tau_r_div_u_p']",base_up | core_taup_over_ur | ratio,2,4,0.2231869090452967,154.6124926867671,0.86957298895777,20.944873835437694,-1.252668599234655,1.0181688004341378,0.10142180929702878
HIGH,delta_peak_mm + tau_p_div_u_p + u_p_x_tau_p,"['delta_peak_mm', 'tau_p_div_u_p', 'u_p_x_tau_p']",base_up | core_up_xtaup | product | ratio,2,3,0.15794499592875078,160.9742997855046,0.8307060443214398,23.862432017729798,-1.1895367352779556,1.1875389666616551,0.0871837800162965
HIGH,tau_p_div_u_p + tau_r_div_u_p + delta_peak_mm + u_p_x_tau_p,"['tau_p_div_u_p', 'tau_r_div_u_p', 'delta_peak_mm', 'u_p_x_tau_p']",base_up | core_up_xtaup | product | ratio,2,4,0.18501306764000958,158.36588668912887,0.3914775319194217,45.241009464173516,-0.5009441962535464,0.35832240188837206,0.0651731936038113
HIGH,tau_p_div_u_r + delta_peak_mm + tau_p_div_u_p,"['tau_p_div_u_r', 'delta_peak_mm', 'tau_p_div_u_p']",base_up | core_taup_over_ur | ratio,2,3,0.19249389461152588,157.63738483874022,0.660184999869221,33.807670781247666,-1.0141969197127423,0.7890943179768658,0.04417710821516324
HIGH,u_p_div_u_r + tau_r_div_u_p,"['u_p_div_u_r', 'tau_r_div_u_p']",ratio,2,2,0.14658674509647396,162.05633246145703,0.4645310276320317,42.43860826445091,-0.7946840763453782,0.596921939075205,-0.012503204448177908
HIGH,tau_r_div_u_p,['tau_r_div_u_p'],ratio,2,1,0.09154814714400317,167.20038442481282,0.34785076213445243,46.834670948862446,-0.5948931078910347,0.7727477373001825,-0.036870565541083165
HIGH,delta_peak_mm,['delta_peak_mm'],base_up,2,1,0.1155308845221047,164.97861385916724,0.4444493344272683,43.22707144639661,-0.7735278897630291,0.894044751674144,-0.04171908562166065
HIGH,tau_p_div_u_p + tau_r_div_u_p,"['tau_p_div_u_p', 'tau_r_div_u_p']",ratio,2,2,0.09254757237773525,167.10838710672166,0.3550946164436962,46.57383271704086,-0.6155774857138209,0.7580078863303997,-0.048494915046254194
