Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,Selection_Mode,Selection_Score
u_r_div_tau_p + tau_r_div_u_p + u_p_div_tau_p + sigma_n_x_u_r + u_p_div_u_r + tau_p_div_sigma_n,"['u_r_div_tau_p', 'tau_r_div_u_p', 'u_p_div_tau_p', 'sigma_n_x_u_r', 'u_p_div_u_r', 'tau_p_div_sigma_n']",core_sigma_combo | core_taup_over_sigma | product | ratio,6,0.7796579212034676,0.9026069896596802,0.8344912311457373,0.7677292562126852,0.7174784311685111,0.09585470170416073,0.22920714462388536,7.472057386075991,0.8928353915981684,1.7344658331038811,d,1.1819891370120077
u_p_div_u_r + u_p_div_tau_p + u_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p + tau_r_div_u_p,"['u_p_div_u_r', 'u_p_div_tau_p', 'u_p_div_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_p', 'tau_r_div_u_p']",ratio,6,0.7751115046050403,0.9118713912562771,0.8528309857486782,0.723945340414399,0.7113652961849259,0.09955013456232989,0.29032884895088107,7.169682665254239,0.8714988720725168,1.8992998257314215,d,1.1572265067087468
tau_r_div_u_p + sigma_n_div_u_p + u_r_div_tau_p + u_p_div_tau_p + tau_p_div_sigma_n + u_p_div_u_r,"['tau_r_div_u_p', 'sigma_n_div_u_p', 'u_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_sigma_n', 'u_p_div_u_r']",core_sigma_combo | core_taup_over_sigma | ratio,6,0.7640667741440654,0.9339949412092833,0.839664056212486,0.755636683035404,0.7022320453685,0.10700114066768225,0.22026882302007267,7.515256505118142,0.8718784375977005,1.8964926835348517,d,1.1522943462151822
u_p_div_tau_r + tau_r_div_u_p + tau_r_div_tau_p + u_p_div_u_r + u_r_div_tau_r,"['u_p_div_tau_r', 'tau_r_div_u_p', 'tau_r_div_tau_p', 'u_p_div_u_r', 'u_r_div_tau_r']",ratio,5,0.7634867249180649,0.9351423643077458,0.8525370775539646,0.7246678679917062,0.7098381496606019,0.07397760790388054,0.2816353507761381,7.213463434922448,0.8535869282464237,2.0273558503632203,d,1.1511082422863363
u_p_div_u_r + tau_r_div_tau_p + sigma_n_x_u_r + u_p_div_tau_p + sigma_n_div_u_r + tau_r_div_u_p,"['u_p_div_u_r', 'tau_r_div_tau_p', 'sigma_n_x_u_r', 'u_p_div_tau_p', 'sigma_n_div_u_r', 'tau_r_div_u_p']",core_sigma_combo | product | ratio,6,0.7923953750401647,0.8761298624316578,0.869671688779061,0.681266400747186,0.73363279319213,0.11786430123311006,0.29516732081959296,7.1451997487053225,0.847942370399707,2.066065884472097,d,1.142972336872461
u_p_div_tau_p + tau_r_div_tau_p + u_p_div_u_r + tau_r_div_u_p + u_r_div_tau_p + u_r_div_tau_r,"['u_p_div_tau_p', 'tau_r_div_tau_p', 'u_p_div_u_r', 'tau_r_div_u_p', 'u_r_div_tau_p', 'u_r_div_tau_r']",ratio,6,0.7741336156579004,0.9138517986893868,0.8511683855457416,0.7280231394049514,0.7089450171429412,0.10441611501159764,0.2810054859411444,7.216625138004895,0.8566631569450415,2.0059447917195103,d,1.1406940540153523
u_p_div_tau_p + tau_r_div_tau_p + sigma_n_div_u_r + u_p_div_u_r + tau_r_div_u_p + sigma_n_MPa,"['u_p_div_tau_p', 'tau_r_div_tau_p', 'sigma_n_div_u_r', 'u_p_div_u_r', 'tau_r_div_u_p', 'sigma_n_MPa']",base_sigma | core_sigma_combo | ratio,6,0.7921884568703503,0.8765663701401164,0.869729531107719,0.681115204096378,0.7328134966103734,0.11777207013819961,0.29146274151677987,7.163952617055035,0.84545004669016,2.082929148936752,d,1.1400795879815266
sigma_n_x_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_sigma_n + tau_p_div_tau_r + u_p_div_u_r,"['sigma_n_x_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_sigma_n', 'tau_p_div_tau_r', 'u_p_div_u_r']",core_sigma_combo | core_taup_over_sigma | product | ratio,6,0.7692214436799761,0.9237356338435356,0.7437354573364148,0.9553045514244816,0.6977428450443861,0.21335766164431655,0.2904547034768049,7.169046894009597,0.8696530247070874,1.9128923811972625,d,1.1371886810648488
u_r_div_tau_p + u_p_div_u_r + tau_p_div_sigma_n + sigma_n_div_u_p + u_p_div_tau_p + tau_p_div_u_p,"['u_r_div_tau_p', 'u_p_div_u_r', 'tau_p_div_sigma_n', 'sigma_n_div_u_p', 'u_p_div_tau_p', 'tau_p_div_u_p']",core_sigma_combo | core_taup_over_sigma | ratio,6,0.7545890456892338,0.9525700951825297,0.8580353238772244,0.7110296884123419,0.6937044797925263,0.1047394717528537,0.22321281164336337,7.501055615309244,0.8566610692343303,2.0059594000263825,d,1.133039361955308
tau_r_div_u_p + sigma_n_div_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + sigma_n_x_u_r,"['tau_r_div_u_p', 'sigma_n_div_tau_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'sigma_n_x_u_r']",core_sigma_combo | product | ratio,6,0.7931475881433729,0.8745411829459576,0.8647986822605718,0.6938858782234473,0.7379784028549533,0.11633086660550053,0.2853438038180204,7.194820114907395,0.8326847522814287,2.167244047989164,d,1.1300408670483553
u_p_div_tau_p + tau_r_div_tau_p + sigma_n_x_u_r + tau_r_div_u_p + u_p_div_u_r + sigma_n_x_tau_r,"['u_p_div_tau_p', 'tau_r_div_tau_p', 'sigma_n_x_u_r', 'tau_r_div_u_p', 'u_p_div_u_r', 'sigma_n_x_tau_r']",core_sigma_combo | product | ratio,6,0.7933920407117001,0.8740242756624187,0.8724854681715962,0.6738720242755177,0.7395458925714589,0.11357611479344755,0.28336467417818056,7.204775697001417,0.8314218160267628,2.175408113914581,d,1.1298371508331475
