Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_d_equation
FULL,log,1,sigma_n_div_tau_r,-0.00035870149375425
FULL,log,1,tau_p_div_u_r,0.9682424566350835
FULL,log,1,u_p_div_u_r,4.711921335228373
FULL,log,1,u_r_mm,0.1376805977475058
FULL,log,1,tau_r_div_tau_p,-3.4622170160585917
FULL,log,1,u_p_div_tau_r,-0.04019996087366309
FULL,log,2,u_p_div_tau_p,-0.06816436436150405
FULL,log,2,u_r_x_u_p,0.009068259501838689
FULL,log,2,u_p_div_u_r,4.0769521488220155
FULL,log,2,u_r_mm,0.07972350490469741
FULL,log,2,tau_r_div_tau_p,-1.9805628798270978
FULL,log,2,tau_p_div_u_r,0.9082789106205277
FULL,log,3,u_p_div_u_r,3.767627967911187
FULL,log,3,sigma_n_x_u_r,2.010659925485245e-05
FULL,log,3,u_r_x_u_p,0.019330531112096858
FULL,log,3,tau_r_div_tau_p,-1.9584304197609002
FULL,log,3,tau_p_div_u_r,0.9100126108395845
FULL,log,3,u_p_div_tau_p,-0.06291834976459657
FULL,log,4,tau_r_div_u_r,-1.039778488269044
FULL,log,4,u_r_x_u_p,0.020329968421408377
FULL,log,4,u_p_div_u_r,3.3197943026366383
FULL,log,4,tau_p_div_u_r,1.7396003742051105
FULL,log,4,u_p_div_tau_p,-0.061972554128019164
FULL,log,5,tau_p_div_u_r,0.9199751376775473
FULL,log,5,tau_r_div_tau_p,-2.009972244397158
FULL,log,5,u_p_div_tau_p,-0.06275895621242109
FULL,log,5,sigma_n_div_u_p,0.0003525058782897995
FULL,log,5,u_r_x_u_p,0.020035331526680637
FULL,log,5,u_p_div_u_r,3.7769354411832907
FULL,d,1,tau_r_div_u_r,-1.1385023591493837
FULL,d,1,u_p_div_tau_p,-0.06658022659434772
FULL,d,1,tau_p_div_u_r,1.8283264729327482
FULL,d,1,u_p_div_u_r,4.143316132572162
FULL,d,1,u_r_mm,0.12109619481968087
FULL,d,2,tau_p_div_u_r,0.7521630508397718
FULL,d,2,u_p_div_tau_p,-0.06221879522728459
FULL,d,2,u_p_div_u_r,3.603423588717916
FULL,d,2,u_p_x_tau_p,0.01590778996054329
FULL,d,2,tau_r_div_tau_p,-1.8478641352177654
FULL,d,3,u_r_div_tau_r,0.001648697897775282
FULL,d,3,u_p_div_u_r,1.4302338023987697
FULL,d,3,u_p_x_tau_p,0.01661060199124812
FULL,d,3,u_p_div_tau_p,-0.08442054159456369
FULL,d,3,tau_r_div_u_r,0.7240607470629769
FULL,d,3,delta_peak_mm,0.2826886300583305
FULL,d,4,tau_r_MPa,0.12383131075722349
FULL,d,4,u_p_div_u_r,3.9872999015030555
FULL,d,4,u_r_div_tau_r,0.0025618978953600227
FULL,d,4,tau_p_div_u_r,1.8458339439114004
FULL,d,4,tau_r_div_u_r,-1.7034674463053356
FULL,d,4,u_p_div_tau_p,-0.08383115688337106
FULL,d,5,u_r_mm,0.11535519222103915
FULL,d,5,tau_p_div_u_r,0.8353345391443067
FULL,d,5,u_p_div_u_r,3.651144618676483
FULL,d,5,u_p_div_tau_p,-0.07905409924504993
FULL,d,5,u_r_div_tau_r,0.0011325513143421347
LOW_1,log,1,u_p_div_u_r,3.7164367221117485
LOW_1,log,1,tau_peak_MPa_csds,1.9199549985230515
LOW_1,log,1,tau_r_MPa,2.0499293274471566
LOW_1,log,1,u_p_div_tau_p,-0.045423553740806165
LOW_1,log,1,tau_p_x_tau_r,-0.9794477038707728
LOW_1,log,1,u_r_div_tau_r,0.0027933033477760393
LOW_1,d,1,u_r_div_tau_p,0.009573379368112363
LOW_1,d,1,tau_r_div_u_p,0.3620638169162835
LOW_1,d,1,u_p_div_tau_p,-0.09324562649547316
LOW_1,d,1,sigma_n_x_u_r,8.370608194524227e-05
LOW_1,d,1,u_p_div_u_r,7.08556956349229
LOW_1,d,1,tau_p_div_sigma_n,0.43681284841429435
LOW_1,d,2,u_p_div_u_r,8.076869425441073
LOW_1,d,2,u_p_div_tau_p,-0.06496634106947724
LOW_1,d,2,u_p_div_tau_r,-0.014641853840696217
LOW_1,d,2,tau_r_div_tau_p,-3.5085729667253642
LOW_1,d,2,u_r_div_tau_p,0.007651639609324559
LOW_1,d,2,tau_r_div_u_p,0.34594862678236465
LOW_1,d,3,tau_r_div_u_p,0.3595469389015781
LOW_1,d,3,sigma_n_div_u_p,0.0009359490920587943
