Dataset,Selection_Mode,Rank_in_saved_results,N_Features,Features,Intercept_log_d,Equation_log_d,Equation_d,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_cv_std_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_Selection_Score
FULL,log,1,6,sigma_n_div_tau_r + tau_p_div_u_r + u_p_div_u_r + u_r_mm + tau_r_div_tau_p + u_p_div_tau_r,0.8992625292598749,log(d_csds) = 0.8992625293 - 0.0003587015*sigma_n_div_tau_r + 0.9682424566*tau_p_div_u_r + 4.7119213352*u_p_div_u_r + 0.1376805977*u_r_mm - 3.4622170161*tau_r_div_tau_p - 0.0401999609*u_p_div_tau_r,d_csds = exp(0.8992625293 - 0.0003587015*sigma_n_div_tau_r + 0.9682424566*tau_p_div_u_r + 4.7119213352*u_p_div_u_r + 0.1376805977*u_r_mm - 3.4622170161*tau_r_div_tau_p - 0.0401999609*u_p_div_tau_r),0.8590845948217003,0.8613587756459866,0.0140191072965651,0.8269360592798684,15.696980194855858,1.228362071915037
FULL,log,2,6,u_p_div_tau_p + u_r_x_u_p + u_p_div_u_r + u_r_mm + tau_r_div_tau_p + tau_p_div_u_r,0.20345330077710977,log(d_csds) = 0.2034533008 - 0.0681643644*u_p_div_tau_p + 0.0090682595*u_r_x_u_p + 4.0769521488*u_p_div_u_r + 0.0797235049*u_r_mm - 1.9805628798*tau_r_div_tau_p + 0.9082789106*tau_p_div_u_r,d_csds = exp(0.2034533008 - 0.0681643644*u_p_div_tau_p + 0.0090682595*u_r_x_u_p + 4.0769521488*u_p_div_u_r + 0.0797235049*u_r_mm - 1.9805628798*tau_r_div_tau_p + 0.9082789106*tau_p_div_u_r),0.8487217439552559,0.8816214248089398,0.0250486050061323,0.8869268118427047,12.687984365109529,1.2270275958591126
FULL,log,3,6,u_p_div_u_r + sigma_n_x_u_r + u_r_x_u_p + tau_r_div_tau_p + tau_p_div_u_r + u_p_div_tau_p,0.49017268717743534,log(d_csds) = 0.4901726872 + 3.7676279679*u_p_div_u_r + 0.0000201066*sigma_n_x_u_r + 0.0193305311*u_r_x_u_p - 1.9584304198*tau_r_div_tau_p + 0.9100126108*tau_p_div_u_r - 0.0629183498*u_p_div_tau_p,d_csds = exp(0.4901726872 + 3.7676279679*u_p_div_u_r + 0.0000201066*sigma_n_x_u_r + 0.0193305311*u_r_x_u_p - 1.9584304198*tau_r_div_tau_p + 0.9100126108*tau_p_div_u_r - 0.0629183498*u_p_div_tau_p),0.8456514179981025,0.8809444156764792,0.0298150567825586,0.3005289085384746,31.557144695052287,1.2231421201580863
FULL,log,4,5,tau_r_div_u_r + u_r_x_u_p + u_p_div_u_r + tau_p_div_u_r + u_p_div_tau_p,-0.7913768019578908,log(d_csds) = -0.7913768020 - 1.0397784883*tau_r_div_u_r + 0.0203299684*u_r_x_u_p + 3.3197943026*u_p_div_u_r + 1.7396003742*tau_p_div_u_r - 0.0619725541*u_p_div_tau_p,d_csds = exp(-0.7913768020 - 1.0397784883*tau_r_div_u_r + 0.0203299684*u_r_x_u_p + 3.3197943026*u_p_div_u_r + 1.7396003742*tau_p_div_u_r - 0.0619725541*u_p_div_tau_p),0.8392944100313054,0.8707298929970133,0.0187925610457467,-0.4641828126282266,45.657325542435224,1.2227801004252374
FULL,log,5,6,tau_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + sigma_n_div_u_p + u_r_x_u_p + u_p_div_u_r,0.5015916917006455,log(d_csds) = 0.5015916917 + 0.9199751377*tau_p_div_u_r - 2.0099722444*tau_r_div_tau_p - 0.0627589562*u_p_div_tau_p + 0.0003525059*sigma_n_div_u_p + 0.0200353315*u_r_x_u_p + 3.7769354412*u_p_div_u_r,d_csds = exp(0.5015916917 + 0.9199751377*tau_p_div_u_r - 2.0099722444*tau_r_div_tau_p - 0.0627589562*u_p_div_tau_p + 0.0003525059*sigma_n_div_u_p + 0.0200353315*u_r_x_u_p + 3.7769354412*u_p_div_u_r),0.8446005614102747,0.8803537899656231,0.0300746225135339,-0.0759809524390291,39.13948507437708,1.2217699941417328
FULL,d,1,5,tau_r_div_u_r + u_p_div_tau_p + tau_p_div_u_r + u_p_div_u_r + u_r_mm,-1.4056383954192904,log(d_csds) = -1.4056383954 - 1.1385023591*tau_r_div_u_r - 0.0665802266*u_p_div_tau_p + 1.8283264729*tau_p_div_u_r + 4.1433161326*u_p_div_u_r + 0.1210961948*u_r_mm,d_csds = exp(-1.4056383954 - 1.1385023591*tau_r_div_u_r - 0.0665802266*u_p_div_tau_p + 1.8283264729*tau_p_div_u_r + 4.1433161326*u_p_div_u_r + 0.1210961948*u_r_mm),0.8545118600738705,0.8826697066388615,0.0090875591156706,0.8435665546704096,14.923738181261266,1.2339926520782734
FULL,d,2,5,tau_p_div_u_r + u_p_div_tau_p + u_p_div_u_r + u_p_x_tau_p + tau_r_div_tau_p,0.7697874666447269,log(d_csds) = 0.7697874666 + 0.7521630508*tau_p_div_u_r - 0.0622187952*u_p_div_tau_p + 3.6034235887*u_p_div_u_r + 0.0159077900*u_p_x_tau_p - 1.8478641352*tau_r_div_tau_p,d_csds = exp(0.7697874666 + 0.7521630508*tau_p_div_u_r - 0.0622187952*u_p_div_tau_p + 3.6034235887*u_p_div_u_r + 0.0159077900*u_p_x_tau_p - 1.8478641352*tau_r_div_tau_p),0.7675529643750203,0.8413485625869574,0.0273914810136447,0.8292823115343912,15.590214011711648,1.1972174447265054
FULL,d,3,6,u_r_div_tau_r + u_p_div_u_r + u_p_x_tau_p + u_p_div_tau_p + tau_r_div_u_r + delta_peak_mm,-0.1473421190098705,log(d_csds) = -0.1473421190 + 0.0016486979*u_r_div_tau_r + 1.4302338024*u_p_div_u_r + 0.0166106020*u_p_x_tau_p - 0.0844205416*u_p_div_tau_p + 0.7240607471*tau_r_div_u_r + 0.2826886301*delta_peak_mm,d_csds = exp(-0.1473421190 + 0.0016486979*u_r_div_tau_r + 1.4302338024*u_p_div_u_r + 0.0166106020*u_p_x_tau_p - 0.0844205416*u_p_div_tau_p + 0.7240607471*tau_r_div_u_r + 0.2826886301*delta_peak_mm),0.7523496975748931,0.8085046276910386,0.0394978012383111,0.8549159829107147,14.372178484959402,1.195218516632403
FULL,d,4,6,tau_r_MPa + u_p_div_u_r + u_r_div_tau_r + tau_p_div_u_r + tau_r_div_u_r + u_p_div_tau_p,-0.6917654176271859,log(d_csds) = -0.6917654176 + 0.1238313108*tau_r_MPa + 3.9872999015*u_p_div_u_r + 0.0025618979*u_r_div_tau_r + 1.8458339439*tau_p_div_u_r - 1.7034674463*tau_r_div_u_r - 0.0838311569*u_p_div_tau_p,d_csds = exp(-0.6917654176 + 0.1238313108*tau_r_MPa + 3.9872999015*u_p_div_u_r + 0.0025618979*u_r_div_tau_r + 1.8458339439*tau_p_div_u_r - 1.7034674463*tau_r_div_u_r - 0.0838311569*u_p_div_tau_p),0.7823566639627468,0.8575965089551646,0.0223311249060406,0.8231417842435468,15.868118524437458,1.1897069262305249
FULL,d,5,5,u_r_mm + tau_p_div_u_r + u_p_div_u_r + u_p_div_tau_p + u_r_div_tau_r,-1.1658232101432997,log(d_csds) = -1.1658232101 + 0.1153551922*u_r_mm + 0.8353345391*tau_p_div_u_r + 3.6511446187*u_p_div_u_r - 0.0790540992*u_p_div_tau_p + 0.0011325513*u_r_div_tau_r,d_csds = exp(-1.1658232101 + 0.1153551922*u_r_mm + 0.8353345391*tau_p_div_u_r + 3.6511446187*u_p_div_u_r - 0.0790540992*u_p_div_tau_p + 0.0011325513*u_r_div_tau_r),0.8193809967715561,0.8639851003020184,0.0251259066247757,0.8085064688146386,16.511627024089186,1.18798642830317
LOW_1,log,1,6,u_p_div_u_r + tau_peak_MPa_csds + tau_r_MPa + u_p_div_tau_p + tau_p_x_tau_r + u_r_div_tau_r,-2.7720432319249886,log(d_csds) = -2.7720432319 + 3.7164367221*u_p_div_u_r + 1.9199549985*tau_peak_MPa_csds + 2.0499293274*tau_r_MPa - 0.0454235537*u_p_div_tau_p - 0.9794477039*tau_p_x_tau_r + 0.0027933033*u_r_div_tau_r,d_csds = exp(-2.7720432319 + 3.7164367221*u_p_div_u_r + 1.9199549985*tau_peak_MPa_csds + 2.0499293274*tau_r_MPa - 0.0454235537*u_p_div_tau_p - 0.9794477039*tau_p_x_tau_r + 0.0027933033*u_r_div_tau_r),0.9579539428455917,0.928188223936709,0.0200896165763717,0.2233831539042071,4.669210591169994,1.3600390931563089
LOW_1,d,1,6,u_r_div_tau_p + tau_r_div_u_p + u_p_div_tau_p + sigma_n_x_u_r + u_p_div_u_r + tau_p_div_sigma_n,-2.7600090441277967,log(d_csds) = -2.7600090441 + 0.0095733794*u_r_div_tau_p + 0.3620638169*tau_r_div_u_p - 0.0932456265*u_p_div_tau_p + 0.0000837061*sigma_n_x_u_r + 7.0855695635*u_p_div_u_r + 0.4368128484*tau_p_div_sigma_n,d_csds = exp(-2.7600090441 + 0.0095733794*u_r_div_tau_p + 0.3620638169*tau_r_div_u_p - 0.0932456265*u_p_div_tau_p + 0.0000837061*sigma_n_x_u_r + 7.0855695635*u_p_div_u_r + 0.4368128484*tau_p_div_sigma_n),0.8344912311457373,0.7174784311685111,0.0958547017041607,0.8928353915981684,1.7344658331038811,1.1819891370120077
LOW_1,d,2,6,u_p_div_u_r + u_p_div_tau_p + u_p_div_tau_r + tau_r_div_tau_p + u_r_div_tau_p + tau_r_div_u_p,0.24648518458678315,log(d_csds) = 0.2464851846 + 8.0768694254*u_p_div_u_r - 0.0649663411*u_p_div_tau_p - 0.0146418538*u_p_div_tau_r - 3.5085729667*tau_r_div_tau_p + 0.0076516396*u_r_div_tau_p + 0.3459486268*tau_r_div_u_p,d_csds = exp(0.2464851846 + 8.0768694254*u_p_div_u_r - 0.0649663411*u_p_div_tau_p - 0.0146418538*u_p_div_tau_r - 3.5085729667*tau_r_div_tau_p + 0.0076516396*u_r_div_tau_p + 0.3459486268*tau_r_div_u_p),0.8528309857486782,0.7113652961849259,0.0995501345623298,0.8714988720725168,1.8992998257314215,1.1572265067087468
LOW_1,d,3,6,tau_r_div_u_p + sigma_n_div_u_p + u_r_div_tau_p + u_p_div_tau_p + tau_p_div_sigma_n + u_p_div_u_r,-2.7773592790452755,log(d_csds) = -2.7773592790 + 0.3595469389*tau_r_div_u_p + 0.0009359491*sigma_n_div_u_p + 0.0091541009*u_r_div_tau_p - 0.0908146898*u_p_div_tau_p + 0.4532588042*tau_p_div_sigma_n + 7.0271146483*u_p_div_u_r,d_csds = exp(-2.7773592790 + 0.3595469389*tau_r_div_u_p + 0.0009359491*sigma_n_div_u_p + 0.0091541009*u_r_div_tau_p - 0.0908146898*u_p_div_tau_p + 0.4532588042*tau_p_div_sigma_n + 7.0271146483*u_p_div_u_r),0.839664056212486,0.7022320453685,0.1070011406676822,0.8718784375977005,1.8964926835348517,1.1522943462151822
LOW_1,d,4,5,u_p_div_tau_r + tau_r_div_u_p + tau_r_div_tau_p + u_p_div_u_r + u_r_div_tau_r,0.5606566982735717,log(d_csds) = 0.5606566983 - 0.0621489574*u_p_div_tau_r + 0.3545734953*tau_r_div_u_p - 4.1172685932*tau_r_div_tau_p + 8.2915678972*u_p_div_u_r + 0.0061490668*u_r_div_tau_r,d_csds = exp(0.5606566983 - 0.0621489574*u_p_div_tau_r + 0.3545734953*tau_r_div_u_p - 4.1172685932*tau_r_div_tau_p + 8.2915678972*u_p_div_u_r + 0.0061490668*u_r_div_tau_r),0.8525370775539646,0.7098381496606019,0.0739776079038805,0.8535869282464237,2.0273558503632203,1.1511082422863363
LOW_1,d,5,6,u_p_div_u_r + tau_r_div_tau_p + sigma_n_x_u_r + u_p_div_tau_p + sigma_n_div_u_r + tau_r_div_u_p,-0.1105589472194401,log(d_csds) = -0.1105589472 + 8.0952948433*u_p_div_u_r - 3.2245219476*tau_r_div_tau_p + 0.0000695262*sigma_n_x_u_r - 0.0452698733*u_p_div_tau_p - 0.0014278662*sigma_n_div_u_r + 0.3694076068*tau_r_div_u_p,d_csds = exp(-0.1105589472 + 8.0952948433*u_p_div_u_r - 3.2245219476*tau_r_div_tau_p + 0.0000695262*sigma_n_x_u_r - 0.0452698733*u_p_div_tau_p - 0.0014278662*sigma_n_div_u_r + 0.3694076068*tau_r_div_u_p),0.869671688779061,0.73363279319213,0.11786430123311,0.847942370399707,2.066065884472097,1.142972336872461
LOW_2,log,1,4,u_p_div_u_r + tau_r_MPa + u_r_div_u_p + tau_r_div_tau_p,2.172679945157883,log(d_csds) = 2.1726799452 + 4.7303277751*u_p_div_u_r + 0.4034968421*tau_r_MPa + 0.0492118753*u_r_div_u_p - 3.7337177989*tau_r_div_tau_p,d_csds = exp(2.1726799452 + 4.7303277751*u_p_div_u_r + 0.4034968421*tau_r_MPa + 0.0492118753*u_r_div_u_p - 3.7337177989*tau_r_div_tau_p),0.959451469117315,0.7946262180154052,0.1480452469482824,0.8778965960941025,12.185202524050776,1.3019600534301894
LOW_2,log,2,3,tau_r_div_tau_p + tau_r_MPa + u_p_div_u_r,2.647027547188538,log(d_csds) = 2.6470275472 - 3.9267817505*tau_r_div_tau_p + 0.4238389263*tau_r_MPa + 4.2198671262*u_p_div_u_r,d_csds = exp(2.6470275472 - 3.9267817505*tau_r_div_tau_p + 0.4238389263*tau_r_MPa + 4.2198671262*u_p_div_u_r),0.95300474691645,0.7813817121850031,0.1462036323482902,0.8260862690542923,14.542390496586789,1.2990752397741223
LOW_2,log,3,4,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa,2.596816379484963,log(d_csds) = 2.5968163795 + 0.0038130202*u_r_x_tau_r + 4.2880935246*u_p_div_u_r - 4.1378614593*tau_r_div_tau_p + 0.4620967930*tau_r_MPa,d_csds = exp(2.5968163795 + 0.0038130202*u_r_x_tau_r + 4.2880935246*u_p_div_u_r - 4.1378614593*tau_r_div_tau_p + 0.4620967930*tau_r_MPa),0.956895334556514,0.7914772340446552,0.1377048638351235,0.8693561139904824,12.604145596178524,1.298863465195329
