Dataset,Rank_in_saved_results,N_Input_Features,Input_Features,Equation_log_d_scaled_space,Equation_d_scaled_space,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_cv_std_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_Selection_Score
FULL,1,5,u_p_div_tau_r + tau_p_div_u_r + u_r_mm + u_p_div_u_r + tau_r_div_tau_p,log(d_csds) = 1.9515022340 - 1.6568827346*u_p_div_tau_r + 2.0762256576*tau_p_div_u_r + 0.8303960018*u_r_mm + 1.4674941805*u_p_div_u_r - 1.1133420901*tau_r_div_tau_p + 0.5441498680*u_p_div_tau_r^2 + 0.6702278681*u_p_div_tau_r tau_p_div_u_r - 0.5193736880*u_p_div_tau_r u_r_mm + 0.1490183036*u_p_div_tau_r u_p_div_u_r - 0.1976451732*u_p_div_tau_r tau_r_div_tau_p - 0.5235733748*tau_p_div_u_r^2 + 0.2362143307*tau_p_div_u_r u_r_mm - 0.1616666850*tau_p_div_u_r u_p_div_u_r + 0.1352235834*tau_p_div_u_r tau_r_div_tau_p - 0.0953103681*u_r_mm^2 - 0.0536778389*u_r_mm u_p_div_u_r + 0.1108304321*u_r_mm tau_r_div_tau_p + 0.1193343884*u_p_div_u_r^2 - 0.7960682015*u_p_div_u_r tau_r_div_tau_p - 0.0925754306*tau_r_div_tau_p^2,d_csds = exp(1.9515022340 - 1.6568827346*u_p_div_tau_r + 2.0762256576*tau_p_div_u_r + 0.8303960018*u_r_mm + 1.4674941805*u_p_div_u_r - 1.1133420901*tau_r_div_tau_p + 0.5441498680*u_p_div_tau_r^2 + 0.6702278681*u_p_div_tau_r tau_p_div_u_r - 0.5193736880*u_p_div_tau_r u_r_mm + 0.1490183036*u_p_div_tau_r u_p_div_u_r - 0.1976451732*u_p_div_tau_r tau_r_div_tau_p - 0.5235733748*tau_p_div_u_r^2 + 0.2362143307*tau_p_div_u_r u_r_mm - 0.1616666850*tau_p_div_u_r u_p_div_u_r + 0.1352235834*tau_p_div_u_r tau_r_div_tau_p - 0.0953103681*u_r_mm^2 - 0.0536778389*u_r_mm u_p_div_u_r + 0.1108304321*u_r_mm tau_r_div_tau_p + 0.1193343884*u_p_div_u_r^2 - 0.7960682015*u_p_div_u_r tau_r_div_tau_p - 0.0925754306*tau_r_div_tau_p^2),0.96666457611214,0.964202530567065,0.0096502514579501,0.8317548526241064,15.47690402666735,1.3978008162498772
FULL,2,5,u_r_div_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + u_r_mm,log(d_csds) = 1.7899720492 - 2.0042477071*u_r_div_tau_r + 0.8888218422*u_p_div_u_r - 1.1043434507*tau_r_div_tau_p + 2.2100192037*tau_p_div_u_r + 0.7916147232*u_r_mm + 0.5420025788*u_r_div_tau_r^2 - 1.0092671229*u_r_div_tau_r u_p_div_u_r - 0.1718926656*u_r_div_tau_r tau_r_div_tau_p + 0.9843989859*u_r_div_tau_r tau_p_div_u_r - 0.5562478133*u_r_div_tau_r u_r_mm + 0.1415961880*u_p_div_u_r^2 - 0.7402533970*u_p_div_u_r tau_r_div_tau_p - 0.1535655959*u_p_div_u_r tau_p_div_u_r - 0.1254105699*u_p_div_u_r u_r_mm - 0.1047519335*tau_r_div_tau_p^2 + 0.1826063061*tau_r_div_tau_p tau_p_div_u_r + 0.0635123625*tau_r_div_tau_p u_r_mm - 0.5461589827*tau_p_div_u_r^2 + 0.1961190380*tau_p_div_u_r u_r_mm - 0.0876264580*u_r_mm^2,d_csds = exp(1.7899720492 - 2.0042477071*u_r_div_tau_r + 0.8888218422*u_p_div_u_r - 1.1043434507*tau_r_div_tau_p + 2.2100192037*tau_p_div_u_r + 0.7916147232*u_r_mm + 0.5420025788*u_r_div_tau_r^2 - 1.0092671229*u_r_div_tau_r u_p_div_u_r - 0.1718926656*u_r_div_tau_r tau_r_div_tau_p + 0.9843989859*u_r_div_tau_r tau_p_div_u_r - 0.5562478133*u_r_div_tau_r u_r_mm + 0.1415961880*u_p_div_u_r^2 - 0.7402533970*u_p_div_u_r tau_r_div_tau_p - 0.1535655959*u_p_div_u_r tau_p_div_u_r - 0.1254105699*u_p_div_u_r u_r_mm - 0.1047519335*tau_r_div_tau_p^2 + 0.1826063061*tau_r_div_tau_p tau_p_div_u_r + 0.0635123625*tau_r_div_tau_p u_r_mm - 0.5461589827*tau_p_div_u_r^2 + 0.1961190380*tau_p_div_u_r u_r_mm - 0.0876264580*u_r_mm^2),0.9647035980796196,0.9660672772368348,0.0073748858715927,0.8048971335185219,16.666508998867158,1.3969997481108778
FULL,3,5,u_r_div_tau_r + u_p_div_u_r + u_r_mm + tau_r_div_tau_p + tau_p_div_u_p,log(d_csds) = 1.4930436230 - 2.5046247954*u_r_div_tau_r + 1.6226986224*u_p_div_u_r + 0.6578119773*u_r_mm - 1.0605579366*tau_r_div_tau_p + 2.4035827351*tau_p_div_u_p + 0.5652552294*u_r_div_tau_r^2 - 1.6314297579*u_r_div_tau_r u_p_div_u_r - 0.6020473457*u_r_div_tau_r u_r_mm - 0.1579997981*u_r_div_tau_r tau_r_div_tau_p + 0.8925506740*u_r_div_tau_r tau_p_div_u_p + 0.0659655899*u_p_div_u_r^2 - 0.1832712332*u_p_div_u_r u_r_mm - 0.7755563760*u_p_div_u_r tau_r_div_tau_p + 0.4306831279*u_p_div_u_r tau_p_div_u_p - 0.0908800148*u_r_mm^2 + 0.0531109448*u_r_mm tau_r_div_tau_p + 0.0880361686*u_r_mm tau_p_div_u_p - 0.0441752772*tau_r_div_tau_p^2 + 0.1584537839*tau_r_div_tau_p tau_p_div_u_p - 0.3284276022*tau_p_div_u_p^2,d_csds = exp(1.4930436230 - 2.5046247954*u_r_div_tau_r + 1.6226986224*u_p_div_u_r + 0.6578119773*u_r_mm - 1.0605579366*tau_r_div_tau_p + 2.4035827351*tau_p_div_u_p + 0.5652552294*u_r_div_tau_r^2 - 1.6314297579*u_r_div_tau_r u_p_div_u_r - 0.6020473457*u_r_div_tau_r u_r_mm - 0.1579997981*u_r_div_tau_r tau_r_div_tau_p + 0.8925506740*u_r_div_tau_r tau_p_div_u_p + 0.0659655899*u_p_div_u_r^2 - 0.1832712332*u_p_div_u_r u_r_mm - 0.7755563760*u_p_div_u_r tau_r_div_tau_p + 0.4306831279*u_p_div_u_r tau_p_div_u_p - 0.0908800148*u_r_mm^2 + 0.0531109448*u_r_mm tau_r_div_tau_p + 0.0880361686*u_r_mm tau_p_div_u_p - 0.0441752772*tau_r_div_tau_p^2 + 0.1584537839*tau_r_div_tau_p tau_p_div_u_p - 0.3284276022*tau_p_div_u_p^2),0.957910007604998,0.9586758624753364,0.0146812294671859,0.8703656122183085,13.585415532043418,1.3857798158959476
FULL,4,6,tau_r_div_tau_p + u_r_mm + tau_r_div_u_r + u_p_div_u_r + u_p_div_tau_r + u_r_x_u_p,log(d_csds) = 1.7349710460 - 1.2752220192*tau_r_div_tau_p + 0.5355008088*u_r_mm + 2.1845737394*tau_r_div_u_r + 1.1496608646*u_p_div_u_r - 1.9742872100*u_p_div_tau_r + 0.4730254939*u_r_x_u_p - 0.0117896732*tau_r_div_tau_p^2 + 0.3177235801*tau_r_div_tau_p u_r_mm + 0.1137600865*tau_r_div_tau_p tau_r_div_u_r - 0.6781492568*tau_r_div_tau_p u_p_div_u_r + 0.0455480659*tau_r_div_tau_p u_p_div_tau_r - 0.6554743513*tau_r_div_tau_p u_r_x_u_p + 0.0126565264*u_r_mm^2 + 0.3768392317*u_r_mm tau_r_div_u_r + 0.0357162330*u_r_mm u_p_div_u_r - 0.2172095038*u_r_mm u_p_div_tau_r - 0.3782059994*u_r_mm u_r_x_u_p - 0.5286499136*tau_r_div_u_r^2 - 0.1103987082*tau_r_div_u_r u_p_div_u_r + 0.7690460556*tau_r_div_u_r u_p_div_tau_r - 0.4123909664*tau_r_div_u_r u_r_x_u_p + 0.2728508234*u_p_div_u_r^2 + 0.1202960260*u_p_div_u_r u_p_div_tau_r - 0.5375036514*u_p_div_u_r u_r_x_u_p + 0.7130007493*u_p_div_tau_r^2 - 0.7554600187*u_p_div_tau_r u_r_x_u_p + 0.1758447445*u_r_x_u_p^2,d_csds = exp(1.7349710460 - 1.2752220192*tau_r_div_tau_p + 0.5355008088*u_r_mm + 2.1845737394*tau_r_div_u_r + 1.1496608646*u_p_div_u_r - 1.9742872100*u_p_div_tau_r + 0.4730254939*u_r_x_u_p - 0.0117896732*tau_r_div_tau_p^2 + 0.3177235801*tau_r_div_tau_p u_r_mm + 0.1137600865*tau_r_div_tau_p tau_r_div_u_r - 0.6781492568*tau_r_div_tau_p u_p_div_u_r + 0.0455480659*tau_r_div_tau_p u_p_div_tau_r - 0.6554743513*tau_r_div_tau_p u_r_x_u_p + 0.0126565264*u_r_mm^2 + 0.3768392317*u_r_mm tau_r_div_u_r + 0.0357162330*u_r_mm u_p_div_u_r - 0.2172095038*u_r_mm u_p_div_tau_r - 0.3782059994*u_r_mm u_r_x_u_p - 0.5286499136*tau_r_div_u_r^2 - 0.1103987082*tau_r_div_u_r u_p_div_u_r + 0.7690460556*tau_r_div_u_r u_p_div_tau_r - 0.4123909664*tau_r_div_u_r u_r_x_u_p + 0.2728508234*u_p_div_u_r^2 + 0.1202960260*u_p_div_u_r u_p_div_tau_r - 0.5375036514*u_p_div_u_r u_r_x_u_p + 0.7130007493*u_p_div_tau_r^2 - 0.7554600187*u_p_div_tau_r u_r_x_u_p + 0.1758447445*u_r_x_u_p^2),0.9530340750050496,0.9770379125881348,0.0065001066992707,-33.35341357616503,221.15551044052603,1.38090302062919
FULL,5,6,tau_r_div_tau_p + u_r_mm + tau_r_div_u_r + u_p_div_u_r + u_p_div_tau_r + tau_p_div_u_p,log(d_csds) = 2.0077760720 - 1.2022529794*tau_r_div_tau_p + 0.6979183807*u_r_mm + 1.3843504996*tau_r_div_u_r + 1.6406928460*u_p_div_u_r - 1.3015843057*u_p_div_tau_r + 0.9270314799*tau_p_div_u_p - 0.0624282663*tau_r_div_tau_p^2 + 0.1130809290*tau_r_div_tau_p u_r_mm + 0.2323530171*tau_r_div_tau_p tau_r_div_u_r - 0.9569116905*tau_r_div_tau_p u_p_div_u_r - 0.1232331467*tau_r_div_tau_p u_p_div_tau_r - 0.0210823412*tau_r_div_tau_p tau_p_div_u_p - 0.1059975863*u_r_mm^2 - 0.1048302133*u_r_mm tau_r_div_u_r - 0.0834604799*u_r_mm u_p_div_u_r - 0.5722619485*u_r_mm u_p_div_tau_r + 0.1640996137*u_r_mm tau_p_div_u_p - 0.3171146368*tau_r_div_u_r^2 - 0.0041240543*tau_r_div_u_r u_p_div_u_r + 0.5355375192*tau_r_div_u_r u_p_div_tau_r - 0.0457807040*tau_r_div_u_r tau_p_div_u_p + 0.0279838662*u_p_div_u_r^2 - 0.0217074246*u_p_div_u_r u_p_div_tau_r - 0.4202452664*u_p_div_u_r tau_p_div_u_p + 0.5743721734*u_p_div_tau_r^2 + 0.6812842447*u_p_div_tau_r tau_p_div_u_p - 0.1906880905*tau_p_div_u_p^2,d_csds = exp(2.0077760720 - 1.2022529794*tau_r_div_tau_p + 0.6979183807*u_r_mm + 1.3843504996*tau_r_div_u_r + 1.6406928460*u_p_div_u_r - 1.3015843057*u_p_div_tau_r + 0.9270314799*tau_p_div_u_p - 0.0624282663*tau_r_div_tau_p^2 + 0.1130809290*tau_r_div_tau_p u_r_mm + 0.2323530171*tau_r_div_tau_p tau_r_div_u_r - 0.9569116905*tau_r_div_tau_p u_p_div_u_r - 0.1232331467*tau_r_div_tau_p u_p_div_tau_r - 0.0210823412*tau_r_div_tau_p tau_p_div_u_p - 0.1059975863*u_r_mm^2 - 0.1048302133*u_r_mm tau_r_div_u_r - 0.0834604799*u_r_mm u_p_div_u_r - 0.5722619485*u_r_mm u_p_div_tau_r + 0.1640996137*u_r_mm tau_p_div_u_p - 0.3171146368*tau_r_div_u_r^2 - 0.0041240543*tau_r_div_u_r u_p_div_u_r + 0.5355375192*tau_r_div_u_r u_p_div_tau_r - 0.0457807040*tau_r_div_u_r tau_p_div_u_p + 0.0279838662*u_p_div_u_r^2 - 0.0217074246*u_p_div_u_r u_p_div_tau_r - 0.4202452664*u_p_div_u_r tau_p_div_u_p + 0.5743721734*u_p_div_tau_r^2 + 0.6812842447*u_p_div_tau_r tau_p_div_u_p - 0.1906880905*tau_p_div_u_p^2),0.9602023149379026,0.9627771985085624,0.0112638245151018,0.8910589878688949,12.453990180868717,1.3804645317406736
LOW_1,1,4,u_r_div_tau_r + tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_tau_p,log(d_csds) = -0.2948290403 - 1.0975622987*u_r_div_tau_r + 1.6787132979*tau_peak_MPa_csds + 0.3978170259*u_p_div_u_r - 0.7698088762*tau_r_div_tau_p + 0.1587712747*u_r_div_tau_r^2 + 0.4466001512*u_r_div_tau_r tau_peak_MPa_csds - 0.8948925961*u_r_div_tau_r u_p_div_u_r - 0.2561501916*u_r_div_tau_r tau_r_div_tau_p - 0.3059798483*tau_peak_MPa_csds^2 - 0.0280241860*tau_peak_MPa_csds u_p_div_u_r + 0.0166473320*tau_peak_MPa_csds tau_r_div_tau_p + 0.1971621698*u_p_div_u_r^2 - 0.4777144672*u_p_div_u_r tau_r_div_tau_p - 0.1212009708*tau_r_div_tau_p^2,d_csds = exp(-0.2948290403 - 1.0975622987*u_r_div_tau_r + 1.6787132979*tau_peak_MPa_csds + 0.3978170259*u_p_div_u_r - 0.7698088762*tau_r_div_tau_p + 0.1587712747*u_r_div_tau_r^2 + 0.4466001512*u_r_div_tau_r tau_peak_MPa_csds - 0.8948925961*u_r_div_tau_r u_p_div_u_r - 0.2561501916*u_r_div_tau_r tau_r_div_tau_p - 0.3059798483*tau_peak_MPa_csds^2 - 0.0280241860*tau_peak_MPa_csds u_p_div_u_r + 0.0166473320*tau_peak_MPa_csds tau_r_div_tau_p + 0.1971621698*u_p_div_u_r^2 - 0.4777144672*u_p_div_u_r tau_r_div_tau_p - 0.1212009708*tau_r_div_tau_p^2),0.9793188750268284,0.9654464973220976,0.024913102005821,0.8545353963561753,2.0207785461726777,1.419550813487295
LOW_1,2,5,tau_r_div_tau_p + u_p_div_u_r + u_p_div_tau_r + tau_r_div_sigma_n + tau_peak_MPa_csds,log(d_csds) = -0.1904277612 - 0.7037807361*tau_r_div_tau_p + 0.9149372107*u_p_div_u_r - 0.8763806117*u_p_div_tau_r - 0.0484019446*tau_r_div_sigma_n + 1.5769529400*tau_peak_MPa_csds - 0.1292952694*tau_r_div_tau_p^2 - 0.3996870211*tau_r_div_tau_p u_p_div_u_r - 0.2529427958*tau_r_div_tau_p u_p_div_tau_r + 0.0107306726*tau_r_div_tau_p tau_r_div_sigma_n + 0.0295385553*tau_r_div_tau_p tau_peak_MPa_csds + 0.1906735295*u_p_div_u_r^2 + 0.0458042166*u_p_div_u_r u_p_div_tau_r + 0.0509117394*u_p_div_u_r tau_r_div_sigma_n - 0.0860831471*u_p_div_u_r tau_peak_MPa_csds + 0.1679432282*u_p_div_tau_r^2 - 0.0005884933*u_p_div_tau_r tau_r_div_sigma_n + 0.3079565618*u_p_div_tau_r tau_peak_MPa_csds - 0.0352023126*tau_r_div_sigma_n^2 + 0.1068660828*tau_r_div_sigma_n tau_peak_MPa_csds - 0.2789924767*tau_peak_MPa_csds^2,d_csds = exp(-0.1904277612 - 0.7037807361*tau_r_div_tau_p + 0.9149372107*u_p_div_u_r - 0.8763806117*u_p_div_tau_r - 0.0484019446*tau_r_div_sigma_n + 1.5769529400*tau_peak_MPa_csds - 0.1292952694*tau_r_div_tau_p^2 - 0.3996870211*tau_r_div_tau_p u_p_div_u_r - 0.2529427958*tau_r_div_tau_p u_p_div_tau_r + 0.0107306726*tau_r_div_tau_p tau_r_div_sigma_n + 0.0295385553*tau_r_div_tau_p tau_peak_MPa_csds + 0.1906735295*u_p_div_u_r^2 + 0.0458042166*u_p_div_u_r u_p_div_tau_r + 0.0509117394*u_p_div_u_r tau_r_div_sigma_n - 0.0860831471*u_p_div_u_r tau_peak_MPa_csds + 0.1679432282*u_p_div_tau_r^2 - 0.0005884933*u_p_div_tau_r tau_r_div_sigma_n + 0.3079565618*u_p_div_tau_r tau_peak_MPa_csds - 0.0352023126*tau_r_div_sigma_n^2 + 0.1068660828*tau_r_div_sigma_n tau_peak_MPa_csds - 0.2789924767*tau_peak_MPa_csds^2),0.9881261647081948,0.9660655721200924,0.0236392076394632,0.9911634424664392,0.4980599415081708,1.4187950300042946
LOW_1,3,5,u_p_div_tau_p + tau_peak_MPa_csds + u_p_div_u_r + tau_r_div_sigma_n + tau_r_div_tau_p,log(d_csds) = -0.1369388433 - 0.7078571043*u_p_div_tau_p + 1.5684798721*tau_peak_MPa_csds + 0.8750453324*u_p_div_u_r - 0.0473134782*tau_r_div_sigma_n - 0.5283808170*tau_r_div_tau_p + 0.1284491042*u_p_div_tau_p^2 + 0.2280846393*u_p_div_tau_p tau_peak_MPa_csds + 0.0495464222*u_p_div_tau_p u_p_div_u_r - 0.0220554531*u_p_div_tau_p tau_r_div_sigma_n - 0.1234648497*u_p_div_tau_p tau_r_div_tau_p - 0.2901234468*tau_peak_MPa_csds^2 - 0.0628361063*tau_peak_MPa_csds u_p_div_u_r + 0.0927242515*tau_peak_MPa_csds tau_r_div_sigma_n - 0.0155746842*tau_peak_MPa_csds tau_r_div_tau_p + 0.1787207614*u_p_div_u_r^2 + 0.0576789288*u_p_div_u_r tau_r_div_sigma_n - 0.3670581657*u_p_div_u_r tau_r_div_tau_p - 0.0309638406*tau_r_div_sigma_n^2 + 0.0126627508*tau_r_div_sigma_n tau_r_div_tau_p - 0.1191117418*tau_r_div_tau_p^2,d_csds = exp(-0.1369388433 - 0.7078571043*u_p_div_tau_p + 1.5684798721*tau_peak_MPa_csds + 0.8750453324*u_p_div_u_r - 0.0473134782*tau_r_div_sigma_n - 0.5283808170*tau_r_div_tau_p + 0.1284491042*u_p_div_tau_p^2 + 0.2280846393*u_p_div_tau_p tau_peak_MPa_csds + 0.0495464222*u_p_div_tau_p u_p_div_u_r - 0.0220554531*u_p_div_tau_p tau_r_div_sigma_n - 0.1234648497*u_p_div_tau_p tau_r_div_tau_p - 0.2901234468*tau_peak_MPa_csds^2 - 0.0628361063*tau_peak_MPa_csds u_p_div_u_r + 0.0927242515*tau_peak_MPa_csds tau_r_div_sigma_n - 0.0155746842*tau_peak_MPa_csds tau_r_div_tau_p + 0.1787207614*u_p_div_u_r^2 + 0.0576789288*u_p_div_u_r tau_r_div_sigma_n - 0.3670581657*u_p_div_u_r tau_r_div_tau_p - 0.0309638406*tau_r_div_sigma_n^2 + 0.0126627508*tau_r_div_sigma_n tau_r_div_tau_p - 0.1191117418*tau_r_div_tau_p^2),0.9866053492715005,0.9645835552222822,0.0125729001517384,0.9924509743698898,0.4603472026539548,1.4176398368674674
LOW_1,4,5,tau_r_div_tau_p + tau_p_div_sigma_n + tau_peak_MPa_csds + u_p_div_u_r + u_p_div_tau_p,log(d_csds) = -0.1203778400 - 0.5314877461*tau_r_div_tau_p - 0.0197130846*tau_p_div_sigma_n + 1.5846956016*tau_peak_MPa_csds + 0.8352883713*u_p_div_u_r - 0.6827766164*u_p_div_tau_p - 0.1572625419*tau_r_div_tau_p^2 - 0.0878098163*tau_r_div_tau_p tau_p_div_sigma_n + 0.1042715865*tau_r_div_tau_p tau_peak_MPa_csds - 0.3072796777*tau_r_div_tau_p u_p_div_u_r - 0.0796344100*tau_r_div_tau_p u_p_div_tau_p - 0.0477154335*tau_p_div_sigma_n^2 + 0.1406948559*tau_p_div_sigma_n tau_peak_MPa_csds + 0.1268373352*tau_p_div_sigma_n u_p_div_u_r + 0.0630808153*tau_p_div_sigma_n u_p_div_tau_p - 0.2942644887*tau_peak_MPa_csds^2 - 0.0850705196*tau_peak_MPa_csds u_p_div_u_r + 0.2372479759*tau_peak_MPa_csds u_p_div_tau_p + 0.1812615220*u_p_div_u_r^2 + 0.0106216120*u_p_div_u_r u_p_div_tau_p + 0.1316148743*u_p_div_tau_p^2,d_csds = exp(-0.1203778400 - 0.5314877461*tau_r_div_tau_p - 0.0197130846*tau_p_div_sigma_n + 1.5846956016*tau_peak_MPa_csds + 0.8352883713*u_p_div_u_r - 0.6827766164*u_p_div_tau_p - 0.1572625419*tau_r_div_tau_p^2 - 0.0878098163*tau_r_div_tau_p tau_p_div_sigma_n + 0.1042715865*tau_r_div_tau_p tau_peak_MPa_csds - 0.3072796777*tau_r_div_tau_p u_p_div_u_r - 0.0796344100*tau_r_div_tau_p u_p_div_tau_p - 0.0477154335*tau_p_div_sigma_n^2 + 0.1406948559*tau_p_div_sigma_n tau_peak_MPa_csds + 0.1268373352*tau_p_div_sigma_n u_p_div_u_r + 0.0630808153*tau_p_div_sigma_n u_p_div_tau_p - 0.2942644887*tau_peak_MPa_csds^2 - 0.0850705196*tau_peak_MPa_csds u_p_div_u_r + 0.2372479759*tau_peak_MPa_csds u_p_div_tau_p + 0.1812615220*u_p_div_u_r^2 + 0.0106216120*u_p_div_u_r u_p_div_tau_p + 0.1316148743*u_p_div_tau_p^2),0.986624585930945,0.964459914412284,0.0158881815117509,0.9798759995576656,0.7516180786463317,1.4172657249859115
LOW_1,5,5,tau_r_div_tau_p + u_p_div_u_r + tau_r_div_sigma_n + u_r_div_tau_p + tau_peak_MPa_csds,log(d_csds) = -0.2232441683 - 0.5388022668*tau_r_div_tau_p + 0.5151235625*u_p_div_u_r - 0.0595903707*tau_r_div_sigma_n - 0.9008299014*u_r_div_tau_p + 1.5734724370*tau_peak_MPa_csds - 0.1208267570*tau_r_div_tau_p^2 - 0.4116727079*tau_r_div_tau_p u_p_div_u_r + 0.0233145890*tau_r_div_tau_p tau_r_div_sigma_n - 0.1448358506*tau_r_div_tau_p u_r_div_tau_p - 0.0219189690*tau_r_div_tau_p tau_peak_MPa_csds + 0.2033897361*u_p_div_u_r^2 + 0.0531200056*u_p_div_u_r tau_r_div_sigma_n - 0.4841831195*u_p_div_u_r u_r_div_tau_p - 0.0525117538*u_p_div_u_r tau_peak_MPa_csds - 0.0320267470*tau_r_div_sigma_n^2 - 0.0175600236*tau_r_div_sigma_n u_r_div_tau_p + 0.1029808675*tau_r_div_sigma_n tau_peak_MPa_csds + 0.1081260614*u_r_div_tau_p^2 + 0.2023143855*u_r_div_tau_p tau_peak_MPa_csds - 0.2992580060*tau_peak_MPa_csds^2,d_csds = exp(-0.2232441683 - 0.5388022668*tau_r_div_tau_p + 0.5151235625*u_p_div_u_r - 0.0595903707*tau_r_div_sigma_n - 0.9008299014*u_r_div_tau_p + 1.5734724370*tau_peak_MPa_csds - 0.1208267570*tau_r_div_tau_p^2 - 0.4116727079*tau_r_div_tau_p u_p_div_u_r + 0.0233145890*tau_r_div_tau_p tau_r_div_sigma_n - 0.1448358506*tau_r_div_tau_p u_r_div_tau_p - 0.0219189690*tau_r_div_tau_p tau_peak_MPa_csds + 0.2033897361*u_p_div_u_r^2 + 0.0531200056*u_p_div_u_r tau_r_div_sigma_n - 0.4841831195*u_p_div_u_r u_r_div_tau_p - 0.0525117538*u_p_div_u_r tau_peak_MPa_csds - 0.0320267470*tau_r_div_sigma_n^2 - 0.0175600236*tau_r_div_sigma_n u_r_div_tau_p + 0.1029808675*tau_r_div_sigma_n tau_peak_MPa_csds + 0.1081260614*u_r_div_tau_p^2 + 0.2023143855*u_r_div_tau_p tau_peak_MPa_csds - 0.2992580060*tau_peak_MPa_csds^2),0.9856375036972104,0.9657444958610896,0.0204427330709479,0.9892257204193704,0.5499638947908398,1.4164654783206605
