Dataset,Model_ID,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
HIGH,6,u_r_mm + delta_peak_mm,2,0.384701950300233,52.998981163112184,0.07967591155251086,252.52601943486806,d_csds = -5.407303 - 8.917724*u_r_mm + 89.762019*delta_peak_mm + 0.575049*u_r_mm^2 - 3.008393*u_r_mm delta_peak_mm - 9.277035*delta_peak_mm^2
HIGH,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,1,0.2917513045257205,56.861412430038946,0.07728737153680043,252.85350062462578,d_csds = -15.490258 - 4.073063*u_r_mm + 19.615016*delta_peak_mm + 4.133694*tau_peak_MPa_csds
HIGH,2,u_r_mm + delta_peak_mm,1,0.199885330984093,60.43671743708131,0.06179327771936893,254.96760735724345,d_csds = 23.052389 - 3.692671*u_r_mm + 25.022911*delta_peak_mm
HIGH,10,u_r_mm + delta_peak_mm,3,0.40528941262001816,52.10478242428904,0.05898952174706862,255.3482983343643,d_csds = 19.383616 - 24.712206*u_r_mm + 105.983248*delta_peak_mm + 3.226733*u_r_mm^2 - 11.036472*u_r_mm delta_peak_mm - 0.213304*delta_peak_mm^2 - 0.259226*u_r_mm^3 + 2.241149*u_r_mm^2 delta_peak_mm - 5.964202*u_r_mm delta_peak_mm^2 + 3.436223*delta_peak_mm^3
HIGH,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,1,0.37229534806026654,53.5306387121303,0.04850578257435112,256.76676825587566,d_csds = -7.135348 - 5.496011*u_r_mm + 25.518613*delta_peak_mm + 9.202608*tau_peak_MPa_csds - 7.057214*tau_r_MPa
HIGH,9,u_r_mm,3,0.10724631056089229,63.839661931151255,-0.012957296513186112,264.9301021147669,d_csds = -64.566925 + 44.669769*u_r_mm - 3.847618*u_r_mm^2 + 0.079824*u_r_mm^3
HIGH,5,u_r_mm,2,0.029901240998220557,66.54765036157553,-0.0338542719831878,267.64886229653206,d_csds = 20.351919 + 7.553601*u_r_mm - 0.268916*u_r_mm^2
HIGH,1,u_r_mm,1,0.0007919269685481289,67.53870339137636,-0.04488247728251804,269.0725914030734,d_csds = 43.191399 + 0.458134*u_r_mm
HIGH,7,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.4828457887416774,48.58864460454081,-0.650485975686711,338.1751237013809,d_csds = 57.935848 - 7.547389*u_r_mm + 67.030952*delta_peak_mm - 13.492386*tau_peak_MPa_csds + 0.815851*u_r_mm^2 - 3.047346*u_r_mm delta_peak_mm - 0.726670*u_r_mm tau_peak_MPa_csds - 7.208868*delta_peak_mm^2 + 1.207962*delta_peak_mm tau_peak_MPa_csds + 0.746886*tau_peak_MPa_csds^2
HIGH,8,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.9152518930145572,19.669338516361545,-2.819634577165143,514.4541161920102,d_csds = -32.647772 - 13.900373*u_r_mm + 51.170316*delta_peak_mm + 16.857978*tau_peak_MPa_csds - 6.510527*tau_r_MPa + 1.016114*u_r_mm^2 - 8.100591*u_r_mm delta_peak_mm - 6.993407*u_r_mm tau_peak_MPa_csds + 8.213660*u_r_mm tau_r_MPa + 4.235930*delta_peak_mm^2 + 49.022878*delta_peak_mm tau_peak_MPa_csds - 51.219017*delta_peak_mm tau_r_MPa - 0.885126*tau_peak_MPa_csds^2 + 0.509158*tau_peak_MPa_csds tau_r_MPa - 0.299810*tau_r_MPa^2
HIGH,12,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9971916931765565,3.5805276287925203,-22.56128523173763,1277.7186288736054,d_csds = 70.714781 - 46.194141*u_r_mm - 49.793223*delta_peak_mm - 13.803989*tau_peak_MPa_csds + 8.072531*tau_r_MPa - 0.332269*u_r_mm^2 + 9.630772*u_r_mm delta_peak_mm + 11.612673*u_r_mm tau_peak_MPa_csds - 0.917794*u_r_mm tau_r_MPa + 49.393802*delta_peak_mm^2 + 27.809204*delta_peak_mm tau_peak_MPa_csds - 28.978416*delta_peak_mm tau_r_MPa - 0.655838*tau_peak_MPa_csds^2 + 0.770829*tau_peak_MPa_csds tau_r_MPa - 1.314889*tau_r_MPa^2 - 0.720356*u_r_mm^3 + 8.245565*u_r_mm^2 delta_peak_mm + 0.781245*u_r_mm^2 tau_peak_MPa_csds - 0.468724*u_r_mm^2 tau_r_MPa - 29.663914*u_r_mm delta_peak_mm^2 - 14.381266*u_r_mm delta_peak_mm tau_peak_MPa_csds + 13.060229*u_r_mm delta_peak_mm tau_r_MPa - 1.210920*u_r_mm tau_peak_MPa_csds^2 + 0.817393*u_r_mm tau_peak_MPa_csds tau_r_MPa - 0.137035*u_r_mm tau_r_MPa^2 + 19.551759*delta_peak_mm^3 + 43.238930*delta_peak_mm^2 tau_peak_MPa_csds - 45.817558*delta_peak_mm^2 tau_r_MPa + 2.814647*delta_peak_mm tau_peak_MPa_csds^2 - 9.918747*delta_peak_mm tau_peak_MPa_csds tau_r_MPa + 7.748320*delta_peak_mm tau_r_MPa^2 + 0.266860*tau_peak_MPa_csds^3 - 0.483351*tau_peak_MPa_csds^2 tau_r_MPa + 0.622504*tau_peak_MPa_csds tau_r_MPa^2 - 0.338856*tau_r_MPa^3
HIGH,11,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.5529170282791576,45.17714856248584,-56.62482974322754,1998.2074137519955,d_csds = -63.815896 + 37.877840*u_r_mm + 243.756189*delta_peak_mm - 8.495742*tau_peak_MPa_csds + 12.604349*u_r_mm^2 - 97.093203*u_r_mm delta_peak_mm - 11.040705*u_r_mm tau_peak_MPa_csds + 70.362968*delta_peak_mm^2 - 31.873295*delta_peak_mm tau_peak_MPa_csds + 4.727435*tau_peak_MPa_csds^2 - 0.460751*u_r_mm^3 + 0.125837*u_r_mm^2 delta_peak_mm + 0.267325*u_r_mm^2 tau_peak_MPa_csds + 10.745334*u_r_mm delta_peak_mm^2 + 3.539204*u_r_mm delta_peak_mm tau_peak_MPa_csds - 0.026616*u_r_mm tau_peak_MPa_csds^2 - 9.026357*delta_peak_mm^3 - 3.756837*delta_peak_mm^2 tau_peak_MPa_csds + 1.557595*delta_peak_mm tau_peak_MPa_csds^2 - 0.161778*tau_peak_MPa_csds^3
