Dataset,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val
HIGH,u_r_mm + delta_peak_mm,2,0.38470195030023324,52.99898116311218,0.07967591155251152,252.52601943486798
HIGH,u_r_mm + delta_peak_mm,3,0.40528941262001816,52.10478242428904,0.05898952174716099,255.34829833435177
HIGH,u_r_mm,4,0.1271359147217368,63.12451638713737,-0.0012593902814881375,263.3959175374543
HIGH,u_r_mm,3,0.10724631056089262,63.83966193115125,-0.012957296513185224,264.9301021147668
HIGH,u_r_mm,2,0.029901240998220557,66.54765036157553,-0.0338542719831878,267.64886229653206
HIGH,u_r_mm + delta_peak_mm,4,0.5036566597457054,47.60097531076851,-0.10818570612974443,277.1034994653113
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.4828457887416773,48.58864460454082,-0.6504859756866872,338.1751237013785
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.9152518930145572,19.669338516361538,-2.819634577165214,514.454116192015
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9971916931765563,3.580527628792664,-22.561285230977287,1277.718628852989
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.5529170282791578,45.17714856248583,-56.62482974323717,1998.2074137521627
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.6319087385684841,40.99232066132788,-243774.07868231836,129966.19099802701
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.9999966192997427,0.1242304576181723,-896826.3212729763,249281.5598127065
