u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
2.75,0.72,0.044,0.03175,0.1118825410005739,0.7875882856142961
3.0,0.92,0.035,0.02825,0.0839741852265918,0.8316091040202608
3.0,0.97,0.029,0.0255,0.0543872445152351,0.848492112223158
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,0.7418744740098893
3.5,1.25,0.04,0.034,0.1010624339164287,0.9043891556676296
4.0,1.8,0.035,0.033,0.0664302203204883,1.0778260836552125
10.5,1.64,4.17,3.725,4.895058888506973,1.3645832480816766
10.5,1.61,13.41,12.8475,14.242118957186936,16.04479867668249
10.5,2.76,3.72,3.5425,4.411982639456616,2.0118152479825264
10.5,3.07,12.57,12.4375,13.149945083675975,25.09661168914939
12.0,1.55,1.02,0.8525,1.2307821788444109,0.48728015489628357
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,0.7318812010272359
12.0,1.67,7.53,5.32,10.93717256215566,2.3288764847727292
12.0,1.67,19.67,18.994999999999997,20.522374041685623,73.73527500629672
16.0,0.84,8.44,7.47,8.795558292779953,1.5174671276910625
16.0,1.81,7.62,7.29,7.931918507722547,1.9850279442825318
3.25,0.87,2.35,1.9075,4.610902999506291,1.4016201479133084
1.325,0.13,1.02,0.6675,1.3413254010838505,0.9035293232571109
2.425,0.6,4.93,4.2975,7.408370023650559,2.695992527383961
3.85,2.17,16.37,14.955,75.6291478801731,88.85459134661882
1.275,0.24,0.66,0.475,1.150857131382728,0.8817074055123411
2.175,0.3,4.71,4.1925,5.403668346774408,2.333241495988377
4.125,2.26,16.14,11.3475,434.1462490320256,56.31551320142727
1.525,0.47,1.07,0.6975,4.743013966857158,1.0318812617023472
2.2,0.47,4.91,4.25,6.841599192776869,2.595812975025231
3.625,1.48,14.91,14.235,22.467456046268985,50.04655720605929
1.325,0.11,0.89,0.5625,1.1264971811696871,0.8675640216945333
2.175,0.26,5.3,4.1,6.69109713063318,2.480278389250634
3.35,0.54,15.9,14.4675,18.319969877296927,41.31174486905182
1.35,0.3,0.88,0.635,1.8001130574348498,0.9447427551407892
2.175,0.38,5.2,4.3975,6.850188320111813,2.663707233266972
3.35,0.71,16.28,14.8375,20.210844828404188,49.1531336753654
1.475,0.88,0.58,0.535,2.8993732180319176,1.1261835851041726
