u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
10.5,1.61,13.41,12.8475,14.242118957186936,33.96876213620527
10.5,3.07,12.57,12.4375,13.149945083675975,55.5145188637529
12.0,1.67,7.53,5.32,10.93717256215566,34.12878395696035
12.0,1.67,19.67,18.994999999999997,20.522374041685623,34.12878395696035
16.0,0.84,8.44,7.47,8.795558292779953,27.543195104012582
16.0,1.81,7.62,7.29,7.931918507722547,44.075473161132834
3.85,2.17,16.37,14.955,75.6291478801731,94.74846222264361
4.125,2.26,16.14,11.3475,434.1462490320256,95.02494683906754
3.625,1.48,14.91,14.235,22.467456046268985,66.20979923613355
2.175,0.26,5.3,4.1,6.69109713063318,-1.0732576958099855
3.35,0.54,15.9,14.4675,18.319969877296927,11.495938553433394
2.175,0.38,5.2,4.3975,6.850188320111813,8.200517687533779
3.35,0.71,16.28,14.8375,20.210844828404188,23.070831964656964
4.1,2.87,13.67,13.42,30.12555661494642,113.49983486082107
2.175,0.6,5.04,4.655,6.796531174694559,24.508517022052676
4.125,2.37,16.38,14.3675,127.0939689844744,98.808916700359
4.75,4.16,15.04,14.775,73.3064735148253,118.62755873327227
4.466666666666667,3.13,15.58,14.793333333333337,89.8166166948957,114.24266797185774
3.85,0.63,16.18,14.365,19.38959639135109,14.35429022475832
2.175,0.58,5.35,4.42,9.956345178531912,23.063079767129093
3.875,0.94,16.28,13.935,25.28426092348121,33.89228209259953
2.85,2.38,5.22,4.84,142.19939252357494,114.52686186613022
4.125,2.68,16.95,15.5375,132.25156105996982,108.26496183552531
2.2,0.76,5.03,4.68,7.712642885735885,35.58762992648649
4.125,2.73,15.88,13.97,233.99903798852773,109.62314377965727
2.175,0.34,5.0,4.24,6.288275754310518,5.138945737718071
4.533333333333333,3.13,14.91,14.596666666666666,34.951343689537204,113.36543134513269
2.566666666666667,1.69,5.04,4.426666666666667,73.62440945077007,87.64443695013958
4.466666666666667,3.12,16.37,15.163333333333334,153.12497479620956,114.05923735195816
2.175,0.42,5.1,3.8825,8.364535276937978,11.232403126050603
3.85,1.09,15.19,13.3025,25.12413306168001,42.97696468769344
4.7,4.13,14.9,13.285,1227.1610619263406,119.4660012612686
4.5,3.62,14.62,13.843333333333334,187.6300218053348,120.46950047945838
3.9275,0.39,14.13,12.93,15.108980729198466,-2.5732585294923886
3.86,0.46,15.2,13.9425,16.525293456166363,2.7240953557386867
4.125,2.56,14.35,13.695,46.93847166872315,104.81607366007837
4.125,2.24,16.29,15.185,52.11991061368265,94.31283202840241
2.225,0.32,5.75,4.01075,8.603420753633683,3.2295177167888838
3.925,0.98,16.9,13.655,31.07800532373415,35.93495746589557
2.1775,0.38,5.29,3.8055,8.690271247786866,8.181622661214583
3.865,1.12,15.69,14.2025,23.533287016774107,44.5895291724141
2.175,0.33,5.38,4.15275,7.475845259507069,4.368914232873696
4.6125,0.94,15.17,14.2325,17.463039541690666,28.829432246258854
7.0,6.69,11.06,11.03,17.799176332863528,4.767011192945347
2.175,0.24,5.1,3.69825,6.5752166070220195,-2.644862623753795
3.8575,0.47,14.84,13.285,16.560885261750222,3.434049455824745
2.165,0.25,6.22,4.547499999999999,8.101032108811562,-1.7863913810030745
4.1075,0.46,18.37,16.2525,20.456830792736472,1.3084255166760101
4.84,3.02,14.29,13.226666666666668,80.84904894440885,107.3997401167229
3.88,0.84,14.83,12.9825,20.314410697776193,27.69821842103083
2.1675,0.24,5.34,3.634,7.185284821064535,-2.5912932289458865
3.8475,0.58,15.72,12.52,21.029190021060213,11.022155941833638
2.19,0.34,5.86,3.70375,10.11140264472491,5.027488437499251
3.9025,0.72,15.23,13.1975,19.745395084347095,19.91545492450302
4.513333333333333,2.99,16.39,14.923333333333332,155.0246838057176,110.91084974427655
2.18,0.39,6.11,4.593,9.650943521426855,8.923338873417276
