u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
10.5,1.61,13.41,12.8475,14.242118957186936,15.724951279656239
10.5,3.07,12.57,12.4375,13.149945083675975,35.59087912476692
12.0,1.67,7.53,5.32,10.93717256215566,14.581280682751203
12.0,1.67,19.67,18.994999999999997,20.522374041685623,14.581280682751203
16.0,0.84,8.44,7.47,8.795558292779953,6.851674324129871
16.0,1.81,7.62,7.29,7.931918507722547,11.789255672256644
3.85,2.17,16.37,14.955,75.6291478801731,34.887924302398055
4.125,2.26,16.14,11.3475,434.1462490320256,35.96319840054937
3.625,1.48,14.91,14.235,22.467456046268985,24.106016355200726
2.175,0.26,5.3,4.1,6.69109713063318,13.5358119692525
3.35,0.54,15.9,14.4675,18.319969877296927,14.534834139654775
2.175,0.38,5.2,4.3975,6.850188320111813,14.475774138341263
3.35,0.71,16.28,14.8375,20.210844828404188,15.98514271897124
4.1,2.87,13.67,13.42,30.12555661494642,50.6833212957801
2.175,0.6,5.04,4.655,6.796531174694559,16.37182856710105
4.125,2.37,16.38,14.3675,127.0939689844744,38.24599852694468
4.75,4.16,15.04,14.775,73.3064735148253,99.49013128153841
4.466666666666667,3.13,15.58,14.793333333333337,89.8166166948957,57.07681138565632
3.85,0.63,16.18,14.365,19.38959639135109,14.739657790713443
2.175,0.58,5.35,4.42,9.956345178531912,16.18965549993276
3.875,0.94,16.28,13.935,25.28426092348121,17.499327748152258
2.85,2.38,5.22,4.84,142.19939252357494,42.19707216119742
4.125,2.68,16.95,15.5375,132.25156105996982,45.48932664100805
2.2,0.76,5.03,4.68,7.712642885735885,17.872458448973855
4.125,2.73,15.88,13.97,233.99903798852773,46.77981074792212
2.175,0.34,5.0,4.24,6.288275754310518,14.155415984254725
4.533333333333333,3.13,14.91,14.596666666666666,34.951343689537204,56.80077534103364
2.566666666666667,1.69,5.04,4.426666666666667,73.62440945077007,29.28025760786917
4.466666666666667,3.12,16.37,15.163333333333334,153.12497479620956,56.75836972107973
2.175,0.42,5.1,3.8825,8.364535276937978,14.803382474761115
3.85,1.09,15.19,13.3025,25.12413306168001,19.065919797095138
4.7,4.13,14.9,13.285,1227.1610619263406,98.19055435552278
4.5,3.62,14.62,13.843333333333334,187.6300218053348,74.8973955566501
3.9275,0.39,14.13,12.93,15.108980729198466,12.815184308712558
3.86,0.46,15.2,13.9425,16.525293456166363,13.392607682693116
