u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
2.75,0.72,0.044,0.03175,0.1118825410005739,0.10577540295275908
3.0,0.92,0.035,0.02825,0.0839741852265918,0.107382221500465
3.0,0.97,0.029,0.0255,0.0543872445152351,0.10710738672182295
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,0.10565165709569473
3.5,1.25,0.04,0.034,0.1010624339164287,0.11599291843533557
4.0,1.8,0.035,0.033,0.0664302203204883,0.1288702385031349
12.0,1.55,1.02,0.8525,1.2307821788444109,2.0966246690761503
1.325,0.13,1.02,0.6675,1.3413254010838505,1.9512901011151496
1.275,0.24,0.66,0.475,1.150857131382728,0.7300631849353785
1.525,0.47,1.07,0.6975,4.743013966857158,2.4469096954923923
1.325,0.11,0.89,0.5625,1.1264971811696871,1.2523900625039996
1.35,0.3,0.88,0.635,1.8001130574348498,1.4956399852827025
1.475,0.88,0.58,0.535,2.8993732180319176,0.8396586295932935
1.5,0.79,0.8,0.665,6.831849946093346,1.5605903310169937
1.85,1.26,0.94,0.785,27.936829140946248,2.8145247616031552
1.85,1.15,0.71,0.65,4.6433470021604135,1.3938286976399716
1.5666666666666669,0.45,0.87,0.6366666666666667,2.4910377730436024,1.5142611808635194
1.5666666666666669,0.13,0.97,0.8033333333333333,1.0815597509199169,2.3121595474021315
1.6,0.71,1.14,0.9133333333333334,6.610164230147195,4.527244824279006
1.5666666666666669,0.63,1.42,0.9733333333333332,11.618262835999383,8.1729152654445
1.5666666666666669,0.49,0.79,0.63,2.0368332196782206,1.3131033751822947
1.5666666666666669,0.18,0.87,0.6,1.17786521425927,1.3082973808145129
1.5666666666666669,0.47,0.66,0.5066666666666667,1.7861116090877074,0.8123440231633319
1.5666666666666669,0.18,0.88,0.4966666666666666,1.346155735064614,1.082060626018036
1.5633333333333332,0.11,1.04,0.5006666666666667,1.3643096499673495,1.4163882782385018
1.5566666666666666,0.21,0.75,0.4896666666666667,1.143850397052409,0.8574132495313646
1.85,1.14,0.47,0.4455,1.7090859558868448,0.6060852628259623
1.5733333333333333,0.31,0.64,0.434,1.265446191232911,0.6491532414988945
1.5666666666666669,0.1,0.84,0.5786666666666667,0.969979146906758,1.1640807620067315
1.5666666666666669,0.15,1.04,0.515,1.533092129025739,1.473172249953878
1.5666666666666669,0.12,1.33,0.569,1.854610634923335,2.7044587119859136
1.5599999999999998,0.11,1.19,0.5136666666666666,1.6038564251262817,1.890330860314397
1.61,0.46,0.57,0.4153333333333333,1.634874209970707,0.5746681487185973
1.5566666666666666,0.15,0.88,0.5103333333333334,1.2184624851364736,1.1039112091132546
2.1675,0.15,1.23,0.6225,1.584483302206824,2.4524326235872156
1.5599999999999998,0.21,0.72,0.5333333333333333,0.9864172474962212,0.8879010154407352
1.5533333333333337,0.1,1.16,0.5640000000000001,1.476890584776652,1.9798436980662175
1.5533333333333337,0.05,1.06,0.4603333333333333,1.1950471522283908,1.3319652868380423
1.7866666666666664,0.16,1.46,0.5153333333333333,2.3069559990331303,3.0382929874483597
1.5766666666666669,0.13,0.83,0.5316666666666667,1.0427208983166083,1.0487124088247455
1.5666666666666669,0.22,1.38,0.6789999999999999,2.6481572578488555,3.7809456271860293
1.57,0.3,0.69,0.4403333333333333,1.4299397835360212,0.7157621446778727
1.5933333333333335,0.29,0.81,0.6846666666666668,1.087382853949383,1.4355784573455335
1.85,1.18,0.63,0.575,4.814497230710774,1.050968819611188
1.7400000000000002,0.42,0.83,0.4525,3.0411372580129137,0.9572291726872757
1.5733333333333333,0.33,0.58,0.4766666666666666,0.8865267528928155,0.6401652025542666
1.5599999999999998,0.13,0.68,0.5633333333333334,0.7585316073088083,0.860558384709624
1.5599999999999998,0.18,0.96,0.5433333333333333,1.4698314803878656,1.3673170920304496
1.9,1.16,0.64,0.54,9.458859589233091,0.98846693536716
1.5599999999999998,0.56,0.58,0.4766666666666666,1.7197507584709593,0.6816004084602906
1.6233333333333333,0.17,1.0,0.5720000000000001,1.4469487231528226,1.5428002672972214
1.5666666666666669,0.1,0.85,0.5843333333333334,0.9821892769408712,1.1981659569973682
1.5566666666666666,0.07,0.85,0.5843333333333334,0.935338137929958,1.189295078101506
1.5599999999999998,0.17,0.8,0.5579999999999999,1.0533159279041486,1.0615797810142829
1.5533333333333337,0.19,0.76,0.5436666666666666,1.0285202035428438,0.9673875134775695
1.5666666666666669,0.23,0.81,0.5826666666666666,1.190751192870266,1.1531039798176625
1.5766666666666669,0.65,0.57,0.478,2.090273609680621,0.6873023440184151
1.5666666666666669,0.48,0.88,0.6386666666666666,2.909683904106867,1.5597100104716495
1.49,0.22,0.66,0.4575,1.0088217275318825,0.6915346899890291
1.5666666666666669,0.13,1.09,0.5446666666666667,1.5022992365882244,1.6972601987557923
2.06,1.1,0.64,0.593,2.1062804370896413,1.0707921245886067
1.64,0.1,1.15,0.5823333333333333,1.4292184556456984,2.007287884712443
1.5599999999999998,0.47,0.9,0.6583333333333333,2.8170854823861977,1.6764489620462213
2.0725,0.14,0.99,0.65575,1.1704311885872505,1.7287949167191787
1.85,1.09,0.51,0.452,3.953396865652164,0.6497401811324789
15.0,8.16,0.64,0.4826666666666666,11.645895951824402,2.5096008574559745
15.0,9.63,1.15,0.9263333333333332,32.59743234903014,22.148266512027668
15.0,8.17,1.67,1.391,16.148831874738754,94.33951851463485
3.75,0.55,0.015,0.014,0.0164195869070291,0.08695824597402273
3.75,0.73,0.017,0.0155,0.0204950016940742,0.09186802001625452
3.75,0.73,0.031,0.0205,0.0626170527109933,0.09509452074052517
4.25,0.56,0.032,0.0305,0.0337729190185453,0.08993131074557431
4.25,0.61,0.036,0.032,0.0417117896904809,0.09206557354549535
4.25,0.8,0.041,0.0365,0.0511135447707714,0.09863069262669033
4.25,0.85,0.053,0.0412499999999999,0.0862035990108784,0.1030640358672796
