u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
2.75,0.72,0.044,0.03175,0.1118825410005739,0.9961046622272622
3.0,0.92,0.035,0.02825,0.0839741852265918,1.0801547479293983
3.0,0.97,0.029,0.0255,0.0543872445152351,1.1127109178688448
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,0.9216524697096082
3.5,1.25,0.04,0.034,0.1010624339164287,1.2184089282585646
4.0,1.8,0.035,0.033,0.0664302203204883,1.5661890967403613
10.5,1.64,4.17,3.725,4.895058888506973,0.5334079100985978
10.5,2.76,3.72,3.5425,4.411982639456616,1.0373806626435818
12.0,1.55,1.02,0.8525,1.2307821788444109,0.40310587975791606
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,0.44328957513945905
3.25,0.87,2.35,1.9075,4.610902999506291,1.009683207166094
1.325,0.13,1.02,0.6675,1.3413254010838505,0.8702285190474728
2.425,0.6,4.93,4.2975,7.408370023650559,0.9742703858911455
1.275,0.24,0.66,0.475,1.150857131382728,0.936022356401684
2.175,0.3,4.71,4.1925,5.403668346774408,0.8466535913727475
1.525,0.47,1.07,0.6975,4.743013966857158,1.0332491344602506
2.2,0.47,4.91,4.25,6.841599192776869,0.9330672938668831
1.325,0.11,0.89,0.5625,1.1264971811696871,0.8599530946477589
1.35,0.3,0.88,0.635,1.8001130574348498,0.9590483966374955
1.475,0.88,0.58,0.535,2.8993732180319176,1.3281165309112746
2.625,1.5,3.89,3.6325,14.118629835864668,1.6132088223468843
1.5,0.79,0.8,0.665,6.831849946093346,1.2542446815073949
2.566666666666667,1.46,4.68,4.1066666666666665,34.69988213998113,1.5892828723233476
1.85,1.26,0.94,0.785,27.936829140946248,1.5726855056024784
1.85,1.15,0.71,0.65,4.6433470021604135,1.4732276775763988
2.175,0.35,4.68,4.205,5.488914851902833,0.8721719703396617
1.5666666666666669,0.45,0.87,0.6366666666666667,2.4910377730436024,1.0146410357440843
1.5666666666666669,0.13,0.97,0.8033333333333333,1.0815597509199169,0.8390264506126669
1.6,0.71,1.14,0.9133333333333334,6.610164230147195,1.1781112017243187
1.5666666666666669,0.63,1.42,0.9733333333333332,11.618262835999383,1.1291180658176356
1.5666666666666669,0.49,0.79,0.63,2.0368332196782206,1.0390334258045715
1.5666666666666669,0.18,0.87,0.6,1.17786521425927,0.8643149453975106
1.5666666666666669,0.47,0.66,0.5066666666666667,1.7861116090877074,1.0267647984475679
2.175,0.57,4.24,4.0125,5.131835000811389,0.9939079284019602
1.5666666666666669,0.18,0.88,0.4966666666666666,1.346155735064614,0.8643149453975106
2.566666666666667,1.25,4.37,3.77,21.3711784506471,1.4029314382796345
1.5633333333333332,0.11,1.04,0.5006666666666667,1.3643096499673495,0.8295371314279086
2.1775,0.23,4.79,3.54875,6.003985500457103,0.8118705568363654
1.5566666666666666,0.21,0.75,0.4896666666666667,1.143850397052409,0.8811828253350595
2.19,1.52,4.53,3.98,88.46453784563569,1.743383469262651
1.85,1.14,0.47,0.4455,1.7090859558868448,1.4645041115509996
2.29,1.53,3.84,3.5879999999999996,24.817112109709115,1.727469577034347
1.5733333333333333,0.31,0.64,0.434,1.265446191232911,0.9327497322138876
2.0033333333333334,0.44,4.09,3.8813333333333335,4.6659060440256,0.944234791274542
1.5666666666666669,0.1,0.84,0.5786666666666667,0.969979146906758,0.8242099063715592
2.175,0.29,4.72,4.314,5.226790203475336,0.8416402192936049
1.5666666666666669,0.15,1.04,0.515,1.533092129025739,0.8490518263177944
1.5666666666666669,0.12,1.33,0.569,1.854610634923335,0.8340582418623285
1.5599999999999998,0.11,1.19,0.5136666666666666,1.6038564251262817,0.8299550214186406
1.61,0.46,0.57,0.4153333333333333,1.634874209970707,1.0140240476736007
2.1725,0.38,3.22,2.8175,4.027055137350846,0.8881861410073577
1.5566666666666666,0.15,0.88,0.5103333333333334,1.2184624851364736,0.8503356351430688
2.1675,0.15,1.23,0.6225,1.584483302206824,0.775369615121854
1.5599999999999998,0.21,0.72,0.5333333333333333,0.9864172474962212,0.8807391416736451
2.215,0.46,4.54,3.755,6.8100946555112305,0.9254424657674485
1.5533333333333337,0.1,1.16,0.5640000000000001,1.476890584776652,0.8258719871168363
2.16,0.28,4.98,3.80875,6.5294753448886285,0.8385548503005211
1.5533333333333337,0.05,1.06,0.4603333333333333,1.1950471522283908,0.8017082727782544
1.7866666666666664,0.16,1.46,0.5153333333333333,2.3069559990331303,0.8261854384455513
1.5766666666666669,0.13,0.83,0.5316666666666667,1.0427208983166083,0.8377597160229141
2.195,0.33,4.91,4.2615,5.924419564940657,0.8592731058154061
1.5666666666666669,0.22,1.38,0.6789999999999999,2.6481572578488555,0.8850934340851714
1.57,0.3,0.69,0.4403333333333333,1.4299397835360212,0.927693652991412
2.2025,0.38,4.61,3.49275,7.034502760595067,0.8841693487078499
1.5933333333333335,0.29,0.81,0.6846666666666668,1.087382853949383,0.9189549614117746
2.1925,0.42,4.74,4.255,5.8557301765707,0.906794193564261
1.85,1.18,0.63,0.575,4.814497230710774,1.4997113959754287
2.6033333333333335,0.99,4.93,4.496666666666667,9.455876145186672,1.1955543713896948
1.7400000000000002,0.42,0.83,0.4525,3.0411372580129137,0.9709588643222742
2.5733333333333337,1.23,4.22,4.026666666666666,7.74122003841179,1.3849702564172988
1.5733333333333333,0.33,0.58,0.4766666666666666,0.8865267528928155,0.9438949905039842
2.1725,0.43,4.53,3.8975,6.138786714707432,0.9149563227798557
1.5599999999999998,0.13,0.68,0.5633333333333334,0.7585316073088083,0.8398720042527373
3.1775,1.84,4.39,3.69,51.88152690534491,1.8160676255724755
1.5599999999999998,0.18,0.96,0.5433333333333333,1.4698314803878656,0.8651859842637042
1.9,1.16,0.64,0.54,9.458859589233091,1.470849537831015
2.566666666666667,1.3,4.2,3.9333333333333336,10.666176341529724,1.4452161890577788
1.5599999999999998,0.56,0.58,0.4766666666666666,1.7197507584709593,1.0842311746314377
2.1775,0.67,4.06,3.745,5.907719354979028,1.054325841001031
1.6233333333333333,0.17,1.0,0.5720000000000001,1.4469487231528226,0.8518721120931005
1.5666666666666669,0.1,0.85,0.5843333333333334,0.9821892769408712,0.8242099063715592
1.5566666666666666,0.07,0.85,0.5843333333333334,0.935338137929958,0.8108792494654087
1.5599999999999998,0.17,0.8,0.5579999999999999,1.0533159279041486,0.8600628745279498
2.563333333333333,1.11,4.61,4.293333333333333,9.21138452802538,1.2916514526217722
1.5533333333333337,0.19,0.76,0.5436666666666666,1.0285202035428438,0.871216721067875
2.17,0.32,4.74,4.0465,5.80309001190173,0.8574175973605792
1.5666666666666669,0.23,0.81,0.5826666666666666,1.190751192870266,0.890365642575397
1.5766666666666669,0.65,0.57,0.478,2.090273609680621,1.140884619299002
2.6333333333333333,1.47,3.8,3.616,9.76564024424423,1.5827267785045793
1.5666666666666669,0.48,0.88,0.6386666666666666,2.909683904106867,1.0328808963411593
1.49,0.22,0.66,0.4575,1.0088217275318825,0.8954056383461105
3.1,1.93,4.22,4.0145,14.837057992923611,1.9383440725255137
1.5666666666666669,0.13,1.09,0.5446666666666667,1.5022992365882244,0.8390264506126669
2.06,1.1,0.64,0.593,2.1062804370896413,1.3854591961485136
3.85,3.11,4.79,4.4285,110.04621145632456,3.4879623261641877
1.64,0.1,1.15,0.5823333333333333,1.4292184556456984,0.8151280733326285
1.5599999999999998,0.47,0.9,0.6583333333333333,2.8170854823861977,1.0277995509421876
2.0725,0.14,0.99,0.65575,1.1704311885872505,0.7819215896434486
1.85,1.09,0.51,0.452,3.953396865652164,1.4216550265218075
28.00018033053748,4.54,3.73,3.372542584212134,4.343103435426621,0.21218946892173826
15.0,8.16,0.64,0.4826666666666666,11.645895951824402,12.985706801980806
15.0,9.63,1.15,0.9263333333333332,32.59743234903014,31.08986828474692
15.0,8.17,1.67,1.391,16.148831874738754,13.063058357213777
15.0,7.68,2.36,1.9943333333333333,16.011222974188158,9.764734450746053
17.5,12.65,2.87,2.478,88.02266261294648,128.08990381605588
3.75,0.55,0.015,0.014,0.0164195869070291,0.7741754800443894
3.75,0.73,0.017,0.0155,0.0204950016940742,0.8615219470106643
3.75,0.73,0.031,0.0205,0.0626170527109933,0.8615219470106643
4.25,0.56,0.032,0.0305,0.0337729190185453,0.7221206018378298
4.25,0.61,0.036,0.032,0.0417117896904809,0.7438855212396788
4.25,0.8,0.041,0.0365,0.0511135447707714,0.8327455359308399
4.25,0.85,0.053,0.0412499999999999,0.0862035990108784,0.8578447221687844
4.75,1.18,0.072,0.06875,0.0832453537063408,0.9676443773945732
4.75,1.07,0.082,0.07425,0.1059245022212473,0.9064498106903778
4.75,0.99,0.091,0.0815,0.1165845623553453,0.8643896736692778
4.75,1.33,0.123,0.109,0.1935437839006371,1.0578032294656667
3.0,0.57,0.057,0.045,0.0873378142666348,0.8774277919922727
3.0,0.74,0.052,0.0426666666666666,0.091004766586305,0.9706419243317511
3.75,1.17,0.042,0.037,0.0749972465016185,1.118805015989685
4.333333333333333,2.7,0.036,0.0356666666666666,0.0479824484344826,2.541594308460276
3.5,0.75,0.022,0.02125,0.0239205992767688,0.9053768152503155
3.5,1.15,0.021,0.02,0.0273958891535081,1.1481544992174377
3.5,1.1,0.02,0.01925,0.024206977641193,1.1145613058794455
3.5,1.25,0.019,0.01875,0.0207347706438796,1.2184089282585646
3.0,0.7,0.059,0.0456666666666666,0.1113406848934747,0.9478550958820038
3.75,0.8,0.039,0.03775,0.0421628695173391,0.8980929019685108
3.75,1.1,0.031,0.03025,0.034476216061608,1.0732465133484894
3.0,0.99,0.523,0.4803333333333333,0.822591618742664,1.1260064999028636
3.0,1.49,0.929,0.87,2.261168014799032,1.515320858287626
3.5,2.48,1.278,1.2245,6.199218816480315,2.5295530047420205
3.0,1.16,0.606,0.5299999999999999,1.5295028593983642,1.2456285586693616
3.5,2.0,0.785,0.745,2.2330839300345446,1.9021231379276826
3.0,1.84,1.067,0.9266666666666667,12.276322054130755,1.8654310185449936
3.5,2.5,1.53,1.435,12.626062390354296,2.559778177285812
13.0,1.28,0.381,0.236,0.5158827945510767,0.2952302344359196
13.0,1.94,1.479,1.139,2.0441763320711632,0.43691094109217415
13.0,0.34,0.306,0.104,0.342125551076079,0.16893088926742925
13.0,0.55,1.422,0.768,1.622926430267495,0.19136998544155773
13.0,1.07,2.417,1.547,3.0359207977309928,0.260613000135919
13.0,1.08,4.482,3.316,5.292113495505316,0.26216538547634344
15.0,0.1,0.367,0.136,0.3762542971419538,0.10828559508347514
15.0,0.67,1.297,0.843,1.4428183417647384,0.1519110305228257
15.0,0.78,3.232,2.23,3.6162854300913425,0.16216656765328408
15.0,2.08,4.233,3.386,5.454140731869376,0.350967542400683
15.0,0.42,0.464,0.223,0.509841251907236,0.13095058954510033
15.0,1.34,1.532,0.812,2.1322731944591187,0.22615212505657625
15.0,1.56,2.845,1.821,3.870502462074933,0.2577179704951374
15.0,1.9,4.37,3.015,6.174917494621263,0.31538426451100604
1.6652089623887931,0.27,2.655,1.3036485066778338,5.913938435670004,0.8982957619842034
3.083720300719987,0.5,2.417,0.6555920235894309,7.783373274827283,0.8311184385286399
1.7885577744175924,0.29,3.214,1.959240530267265,5.94873324311999,0.8922447653794614
2.7136738646335887,0.44,3.179,1.959240530267265,5.822995088811631,0.8481427292785824
2.590325052604789,0.42,4.293,1.959240530267265,10.103502878345669,0.8538946361255995
1.6652089623887931,0.27,1.816,0.6555920235894309,4.99596556846492,0.8982957619842034
3.392092330791986,0.55,3.752,1.3488617496840016,10.348266553301816,0.8171928577176653
7.400928721727968,1.2,0.0307,0.0217962758401608,0.0486171675853816,0.6560333928559705
12.334881202879949,2.0,0.131,0.0508579769603752,0.344386405973365,0.5006246900480196
11.101393082591954,1.8,0.046,0.0145308505601072,0.1367379572450948,0.5356309762774953
4.625580451079981,0.75,0.055,0.0153092991217785,0.1748236568431902,0.7637850296626885
5.612370947310377,0.91,0.041,0.0153092991217785,0.1104746856350472,0.7235830844015373
11.533113924692753,1.87,0.046,0.0153092991217785,0.1327773504888432,0.5231087539579751
13.383346105124744,2.17,0.042,0.0153092991217785,0.1148672965647978,0.47267415580775984
8.942788872087963,1.45,1.14,0.7935883525311068,1.844695714389715,0.6028845723953278
11.101393082591954,1.8,3.8,2.3726672172613705,6.873786646011853,0.5356309762774953
6.784184661583972,1.1,1.23,0.5909609098097346,2.7859609573962865,0.6785825012554794
4.625580451079981,0.75,0.94,0.7727950359050375,1.247954429578691,0.7637850296626885
8.017672781871967,1.3,3.7,1.9806931592524069,7.687433215751687,0.6342335850774944
9.25116090215996,1.5,2.94,0.5553062574145964,11.123585210138952,0.5927831025645732
10.484649022447956,1.7,1.47,1.1106125148291928,2.1678936482955633,0.5540416259147583
0.6167440601439975,0.1,0.08,0.0796743371481683,0.080483435478867,0.9514144826604214
7.400928721727968,1.2,0.024,0.0202072594216368,0.0308724056592388,0.6560333928559705
6.784184661583972,1.1,0.025,0.0202072594216368,0.0339263343000876,0.6785825012554794
7.709300751799968,1.25,0.047,0.0398371685740841,0.0599181190992916,0.6450414023003441
7.400928721727968,1.2,0.05,0.0398371685740841,0.0691035642872409,0.6560333928559705
9.86790496230396,1.6,0.093,0.0796743371481683,0.1168485947456786,0.5730850843981814
15.418601503599936,2.5,0.1,0.0796743371481683,0.1382071285744905,0.4227939008406108
11.101393082591954,1.8,0.233,0.1991858428704208,0.2936108391225939,0.5356309762774953
24.669762405759897,4.0,0.251,0.1991858428704208,0.3486439411004653,0.2546701598116816
6.96920787962717,1.13,0.045,0.0153092991217785,0.1282508091124622,0.6717375766078478
10.731346646505555,1.74,0.033,0.0153092991217785,0.0767360582718792,0.5466026224979389
13.136648481067144,2.13,0.035,0.0153092991217785,0.084918211890545,0.4791070277248891
21.58604210503991,3.5,0.026,0.0153092991217785,0.0497004643595224,0.30155158238261054
6.96920787962717,1.13,0.055,0.0153092991217785,0.1748236568427627,0.6717375766078478
7.524277533756768,1.22,0.039,0.0153092991217785,0.101798731133,0.6516142961611354
8.942788872087963,1.45,0.034,0.0153092991217785,0.0808043277475788,0.6028845723953278
13.383346105124744,2.17,0.028,0.0153092991217785,0.057144907312032,0.47267415580775984
3.700464360863984,0.6,0.062,0.0153092991217785,0.2089408325663659,0.8035006032196845
4.317208421007981,0.7,0.05,0.0153092991217785,0.1511865819416263,0.7768005009218061
5.550696541295977,0.9,0.034,0.0153092991217785,0.0808043132698056,0.726032524679183
11.101393082591954,1.8,0.027,0.0153092991217785,0.0533920928536075,0.5356309762774953
6.96920787962717,1.13,0.043,0.0153092991217785,0.1192948488319123,0.6717375766078478
8.449393623972766,1.37,0.041,0.0153092991217785,0.110474685629328,0.6194061865389673
10.299625804404757,1.67,0.032,0.0153092991217785,0.0727151531655665,0.5596872430621398
17.947252150190327,2.91,0.03,0.0153092991217785,0.0648230709457182,0.36809015496997044
5.550696541295977,0.9,0.037,0.0153092991217785,0.0932763980537016,0.726032524679183
6.475812631511974,1.05,0.032,0.0153092991217785,0.0727151532900571,0.6901460573596507
7.09255669165597,1.15,0.028,0.0153092991217785,0.0571449073080459,0.6672126951964591
8.634416842015963,1.4,0.024,0.0153092991217785,0.0425135141995001,0.6131581788681362
4.625580451079981,0.75,0.028,0.0153092991217785,0.0571449073061767,0.7637850296626885
7.09255669165597,1.15,0.026,0.0153092991217785,0.0497004644407819,0.6672126951964591
6.784184661583972,1.1,0.024,0.0153092991217785,0.0425135132532064,0.6785825012554794
7.400928721727968,1.2,0.022,0.0153092991217785,0.0356134086242683,0.6560333928559705
