u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name,Best_Model_Degree
2.75,0.72,0.044,0.03175,0.1118825410005739,0.016,0.2981165621248074,Model_147_deg2,2
3.0,0.92,0.035,0.02825,0.0839741852265918,0.011666666666666667,-0.756754696148271,Model_147_deg2,2
3.0,0.97,0.029,0.0255,0.0543872445152351,0.009666666666666667,-1.0827424718310157,Model_147_deg2,2
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,0.014285714285714287,0.395617931429066,Model_147_deg2,2
3.5,1.25,0.04,0.034,0.1010624339164287,0.011428571428571429,-2.2570542554885726,Model_147_deg2,2
4.0,1.8,0.035,0.033,0.0664302203204883,0.00875,-4.908763593118734,Model_147_deg2,2
10.5,1.64,4.17,3.725,4.895058888506973,0.39714285714285713,13.880562307860817,Model_147_deg2,2
10.5,1.61,13.41,12.8475,14.242118957186936,1.2771428571428571,46.06608442323136,Model_147_deg2,2
10.5,2.76,3.72,3.5425,4.411982639456616,0.3542857142857143,16.21341568526786,Model_147_deg2,2
10.5,3.07,12.57,12.4375,13.149945083675975,1.197142857142857,69.40983444302886,Model_147_deg2,2
12.0,1.55,1.02,0.8525,1.2307821788444109,0.085,0.8576426515239959,Model_147_deg2,2
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,0.21416666666666664,6.597269661842651,Model_147_deg2,2
12.0,1.67,7.53,5.32,10.93717256215566,0.6275000000000001,24.075760513884127,Model_147_deg2,2
12.0,1.67,19.67,18.994999999999997,20.522374041685623,1.6391666666666669,63.022012204563154,Model_147_deg2,2
16.0,0.84,8.44,7.47,8.795558292779953,0.5275,12.196183232435082,Model_147_deg2,2
16.0,1.81,7.62,7.29,7.931918507722547,0.47625,18.586129212539674,Model_147_deg2,2
3.25,0.87,2.35,1.9075,4.610902999506291,0.7230769230769231,10.476992126943829,Model_147_deg2,2
1.325,0.13,1.02,0.6675,1.3413254010838505,0.769811320754717,2.5285397966796155,Model_147_deg2,2
2.425,0.6,4.93,4.2975,7.408370023650559,2.0329896907216494,12.033167066225204,Model_147_deg2,2
3.85,2.17,16.37,14.955,75.6291478801731,4.251948051948052,112.9426766209768,Model_147_deg2,2
1.275,0.24,0.66,0.475,1.150857131382728,0.5176470588235295,3.1875597665892275,Model_147_deg2,2
2.175,0.3,4.71,4.1925,5.403668346774408,2.1655172413793107,1.8384816942499365,Model_147_deg2,2
4.125,2.26,16.14,11.3475,434.1462490320256,3.912727272727273,114.56185030601308,Model_147_deg2,2
1.525,0.47,1.07,0.6975,4.743013966857158,0.7016393442622951,4.821646156653939,Model_147_deg2,2
2.2,0.47,4.91,4.25,6.841599192776869,2.231818181818182,6.863377661684243,Model_147_deg2,2
3.625,1.48,14.91,14.235,22.467456046268985,4.113103448275862,64.72087121303217,Model_147_deg2,2
1.325,0.11,0.89,0.5625,1.1264971811696871,0.6716981132075472,2.677246219196501,Model_147_deg2,2
2.175,0.26,5.3,4.1,6.69109713063318,2.4367816091954024,-1.4704819060046157,Model_147_deg2,2
3.35,0.54,15.9,14.4675,18.319969877296927,4.746268656716418,-5.606813723487873,Model_147_deg2,2
1.35,0.3,0.88,0.635,1.8001130574348498,0.6518518518518518,3.5847683522989344,Model_147_deg2,2
2.175,0.38,5.2,4.3975,6.850188320111813,2.3908045977011496,3.012920911163704,Model_147_deg2,2
3.35,0.71,16.28,14.8375,20.210844828404188,4.859701492537313,5.696337533230336,Model_147_deg2,2
1.475,0.88,0.58,0.535,2.8993732180319176,0.3932203389830508,3.3184236611192492,Model_147_deg2,2
2.625,1.5,3.89,3.6325,14.118629835864668,1.481904761904762,28.864864997769484,Model_147_deg2,2
4.1,2.87,13.67,13.42,30.12555661494642,3.334146341463415,132.8041411189802,Model_147_deg2,2
1.5,0.79,0.8,0.665,6.831849946093346,0.5333333333333333,4.824795836292431,Model_147_deg2,2
