u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name,Best_Model_Degree
2.75,0.72,0.044,0.03175,0.1118825410005739,0.016,0.028920314776929634,Model_147_deg2,2
3.0,0.92,0.035,0.02825,0.0839741852265918,0.011666666666666667,-0.1425594444499646,Model_147_deg2,2
3.0,0.97,0.029,0.0255,0.0543872445152351,0.009666666666666667,-0.19940491926920256,Model_147_deg2,2
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,0.014285714285714287,0.041188438574992214,Model_147_deg2,2
3.5,1.25,0.04,0.034,0.1010624339164287,0.011428571428571429,-0.3199065970035795,Model_147_deg2,2
4.0,1.8,0.035,0.033,0.0664302203204883,0.00875,-0.5200980253000105,Model_147_deg2,2
12.0,1.55,1.02,0.8525,1.2307821788444109,0.085,0.5092331701562749,Model_147_deg2,2
1.325,0.13,1.02,0.6675,1.3413254010838505,0.769811320754717,2.199031356169588,Model_147_deg2,2
1.275,0.24,0.66,0.475,1.150857131382728,0.5176470588235295,2.0044529240162055,Model_147_deg2,2
1.525,0.47,1.07,0.6975,4.743013966857158,0.7016393442622951,5.202881980918888,Model_147_deg2,2
1.325,0.11,0.89,0.5625,1.1264971811696871,0.6716981132075472,1.535604098549264,Model_147_deg2,2
1.35,0.3,0.88,0.635,1.8001130574348498,0.6518518518518518,3.262108468879129,Model_147_deg2,2
1.475,0.88,0.58,0.535,2.8993732180319176,0.3932203389830508,4.858108045912,Model_147_deg2,2
1.5,0.79,0.8,0.665,6.831849946093346,0.5333333333333333,6.228500145531757,Model_147_deg2,2
1.85,1.26,0.94,0.785,27.936829140946248,0.508108108108108,9.26377776734963,Model_147_deg2,2
1.85,1.15,0.71,0.65,4.6433470021604135,0.38378378378378375,6.018321745944195,Model_147_deg2,2
1.5666666666666669,0.45,0.87,0.6366666666666667,2.4910377730436024,0.5553191489361702,3.618094783171151,Model_147_deg2,2
1.5666666666666669,0.13,0.97,0.8033333333333333,1.0815597509199169,0.6191489361702127,1.2422090680023334,Model_147_deg2,2
1.6,0.71,1.14,0.9133333333333334,6.610164230147195,0.7124999999999999,7.8556865988855265,Model_147_deg2,2
1.5666666666666669,0.63,1.42,0.9733333333333332,11.618262835999383,0.9063829787234041,9.609666247650868,Model_147_deg2,2
1.5666666666666669,0.49,0.79,0.63,2.0368332196782206,0.5042553191489362,3.4919826116632846,Model_147_deg2,2
1.5666666666666669,0.18,0.87,0.6,1.17786521425927,0.5553191489361702,1.432619930469103,Model_147_deg2,2
1.5666666666666669,0.47,0.66,0.5066666666666667,1.7861116090877074,0.4212765957446808,2.6730782885167796,Model_147_deg2,2
1.5666666666666669,0.18,0.88,0.4966666666666666,1.346155735064614,0.5617021276595744,1.4573359557331054,Model_147_deg2,2
1.5633333333333332,0.11,1.04,0.5006666666666667,1.3643096499673495,0.6652452025586355,1.2188307123961886,Model_147_deg2,2
1.5566666666666666,0.21,0.75,0.4896666666666667,1.143850397052409,0.48179871520342615,1.3801114637481868,Model_147_deg2,2
1.85,1.14,0.47,0.4455,1.7090859558868448,0.254054054054054,3.6485916036471755,Model_147_deg2,2
1.5733333333333333,0.31,0.64,0.434,1.265446191232911,0.4067796610169492,1.6536998311220044,Model_147_deg2,2
1.5666666666666669,0.1,0.84,0.5786666666666667,0.969979146906758,0.5361702127659573,0.7523325879602156,Model_147_deg2,2
1.5666666666666669,0.15,1.04,0.515,1.533092129025739,0.6638297872340425,1.6002500243434632,Model_147_deg2,2
1.5666666666666669,0.12,1.33,0.569,1.854610634923335,0.8489361702127659,2.1080826773662147,Model_147_deg2,2
1.5599999999999998,0.11,1.19,0.5136666666666666,1.6038564251262817,0.7628205128205129,1.5990117357415028,Model_147_deg2,2
1.61,0.46,0.57,0.4153333333333333,1.634874209970707,0.3540372670807453,2.092300738023291,Model_147_deg2,2
1.5566666666666666,0.15,0.88,0.5103333333333334,1.2184624851364736,0.5653104925053534,1.2379972642391048,Model_147_deg2,2
2.1675,0.15,1.23,0.6225,1.584483302206824,0.5674740484429066,0.6279945243451704,Model_147_deg2,2
1.5599999999999998,0.21,0.72,0.5333333333333333,0.9864172474962212,0.46153846153846156,1.3013326899176327,Model_147_deg2,2
1.5533333333333337,0.1,1.16,0.5640000000000001,1.476890584776652,0.7467811158798281,1.4301079675416877,Model_147_deg2,2
1.5533333333333337,0.05,1.06,0.4603333333333333,1.1950471522283908,0.6824034334763948,0.6905165891839744,Model_147_deg2,2
1.7866666666666664,0.16,1.46,0.5153333333333333,2.3069559990331303,0.8171641791044777,2.108113432371632,Model_147_deg2,2
1.5766666666666669,0.13,0.83,0.5316666666666667,1.0427208983166083,0.5264270613107821,0.9428435585611218,Model_147_deg2,2
1.5666666666666669,0.22,1.38,0.6789999999999999,2.6481572578488555,0.8808510638297871,3.6206973772611226,Model_147_deg2,2
1.57,0.3,0.69,0.4403333333333333,1.4299397835360212,0.43949044585987257,1.7606126159261613,Model_147_deg2,2
1.5933333333333335,0.29,0.81,0.6846666666666668,1.087382853949383,0.5083682008368201,2.029927157944573,Model_147_deg2,2
1.85,1.18,0.63,0.575,4.814497230710774,0.3405405405405405,5.383788840224095,Model_147_deg2,2
1.7400000000000002,0.42,0.83,0.4525,3.0411372580129137,0.4770114942528735,2.6246363169664626,Model_147_deg2,2
1.5733333333333333,0.33,0.58,0.4766666666666666,0.8865267528928155,0.3686440677966102,1.569310945259173,Model_147_deg2,2
1.5599999999999998,0.13,0.68,0.5633333333333334,0.7585316073088083,0.43589743589743596,0.7355819807553192,Model_147_deg2,2
1.5599999999999998,0.18,0.96,0.5433333333333333,1.4698314803878656,0.6153846153846154,1.684693198564248,Model_147_deg2,2
1.9,1.16,0.64,0.54,9.458859589233091,0.33684210526315794,5.178506627965769,Model_147_deg2,2
1.5599999999999998,0.56,0.58,0.4766666666666666,1.7197507584709593,0.3717948717948718,2.7667855760683526,Model_147_deg2,2
1.6233333333333333,0.17,1.0,0.5720000000000001,1.4469487231528226,0.6160164271047228,1.5264681484560272,Model_147_deg2,2
1.5666666666666669,0.1,0.85,0.5843333333333334,0.9821892769408712,0.5425531914893617,0.767458206704629,Model_147_deg2,2
1.5566666666666666,0.07,0.85,0.5843333333333334,0.935338137929958,0.5460385438972163,0.5540369823401874,Model_147_deg2,2
1.5599999999999998,0.17,0.8,0.5579999999999999,1.0533159279041486,0.5128205128205129,1.2094591770752738,Model_147_deg2,2
1.5533333333333337,0.19,0.76,0.5436666666666666,1.0285202035428438,0.4892703862660943,1.274575244356976,Model_147_deg2,2
1.5666666666666669,0.23,0.81,0.5826666666666666,1.190751192870266,0.5170212765957446,1.657541098443986,Model_147_deg2,2
1.5766666666666669,0.65,0.57,0.478,2.090273609680621,0.361522198731501,3.1217097094493536,Model_147_deg2,2
1.5666666666666669,0.48,0.88,0.6386666666666666,2.909683904106867,0.5617021276595744,3.9225462860632225,Model_147_deg2,2
1.49,0.22,0.66,0.4575,1.0088217275318825,0.4429530201342282,1.3487423678782438,Model_147_deg2,2
1.5666666666666669,0.13,1.09,0.5446666666666667,1.5022992365882244,0.6957446808510638,1.5301421928622745,Model_147_deg2,2
2.06,1.1,0.64,0.593,2.1062804370896413,0.3106796116504854,4.329719692234981,Model_147_deg2,2
1.64,0.1,1.15,0.5823333333333333,1.4292184556456984,0.7012195121951219,1.1462425840323327,Model_147_deg2,2
1.5599999999999998,0.47,0.9,0.6583333333333333,2.8170854823861977,0.576923076923077,3.9813637392552987,Model_147_deg2,2
2.0725,0.14,0.99,0.65575,1.1704311885872505,0.47768395657418583,0.47603544568412365,Model_147_deg2,2
1.85,1.09,0.51,0.452,3.953396865652164,0.2756756756756757,3.8210805532757437,Model_147_deg2,2
15.0,8.16,0.64,0.4826666666666666,11.645895951824402,0.042666666666666665,13.968716723138014,Model_147_deg2,2
15.0,9.63,1.15,0.9263333333333332,32.59743234903014,0.07666666666666666,27.123842532093207,Model_147_deg2,2
15.0,8.17,1.67,1.391,16.148831874738754,0.11133333333333333,21.42032824797426,Model_147_deg2,2
3.75,0.55,0.015,0.014,0.0164195869070291,0.004,0.29620124972723877,Model_147_deg2,2
3.75,0.73,0.017,0.0155,0.0204950016940742,0.004533333333333334,0.07271880180631674,Model_147_deg2,2
3.75,0.73,0.031,0.0205,0.0626170527109933,0.008266666666666667,0.08953087070662114,Model_147_deg2,2
4.25,0.56,0.032,0.0305,0.0337729190185453,0.0075294117647058826,0.36875093892787847,Model_147_deg2,2
4.25,0.61,0.036,0.032,0.0417117896904809,0.008470588235294117,0.30433797201611534,Model_147_deg2,2
4.25,0.8,0.041,0.0365,0.0511135447707714,0.009647058823529411,0.08507191609186215,Model_147_deg2,2
4.25,0.85,0.053,0.0412499999999999,0.0862035990108784,0.012470588235294117,0.04832853509946433,Model_147_deg2,2
4.75,1.18,0.072,0.06875,0.0832453537063408,0.015157894736842105,-0.15464650328465512,Model_147_deg2,2
4.75,1.07,0.082,0.07425,0.1059245022212473,0.01726315789473684,-0.05702290401112764,Model_147_deg2,2
4.75,0.99,0.091,0.0815,0.1165845623553453,0.019157894736842106,0.018918005857992193,Model_147_deg2,2
4.75,1.33,0.123,0.109,0.1935437839006371,0.025894736842105262,-0.10889067453024814,Model_147_deg2,2
3.0,0.57,0.057,0.045,0.0873378142666348,0.019,0.20551240885696065,Model_147_deg2,2
3.0,0.74,0.052,0.0426666666666666,0.091004766586305,0.017333333333333333,0.04448784913540088,Model_147_deg2,2
3.75,1.17,0.042,0.037,0.0749972465016185,0.0112,-0.26348045050447777,Model_147_deg2,2
4.333333333333333,2.7,0.036,0.0356666666666666,0.0479824484344826,0.008307692307692308,-0.26261282299445443,Model_147_deg2,2
3.5,0.75,0.022,0.02125,0.0239205992767688,0.006285714285714285,0.025760294951029716,Model_147_deg2,2
3.5,1.15,0.021,0.02,0.0273958891535081,0.006,-0.33074379935203435,Model_147_deg2,2
3.5,1.1,0.02,0.01925,0.024206977641193,0.005714285714285714,-0.2980731520291622,Model_147_deg2,2
3.5,1.25,0.019,0.01875,0.0207347706438796,0.0054285714285714284,-0.40321625772331215,Model_147_deg2,2
3.0,0.7,0.059,0.0456666666666666,0.1113406848934747,0.019666666666666666,0.09172544641549135,Model_147_deg2,2
3.75,0.8,0.039,0.03775,0.0421628695173391,0.0104,0.027426610406512064,Model_147_deg2,2
3.75,1.1,0.031,0.03025,0.034476216061608,0.008266666666666667,-0.24946962772306358,Model_147_deg2,2
3.0,0.99,0.523,0.4803333333333333,0.822591618742664,0.17433333333333334,1.6208250006589748,Model_147_deg2,2
3.0,1.49,0.929,0.87,2.261168014799032,0.3096666666666667,5.590972254974777,Model_147_deg2,2
3.5,2.48,1.278,1.2245,6.199218816480315,0.36514285714285716,12.571793868139045,Model_147_deg2,2
3.0,1.16,0.606,0.5299999999999999,1.5295028593983642,0.20199999999999999,2.3963832636985387,Model_147_deg2,2
3.5,2.0,0.785,0.745,2.2330839300345446,0.22428571428571428,5.416310597318387,Model_147_deg2,2
3.0,1.84,1.067,0.9266666666666667,12.276322054130755,0.35566666666666663,8.612264907583128,Model_147_deg2,2
3.5,2.5,1.53,1.435,12.626062390354296,0.43714285714285717,15.446119613662884,Model_147_deg2,2
13.0,1.28,0.381,0.236,0.5158827945510767,0.02930769230769231,0.9453729209095112,Model_147_deg2,2
13.0,1.94,1.479,1.139,2.0441763320711632,0.11376923076923078,0.7140817397003152,Model_147_deg2,2
13.0,0.34,0.306,0.104,0.342125551076079,0.02353846153846154,2.853373913393681,Model_147_deg2,2
13.0,0.55,1.422,0.768,1.622926430267495,0.10938461538461539,0.8471711922644999,Model_147_deg2,2
15.0,0.1,0.367,0.136,0.3762542971419538,0.024466666666666668,4.238418991004465,Model_147_deg2,2
15.0,0.67,1.297,0.843,1.4428183417647384,0.08646666666666666,1.4899137293765967,Model_147_deg2,2
15.0,0.42,0.464,0.223,0.509841251907236,0.030933333333333334,3.191403532458148,Model_147_deg2,2
15.0,1.34,1.532,0.812,2.1322731944591187,0.10213333333333334,0.6878748418866144,Model_147_deg2,2
7.400928721727968,1.2,0.0307,0.0217962758401608,0.0486171675853816,0.0041481280463990435,0.050341038338642785,Model_147_deg2,2
12.334881202879949,2.0,0.131,0.0508579769603752,0.344386405973365,0.010620288744200805,-0.06294897635588592,Model_147_deg2,2
11.101393082591954,1.8,0.046,0.0145308505601072,0.1367379572450948,0.004143624107152137,-0.08040610587624719,Model_147_deg2,2
4.625580451079981,0.75,0.055,0.0153092991217785,0.1748236568431902,0.011890399611827873,0.1991257747717281,Model_147_deg2,2
5.612370947310377,0.91,0.041,0.0153092991217785,0.1104746856350472,0.007305290470803338,0.13997662575788927,Model_147_deg2,2
11.533113924692753,1.87,0.046,0.0153092991217785,0.1327773504888432,0.0039885151833549985,-0.09408662073140961,Model_147_deg2,2
13.383346105124744,2.17,0.042,0.0153092991217785,0.1148672965647978,0.003138228636552811,-0.14884750855096884,Model_147_deg2,2
8.942788872087963,1.45,1.14,0.7935883525311068,1.844695714389715,0.12747701151238658,0.759108788160759,Model_147_deg2,2
6.784184661583972,1.1,1.23,0.5909609098097346,2.7859609573962865,0.1813040271390283,0.9681118616350068,Model_147_deg2,2
4.625580451079981,0.75,0.94,0.7727950359050375,1.247954429578691,0.2032177388203309,0.9164986503729763,Model_147_deg2,2
10.484649022447956,1.7,1.47,1.1106125148291928,2.1678936482955633,0.14020497938010942,0.9281976162039083,Model_147_deg2,2
0.6167440601439975,0.1,0.08,0.0796743371481683,0.080483435478867,0.1297134503108495,0.5060176180554146,Model_147_deg2,2
7.400928721727968,1.2,0.024,0.0202072594216368,0.0308724056592388,0.0032428362577712386,0.04602252483073899,Model_147_deg2,2
6.784184661583972,1.1,0.025,0.0202072594216368,0.0339263343000876,0.0036850412020127702,0.07416966384503598,Model_147_deg2,2
7.709300751799968,1.25,0.047,0.0398371685740841,0.0599181190992916,0.006096532164609927,0.047553639033657724,Model_147_deg2,2
7.400928721727968,1.2,0.05,0.0398371685740841,0.0691035642872409,0.006755908870356748,0.06281505203514659,Model_147_deg2,2
9.86790496230396,1.6,0.093,0.0796743371481683,0.1168485947456786,0.009424492874147658,-0.00774419137762572,Model_147_deg2,2
15.418601503599936,2.5,0.1,0.0796743371481683,0.1382071285744905,0.006485672515542476,-0.15669441817952257,Model_147_deg2,2
11.101393082591954,1.8,0.233,0.1991858428704208,0.2936108391225939,0.020988356890574957,0.04136237675454579,Model_147_deg2,2
24.669762405759897,4.0,0.251,0.1991858428704208,0.3486439411004653,0.01017439875875726,-0.10549291036388009,Model_147_deg2,2
6.96920787962717,1.13,0.045,0.0153092991217785,0.1282508091124622,0.0064569748495445015,0.0787137236023856,Model_147_deg2,2
10.731346646505555,1.74,0.033,0.0153092991217785,0.0767360582718792,0.003075103347886519,-0.07661371658809368,Model_147_deg2,2
13.136648481067144,2.13,0.035,0.0153092991217785,0.084918211890545,0.002664302089718154,-0.1470095071144707,Model_147_deg2,2
21.58604210503991,3.5,0.026,0.0153092991217785,0.0497004643595224,0.0012044820386007456,-0.2645234342558771,Model_147_deg2,2
6.96920787962717,1.13,0.055,0.0153092991217785,0.1748236568427627,0.007891858149443279,0.0851952135055698,Model_147_deg2,2
7.524277533756768,1.22,0.039,0.0153092991217785,0.101798731133,0.0051832218874212415,0.050337489924351386,Model_147_deg2,2
8.942788872087963,1.45,0.034,0.0153092991217785,0.0808043277475788,0.003801945957386969,-0.011205684105137004,Model_147_deg2,2
13.383346105124744,2.17,0.028,0.0153092991217785,0.057144907312032,0.0020921524243685406,-0.15787529590960214,Model_147_deg2,2
3.700464360863984,0.6,0.062,0.0153092991217785,0.2089408325663659,0.016754653998484734,0.25350804334815435,Model_147_deg2,2
4.317208421007981,0.7,0.05,0.0153092991217785,0.1511865819416263,0.01158155806346871,0.21210289139508953,Model_147_deg2,2
5.550696541295977,0.9,0.034,0.0153092991217785,0.0808043132698056,0.006125357375790117,0.13847719820805837,Model_147_deg2,2
11.101393082591954,1.8,0.027,0.0153092991217785,0.0533920928536075,0.0024321271933284284,-0.09266003505560405,Model_147_deg2,2
6.96920787962717,1.13,0.043,0.0153092991217785,0.1192948488319123,0.006169998189564745,0.07741926576501656,Model_147_deg2,2
8.449393623972766,1.37,0.041,0.0153092991217785,0.110474685629328,0.004852419217832874,0.0128983469495898,Model_147_deg2,2
10.299625804404757,1.67,0.032,0.0153092991217785,0.0727151531655665,0.003106908989481426,-0.0625208254969648,Model_147_deg2,2
17.947252150190327,2.91,0.03,0.0153092991217785,0.0648230709457182,0.0016715650813253803,-0.24057633276381263,Model_147_deg2,2
5.550696541295977,0.9,0.037,0.0153092991217785,0.0932763980537016,0.006665830085418655,0.1404197414992816,Model_147_deg2,2
6.475812631511974,1.05,0.032,0.0153092991217785,0.0727151532900571,0.004941464773746648,0.09287254227173891,Model_147_deg2,2
7.09255669165597,1.15,0.028,0.0153092991217785,0.0571449073080459,0.003947800661634551,0.06220644336382952,Model_147_deg2,2
