u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
2.75,0.72,0.044,0.03175,0.1118825410005739,0.016,0.9247119279864178,Model_147
3.0,0.92,0.035,0.02825,0.0839741852265918,0.011666666666666667,0.31072920355692535,Model_147
3.0,0.97,0.029,0.0255,0.0543872445152351,0.009666666666666667,0.14537800234271625,Model_147
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,0.014285714285714287,0.803722137548978,Model_147
3.5,1.25,0.04,0.034,0.1010624339164287,0.011428571428571429,-0.5657209605847333,Model_147
4.0,1.8,0.035,0.033,0.0664302203204883,0.00875,-1.822555966373418,Model_147
10.5,1.64,4.17,3.725,4.895058888506973,0.39714285714285713,4.918625252794699,Model_147
10.5,2.76,3.72,3.5425,4.411982639456616,0.3542857142857143,9.788845924722994,Model_147
12.0,1.55,1.02,0.8525,1.2307821788444109,0.085,1.1738411202626557,Model_147
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,0.21416666666666664,2.4809793284793162,Model_147
3.25,0.87,2.35,1.9075,4.610902999506291,0.7230769230769231,6.950554482175829,Model_147
1.325,0.13,1.02,0.6675,1.3413254010838505,0.769811320754717,-0.23566585061245604,Model_147
2.425,0.6,4.93,4.2975,7.408370023650559,2.0329896907216494,12.861915628323903,Model_147
1.275,0.24,0.66,0.475,1.150857131382728,0.5176470588235295,1.4975196612407713,Model_147
2.175,0.3,4.71,4.1925,5.403668346774408,2.1655172413793107,1.6024725204698385,Model_147
1.525,0.47,1.07,0.6975,4.743013966857158,0.7016393442622951,3.7372092241342423,Model_147
2.2,0.47,4.91,4.25,6.841599192776869,2.231818181818182,9.307761383280626,Model_147
1.325,0.11,0.89,0.5625,1.1264971811696871,0.6716981132075472,-0.12022589733314115,Model_147
1.35,0.3,0.88,0.635,1.8001130574348498,0.6518518518518518,1.9079380046339245,Model_147
1.475,0.88,0.58,0.535,2.8993732180319176,0.3932203389830508,4.92628684410667,Model_147
2.625,1.5,3.89,3.6325,14.118629835864668,1.481904761904762,35.164616874501505,Model_147
1.5,0.79,0.8,0.665,6.831849946093346,0.5333333333333333,5.850052142712962,Model_147
2.566666666666667,1.46,4.68,4.1066666666666665,34.69988213998113,1.823376623376623,42.82610593947922,Model_147
1.85,1.26,0.94,0.785,27.936829140946248,0.508108108108108,9.268279376861276,Model_147
1.85,1.15,0.71,0.65,4.6433470021604135,0.38378378378378375,6.114503476818234,Model_147
2.175,0.35,4.68,4.205,5.488914851902833,2.1517241379310343,3.743478029354266,Model_147
1.5666666666666669,0.45,0.87,0.6366666666666667,2.4910377730436024,0.5553191489361702,3.003518026610528,Model_147
1.5666666666666669,0.13,0.97,0.8033333333333333,1.0815597509199169,0.6191489361702127,0.0761652824518384,Model_147
1.6,0.71,1.14,0.9133333333333334,6.610164230147195,0.7124999999999999,6.644066398821034,Model_147
1.5666666666666669,0.63,1.42,0.9733333333333332,11.618262835999383,0.9063829787234041,7.121360840660002,Model_147
1.5666666666666669,0.49,0.79,0.63,2.0368332196782206,0.5042553191489362,3.155410901700257,Model_147
1.5666666666666669,0.18,0.87,0.6,1.17786521425927,0.5553191489361702,0.7380658056030835,Model_147
1.5666666666666669,0.47,0.66,0.5066666666666667,1.7861116090877074,0.4212765957446808,2.736885304581069,Model_147
2.175,0.57,4.24,4.0125,5.131835000811389,1.949425287356322,11.813055504202884,Model_147
1.5666666666666669,0.18,0.88,0.4966666666666666,1.346155735064614,0.5617021276595744,0.7192038989043601,Model_147
2.566666666666667,1.25,4.37,3.77,21.3711784506471,1.7025974025974024,32.36419230925113,Model_147
1.5633333333333332,0.11,1.04,0.5006666666666667,1.3643096499673495,0.6652452025586355,-0.31017822539160367,Model_147
2.1775,0.23,4.79,3.54875,6.003985500457103,2.1997703788748564,-1.443431525249455,Model_147
1.5566666666666666,0.21,0.75,0.4896666666666667,1.143850397052409,0.48179871520342615,1.1646168073229681,Model_147
2.19,1.52,4.53,3.98,88.46453784563569,2.068493150684932,53.12249422694423,Model_147
1.85,1.14,0.47,0.4455,1.7090859558868448,0.254054054054054,3.824424086945957,Model_147
2.29,1.53,3.84,3.5879999999999996,24.817112109709115,1.6768558951965065,42.25765750943167,Model_147
1.5733333333333333,0.31,0.64,0.434,1.265446191232911,0.4067796610169492,1.8476680595129866,Model_147
2.0033333333333334,0.44,4.09,3.8813333333333335,4.6659060440256,2.0415973377703827,7.6808686189757065,Model_147
1.5666666666666669,0.1,0.84,0.5786666666666667,0.969979146906758,0.5361702127659573,0.17991653307512223,Model_147
2.175,0.29,4.72,4.314,5.226790203475336,2.170114942528736,1.173928301339247,Model_147
1.5666666666666669,0.15,1.04,0.515,1.533092129025739,0.6638297872340425,0.1119081760706937,Model_147
1.5666666666666669,0.12,1.33,0.569,1.854610634923335,0.8489361702127659,-0.9243516934510803,Model_147
1.5599999999999998,0.11,1.19,0.5136666666666666,1.6038564251262817,0.7628205128205129,-0.7157926547446145,Model_147
1.61,0.46,0.57,0.4153333333333333,1.634874209970707,0.3540372670807453,2.466756517795666,Model_147
2.1725,0.38,3.22,2.8175,4.027055137350846,1.4821634062140392,3.164685575396197,Model_147
1.5566666666666666,0.15,0.88,0.5103333333333334,1.2184624851364736,0.5653104925053534,0.4649212215776082,Model_147
2.1675,0.15,1.23,0.6225,1.584483302206824,0.5674740484429066,0.012612049818566895,Model_147
1.5599999999999998,0.21,0.72,0.5333333333333333,0.9864172474962212,0.46153846153846156,1.212169134342001,Model_147
2.215,0.46,4.54,3.755,6.8100946555112305,2.049661399548533,7.871246465534654,Model_147
1.5533333333333337,0.1,1.16,0.5640000000000001,1.476890584776652,0.7467811158798281,-0.765587185166277,Model_147
2.16,0.28,4.98,3.80875,6.5294753448886285,2.305555555555556,0.9823433665116834,Model_147
1.5533333333333337,0.05,1.06,0.4603333333333333,1.1950471522283908,0.6824034334763948,-1.022512542566087,Model_147
1.7866666666666664,0.16,1.46,0.5153333333333333,2.3069559990331303,0.8171641791044777,-0.5029541506539004,Model_147
1.5766666666666669,0.13,0.83,0.5316666666666667,1.0427208983166083,0.5264270613107821,0.4426471306586528,Model_147
2.195,0.33,4.91,4.2615,5.924419564940657,2.2369020501138954,3.0149402733810344,Model_147
1.5666666666666669,0.22,1.38,0.6789999999999999,2.6481572578488555,0.8808510638297871,0.48778594531110553,Model_147
1.57,0.3,0.69,0.4403333333333333,1.4299397835360212,0.43949044585987257,1.779221121582123,Model_147
2.2025,0.38,4.61,3.49275,7.034502760595067,2.0930760499432464,4.756371935874515,Model_147
1.5933333333333335,0.29,0.81,0.6846666666666668,1.087382853949383,0.5083682008368201,1.6565069287420788,Model_147
2.1925,0.42,4.74,4.255,5.8557301765707,2.1619156214367163,6.7659520646364975,Model_147
1.85,1.18,0.63,0.575,4.814497230710774,0.3405405405405405,5.506981107371442,Model_147
