Dataset,Model_Name,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
FULL,Model_148,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,0.28072803920816014,75.83942633029542,0.816511255156663,16.16283468695486,d_csds = 7.502004 + 0.338269*u_r_mm - 10.878646*delta_peak_mm + 0.841113*tau_peak_MPa_csds - 20.125026*tau_p_div_u_r - 0.078326*u_r_mm^2 + 0.609786*u_r_mm delta_peak_mm + 0.374776*u_r_mm tau_peak_MPa_csds + 0.841113*u_r_mm tau_p_div_u_r + 0.603482*delta_peak_mm^2 - 3.636501*delta_peak_mm tau_peak_MPa_csds + 36.364015*delta_peak_mm tau_p_div_u_r + 0.202916*tau_peak_MPa_csds^2 - 3.449983*tau_peak_MPa_csds tau_p_div_u_r + 8.676992*tau_p_div_u_r^2
FULL,Model_147,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.27027827234815127,76.38834708764686,0.7901613366847575,17.284450278117006,d_csds = 2.986284 + 0.770221*u_r_mm - 7.387731*delta_peak_mm - 2.765124*tau_p_div_u_r - 0.087059*u_r_mm^2 + 0.487539*u_r_mm delta_peak_mm + 1.608518*u_r_mm tau_p_div_u_r - 0.029043*delta_peak_mm^2 + 16.942915*delta_peak_mm tau_p_div_u_r - 2.794696*tau_p_div_u_r^2
HIGH,Model_147,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.4431930978901397,50.4170065890872,0.09364835041503816,250.60175211341922,d_csds = 193.141857 - 23.498357*u_r_mm + 14.732127*delta_peak_mm - 107.070060*tau_p_div_u_r + 0.488775*u_r_mm^2 + 0.316383*u_r_mm delta_peak_mm + 8.771079*u_r_mm tau_p_div_u_r - 5.637297*delta_peak_mm^2 + 12.946083*delta_peak_mm tau_p_div_u_r + 9.874745*tau_p_div_u_r^2
HIGH,Model_148,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,0.4953474292571304,47.99776296313652,-0.332797749006124,303.8910177496462,d_csds = 60.201457 + 9.218437*u_r_mm + 7.303384*delta_peak_mm - 23.138719*tau_peak_MPa_csds + 55.144191*tau_p_div_u_r - 0.913451*u_r_mm^2 + 1.002661*u_r_mm delta_peak_mm + 2.740040*u_r_mm tau_peak_MPa_csds - 23.138719*u_r_mm tau_p_div_u_r - 1.253683*delta_peak_mm^2 - 4.003296*delta_peak_mm tau_peak_MPa_csds + 28.878601*delta_peak_mm tau_p_div_u_r - 0.117367*tau_peak_MPa_csds^2 + 9.333024*tau_peak_MPa_csds tau_p_div_u_r - 20.762701*tau_p_div_u_r^2
LOW,Model_147,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.7303857357803627,6.584261805822823,0.769574470077407,6.445629560014741,d_csds = 3.168797 + 0.112380*u_r_mm - 3.929117*delta_peak_mm - 5.417507*tau_p_div_u_r + 0.030712*u_r_mm^2 - 0.235814*u_r_mm delta_peak_mm - 1.619768*u_r_mm tau_p_div_u_r + 0.801374*delta_peak_mm^2 + 21.940998*delta_peak_mm tau_p_div_u_r + 0.940655*tau_p_div_u_r^2
LOW,Model_148,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,0.7491639016999211,6.35083276758017,0.7682369143685321,6.464310028303053,d_csds = 3.900736 - 0.204344*u_r_mm - 3.393171*delta_peak_mm - 1.487578*tau_peak_MPa_csds - 4.250564*tau_p_div_u_r + 0.085118*u_r_mm^2 - 0.507026*u_r_mm delta_peak_mm - 0.499501*u_r_mm tau_peak_MPa_csds - 1.487578*u_r_mm tau_p_div_u_r + 1.090801*delta_peak_mm^2 + 0.816747*delta_peak_mm tau_peak_MPa_csds + 20.562114*delta_peak_mm tau_p_div_u_r + 2.561988*tau_peak_MPa_csds^2 - 12.230172*tau_peak_MPa_csds tau_p_div_u_r + 17.354972*tau_p_div_u_r^2
LOW_1,Model_147,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.7695578000123945,2.1807900559013316,0.8298744064217932,1.0138880819193539,d_csds = 0.437408 + 0.167277*u_r_mm - 1.440414*delta_peak_mm - 0.042241*tau_p_div_u_r + 0.010503*u_r_mm^2 - 0.133808*u_r_mm delta_peak_mm - 2.109618*u_r_mm tau_p_div_u_r + 0.483856*delta_peak_mm^2 + 16.998457*delta_peak_mm tau_p_div_u_r + 3.723979*tau_p_div_u_r^2
LOW_1,Model_148,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,0.7926274893122052,2.0687520653757097,0.7570323681862784,1.2116561796268288,d_csds = 1.250752 + 0.478598*u_r_mm - 3.925247*delta_peak_mm - 3.114215*tau_peak_MPa_csds - 1.153178*tau_p_div_u_r - 0.036863*u_r_mm^2 + 0.161594*u_r_mm delta_peak_mm + 0.763827*u_r_mm tau_peak_MPa_csds - 3.114215*u_r_mm tau_p_div_u_r + 0.419030*delta_peak_mm^2 - 1.983801*delta_peak_mm tau_peak_MPa_csds + 28.465548*delta_peak_mm tau_p_div_u_r - 2.745559*tau_peak_MPa_csds^2 + 12.926847*tau_peak_MPa_csds tau_p_div_u_r - 5.547687*tau_p_div_u_r^2
LOW_2,Model_148,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,0.921097060644904,5.94452104991494,0.12830495984442103,22.09454512470768,d_csds = 60.498908 - 8.117373*u_r_mm + 31.139628*delta_peak_mm - 3.442139*tau_peak_MPa_csds - 36.676124*tau_p_div_u_r + 1.027928*u_r_mm^2 - 4.771396*u_r_mm delta_peak_mm - 4.281824*u_r_mm tau_peak_MPa_csds - 3.442139*u_r_mm tau_p_div_u_r + 2.815914*delta_peak_mm^2 + 7.666299*delta_peak_mm tau_peak_MPa_csds - 21.402244*delta_peak_mm tau_p_div_u_r + 10.758656*tau_peak_MPa_csds^2 - 33.306816*tau_peak_MPa_csds tau_p_div_u_r + 44.830173*tau_p_div_u_r^2
LOW_2,Model_147,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.8597227515979582,7.926179390906693,0.04821720871170987,23.08722319856904,d_csds = 116.804149 - 25.493623*u_r_mm + 66.259154*delta_peak_mm - 148.078413*tau_p_div_u_r + 1.252662*u_r_mm^2 - 6.212125*u_r_mm delta_peak_mm + 16.817065*u_r_mm tau_p_div_u_r + 3.638609*delta_peak_mm^2 - 17.857339*delta_peak_mm tau_p_div_u_r + 37.205157*tau_p_div_u_r^2
