Dataset,Model_Name,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation,Excluded
FULL,Model_147_deg2,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.27027827234815127,76.38834708764686,0.7901613366847575,17.284450278117006,d_csds = 2.986284 + 0.770221*u_r_mm - 7.387731*delta_peak_mm - 2.765124*tau_p_div_u_r - 0.087059*u_r_mm^2 + 0.487539*u_r_mm delta_peak_mm + 1.608518*u_r_mm tau_p_div_u_r - 0.029043*delta_peak_mm^2 + 16.942915*delta_peak_mm tau_p_div_u_r - 2.794696*tau_p_div_u_r^2,False
FULL,Model_148_deg1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,1,0.19118820468991993,80.42150792628279,0.4156613698301074,28.843311159534295,d_csds = 0.413783 - 3.624122*u_r_mm + 18.779968*delta_peak_mm + 4.939985*tau_peak_MPa_csds - 5.842613*tau_p_div_u_r,False
FULL,Model_148_deg2_REDUNDANT_EXCLUDED,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,,,,,EXCLUDED: exact redundancy because u_r_mm * tau_p_div_u_r = tau_peak_MPa_csds,True
HIGH,Model_147_deg2,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.4431930978901397,50.4170065890872,0.09364835041503816,250.60175211341922,d_csds = 193.141857 - 23.498357*u_r_mm + 14.732127*delta_peak_mm - 107.070060*tau_p_div_u_r + 0.488775*u_r_mm^2 + 0.316383*u_r_mm delta_peak_mm + 8.771079*u_r_mm tau_p_div_u_r - 5.637297*delta_peak_mm^2 + 12.946083*delta_peak_mm tau_p_div_u_r + 9.874745*tau_p_div_u_r^2,False
HIGH,Model_148_deg1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,1,0.29429324004803736,56.759281662541085,0.07740470415696554,252.8374236218627,d_csds = -0.415548 - 5.271870*u_r_mm + 18.757508*delta_peak_mm + 5.355665*tau_peak_MPa_csds - 7.569698*tau_p_div_u_r,False
HIGH,Model_148_deg2_REDUNDANT_EXCLUDED,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,,,,,EXCLUDED: exact redundancy because u_r_mm * tau_p_div_u_r = tau_peak_MPa_csds,True
LOW,Model_147_deg2,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.7303857357803627,6.584261805822823,0.769574470077407,6.445629560014741,d_csds = 3.168797 + 0.112380*u_r_mm - 3.929117*delta_peak_mm - 5.417507*tau_p_div_u_r + 0.030712*u_r_mm^2 - 0.235814*u_r_mm delta_peak_mm - 1.619768*u_r_mm tau_p_div_u_r + 0.801374*delta_peak_mm^2 + 21.940998*delta_peak_mm tau_p_div_u_r + 0.940655*tau_p_div_u_r^2,False
LOW,Model_148_deg1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,1,0.38536148240119616,9.941354138886332,0.635821747948144,8.103209148049158,d_csds = -0.380000 - 0.883433*u_r_mm + 4.400784*delta_peak_mm + 3.966733*tau_peak_MPa_csds - 0.677537*tau_p_div_u_r,False
LOW,Model_148_deg2_REDUNDANT_EXCLUDED,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,,,,,EXCLUDED: exact redundancy because u_r_mm * tau_p_div_u_r = tau_peak_MPa_csds,True
LOW_1,Model_147_deg2,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.7695578000123945,2.1807900559013316,0.8298744064217932,1.0138880819193539,d_csds = 0.437408 + 0.167277*u_r_mm - 1.440414*delta_peak_mm - 0.042241*tau_p_div_u_r + 0.010503*u_r_mm^2 - 0.133808*u_r_mm delta_peak_mm - 2.109618*u_r_mm tau_p_div_u_r + 0.483856*delta_peak_mm^2 + 16.998457*delta_peak_mm tau_p_div_u_r + 3.723979*tau_p_div_u_r^2,False
LOW_1,Model_148_deg1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,1,0.63431136263267,2.747189291352064,0.35474169674261735,1.9745675346857234,d_csds = -0.942362 - 0.349647*u_r_mm + 2.750387*delta_peak_mm + 2.851046*tau_peak_MPa_csds + 0.869772*tau_p_div_u_r,False
LOW_1,Model_148_deg2_REDUNDANT_EXCLUDED,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,,,,,EXCLUDED: exact redundancy because u_r_mm * tau_p_div_u_r = tau_peak_MPa_csds,True
LOW_2,Model_147_deg2,u_r_mm + delta_peak_mm + tau_p_div_u_r,2,0.8597227515979582,7.926179390906693,0.04821720871170987,23.08722319856904,d_csds = 116.804149 - 25.493623*u_r_mm + 66.259154*delta_peak_mm - 148.078413*tau_p_div_u_r + 1.252662*u_r_mm^2 - 6.212125*u_r_mm delta_peak_mm + 16.817065*u_r_mm tau_p_div_u_r + 3.638609*delta_peak_mm^2 - 17.857339*delta_peak_mm tau_p_div_u_r + 37.205157*tau_p_div_u_r^2,False
LOW_2,Model_148_deg1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,1,0.5793994821862486,13.724773299422983,0.10546873481319807,22.38208494359933,d_csds = -2.292917 - 3.255183*u_r_mm + 9.044740*delta_peak_mm + 11.696053*tau_peak_MPa_csds - 19.070264*tau_p_div_u_r,False
LOW_2,Model_148_deg2_REDUNDANT_EXCLUDED,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_r,2,,,,,EXCLUDED: exact redundancy because u_r_mm * tau_p_div_u_r = tau_peak_MPa_csds,True
