Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4
1,1.5,2,3,-,-,-,-,
1,1.5,2,3,-,-,-,-,
1,1.5,2,3,-,-,-,-,
1,1.5,2,3,-,-,-,-,
1,1.5,2,3,-,-,-,-,
1.5,2,2.3,2.5,-,-,-,-,
1,2,3,5,0.035,0.032,0.031,0.029,
1,2,3,6,0.031,0.028,0.027,0.027,
1,2,3,6,0.026,0.026,0.026,0.024,
1,2,3,6,0.024,0.023,0.023,0.023,
2,3,4,5,0.047,0.044,0.039,0.037,
2,3,4,5,0.038,0.035,0.032,0.031,
2,3,5,6,0.034,0.034,0.032,0.032,
3,4,5,6,0.031,0.04,0.04,0.039,
3,6,12,21,3.98,3.79,3.63,3.5,
3,6,12,21,13.13,12.97,12.73,12.56,
3,6,12,21,3.67,3.6,3.52,3.38,
3,6,12,21,12.54,12.52,12.43,12.26,
4,8,14,22,0.91,0.76,0.88,0.86,
4,8,14,22,0.231,2.22,2.24,2.24,
4,8,14,22,0.71,6.94,6.86,6.77,
4,8,14,22,19.31,19,18.86,18.81,
8,14,18,24,7.66,7.49,7.39,7.34,
8,14,18,24,7.49,7.31,7.2,7.16,
8,14,18,24,7.21,7.13,7.08,7,
8,14,18,24,7,6.93,6.86,6.86,
1,2.5,4,5.5,2.23,1.89,1.77,1.74,
0.6,1,1.7,2,0.8,0.69,0.61,0.57,
1,2,3.2,3.5,4.87,4.45,3.97,3.9,
2.6,3.2,4.6,5,16.04,15.18,14.19,14.41,
0.5,1,1.6,2,0.55,0.45,0.45,0.45,
1,2,2.7,3,4.32,4.17,4.15,4.13,
3,4,4.5,5,1.52,15.06,14.58,14.23,
1,1.4,1.7,2,0.77,0.73,0.67,0.62,
1,2,2.8,3,4.73,4.27,4,4,
2,3,4.5,5,15.06,14.46,13.84,13.58,
0.6,1,1.7,2,0.66,0.57,0.52,0.5,
1,2,2.7,3,4.6,4,3.9,3.9,
1,3,4.4,5,15.35,14.46,14.12,13.94,
