dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced,score_variant
FULL,FULL_poly_rank_4,286,29.69394516345749,0.8735525818131906,29.69394516345747,0.8683507008158177,3.5059785874755383,0.8749438592092524,0.6955078399924117,0.3045329485707939,0.0850976373513481,5.232430324177234,286,0.9849887491530712,methodologie_1,,,,polynomial,6,28,u_p_x_tau_r + delta_peak_mm + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + u_p_div_u_r,0.0130519440094607,-0.9849887491530712,-20714.00648614504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,balanced
HIGH,HIGH_poly_rank_1,64,111.95126094357931,0.5226132868196078,111.95126094357929,0.5236286224609761,0.788282564348002,0.9009855571547538,1.5628656670204246,1.0698096663616132,0.598201569138348,5.23319203320427,64,0.8629767126036226,methodologie_1,,,,polynomial,3,10,u_p_x_tau_r + u_r_div_u_p + tau_r_div_tau_p,0.0736471233634574,-0.8629767126036226,5735.504541594564,3.0,3.0,3.0,1.0,2.5,1.0,2.9999999999999996,3.0,2.2,1.0,balanced
LOW_1,LOW_1_poly_rank_5,161,1.4807696459187751,0.9658273186083182,1.4807696459187751,0.9635446258273472,3.876541783359663,0.9038662503950674,0.1038035229037289,0.0470359969961838,0.0150807033737688,0.7515031785640828,161,0.9714203769048018,methodologie_1,,,,polynomial,5,21,tau_peak_MPa_csds + tau_r_div_sigma_n + tau_r_div_tau_p + u_p_div_tau_r + u_p_div_u_r,0.0298829997113987,-0.9714203769048018,-72899.16542755002,1.0,1.0,2.0,4.0,1.85,1.0,1.0,1.0,2.25,1.0,balanced
LOW_2,LOW_2_poly_rank_1,69,3.5332055687553776,0.9781934564143752,3.533205568755378,0.977973463784426,0.5490930750421362,0.9836340124111638,0.3009472381985419,0.1715660413538135,0.0685427529284822,1.0477299962773918,69,0.8930107785626604,methodologie_1,,,,polynomial,4,15,u_r_div_u_p + u_p_div_u_r + tau_peak_MPa_csds + tau_r_div_tau_p,0.038416201388532,-0.8930107785626604,-16541.250661152062,1.0,1.0,2.0,2.0,1.35,1.0,1.0,1.0,1.4500000000000002,1.0,balanced
FULL,FULL_direct_poly_rank_4,299,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.0652176899718785,0.0322245232757237,0.008244553309187,0.4042287427322675,299,0.9998682829613053,methodologie_2,299.0,299.0,299.0,polynomial,5,21,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.0103102433207574,-0.9998682829613053,-163213.43586434273,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.6,3.0,balanced
HIGH,HIGH_direct_poly_rank_1,67,67.64319558095191,0.8186430702493508,67.64319558095187,0.8191365000217007,0.3624152850644681,0.980196312752826,0.0997657629977939,0.0729828731052266,0.0575524752894496,0.4331651072957346,67,0.9994375842800112,methodologie_2,67.0,67.0,67.0,polynomial,4,15,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.0255335502468987,-0.9994375842800112,-30855.9930095085,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.6,2.0,balanced
LOW_1,LOW_1_direct_poly_rank_3,163,1.7476716039425195,0.9518690875856916,1.7476716039425195,0.94863972395202,6.054264159382187,0.7633110072724336,0.0121926979527869,0.0054351412374267,0.0018134028781336,0.1032971147966109,163,0.9996031951852524,methodologie_2,163.0,163.0,163.0,polynomial,6,28,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_r,0.0270849978950935,-0.9996031951852524,-143609.42812802436,1.0,1.0,1.0,4.0,1.75,1.0,1.0,1.0,2.2,2.0,balanced
LOW_2,LOW_2_direct_poly_rank_4,69,2.13881727093489,0.9920090873007412,2.1388172709348905,0.9919284719618864,0.2157575097356038,0.9974731344991437,0.0124852330753741,0.0096362362810099,0.0081692365920939,0.0385623728802734,69,0.9998158581036716,methodologie_2,69.0,69.0,69.0,polynomial,5,21,u_r_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.0048575302658809,-0.9998158581036716,-60446.14553911967,3.0,3.0,3.0,1.0,2.5,1.0,2.9999999999999996,3.0,2.2,1.0,balanced
FULL,FULL_poly_rank_4,286,29.69394516345749,0.8735525818131906,29.69394516345747,0.8683507008158177,3.5059785874755383,0.8749438592092524,0.6955078399924117,0.3045329485707939,0.0850976373513481,5.232430324177234,286,0.9849887491530712,methodologie_1,,,,polynomial,6,28,u_p_x_tau_r + delta_peak_mm + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + u_p_div_u_r,0.0130519440094607,-0.9849887491530712,-20714.00648614504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,performance_only
HIGH,HIGH_poly_rank_3,67,78.75332449214191,0.7541763206177614,78.75332449214187,0.7548451493320684,0.9169305140355553,0.8732330917637864,1.4598157282527335,0.9387309882514816,0.4834611420176428,5.232676748940585,67,0.879582260205066,methodologie_1,,,,polynomial,4,15,u_p_x_tau_r + tau_r_div_u_p + tau_r_div_tau_p + u_p_div_u_r,0.3517298941838319,-0.879582260205066,5099.428683955704,1.0,1.0,1.0,11.0,3.5,2.0,1.0,1.0,5.0,5.0,performance_only
