dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced
FULL,FULL_poly_rank_4,286,29.69394516345749,0.8735525818131906,29.69394516345747,0.8683507008158177,3.5059785874755383,0.8749438592092524,0.6955078399924117,0.3045329485707939,0.0850976373513481,5.232430324177234,286,0.9849887491530712,methodologie_1,,,,polynomial,6,28,u_p_x_tau_r + delta_peak_mm + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + u_p_div_u_r,0.0130519440094607,-0.9849887491530712,-20714.00648614504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FULL,FULL_poly_rank_1,284,41.00685663015099,0.7605037926264148,41.00685663015098,0.7506235094995986,3.416844500198746,0.8817954356150665,0.7030230762508142,0.3037821801609486,0.0747530028815806,5.232462462125928,284,0.9844760538439672,methodologie_1,,,,polynomial,6,28,u_p_div_u_r + delta_peak_mm + tau_r_MPa + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p,0.0183772724166841,-0.9844760538439672,-19958.30669810582,2.0,2.0,2.0,3.0,2.25,2.0,2.0,2.0,2.4000000000000004,2.0
FULL,FULL_poly_rank_2,283,38.98115190163924,0.7842621761984753,38.981151901639215,0.7753961563305323,3.3932024635906775,0.881184912543421,0.7233941088444608,0.3114158391299677,0.0704013922384449,5.232528557944957,283,0.9838117357952412,methodologie_1,,,,polynomial,6,28,delta_peak_mm + tau_p_div_u_r + u_r_div_tau_r + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,0.0301181913104215,-0.9838117357952412,-18271.084997174785,3.0,3.0,3.0,6.0,3.75,3.0,2.9999999999999996,3.0,4.200000000000001,5.0
FULL,FULL_poly_rank_5,286,41.26244331020563,0.7558835354980715,41.26244331020561,0.7457884596795101,3.370407920886903,0.8843192375386899,0.74564128817747,0.3240588882048998,0.0834987425457667,5.232727419690505,286,0.982273857875422,methodologie_1,,,,polynomial,6,28,tau_r_MPa + u_p_div_u_r + tau_p_div_u_p + tau_r_div_tau_p + u_p_div_tau_p + delta_peak_mm,0.0251907264677362,-0.982273857875422,-16732.751845478982,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
FULL,FULL_poly_rank_3,283,45.64821153438952,0.7042969024429575,45.648211534389496,0.6920229262989073,3.3569684097707864,0.8865023877825996,0.7546058601247415,0.3253720383090414,0.0889368977111371,5.2328708261767,283,0.9817455235127962,methodologie_1,,,,polynomial,6,28,delta_peak_mm + u_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,0.015168390251604,-0.9817455235127962,-15880.221893676924,5.0,5.0,5.0,2.0,4.25,5.0,5.0,5.0,3.8,3.0
FULL,FULL_exp_log_rank_4,265,68.62088284427413,0.372231327001492,68.62088284427413,0.3463350576624743,4.677591907931264,0.7801549048127798,1.0253591910627675,0.449278773696186,0.1600078763736822,9.2016136173333,265,0.9690060741634874,methodologie_1,,,,exponential,5,6,u_r_mm + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + u_p_div_u_r,0.0486054389858962,-0.9690060741634874,1339.2811906338984,6.0,6.0,6.0,12.0,7.5,6.0,5.999999999999999,6.0,8.400000000000002,8.0
FULL,FULL_exp_log_rank_5,277,74.97114057338746,0.2183988774765969,74.97114057338744,0.1863619004445793,3.9684528015250264,0.8432333984949155,1.0449836311425915,0.3896670560655091,0.0943997424586639,11.915258380756011,277,0.966671947307596,methodologie_1,,,,exponential,6,7,tau_p_div_u_r + u_p_div_tau_p + u_r_x_u_p + sigma_n_x_tau_r + u_p_div_u_r + tau_p_x_tau_r,0.0384772519900709,-0.966671947307596,2451.6717053798056,7.0,7.0,7.0,9.0,7.5,6.0,7.0,7.0,7.800000000000001,7.0
FULL,FULL_exp_log_rank_3,280,74.53849291492946,0.219454453252899,74.53849291492945,0.1874104608358231,3.977798862826334,0.8409269418005164,1.0887476767830715,0.4366857319046417,0.1020845645005422,11.525644487055947,280,0.9639378867022096,methodologie_1,,,,exponential,6,7,u_p_div_u_r + tau_p_div_u_r + sigma_n_MPa + u_p_x_tau_r + u_r_x_u_p + u_p_div_tau_p,0.0346186337126512,-0.9639378867022096,4775.578460382461,8.0,8.0,8.0,7.0,7.75,8.0,8.0,8.0,7.600000000000001,6.0
FULL,FULL_exp_d_rank_2,264,71.13258677142936,0.3279779999243006,71.13258677142935,0.3003469366709566,4.1209728573301385,0.8366724652967881,1.731338991241873,0.4668716420156619,0.0744719014381841,23.086038643944352,264,0.9097451482126002,methodologie_1,,,,exponential,4,5,tau_p_div_u_r + u_p_div_tau_p + tau_r_div_u_r + u_p_div_u_r,0.0425677319597639,-0.9097451482126002,28991.663158079267,9.0,9.0,9.0,11.0,9.5,9.0,9.0,9.0,9.8,11.0
FULL,FULL_exp_d_rank_1,264,73.04118458514914,0.2913974807324202,73.04118458514911,0.2623654805033707,4.065687877978346,0.8409351836240115,1.867607082599594,0.49614134557425,0.0759520367136409,25.457248330033785,264,0.8961132003950529,methodologie_1,,,,exponential,4,5,tau_r_div_u_r + u_r_div_tau_p + u_p_div_u_r + tau_p_div_u_r,0.0383230193123534,-0.8961132003950529,32991.943430387866,10.0,10.0,10.0,8.0,9.5,9.0,10.0,10.0,9.2,10.0
FULL,FULL_exp_log_rank_2,270,77.08600515600969,0.1936235828134392,77.08600515600968,0.1605158465116655,4.057205503360409,0.839333021063463,3.1394238771430785,0.5778599295861011,0.0901019632722059,49.1514443369688,270,0.7039877751675916,methodologie_1,,,,exponential,5,6,tau_r_div_u_r + u_r_x_u_p + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,0.0299716691024595,-0.7039877751675916,61790.12555324646,11.0,11.0,11.0,5.0,9.5,9.0,11.0,11.0,8.600000000000001,9.0
FULL,FULL_exp_log_rank_1,272,112.12140197946036,-0.717920910998199,112.12140197946036,-0.7890510029186437,4.80150522712477,0.7681335443701427,10.294747535155036,1.0262690727822463,0.1370918920933068,169.21723751237255,272,-2.1936657763097003,methodologie_1,,,,exponential,5,6,u_p_div_tau_p + u_p_div_u_r + tau_r_div_u_r + tau_p_div_u_r + u_r_mm,0.0403901192559917,2.1936657763097003,126852.88274061208,12.0,12.0,12.0,10.0,11.5,12.0,11.999999999999998,12.0,11.200000000000001,12.0
HIGH,HIGH_poly_rank_1,64,111.95126094357931,0.5226132868196078,111.95126094357929,0.5236286224609761,0.788282564348002,0.9009855571547538,1.5628656670204246,1.0698096663616132,0.598201569138348,5.23319203320427,64,0.8629767126036226,methodologie_1,,,,polynomial,3,10,u_p_x_tau_r + u_r_div_u_p + tau_r_div_tau_p,0.0736471233634574,-0.8629767126036226,5735.504541594564,3.0,3.0,3.0,1.0,2.5,1.0,2.9999999999999996,3.0,2.2,1.0
HIGH,HIGH_poly_rank_3,67,78.75332449214191,0.7541763206177614,78.75332449214187,0.7548451493320684,0.9169305140355553,0.8732330917637864,1.4598157282527335,0.9387309882514816,0.4834611420176428,5.232676748940585,67,0.879582260205066,methodologie_1,,,,polynomial,4,15,u_p_x_tau_r + tau_r_div_u_p + tau_r_div_tau_p + u_p_div_u_r,0.3517298941838319,-0.879582260205066,5099.428683955704,1.0,1.0,1.0,11.0,3.5,2.0,1.0,1.0,5.0,5.0
HIGH,HIGH_exp_log_rank_3,61,142.91006999070717,0.2517838102901319,142.91006999070714,0.2544758965945162,1.073956745372858,0.728265517113629,1.7453296139938066,1.1750076143997856,0.6405843201506639,6.644166947057187,61,0.8278470174581766,methodologie_1,,,,exponential,6,7,tau_r_div_u_p + tau_p_div_u_p + u_r_x_tau_r + u_p_div_u_r + u_r_div_tau_r + tau_r_div_tau_p,0.1994980839065278,-0.8278470174581766,6808.728210730626,4.0,4.0,4.0,6.0,4.5,3.0,4.0,4.0,4.800000000000001,3.0
HIGH,HIGH_poly_rank_2,65,81.51455109152624,0.7435437460759744,81.51455109152622,0.7440921719903342,1.077928807578372,0.8141566819226167,1.550485845845946,1.0779866664676825,0.62784399370698,5.232577004497399,65,0.8634220071143061,methodologie_1,,,,polynomial,3,10,tau_r_div_tau_p + u_p_div_u_r + u_p_x_tau_r,0.3746655894120658,-0.8634220071143061,5721.422203268258,2.0,2.0,2.0,13.0,4.75,4.0,2.0,2.0,6.4,6.0
HIGH,HIGH_exp_log_rank_5,64,140.29314362794884,0.248836517683762,140.29314362794875,0.2516492709237122,0.8498475057932154,0.8938161531632587,1.955841815101212,1.2020646374439696,0.5917076196746879,8.194364526072608,64,0.7765500888479455,methodologie_1,,,,exponential,6,7,u_r_mm + tau_r_div_tau_p + u_p_div_u_r + u_r_div_tau_r + u_r_div_u_p + u_r_x_tau_r,0.1950072587040587,-0.7765500888479455,8600.522439882438,5.0,5.0,7.0,4.0,4.95,5.0,5.0,5.0,4.7,2.0
HIGH,HIGH_exp_log_rank_1,63,141.77800395179872,0.243282450099059,141.77800395179867,0.2458215304219293,1.589814902943928,0.6341960197192424,1.976965124250108,1.224519839792237,0.5932764883008463,8.320354885646264,63,0.7693762089184969,methodologie_1,,,,exponential,4,5,tau_r_div_tau_p + u_r_x_tau_r + u_r_div_tau_r + u_p_div_u_r,0.184186675148566,-0.7693762089184969,8597.702114334703,6.0,7.0,6.0,3.0,5.450000000000001,6.0,6.299999999999999,6.0,4.95,4.0
HIGH,HIGH_exp_d_rank_1,61,141.52179362778722,0.2658308225178086,141.52179362778722,0.2686889253474254,0.7396592475354246,0.8887082032982223,2.0088138484715015,1.234133138117604,0.5996450140166554,8.61739488507837,61,0.7724222677458306,methodologie_1,,,,exponential,6,7,u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + u_r_x_tau_r + u_p_x_tau_r + tau_p_div_tau_r,0.2240950909982183,-0.7724222677458306,8524.060342195575,7.0,6.0,5.0,9.0,7.1,7.0,6.699999999999999,7.0,7.550000000000001,8.0
HIGH,HIGH_poly_rank_5,64,111.88713641846716,0.5232748220892768,111.88713641846712,0.5242293205165474,0.7846812004303344,0.8950612375847445,2.1231323593589213,1.1991423109000694,0.5955336066476749,12.369987589275222,64,0.7464196127589005,methodologie_1,,,,polynomial,2,6,u_p_div_u_r + tau_r_div_tau_p,0.1737653073986908,-0.7464196127589005,9649.037474896553,10.0,9.0,11.0,2.0,7.9,8.0,9.7,10.0,6.699999999999999,7.0
HIGH,HIGH_exp_d_rank_2,63,141.5796232027581,0.2453986199542187,141.57962320275809,0.2479305997080061,0.8852871929732563,0.8865711151967831,2.06485362556406,1.2361244714077344,0.5926144005412517,9.542241817131671,63,0.748415064791857,methodologie_1,,,,exponential,6,7,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + u_r_div_u_p + tau_p_div_tau_r,0.2388632109933283,-0.748415064791857,9149.765489378024,8.0,8.0,9.0,10.0,8.600000000000001,9.0,8.0,8.0,8.850000000000001,11.0
HIGH,HIGH_exp_d_rank_3,61,144.5045023774732,0.2349988316688637,144.50450237747316,0.237587870594181,1.2758848726194003,0.669643128750985,2.101460239249645,1.2801876574112772,0.659007841607592,9.573910663572091,61,0.7462175701472966,methodologie_1,,,,exponential,6,7,u_p_div_u_r + tau_r_div_u_p + u_r_x_tau_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_tau_r,0.2175317993473619,-0.7462175701472966,9074.13433708221,9.0,10.0,8.0,8.0,8.85,10.0,9.3,9.0,8.7,10.0
HIGH,HIGH_exp_log_rank_4,63,141.3866996963485,0.2472843784648257,141.38669969634847,0.2500843918457794,1.4629253262901796,0.5518073914366093,2.1406678044315233,1.2798139630927885,0.6200766964934527,10.19187648504219,63,0.7360531901686171,methodologie_1,,,,exponential,6,7,u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r + tau_r_div_u_p + u_r_x_tau_r,0.1952170416306278,-0.7360531901686171,9604.102565472815,11.0,11.0,10.0,5.0,9.4,11.0,11.0,11.0,8.55,9.0
HIGH,HIGH_exp_log_rank_2,63,141.8038288739861,0.243006752161345,141.80382887398605,0.2455467575575256,1.3386030105056563,0.7406663372231742,2.232752019741918,1.2856086667068924,0.5920005712805155,11.39373394877151,63,0.7058376591695971,methodologie_1,,,,exponential,4,5,u_r_div_tau_r + u_r_mm + u_p_div_u_r + tau_r_div_tau_p,0.2074428053944894,-0.7058376591695971,10130.769451553666,12.0,12.0,12.0,7.0,10.75,12.0,11.999999999999998,12.0,10.000000000000002,12.0
HIGH,HIGH_poly_rank_4,65,127.97667325537272,0.3667201350204377,127.9766732553727,0.3690503880608348,0.6912792590977225,0.9286464756084164,2.347089347079298,1.3086813099775187,0.5967408459473135,10.61551701831973,65,0.674496508263552,methodologie_1,,,,polynomial,4,15,tau_r_div_tau_p + tau_r_div_u_p + u_p_x_tau_r + tau_r_MPa,0.3691270577050337,-0.674496508263552,11121.361830469341,13.0,13.0,13.0,12.0,12.750000000000002,13.0,13.0,13.0,12.600000000000001,13.0
LOW_1,LOW_1_poly_rank_5,161,1.4807696459187751,0.9658273186083182,1.4807696459187751,0.9635446258273472,3.876541783359663,0.9038662503950674,0.1038035229037289,0.0470359969961838,0.0150807033737688,0.7515031785640828,161,0.9714203769048018,methodologie_1,,,,polynomial,5,21,tau_peak_MPa_csds + tau_r_div_sigma_n + tau_r_div_tau_p + u_p_div_tau_r + u_p_div_u_r,0.0298829997113987,-0.9714203769048018,-72899.16542755002,1.0,1.0,2.0,4.0,1.85,1.0,1.0,1.0,2.25,1.0
LOW_1,LOW_1_poly_rank_4,162,1.1101061362663804,0.9806890259289835,1.1101061362663809,0.9793952028384688,3.508399688942523,0.920821095536968,0.1042813577098428,0.0469428862643745,0.0106956435641542,0.7515660771365967,162,0.9711027307715264,methodologie_1,,,,polynomial,5,21,tau_r_div_tau_p + tau_peak_MPa_csds + u_r_div_tau_r + tau_r_div_sigma_n + u_p_div_u_r,0.0263890101537454,-0.9711027307715264,-73203.41339834734,2.0,2.0,1.0,3.0,2.1500000000000004,2.0,2.0,2.0,2.3500000000000005,2.0
LOW_1,LOW_1_poly_rank_3,159,1.2366083866281898,0.9764332144077832,1.2366083866281898,0.9748653096459384,3.012066370683202,0.9424639946091592,0.1060552330709855,0.0481731910931778,0.0131055579453813,0.7515439114828848,159,0.9703836355637594,methodologie_1,,,,polynomial,5,21,u_r_div_tau_r + tau_r_div_tau_p + u_p_div_u_r + sigma_n_div_tau_r + tau_peak_MPa_csds,0.0204362900813743,-0.9703836355637594,-71310.63087936353,3.0,3.0,5.0,2.0,2.95,3.0,2.9999999999999996,3.0,2.7,3.0
LOW_1,LOW_1_poly_rank_1,161,1.027428077424061,0.9835536268681616,1.0274280774240605,0.9824506127926091,2.9406232620961066,0.9435180697765948,0.1075208812278183,0.0498919564704684,0.0176813061092407,0.7517065182795134,161,0.9694637194434282,methodologie_1,,,,polynomial,5,21,tau_r_div_tau_p + tau_peak_MPa_csds + u_p_div_u_r + delta_peak_mm + u_r_div_tau_r,0.0162508704520908,-0.9694637194434282,-71766.20317294924,5.0,5.0,3.0,1.0,3.8,4.0,5.0,5.0,3.3,4.0
LOW_1,LOW_1_poly_rank_2,160,0.9524078754901344,0.9859450767443364,0.9524078754901344,0.9850052784285304,3.2095925436929535,0.9330895385885658,0.1070603556305917,0.0502396867386023,0.0182689698452475,0.7516757944977571,160,0.9697825133300688,methodologie_1,,,,polynomial,5,21,u_p_div_u_r + tau_r_div_tau_p + delta_peak_mm + u_p_div_tau_r + tau_peak_MPa_csds,0.0409090551008866,-0.9697825133300688,-71457.54320199526,4.0,4.0,4.0,5.0,4.25,5.0,4.0,4.0,4.4,5.0
LOW_1,LOW_1_exp_log_rank_4,160,5.893599019952519,0.4619552028422979,5.89359901995252,0.4260298222822725,4.274027938409801,0.8836548685213721,0.1217843363757722,0.062008587561358,0.0280542393821589,0.7498414429503806,160,0.9569823723211962,methodologie_1,,,,exponential,6,7,u_p_div_tau_p + u_p_div_tau_r + tau_r_MPa + tau_peak_MPa_csds + u_p_div_u_r + tau_p_x_tau_r,0.0507270058831121,-0.9569823723211962,-67362.1060576284,6.0,6.0,6.0,7.0,6.25,6.0,5.999999999999999,6.0,6.4,6.0
LOW_1,LOW_1_exp_log_rank_3,159,5.871520181087506,0.4689326144820154,5.871520181087506,0.4335714618054418,4.233742571873281,0.886358772286463,0.1235850913692454,0.0632841619470609,0.0352315493029874,0.7500319795839494,159,0.9557880311363208,methodologie_1,,,,exponential,6,7,u_r_div_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_x_tau_r + tau_r_MPa + tau_peak_MPa_csds,0.0470925137105259,-0.9557880311363208,-66474.23943934086,7.0,7.0,7.0,6.0,6.75,7.0,7.0,7.0,6.6000000000000005,7.0
LOW_1,LOW_1_exp_log_rank_1,157,4.284100053685653,0.7203892207751894,4.284100053685653,0.7018163087638578,1.0923829461366297,0.9904752074360644,0.1326985620516977,0.0617613737107767,0.0165007952747466,0.8507915142489003,157,0.9540492943229356,methodologie_1,,,,exponential,5,6,tau_p_x_tau_r + u_p_div_tau_r + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,0.0595270287809882,-0.9540492943229356,-63405.79510418638,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
LOW_1,LOW_1_exp_log_rank_2,157,4.466329467698097,0.6960084398623161,4.466329467698097,0.6758890930325943,1.6507335031209829,0.978808906219982,0.1425306284744228,0.0676798642110746,0.0271570675290584,0.9375944614442202,157,0.9468074127736446,methodologie_1,,,,exponential,5,6,tau_p_x_tau_r + tau_r_div_tau_p + u_p_div_u_r + u_p_div_tau_p + tau_r_MPa,0.0696262462813246,-0.9468074127736446,-61161.42333047565,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
