dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_r2_test_z,saved_rmse_test_z,saved_r2_test_e,saved_rmse_test_e,saved_r2_test_tau_u,saved_rmse_test_tau_u,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file,method
FULL,FULL_poly_rank_1,polynomial,log,1,,,,,,,,,,,,,,,,,,,,3.4168445001986845,0.8817954356150707,0.7030230762508118,0.9844760538439672,0.3037821801609466,,,284,284,,,,methodologie_1
FULL,FULL_poly_rank_5,polynomial,log,5,,,,,,,,,,,,,,,,,,,,3.599310808896868,0.8681888231266551,0.707297450144368,0.9845042567410917,0.3102612565249321,,,286,286,,,,methodologie_1
FULL,FULL_poly_rank_2,polynomial,log,2,,,,,,,,,,,,,,,,,,,,3.3569684097707837,0.8865023877825997,0.7546058601247503,0.9817455235127958,0.3253720383090435,,,283,283,,,,methodologie_1
FULL,FULL_poly_rank_3,polynomial,log,3,,,,,,,,,,,,,,,,,,,,3.372761036793567,0.8846733977773887,0.8016262675072376,0.979542772716105,0.3303719506121895,,,285,285,,,,methodologie_1
FULL,FULL_poly_rank_4,polynomial,log,4,,,,,,,,,,,,,,,,,,,,3.548522431435021,0.8718904182199495,0.9440693739880504,0.9723420083654676,0.3549552061963487,,,286,286,,,,methodologie_1
FULL,FULL_exp_log_rank_4,exponential,log,4,,,,,,,,,,,,,,,,,,,,4.813762759746951,0.7712336739739387,1.0362607044340382,0.967325276261832,0.4164738902660231,,,274,274,,,,methodologie_1
FULL,FULL_exp_log_rank_5,exponential,log,5,,,,,,,,,,,,,,,,,,,,4.414125308279997,0.8100005701143433,1.1346579715144396,0.9619245223820952,0.4660277508675876,,,269,269,,,,methodologie_1
FULL,FULL_exp_log_rank_2,exponential,log,2,,,,,,,,,,,,,,,,,,,,4.883417422647609,0.7345731352760723,1.3932492378196415,0.94279541237954,0.5317526717701876,,,270,270,,,,methodologie_1
FULL,FULL_exp_log_rank_1,exponential,log,1,,,,,,,,,,,,,,,,,,,,5.487985167556714,0.6940209086812266,1.425996861059341,0.9373797707620916,0.4608755413526198,,,277,277,,,,methodologie_1
FULL,FULL_exp_d_rank_4,exponential,d,4,,,,,,,,,,,,,,,,,,,,4.200912002228442,0.8240577484867583,1.6399973720219123,0.917540683345406,0.5308119369389865,,,277,277,,,,methodologie_1
FULL,FULL_exp_d_rank_1,exponential,d,1,,,,,,,,,,,,,,,,,,,,4.164931177786309,0.8276667681057504,2.3853256413375683,0.82084710193753,0.5772528781242602,,,276,276,,,,methodologie_1
FULL,FULL_exp_d_rank_3,exponential,d,3,,,,,,,,,,,,,,,,,,,,4.133279788181994,0.8310047314103699,3.1133213425309965,0.695635481789797,0.614438926032674,,,275,275,,,,methodologie_1
FULL,FULL_exp_d_rank_5,exponential,d,5,,,,,,,,,,,,,,,,,,,,4.08989512908028,0.8352972682742352,3.4649220064953794,0.6265834783550567,0.6310139616630688,,,273,273,,,,methodologie_1
FULL,FULL_exp_d_rank_2,exponential,d,2,,,,,,,,,,,,,,,,,,,,4.0529990931403885,0.8384131685389075,4.472027917936239,0.3807507448854339,0.7053729534574018,,,272,272,,,,methodologie_1
FULL,FULL_exp_log_rank_3,exponential,log,3,,,,,,,,,,,,,,,,,,,,4.60905873651948,0.7960100177744391,7.273436761001245,-0.5733950954114297,0.8552653035958295,,,265,265,,,,methodologie_1
FULL,FULL_direct_poly_rank_4,polynomial,log_gap,4,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9729796809533664,0.9774590176242984,0.6576418522417542,5.728072391103733,0.8893925299415097,0.4946259591350265,0.9809622633957448,0.893305119542229,0.9977276800684648,0.2514309986905029,1.4106781654334395,299.0,0.1799457986093748,0.9856602544515708,27.479027034035536,0.8869758996064261,27.47902703403552,0.8823566512991884,4.273053278806217,0.8068322866305868,0.0652176899718788,0.9998682829613053,0.0322245232757238,0.0082445533091879,0.4042287427322658,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_4_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_poly_rank_3,polynomial,log_gap,3,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.9719376256804968,0.9792557278434302,0.6332878085312523,5.92830908085581,0.9164259273606836,0.4299524808179021,0.9842841207622436,0.8116363843296885,0.9988196795496186,0.1812107873614773,1.4107271212564692,299.0,0.1787895960661087,0.9858439362705896,28.156147582842944,0.8813371370726705,28.156147582842927,0.8764874348693321,4.327640347324974,0.8018654351633184,0.0870465438835114,0.9997653534358866,0.0348434379357685,0.0085221431874863,1.0321408734874746,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_3_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_poly_rank_2,polynomial,log_gap,2,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,0.9729355629602072,0.9776017293709474,0.628856379395768,5.96402099934531,0.9565779974061648,0.3099128618723131,0.9874863304581212,0.7242433347061232,0.9997300227936736,0.086665776192412,1.410956691365948,299.0,0.1644868940048409,0.988018239824388,27.62860181300519,0.8857421175470755,27.628601813005172,0.8810724450765903,3.9699054564765586,0.8332682719287332,0.1022203423388205,0.9996764169259208,0.0273839802085424,0.0064452637901513,1.5737323124192026,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_2_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_poly_rank_1,polynomial,log_gap,1,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9710146073645354,0.9788231307844372,0.616107745284548,6.06558703653985,0.912658995261227,0.4395353080178422,0.9821516078621152,0.8649514190708846,0.99869704716903,0.1903918826772699,1.419532349064481,299.0,0.1828661797627454,0.9851910315758644,27.558906373303024,0.8863178404466472,27.558906373303007,0.8816716975333097,4.353413910799873,0.7994983991673061,0.1043884800814709,0.9996625446772126,0.0369719640345313,0.0075481245378952,1.4069317175387637,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_1_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_poly_rank_5,polynomial,log_gap,5,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9726619288076146,0.9770010587465302,0.6296699929916911,5.957480309220316,0.9584558012473204,0.3031376431392338,0.9836929871334684,0.82675984077126,0.9997111618271196,0.0896419666669179,1.410303527321356,299.0,0.171530112665058,0.9869701694309768,26.094823909695737,0.8980758502199309,26.09482390969572,0.8939102523102925,4.111050196001416,0.8212016600724956,0.1282938709335886,0.999490290236665,0.0325319055510512,0.0068117684354138,2.0150821502446825,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_poly_rank_5_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_exp_rank_4,exponential,log_gap,4,tau_peak_MPa_csds + u_r_mm + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_r + sigma_n_div_tau_r,0.8454561988088424,0.8561475062438715,0.3284090653265527,8.022700443073386,0.8272632412253427,0.6181260677905265,0.8695474971858841,2.3383976929473342,0.9987818200963072,0.1840940689300084,1.2108029703531016,299.0,0.5525263927768292,0.8648039264521205,48.30513989640357,0.650735017900281,48.305139896403546,0.6364607023187054,6.573171222128683,0.5429035867003135,0.2694719002124162,0.997751265908023,0.1049662132375869,0.0302780350758281,2.8564374032195854,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_4_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_exp_rank_2,exponential,log_gap,2,u_r_mm + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,0.8563577142469309,0.8555466682105625,0.3309972679318793,8.007226426532293,0.8886155629586092,0.4963601797164381,0.7510456736807519,3.230368040337675,0.9985781038607496,0.1988923224327698,1.221602047126565,299.0,0.5247872460200755,0.8780379919293136,46.50245604586287,0.6763168155051582,46.50245604586285,0.6630880174271145,7.073416182873571,0.4706823856227318,0.2764904908829661,0.997632600598526,0.1091230057662029,0.0297796642932665,2.946682839718948,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_2_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_exp_rank_1,exponential,log_gap,1,u_r_mm + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,0.8675832618992928,0.848491425108822,0.3651105988440399,7.800405905097777,0.8855812349899308,0.5030756580760537,0.7611179688596686,3.164345584221929,0.9987323964279944,0.1877914471212077,1.2294829685606092,299.0,0.5265929495378391,0.8771972469955662,47.93341726481081,0.6560897341556993,47.93341726481079,0.6420342636161319,7.072847289357855,0.4707675250352835,0.3638002269142189,0.995901385561974,0.1128877272669921,0.0263626770177557,5.197426618228049,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_1_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_exp_rank_5,exponential,log_gap,5,u_r_mm + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_r + sigma_n_div_tau_r,0.8398287337425788,0.8578866950538284,0.2829738209090213,8.28963999060366,0.8569600268866008,0.5624881608826389,0.7872968002266854,2.985926943170783,0.9986109555826786,0.1965812752816362,1.207088599960208,299.0,0.5371654631602428,0.872216674294491,46.49460279429056,0.6764261323478544,46.494602794290536,0.6632018020040269,7.011769285044134,0.4798684972842828,0.3666614587605752,0.9958366621168872,0.1146396125549562,0.0308356597478942,5.284061592448748,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_5_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_exp_rank_3,exponential,log_gap,3,u_r_mm + u_p_x_tau_r + tau_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_r,0.8533291318461209,0.84475641201924,0.3030754461963265,8.172615118986133,0.8671746949503126,0.5420322000108049,0.8118462333480277,2.8083331369552975,0.9989613194019308,0.1699906721578275,1.212621813323182,299.0,0.5376927300841433,0.8719656939434668,57.65628880728183,0.5024213639563442,57.65628880728181,0.4820855305875433,6.839645397850206,0.5050912916926871,0.4436359231117042,0.99390512861407,0.1115111077159109,0.0287664986666174,7.034398621931595,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/full/FULL_direct_exp_rank_3_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_poly_rank_2,polynomial,log,2,,,,,,,,,,,,,,,,,,,,0.9169305140355688,0.8732330917637827,1.4598157282527324,0.8795822602050662,0.9387309882514828,,,67,67,,,,methodologie_1
HIGH,HIGH_poly_rank_1,polynomial,log,1,,,,,,,,,,,,,,,,,,,,1.0779288075783813,0.8141566819226134,1.550485845845949,0.8634220071143055,1.077986666467684,,,65,65,,,,methodologie_1
HIGH,HIGH_poly_rank_3,polynomial,log,3,,,,,,,,,,,,,,,,,,,,0.5822998892263226,0.9457674271056458,1.5570334403255528,0.8622660526655223,1.0647319745191672,,,65,65,,,,methodologie_1
HIGH,HIGH_exp_log_rank_5,exponential,log,5,,,,,,,,,,,,,,,,,,,,0.7587811055346206,0.8828795352820185,1.814007217180773,0.8144211841014672,1.1891279356051818,,,61,61,,,,methodologie_1
HIGH,HIGH_exp_d_rank_2,exponential,d,2,,,,,,,,,,,,,,,,,,,,0.692500574567,0.8717872842549741,1.8591219656741416,0.806882657259604,1.2096314870797285,,,60,60,,,,methodologie_1
HIGH,HIGH_exp_log_rank_1,exponential,log,1,,,,,,,,,,,,,,,,,,,,0.7690372378404357,0.8796919992284178,1.889850114066194,0.7985788363994681,1.2130484827913983,,,61,61,,,,methodologie_1
HIGH,HIGH_exp_d_rank_3,exponential,d,3,,,,,,,,,,,,,,,,,,,,0.7275583933124434,0.8923198922458079,1.9106608392630888,0.7941183770977274,1.2176359273875617,,,61,61,,,,methodologie_1
HIGH,HIGH_exp_log_rank_2,exponential,log,2,,,,,,,,,,,,,,,,,,,,0.716455090359244,0.8626995944562621,1.9275084288781863,0.7876075464171253,1.2453946162415357,,,60,60,,,,methodologie_1
HIGH,HIGH_poly_rank_5,polynomial,log,5,,,,,,,,,,,,,,,,,,,,0.5761510549671824,0.9456263446243992,1.9413602123365816,0.7841905626829789,1.1492940106366014,,,65,65,,,,methodologie_1
HIGH,HIGH_exp_log_rank_4,exponential,log,4,,,,,,,,,,,,,,,,,,,,1.5602926166577844,0.647655573557465,1.9613527235931,0.7730043698507353,1.2202346018358805,,,63,63,,,,methodologie_1
HIGH,HIGH_exp_d_rank_1,exponential,d,1,,,,,,,,,,,,,,,,,,,,0.7396592475354234,0.8887082032982225,2.008813848471506,0.7724222677458294,1.2341331381176053,,,61,61,,,,methodologie_1
HIGH,HIGH_exp_log_rank_3,exponential,log,3,,,,,,,,,,,,,,,,,,,,0.9105672710723016,0.8800005179246232,2.021713737083219,0.7588177096305848,1.2295113975476852,,,63,63,,,,methodologie_1
HIGH,HIGH_exp_d_rank_4,exponential,d,4,,,,,,,,,,,,,,,,,,,,0.8946727519033926,0.7367358657461449,2.06961574682672,0.7609306980737462,1.4345524444997126,,,60,60,,,,methodologie_1
HIGH,HIGH_poly_rank_4,polynomial,log,4,,,,,,,,,,,,,,,,,,,,0.7846812004303315,0.8950612375847453,2.1231323593589218,0.7464196127589002,1.1991423109000694,,,64,64,,,,methodologie_1
HIGH,HIGH_exp_d_rank_5,exponential,d,5,,,,,,,,,,,,,,,,,,,,1.2787999560521748,0.7061905851436588,2.413133854848652,0.6641158881206246,1.2996706275386916,,,63,63,,,,methodologie_1
HIGH,HIGH_direct_poly_rank_1,polynomial,log_gap,1,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9656739163027906,0.9240085812957286,0.8684566329978204,0.6421847508455909,0.9153697789372996,0.3819397367496935,0.950789559120894,0.596008324249821,0.9535925659122292,0.8993188802510756,1.3851248519259654,67.0,0.1876637832754794,0.9828416443414326,67.64319558095163,0.8186430702493523,67.64319558095158,0.8191365000217021,0.3624152850644655,0.9801963127528264,0.0997657629977937,0.9994375842800112,0.0729828731052263,0.0575524752894486,0.433165107295733,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_1_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_poly_rank_5,polynomial,log_gap,5,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p,0.913371018316098,0.9463325957972404,0.9723395643628288,0.2944794678363613,0.987210189495227,0.1484787018192567,0.9689819867823524,0.4731846914569383,0.9984689780830828,0.1633468021503091,1.354805469698955,67.0,0.1664260431224363,0.9865054841968144,51.28233292968339,0.8957631040619984,51.28233292968335,0.8960467082667226,0.4725928952430342,0.9663250140071288,0.1061670116074975,0.9993630965808116,0.0778900560922545,0.0694935754987789,0.4296987881494586,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_5_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_poly_rank_3,polynomial,log_gap,3,u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9631921239864982,0.8975478299563661,0.9083800332286738,0.5359454357494374,0.967370786608327,0.2371567056176551,0.9098874403693956,0.8065222637481353,0.9988084358631742,0.144104865553942,1.379684029587148,67.0,0.2280857673876668,0.9746539023971564,66.32925344389427,0.825620213811112,66.32925344389425,0.8260946604083271,0.4048381650016329,0.9752886801278644,0.1581840269123074,0.9985860968928448,0.108757602990023,0.0793522379853526,0.6273939897364704,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_3_b_d_from_e_predictions.csv,methodologie_2
HIGH,HIGH_direct_poly_rank_2,polynomial,log_gap,2,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9714567563190948,0.9137023054081442,0.9391374006881124,0.4368182351287902,0.9757307839264872,0.2045313952212568,0.9694415701979104,0.4696661005733343,0.991736103796248,0.3795005063257698,1.382648161020126,67.0,0.1669073919184348,0.9864273117872928,48.92472080567148,0.9051269998538548,48.924720805671434,0.9053851270890734,0.3330994496559482,0.983270580273854,0.1887533679528288,0.9979868144083698,0.0941009862271984,0.0556080930424754,1.1558370525311312,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/reconstructed_parameters/from_z/high/HIGH_direct_poly_rank_2_b_d_from_e_predictions.csv,methodologie_2
