methodologie,dataset,target,target_label,feature,feature_label,pearson_r,abs_pearson_r,output_file
methodologie_1,LOW_1,d_csds,d,u_p_x_tau_r,$u_p \tau_r$,0.8948688797821815,0.8948688797821815,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_u_p_x_tau_r.png
methodologie_1,LOW_2,d_csds,d,u_p_div_u_r,$u_p/u_r$,0.7559792221019126,0.7559792221019126,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_u_p_div_u_r.png
methodologie_1,LOW_1,d_csds,d,delta_peak_mm,$u_p$ (mm),0.7186017383761952,0.7186017383761952,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_delta_peak_mm.png
methodologie_1,LOW_2,d_csds,d,u_p_x_tau_r,$u_p \tau_r$,0.5255156236425296,0.5255156236425296,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_u_p_x_tau_r.png
methodologie_1,LOW_1,d_csds,d,tau_r_MPa,$\tau_r$ (MPa),0.5045345000774057,0.5045345000774057,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_tau_r_MPa.png
methodologie_1,LOW_1,d_csds,d,u_p_div_u_r,$u_p/u_r$,0.48828623147344763,0.48828623147344763,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_u_p_div_u_r.png
methodologie_1,LOW_1,d_csds,d,tau_p_x_tau_r,$\tau_p \tau_r$,0.4685198267915417,0.4685198267915417,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_tau_p_x_tau_r.png
methodologie_1,FULL,d_csds,d,u_p_x_tau_r,$u_p \tau_r$,0.44390994249889254,0.44390994249889254,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_u_p_x_tau_r.png
methodologie_1,LOW_1,d_csds,d,tau_peak_MPa_csds,$\tau_p$ (MPa),0.4279529926708527,0.4279529926708527,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_1/d_vs_tau_peak_MPa_csds.png
methodologie_1,LOW_2,d_csds,d,delta_peak_mm,$u_p$ (mm),0.41885967733172913,0.41885967733172913,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/low_2/d_vs_delta_peak_mm.png
methodologie_1,FULL,d_csds,d,u_p_div_u_r,$u_p/u_r$,0.39359236750910087,0.39359236750910087,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_u_p_div_u_r.png
methodologie_1,FULL,d_csds,d,tau_peak_MPa_csds,$\tau_p$ (MPa),0.38008381665074564,0.38008381665074564,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/full/d_vs_tau_peak_MPa_csds.png
methodologie_1,HIGH,d_csds,d,u_p_div_u_r,$u_p/u_r$,0.3740236613211637,0.3740236613211637,/Users/hariderarako/Desktop/python/results/comparison/interpretation/scatter_plots/method_specific_target/methodologie_1/high/d_vs_u_p_div_u_r.png
