dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced
FULL,FULL_poly_rank_5,286,40.99697098979786,0.7589889604836659,40.99697098979784,0.7490542181490025,3.599310808896868,0.8681888231266551,0.707297450144368,0.3102612565249321,0.076657593706228,5.233388694569019,286,0.9845042567410917,methodologie_1,,,,polynomial,6,28,delta_peak_mm + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,0.0122601628986478,-0.9845042567410917,-19752.53081526276,2.0,1.0,2.0,1.0,1.55,1.0,1.7,2.0,1.4500000000000002,1.0
FULL,FULL_poly_rank_1,284,41.00685663015048,0.7605037926264208,41.00685663015046,0.7506235094996049,3.4168445001986845,0.8817954356150707,0.7030230762508118,0.3037821801609466,0.0747530028815765,5.232462462125929,284,0.9844760538439672,methodologie_1,,,,polynomial,6,28,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,0.0183772724166837,-0.9844760538439672,-19958.306698106007,1.0,2.0,1.0,5.0,2.2,2.0,1.2999999999999998,1.0,2.75,2.0
FULL,FULL_poly_rank_2,283,45.648211534389304,0.7042969024429604,45.64821153438929,0.6920229262989102,3.3569684097707837,0.8865023877825997,0.7546058601247503,0.3253720383090435,0.0889368977111375,5.232870826176699,283,0.9817455235127958,methodologie_1,,,,polynomial,6,28,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,0.0151683902516037,-0.9817455235127958,-15880.221893676267,3.0,3.0,3.0,4.0,3.25,3.0,2.9999999999999996,3.0,3.4000000000000004,3.0
FULL,FULL_poly_rank_3,285,44.95013052755257,0.7113252955342043,44.950130527552545,0.6993631855225765,3.372761036793567,0.8846733977773887,0.8016262675072376,0.3303719506121895,0.091553705287151,6.103488949236,285,0.979542772716105,methodologie_1,,,,polynomial,6,28,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.0137801826141444,-0.979542772716105,-12547.371439000599,4.0,4.0,4.0,3.0,3.75,4.0,4.0,4.0,3.6000000000000005,4.0
FULL,FULL_poly_rank_4,286,47.67236639692985,0.6740825733801978,47.67236639692984,0.6606747577635788,3.548522431435021,0.8718904182199495,0.9440693739880504,0.3549552061963487,0.087222524056414,8.433838697134437,286,0.9723420083654676,methodologie_1,,,,polynomial,6,28,delta_peak_mm + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,0.0127339461962103,-0.9723420083654676,-3236.124974511454,5.0,5.0,5.0,2.0,4.25,5.0,5.0,5.0,3.8,5.0
FULL,FULL_exp_log_rank_4,274,69.66566543651675,0.3321564730673876,69.66566543651673,0.3046371857627246,4.813762759746951,0.7712336739739387,1.0362607044340382,0.4164738902660231,0.1103830730612524,11.07881402253537,274,0.967325276261832,methodologie_1,,,,exponential,6,7,u_r_mm + tau_r_MPa + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,0.0484796261479563,-0.967325276261832,1965.9119935678598,6.0,6.0,6.0,9.0,6.75,6.0,5.999999999999999,6.0,7.200000000000001,6.0
FULL,FULL_exp_log_rank_5,269,72.33733428940295,0.2923821323582823,72.33733428940292,0.263295910410906,4.414125308279997,0.8100005701143433,1.1346579715144396,0.4660277508675876,0.1168232536181023,11.635874326217872,269,0.9619245223820952,methodologie_1,,,,exponential,6,7,sigma_n_MPa + u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,0.0461239633146176,-0.9619245223820952,6810.625890185107,7.0,7.0,7.0,8.0,7.25,7.0,7.0,7.0,7.4,7.0
FULL,FULL_exp_log_rank_2,270,73.68168183520856,0.263112031424397,73.68168183520855,0.2329911928791829,4.883417422647609,0.7345731352760723,1.3932492378196415,0.5317526717701876,0.137564469686553,12.664626508377404,270,0.94279541237954,methodologie_1,,,,exponential,6,7,u_r_mm + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,0.0427470245957561,-0.94279541237954,17922.4885718008,8.0,8.0,8.0,7.0,7.75,8.0,8.0,8.0,7.600000000000001,8.0
FULL,FULL_exp_log_rank_1,277,69.90645264311718,0.3202577254619186,69.90645264311716,0.2923079520548879,5.487985167556713,0.6940209086812268,1.425996861059341,0.4608755413526198,0.1006588938987142,15.972755053743525,277,0.9373797707620916,methodologie_1,,,,exponential,6,7,u_r_mm + tau_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,0.0495197540919071,-0.9373797707620916,19673.864135093252,9.0,9.0,9.0,10.0,9.25,9.0,9.0,9.0,9.4,9.0
FULL,FULL_exp_d_rank_4,277,75.81643116807557,0.2008191603108589,75.81643116807554,0.167775794643368,4.200912002228442,0.8240577484867583,1.6399973720219123,0.5308119369389865,0.1058753616444705,20.28399332054544,277,0.917540683345406,methodologie_1,,,,exponential,6,7,u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,0.0654830794545283,-0.917540683345406,27420.087067756845,10.0,10.0,10.0,15.0,11.25,10.0,10.0,10.0,12.0,13.0
