,n,mean,median,mode,min,max,variance,std,cv_percent,Q1,Q3,IQR,outlier_low,outlier_high,n_outliers
sigma_n_MPa,232.0,182.36149568965516,0.5,0.5,0.01,5516.0,598704.5645451494,773.7600174118261,424.30010484703394,0.09,5.0,4.91,-7.275,12.365,25.0
delta_peak_mm,232.0,1.0986637931034482,0.75,0.1,0.05,12.65,2.1209865185102252,1.4563607103016152,132.55745019026824,0.33,1.2850000000000001,0.9550000000000001,-1.1025,2.7175000000000002,12.0
tau_peak_MPa_csds,232.0,1.934464224137931,0.94,0.64,0.015,6.22,4.1257222592773175,2.03118740131907,104.99999824107589,0.06949999999999999,4.1775,4.1080000000000005,-6.092500000000001,10.339500000000001,0.0
u_r_mm,232.0,5.053876966316842,2.7318369323167944,1.5666666666666669,0.6167440601439975,28.00018033053748,23.286409801683533,4.825599424080239,95.48312031024832,1.8875,6.96920787962717,5.08170787962717,-5.735061819440754,14.591769699067925,18.0
tau_r_MPa,232.0,1.481062627483976,0.5919804549048673,0.0153092991217785,0.014,4.84,2.753125046933038,1.6592543647473217,112.03134384438943,0.049560149386948055,3.4126875,3.363127350613052,-4.99513087653263,8.457378525919578,0.0
a_csds,232.0,1.481062627483976,0.5919804549048673,0.0153092991217785,0.014,4.84,2.753125046933038,1.6592543647473217,112.03134384438943,0.049560149386948055,3.4126875,3.363127350613052,-4.99513087653263,8.457378525919578,0.0
b_csds,232.0,4.848661956598895,1.054194247662489,0.0008090983306987,0.0008090983306987,137.35939252357494,226.93386009786033,15.064324083670675,310.69033515872445,0.10287866164335517,3.3551060476596066,3.2522273860162514,-4.775462417381022,8.233447126683984,25.0
c_csds,232.0,1.8114504521084513,1.8303512095941015,3.191489361702127,0.178570278511632,8.107090644428094,1.2474043025964907,1.1168725543214368,61.65625744946237,0.7174416499493891,2.6493598862019914,1.9319182362526024,-2.1804357044295144,5.547237240580895,1.0
d_csds,232.0,6.329724584082871,1.8224043859122823,0.0164195869070291,0.0164195869070291,142.19939252357494,246.2071692777702,15.690990066843144,247.89372520726585,0.1357478055560319,6.799922044898727,6.664174239342695,-9.860513553458011,16.79618340391277,11.0
e_csds,232.0,7.912337401944285,3.9976538368394623,0.3027127732951231,0.3027127732951231,77.68977402204777,115.39276273604861,10.742102342467634,135.76395692918751,2.265002678777183,9.392544653790722,7.127541975013539,-8.426310283743126,20.08385761631103,19.0
e_minus_c_csds,232.0,6.100886949835834,2.2443533416040453,0.016998487580837385,0.016998487580837385,73.47363196212504,102.52792636390667,10.12560745653843,165.96943263816576,0.9481101248352406,7.1217230901099535,6.173612965274713,-8.312309323076828,16.382142538022023,19.0
log_d_csds,232.0,0.25490707472818624,0.6000819060283199,-4.109280333189722,-4.109280333189722,4.957230245373904,4.425596470253526,2.1037101678352763,825.2851240313807,-1.9970370816927614,1.9169107753812131,3.9139478570739747,-7.867958867303724,7.787832560992175,0.0
log_e_minus_c_csds,232.0,0.8965516142605864,0.8083868538026513,-4.07463090471671,-4.07463090471671,4.296926593038415,2.105451963687329,1.4510175614675822,161.84428630629156,-0.053302827912470103,1.9631432885645703,2.0164461164770406,-3.077972002628031,4.9878124632801315,3.0
