sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.4179899751219196,1.818181818181818,0.4497399751219196,2.157563100441895,0.3378574341213457,0.3378574341213457,0.3378574341213457,0.3378574341213457,-1.2836791863576562,1.2836791863576562,0.0036131445600225617,0.0029402247227139915,0.7168894476381344,True,FULL,FULL_exp_d_rank_3
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.1981885393929745,1.6666666666666667,0.2264385393929745,2.021082101604772,0.1424643541663827,0.1424643541663827,0.1424643541663827,0.1424643541663827,-0.9868728049732098,0.9868728049732098,0.0013358816076698007,0.001096175766084454,0.939391085817337,True,FULL,FULL_exp_d_rank_3
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.105333832177673,1.6666666666666667,0.130833832177673,2.1551485576996567,0.0764465876624379,0.0764465876624379,0.07644658766243789,0.07644658766243789,-1.1350726414600172,1.1350726414600172,0.0010332301868658444,0.0008626549208073926,0.9488371333258276,True,FULL,FULL_exp_d_rank_3
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.4177719363219956,1.4285714285714286,0.4595219363219955,1.9488433633123752,0.38227385177286843,0.38227385177286843,0.38227385177286843,0.38227385177286843,-2.055816208560856,2.055816208560856,0.014970350873778031,0.01145614172071769,-3.6277150683605885,True,FULL,FULL_exp_d_rank_3
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.1408647772135124,1.4285714285714286,0.1748647772135124,1.7754402789090151,0.0738023432970837,0.0738023432970837,0.0738023432970837,0.0738023432970837,-0.5913540457121287,0.5913540457121287,0.0019753223738673614,0.0011567526589166288,0.9067153342737141,True,FULL,FULL_exp_d_rank_3
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0107325287521928,1.25,0.0437325287521928,2.3906968509535473,-0.0226976915682955,0.0226976915682955,-0.0226976915682955,0.0226976915682955,0.2934029112108809,0.2934029112108809,0.0012487245010722838,0.0009389364024502651,0.9594713174439222,True,FULL,FULL_exp_d_rank_3
17,2.76,10.5,3.72,3.5425,3.5425,0.8694826394566157,0.4761904761904761,4.411982639456616,1.5814976920825412,3.5425,0.3767742925498623,0.4761904761904761,3.9192742925498623,1.808172090957971,-0.49270834690675347,0.49270834690675347,-0.49270834690675347,0.49270834690675347,0.22667439887542984,0.22667439887542984,0.04898527381881955,0.033669875781900116,0.9920635259121923,True,FULL,FULL_exp_d_rank_3
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,1.2725261831424497,0.4761904761904761,13.71002618314245,1.6565881500274393,0.5600810994664744,0.5600810994664744,0.5600810994664744,0.5600810994664744,-0.297357029789733,0.297357029789733,0.151675264794235,0.07091324324027584,0.9932880170984046,True,FULL,FULL_exp_d_rank_3
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,0.7129682726530577,0.4166666666666667,1.5654682726530578,1.9045487158470864,0.3346860938086471,0.3346860938086471,0.3346860938086469,0.3346860938086469,-0.47462725038429787,0.47462725038429787,0.05125999385555941,0.03283048419646561,0.8142134891746852,True,FULL,FULL_exp_d_rank_3
20,1.71,12.0,2.57,1.7327500000000002,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,1.7327500000000002,0.2266940038500249,0.4166666666666667,1.9594440038500252,2.789944706088323,-1.9836216185239222,1.9836216185239222,-1.9836216185239222,1.9836216185239222,1.1692211342899528,1.1692211342899528,0.30926165045965076,0.19938617390728816,0.22865915871808795,True,FULL,FULL_exp_d_rank_3
