u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name,Best_Model_Degree
10.5,1.64,4.17,3.725,4.895058888506973,0.39714285714285713,19.559962219555157,Model_148_deg1,1
10.5,2.76,3.72,3.5425,4.411982639456616,0.3542857142857143,25.24414428484934,Model_148_deg1,1
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,0.21416666666666664,0.08603914773395616,Model_148_deg1,1
3.25,0.87,2.35,1.9075,4.610902999506291,0.7230769230769231,8.693120984252541,Model_148_deg1,1
2.425,0.6,4.93,4.2975,7.408370023650559,2.0329896907216494,14.132001757192889,Model_148_deg1,1
2.175,0.3,4.71,4.1925,5.403668346774408,2.1655172413793107,7.131908271835719,Model_148_deg1,1
2.2,0.47,4.91,4.25,6.841599192776869,2.231818181818182,9.66296873624836,Model_148_deg1,1
2.625,1.5,3.89,3.6325,14.118629835864668,1.481904761904762,19.966671142715775,Model_148_deg1,1
2.566666666666667,1.46,4.68,4.1066666666666665,34.69988213998113,1.823376623376623,22.522690666367716,Model_148_deg1,1
2.175,0.35,4.68,4.205,5.488914851902833,2.1517241379310343,7.496301808596428,Model_148_deg1,1
2.175,0.57,4.24,4.0125,5.131835000811389,1.949425287356322,8.197773728967945,Model_148_deg1,1
2.566666666666667,1.25,4.37,3.77,21.3711784506471,1.7025974025974024,19.300810366594916,Model_148_deg1,1
2.1775,0.23,4.79,3.54875,6.003985500457103,2.1997703788748564,6.773106384085715,Model_148_deg1,1
2.19,1.52,4.53,3.98,88.46453784563569,2.068493150684932,17.86264898596105,Model_148_deg1,1
2.29,1.53,3.84,3.5879999999999996,24.817112109709115,1.6768558951965065,17.025927281381446,Model_148_deg1,1
2.0033333333333334,0.44,4.09,3.8813333333333335,4.6659060440256,2.0415973377703827,4.068610536643369,Model_148_deg1,1
2.175,0.29,4.72,4.314,5.226790203475336,2.170114942528736,7.070742027358598,Model_148_deg1,1
2.1725,0.38,3.22,2.8175,4.027055137350846,1.4821634062140392,3.468244230544922,Model_148_deg1,1
2.215,0.46,4.54,3.755,6.8100946555112305,2.049661399548533,8.669931842696982,Model_148_deg1,1
2.16,0.28,4.98,3.80875,6.5294753448886285,2.305555555555556,7.487207946874072,Model_148_deg1,1
2.195,0.33,4.91,4.2615,5.924419564940657,2.2369020501138954,8.316030315261237,Model_148_deg1,1
2.2025,0.38,4.61,3.49275,7.034502760595067,2.0930760499432464,7.9778372904603145,Model_148_deg1,1
2.1925,0.42,4.74,4.255,5.8557301765707,2.1619156214367163,8.57987683560576,Model_148_deg1,1
2.6033333333333335,0.99,4.93,4.496666666666667,9.455876145186672,1.8937259923175414,19.734738354034427,Model_148_deg1,1
2.5733333333333337,1.23,4.22,4.026666666666666,7.74122003841179,1.6398963730569944,18.539531552896012,Model_148_deg1,1
2.1725,0.43,4.53,3.8975,6.138786714707432,2.085155350978136,7.743095341204544,Model_148_deg1,1
3.1775,1.84,4.39,3.69,51.88152690534491,1.3815892997639652,29.004463349707226,Model_148_deg1,1
2.566666666666667,1.3,4.2,3.9333333333333336,10.666176341529724,1.6363636363636362,19.027813739374373,Model_148_deg1,1
2.1775,0.67,4.06,3.745,5.907719354979028,1.864523536165327,8.60791902422234,Model_148_deg1,1
2.563333333333333,1.11,4.61,4.293333333333333,9.21138452802538,1.7984395318595583,19.024715411664552,Model_148_deg1,1
2.17,0.32,4.74,4.0465,5.80309001190173,2.184331797235023,7.32116203651821,Model_148_deg1,1
2.6333333333333333,1.47,3.8,3.616,9.76564024424423,1.4430379746835442,19.356757521378334,Model_148_deg1,1
3.1,1.93,4.22,4.0145,14.837057992923611,1.361290322580645,28.469544427322386,Model_148_deg1,1
3.85,3.11,4.79,4.4285,110.04621145632456,1.2441558441558442,45.601486607140934,Model_148_deg1,1
28.00018033053748,4.54,3.73,3.372542584212134,4.343103435426621,0.13321342776967754,-11.289634355394526,Model_148_deg1,1
15.0,7.68,2.36,1.9943333333333333,16.011222974188158,0.15733333333333333,42.94524545951984,Model_148_deg1,1
17.5,12.65,2.87,2.478,88.02266261294648,0.164,85.59749949071772,Model_148_deg1,1
13.0,1.07,2.417,1.547,3.0359207977309928,0.1859230769230769,-10.20866064758299,Model_148_deg1,1
13.0,1.08,4.482,3.316,5.292113495505316,0.3447692307692308,11.00489857072241,Model_148_deg1,1
15.0,0.78,3.232,2.23,3.6162854300913425,0.21546666666666667,-10.373121291565644,Model_148_deg1,1
15.0,2.08,4.233,3.386,5.454140731869376,0.28219999999999995,11.820167917867117,Model_148_deg1,1
15.0,1.56,2.845,1.821,3.870502462074933,0.18966666666666668,-7.352583748238352,Model_148_deg1,1
15.0,1.9,4.37,3.015,6.174917494621263,0.29133333333333333,11.620298901734463,Model_148_deg1,1
1.6652089623887931,0.27,2.655,1.3036485066778338,5.913938435670004,1.5943944934041918,-4.623898744982615,Model_148_deg1,1
3.083720300719987,0.5,2.417,0.6555920235894309,7.783373274827283,0.7837935235033082,5.513591878255925,Model_148_deg1,1
1.7885577744175924,0.29,3.214,1.959240530267265,5.94873324311999,1.7969785745649585,-2.1697650276727707,Model_148_deg1,1
2.7136738646335887,0.44,3.179,1.959240530267265,5.822995088811631,1.1714745981198598,7.694688297145483,Model_148_deg1,1
2.590325052604789,0.42,4.293,1.959240530267265,10.103502878345669,1.6573209588823723,11.679501300615769,Model_148_deg1,1
1.6652089623887931,0.27,1.816,0.6555920235894309,4.99596556846492,1.090553822983809,-4.828512762321987,Model_148_deg1,1
3.392092330791986,0.55,3.752,1.3488617496840016,10.348266553301816,1.106101967196153,14.429745524799703,Model_148_deg1,1
11.101393082591954,1.8,3.8,2.3726672172613705,6.873786646011853,0.34229938276474176,15.767816156801956,Model_148_deg1,1
8.017672781871967,1.3,3.7,1.9806931592524069,7.687433215751687,0.4614805443751377,17.841097375030976,Model_148_deg1,1
9.25116090215996,1.5,2.94,0.5553062574145964,11.123585210138952,0.3177979532615814,9.485880770624615,Model_148_deg1,1
