u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
2.75,0.72,0.044,0.03175,0.1118825410005739,0.016,1.6287626644942659,Model_148
3.0,0.92,0.035,0.02825,0.0839741852265918,0.011666666666666667,0.13399304098720322,Model_148
3.0,0.97,0.029,0.0255,0.0543872445152351,0.009666666666666667,-0.2725713667907881,Model_148
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,0.014285714285714287,1.3983730936311645,Model_148
3.5,1.25,0.04,0.034,0.1010624339164287,0.011428571428571429,-2.033796845898644,Model_148
4.0,1.8,0.035,0.033,0.0664302203204883,0.00875,-5.355208238978635,Model_148
10.5,1.64,4.17,3.725,4.895058888506973,0.39714285714285713,10.13168411680789,Model_148
10.5,1.61,13.41,12.8475,14.242118957186936,1.2771428571428571,34.219082607130574,Model_148
10.5,2.76,3.72,3.5425,4.411982639456616,0.3542857142857143,6.000020027163771,Model_148
10.5,3.07,12.57,12.4375,13.149945083675975,1.197142857142857,26.7783723417173,Model_148
12.0,1.55,1.02,0.8525,1.2307821788444109,0.085,-0.17884302101705973,Model_148
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,0.21416666666666664,4.704005491183306,Model_148
12.0,1.67,7.53,5.32,10.93717256215566,0.6275000000000001,20.919703385696856,Model_148
12.0,1.67,19.67,18.994999999999997,20.522374041685623,1.6391666666666669,55.25755556205644,Model_148
16.0,0.84,8.44,7.47,8.795558292779953,0.5275,38.378704913002686,Model_148
16.0,1.81,7.62,7.29,7.931918507722547,0.47625,24.156794615701827,Model_148
3.25,0.87,2.35,1.9075,4.610902999506291,0.7230769230769231,7.990129302289844,Model_148
1.325,0.13,1.02,0.6675,1.3413254010838505,0.769811320754717,-0.9552071324821974,Model_148
2.425,0.6,4.93,4.2975,7.408370023650559,2.0329896907216494,14.115112496557714,Model_148
3.85,2.17,16.37,14.955,75.6291478801731,4.251948051948052,135.01688365754273,Model_148
1.275,0.24,0.66,0.475,1.150857131382728,0.5176470588235295,1.600891466576397,Model_148
2.175,0.3,4.71,4.1925,5.403668346774408,2.1655172413793107,1.7265578926706873,Model_148
4.125,2.26,16.14,11.3475,434.1462490320256,3.912727272727273,121.84490497653944,Model_148
1.525,0.47,1.07,0.6975,4.743013966857158,0.7016393442622951,3.66100673083635,Model_148
2.2,0.47,4.91,4.25,6.841599192776869,2.231818181818182,10.969292685847641,Model_148
3.625,1.48,14.91,14.235,22.467456046268985,4.113103448275862,80.19885489959515,Model_148
1.325,0.11,0.89,0.5625,1.1264971811696871,0.6716981132075472,-0.5226097657958046,Model_148
2.175,0.26,5.3,4.1,6.69109713063318,2.4367816091954024,0.31465489456192586,Model_148
3.35,0.54,15.9,14.4675,18.319969877296927,4.746268656716418,2.740330054178358,Model_148
1.35,0.3,0.88,0.635,1.8001130574348498,0.6518518518518518,1.6768816808987435,Model_148
2.175,0.38,5.2,4.3975,6.850188320111813,2.3908045977011496,7.240177383344701,Model_148
3.35,0.71,16.28,14.8375,20.210844828404188,4.859701492537313,21.001618192969858,Model_148
1.475,0.88,0.58,0.535,2.8993732180319176,0.3932203389830508,4.249115124251599,Model_148
2.625,1.5,3.89,3.6325,14.118629835864668,1.481904761904762,37.68936445060309,Model_148
4.1,2.87,13.67,13.42,30.12555661494642,3.334146341463415,147.82894442356888,Model_148
1.5,0.79,0.8,0.665,6.831849946093346,0.5333333333333333,5.549537780841085,Model_148
2.175,0.6,5.04,4.655,6.796531174694559,2.317241379310345,19.32139281213516,Model_148
4.125,2.37,16.38,14.3675,127.0939689844744,3.9709090909090907,132.0129013049169,Model_148
2.566666666666667,1.46,4.68,4.1066666666666665,34.69988213998113,1.823376623376623,47.03290187827195,Model_148
4.75,4.16,15.04,14.775,73.3064735148253,3.166315789473684,192.9898539130666,Model_148
1.85,1.26,0.94,0.785,27.936829140946248,0.508108108108108,8.284919484669931,Model_148
4.466666666666667,3.13,15.58,14.793333333333337,89.8166166948957,3.488059701492537,156.94199882819078,Model_148
1.85,1.15,0.71,0.65,4.6433470021604135,0.38378378378378375,4.928058759265824,Model_148
2.175,0.35,4.68,4.205,5.488914851902833,2.1517241379310343,4.287772544530938,Model_148
3.85,0.63,16.18,14.365,19.38959639135109,4.202597402597402,-0.5129994341871651,Model_148
1.5666666666666669,0.45,0.87,0.6366666666666667,2.4910377730436024,0.5553191489361702,3.1210258020857093,Model_148
2.175,0.58,5.35,4.42,9.956345178531912,2.4597701149425286,19.88992254369981,Model_148
3.875,0.94,16.28,13.935,25.28426092348121,4.201290322580645,25.570755681053612,Model_148
1.5666666666666669,0.13,0.97,0.8033333333333333,1.0815597509199169,0.6191489361702127,0.21437687623082002,Model_148
2.85,2.38,5.22,4.84,142.19939252357494,1.831578947368421,81.98040350415395,Model_148
4.125,2.68,16.95,15.5375,132.25156105996982,4.109090909090909,161.2873809178176,Model_148
1.6,0.71,1.14,0.9133333333333334,6.610164230147195,0.7124999999999999,6.6967147895701515,Model_148
2.2,0.76,5.03,4.68,7.712642885735885,2.286363636363636,27.66537569160596,Model_148
4.125,2.73,15.88,13.97,233.99903798852773,3.84969696969697,156.39776705965483,Model_148
1.5666666666666669,0.63,1.42,0.9733333333333332,11.618262835999383,0.9063829787234041,7.417712371521368,Model_148
2.175,0.34,5.0,4.24,6.288275754310518,2.298850574712644,4.425297510418169,Model_148
4.533333333333333,3.13,14.91,14.596666666666666,34.951343689537204,3.288970588235294,146.59233160015623,Model_148
1.5666666666666669,0.49,0.79,0.63,2.0368332196782206,0.5042553191489362,3.3027840916443303,Model_148
2.566666666666667,1.69,5.04,4.426666666666667,73.62440945077007,1.9636363636363634,61.81582015751883,Model_148
4.466666666666667,3.12,16.37,15.163333333333334,153.12497479620956,3.6649253731343285,163.08291242336213,Model_148
1.5666666666666669,0.18,0.87,0.6,1.17786521425927,0.5553191489361702,1.0996013775358513,Model_148
2.175,0.42,5.1,3.8825,8.364535276937978,2.344827586206897,9.260194209368727,Model_148
3.85,1.09,15.19,13.3025,25.12413306168001,3.9454545454545453,38.43375153594876,Model_148
1.5666666666666669,0.47,0.66,0.5066666666666667,1.7861116090877074,0.4212765957446808,3.0697702360388543,Model_148
2.175,0.57,4.24,4.0125,5.131835000811389,1.949425287356322,13.699721273090784,Model_148
4.7,4.13,14.9,13.285,1227.1610619263406,3.1702127659574466,193.6982334684862,Model_148
1.5666666666666669,0.18,0.88,0.4966666666666666,1.346155735064614,0.5617021276595744,1.0559520139622807,Model_148
2.566666666666667,1.25,4.37,3.77,21.3711784506471,1.7025974025974024,35.331771493646926,Model_148
4.5,3.62,14.62,13.843333333333334,187.6300218053348,3.2488888888888887,176.0728052670442,Model_148
1.5633333333333332,0.11,1.04,0.5006666666666667,1.3643096499673495,0.6652452025586355,-0.3567178320806539,Model_148
2.1775,0.23,4.79,3.54875,6.003985500457103,2.1997703788748564,-1.9177324717621964,Model_148
3.9275,0.39,14.13,12.93,15.108980729198466,3.597708465945258,-15.005083273520484,Model_148
1.5566666666666666,0.21,0.75,0.4896666666666667,1.143850397052409,0.48179871520342615,1.7713844775004546,Model_148
