Dataset,Selection_Mode,Rank_in_saved_results,N_Features,Features,Intercept_log_d,Equation_log_d,Equation_d,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_cv_std_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_Selection_Score
LOW_2,log,1,4,u_p_div_u_r + tau_r_MPa + u_r_div_u_p + tau_r_div_tau_p,2.172679945157883,log(d_csds) = 2.1726799452 + 4.7303277751*u_p_div_u_r + 0.4034968421*tau_r_MPa + 0.0492118753*u_r_div_u_p - 3.7337177989*tau_r_div_tau_p,d_csds = exp(2.1726799452 + 4.7303277751*u_p_div_u_r + 0.4034968421*tau_r_MPa + 0.0492118753*u_r_div_u_p - 3.7337177989*tau_r_div_tau_p),0.959451469117315,0.7946262180154052,0.1480452469482824,0.8778965960941025,12.185202524050776,1.3019600534301894
LOW_2,log,2,3,tau_r_div_tau_p + tau_r_MPa + u_p_div_u_r,2.647027547188538,log(d_csds) = 2.6470275472 - 3.9267817505*tau_r_div_tau_p + 0.4238389263*tau_r_MPa + 4.2198671262*u_p_div_u_r,d_csds = exp(2.6470275472 - 3.9267817505*tau_r_div_tau_p + 0.4238389263*tau_r_MPa + 4.2198671262*u_p_div_u_r),0.95300474691645,0.7813817121850031,0.1462036323482902,0.8260862690542923,14.542390496586789,1.2990752397741223
LOW_2,log,3,4,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa,2.596816379484963,log(d_csds) = 2.5968163795 + 0.0038130202*u_r_x_tau_r + 4.2880935246*u_p_div_u_r - 4.1378614593*tau_r_div_tau_p + 0.4620967930*tau_r_MPa,d_csds = exp(2.5968163795 + 0.0038130202*u_r_x_tau_r + 4.2880935246*u_p_div_u_r - 4.1378614593*tau_r_div_tau_p + 0.4620967930*tau_r_MPa),0.956895334556514,0.7914772340446552,0.1377048638351235,0.8693561139904824,12.604145596178524,1.298863465195329
LOW_2,log,4,4,tau_r_div_tau_p + tau_p_x_tau_r + u_p_div_u_r + u_r_div_u_p,2.1628486496770343,log(d_csds) = 2.1628486497 - 2.7798348772*tau_r_div_tau_p + 0.0425499576*tau_p_x_tau_r + 4.7340995708*u_p_div_u_r + 0.0487885689*u_r_div_u_p,d_csds = exp(2.1628486497 - 2.7798348772*tau_r_div_tau_p + 0.0425499576*tau_p_x_tau_r + 4.7340995708*u_p_div_u_r + 0.0487885689*u_r_div_u_p),0.9585596720908138,0.7897286677745384,0.1461306118234117,0.8783753731683226,12.161289489871136,1.298810944795742
LOW_2,log,5,4,u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa + u_r_mm,2.545161822918188,log(d_csds) = 2.5451618229 + 4.2925990098*u_p_div_u_r - 4.1396539297*tau_r_div_tau_p + 0.4764054370*tau_r_MPa + 0.0129485914*u_r_mm,d_csds = exp(2.5451618229 + 4.2925990098*u_p_div_u_r - 4.1396539297*tau_r_div_tau_p + 0.4764054370*tau_r_MPa + 0.0129485914*u_r_mm),0.95724258013353,0.7906911664457187,0.1381209616994763,0.868875664723219,12.627300507691906,1.2987760671864417
LOW_2,d,1,6,u_r_div_u_p + u_p_x_tau_p + tau_r_MPa + u_p_div_u_r + u_p_div_tau_r + tau_r_div_tau_p,2.2214958628709005,log(d_csds) = 2.2214958629 + 0.0494878800*u_r_div_u_p + 0.0353771821*u_p_x_tau_p + 0.3736478047*tau_r_MPa + 4.4958164777*u_p_div_u_r - 0.3046980367*u_p_div_tau_r - 3.6649125421*tau_r_div_tau_p,d_csds = exp(2.2214958629 + 0.0494878800*u_r_div_u_p + 0.0353771821*u_p_x_tau_p + 0.3736478047*tau_r_MPa + 4.4958164777*u_p_div_u_r - 0.3046980367*u_p_div_tau_r - 3.6649125421*tau_r_div_tau_p),0.9357939070493247,0.8096195392597787,0.1375186557027792,0.9434776529367562,8.290466332124057,1.2745355569963677
LOW_2,d,2,6,tau_r_div_tau_p + tau_r_MPa + u_p_x_tau_p + u_p_div_u_r + u_r_x_tau_p + u_r_div_u_p,2.1244029749655926,log(d_csds) = 2.1244029750 - 3.6397933000*tau_r_div_tau_p + 0.3918682501*tau_r_MPa + 0.0404209065*u_p_x_tau_p + 4.3002857046*u_p_div_u_r - 0.0049493912*u_r_x_tau_p + 0.0585347844*u_r_div_u_p,d_csds = exp(2.1244029750 - 3.6397933000*tau_r_div_tau_p + 0.3918682501*tau_r_MPa + 0.0404209065*u_p_x_tau_p + 4.3002857046*u_p_div_u_r - 0.0049493912*u_r_x_tau_p + 0.0585347844*u_r_div_u_p),0.9376884300679856,0.8065758704586831,0.125130207924484,0.9410782831340802,8.464602389665941,1.2718531975709733
LOW_2,d,3,6,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa + u_r_div_u_p + u_r_x_tau_r,2.1903269574434407,log(d_csds) = 2.1903269574 + 0.0413161532*u_p_x_tau_r + 4.3035702011*u_p_div_u_r - 3.7427562706*tau_r_div_tau_p + 0.4029961457*tau_r_MPa + 0.0534293448*u_r_div_u_p - 0.0044403600*u_r_x_tau_r,d_csds = exp(2.1903269574 + 0.0413161532*u_p_x_tau_r + 4.3035702011*u_p_div_u_r - 3.7427562706*tau_r_div_tau_p + 0.4029961457*tau_r_MPa + 0.0534293448*u_r_div_u_p - 0.0044403600*u_r_x_tau_r),0.9552727040007084,0.8049573020885564,0.1390266596723678,0.9403685669873834,8.515428157838508,1.2689445520644247
LOW_2,d,4,6,u_p_div_u_r + tau_r_MPa + tau_r_div_tau_p + u_r_div_u_p + u_p_x_tau_r + tau_r_div_u_r,2.237064759827272,log(d_csds) = 2.2370647598 + 4.4063171288*u_p_div_u_r + 0.3277581059*tau_r_MPa - 3.8411292607*tau_r_div_tau_p + 0.0530000825*u_r_div_u_p + 0.0412299439*u_p_x_tau_r + 0.1568307548*tau_r_div_u_r,d_csds = exp(2.2370647598 + 4.4063171288*u_p_div_u_r + 0.3277581059*tau_r_MPa - 3.8411292607*tau_r_div_tau_p + 0.0530000825*u_r_div_u_p + 0.0412299439*u_p_x_tau_r + 0.1568307548*tau_r_div_u_r),0.9577633166861628,0.797044397532806,0.1145511133149025,0.9403328959547604,8.517974706596872,1.267399983389673
LOW_2,d,5,6,u_p_div_u_r + u_p_div_tau_r + tau_r_div_tau_p + u_p_x_tau_r + u_r_div_u_p + tau_r_MPa,2.3137814877072644,log(d_csds) = 2.3137814877 + 4.4602453627*u_p_div_u_r - 0.2273969229*u_p_div_tau_r - 3.8214551641*tau_r_div_tau_p + 0.0369361097*u_p_x_tau_r + 0.0472411048*u_r_div_u_p + 0.3878507365*tau_r_MPa,d_csds = exp(2.3137814877 + 4.4602453627*u_p_div_u_r - 0.2273969229*u_p_div_tau_r - 3.8214551641*tau_r_div_tau_p + 0.0369361097*u_p_x_tau_r + 0.0472411048*u_r_div_u_p + 0.3878507365*tau_r_MPa),0.9588813754196316,0.801726199370333,0.1391964586523603,0.939034338906806,8.610165712052561,1.2659777927267364
