dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
HIGH,HIGH_direct_poly_rank_5,67,69.20903763308303,0.8101495883911162,69.20903763308299,0.8106661269403158,0.3199519892030693,0.9845651406525157,0.22734796277645702,0.09996963106342134,0.0397561449490089,1.4805340117685306,67,0.9970793700915834,67,67,67
HIGH,HIGH_direct_poly_rank_3,67,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.32135271652398056,0.9844296993650868,0.2270784727674752,0.10015368309323743,0.040583517102727,1.4758695770194958,67,0.9970862900048503,67,67,67
HIGH,HIGH_direct_poly_rank_4,67,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.32135271652398056,0.9844296993650868,0.2270784727674752,0.10015368309323743,0.040583517102727,1.4758695770194958,67,0.9970862900048503,67,67,67
HIGH,HIGH_direct_poly_rank_1,67,69.28449773370022,0.809735366731728,69.28449773370018,0.8102530322811441,0.2912155912031618,0.9872131876333075,0.23979535551068315,0.10478493421379817,0.0539032977091779,1.60835104699558,67,0.996750803858919,67,67,67
HIGH,HIGH_direct_poly_rank_2,67,69.28449773370022,0.809735366731728,69.28449773370018,0.8102530322811441,0.29121559120316226,0.9872131876333073,0.23979535551068365,0.10478493421379838,0.0539032977091781,1.6083510469955833,67,0.996750803858919,67,67,67
HIGH,HIGH_direct_exp_rank_3,67,92.57997119758164,0.66028086853829,92.57997119758161,0.6612051648082505,0.6320202564319503,0.9397724713914605,0.3181177379772846,0.17210920556706602,0.1076881466136628,2.07393703407843,67,0.9942816574751151,67,67,67
HIGH,HIGH_direct_exp_rank_4,67,95.11177531533157,0.6414460604337979,95.11177531533154,0.6424216018096831,0.7202476972966879,0.9217837835536438,0.22830561001708724,0.1791037028396608,0.1536464938213485,0.690318892880275,67,0.9970547134037981,67,67,67
HIGH,HIGH_direct_exp_rank_2,67,93.76751804574918,0.651509644190319,93.76751804574914,0.6524578049094584,0.7019128214799059,0.92571529584424,0.3186249874631044,0.18276289017917144,0.1181330994289336,1.986183291783171,67,0.9942634067551314,67,67,67
HIGH,HIGH_direct_exp_rank_1,67,94.26269093606082,0.647819269941898,94.26269093606079,0.6487774713059014,0.7382159391361436,0.9178325360295424,0.35176647191973565,0.19411874094923226,0.126912044499648,2.2235535530159023,67,0.9930079700426989,67,67,67
HIGH,HIGH_direct_exp_rank_5,67,94.2626909360607,0.647819269941899,94.26269093606066,0.6487774713059025,0.7382159391361448,0.9178325360295421,0.3517664719197359,0.19411874094923237,0.1269120444996482,2.2235535530159054,67,0.9930079700426989,67,67,67
