sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
15,1.64,10.5,4.17,3.725,3.725,1.1700588885069725,0.4761904761904761,4.895058888506973,2.4309486751406535,3.725,1.3942605144577782,0.4761904761904761,5.119260514457778,1.997157294835166,0.22420162595080573,0.22420162595080573,0.22420162595080573,0.22420162595080573,-0.4337913803054876,0.4337913803054876,0.0619981337448943,0.0292397680749145,0.9852966424753912,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
17,2.76,10.5,3.72,3.5425,3.5425,0.8694826394566157,0.4761904761904761,4.411982639456616,1.5814976920825412,3.5425,0.8375698569267915,0.4761904761904761,4.3800698569267915,1.638959706295184,-0.03191278252982421,0.03191278252982421,-0.03191278252982421,0.03191278252982421,0.05746201421264274,0.05746201421264274,0.0125301930097499,0.0054972629646795,0.9994807075073854,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
29,0.6,2.425,4.93,4.2975,4.2975,3.110870023650559,2.061855670103093,7.408370023650559,5.517814597970529,4.2975,3.163924518583542,2.061855670103093,7.461424518583542,5.437385484240429,0.053054494932982976,0.053054494932982976,0.053054494932982976,0.053054494932982976,-0.08042911373009964,0.08042911373009964,0.0069807539103723,0.00379834177155,0.99990322998759,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
32,0.3,2.175,4.71,4.1925,4.1925,1.211168346774408,2.298850574712644,5.403668346774408,13.642584509493682,4.1925,1.2186224506065235,2.298850574712644,5.411122450606523,13.511757281116568,0.007454103832115422,0.007454103832115422,0.007454103832115422,0.007454103832115422,-0.13082722837711458,0.13082722837711458,0.0032792707061705,0.0013361752682644,0.9999650413469804,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
35,0.47,2.2,4.91,4.25,4.25,2.5915991927768687,2.2727272727272725,6.841599192776869,7.213346651196478,4.25,2.5862516887747056,2.2727272727272725,6.836251688774706,7.228708628195701,-0.005347504002163106,0.005347504002163106,-0.005347504002163106,0.005347504002163106,0.015361976999223259,0.015361976999223259,0.0009478688331892,0.0004915597985517,0.9999980074053983,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
38,0.26,2.175,5.3,4.1,4.1,2.5910971306331803,2.298850574712644,6.69109713063318,13.042743993933716,4.1,2.606879602529527,2.298850574712644,6.7068796025295265,12.906382804111823,0.015782471896346628,0.015782471896346628,0.015782471896346628,0.015782471896346628,-0.13636118982189238,0.13636118982189238,0.0040845992576795,0.0020263275349811,0.9999575050686828,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
41,0.38,2.175,5.2,4.3975,4.3975,2.452688320111813,2.298850574712644,6.850188320111813,9.031706106944794,4.3975,2.364036439869512,2.298850574712644,6.761536439869512,9.478765767852796,-0.08865188024230086,0.08865188024230086,-0.08865188024230086,0.08865188024230086,0.44705966090800153,0.44705966090800153,0.0211321723279448,0.010345309667962,0.9989910867030382,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
44,1.5,2.625,3.89,3.6325,3.6325,10.486129835864666,1.9047619047619049,14.118629835864668,2.474961892115721,3.6325,10.951510750145228,1.9047619047619049,14.584010750145229,2.4468015467518267,0.46538091428056205,0.46538091428056205,0.4653809142805603,0.4653809142805603,-0.028160345363894113,0.028160345363894113,0.00712659940106,0.0043169872636076,0.9999029439330784,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
47,0.6,2.175,5.04,4.655,4.655,2.141531174694559,2.298850574712644,6.796531174694559,6.310564627174357,4.655,1.9738980521658969,2.298850574712644,6.628898052165897,6.802155491023232,-0.16763312252866203,0.16763312252866203,-0.16763312252866225,0.16763312252866225,0.4915908638488746,0.4915908638488746,0.0376900512702447,0.0182193808485967,0.9975299559238392,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
49,1.46,2.566666666666667,4.68,4.1066666666666665,4.1066666666666665,30.593215473314466,1.948051948051948,34.69988213998113,2.300589855794831,4.1066666666666665,28.376941655458698,1.948051948051948,32.48360832212536,2.3327919706285054,-2.216273817855768,2.216273817855768,-2.2162738178557646,2.2162738178557646,0.03220211483367441,0.03220211483367441,0.0134732108269771,0.0084219362249267,0.999753675376686,True,True,True,True,LOW_2,LOW_2_direct_poly_rank_4
