dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file
HIGH,HIGH_direct_poly_rank_3,polynomial,log_gap,3,delta_peak_mm + u_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.968709852623982,0.8894386581528697,0.9961470642762336,0.1099059978796695,1.371886419390325,67,0.20684259985309889,0.9791553452346062,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.32135271652398056,0.9844296993650868,0.2270784727674752,0.9970862900048503,0.10015368309323747,0.040583517102727035,1.4758695770194958,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_3_b_d_from_e_predictions.csv
HIGH,HIGH_direct_poly_rank_4,polynomial,log_gap,4,delta_peak_mm + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.968709852623982,0.8894386581528697,0.9961470642762336,0.1099059978796695,1.371886419390325,67,0.20684259985309889,0.9791553452346062,69.57605680196689,0.8081306758998109,69.57605680196684,0.8086527074375186,0.32135271652398056,0.9844296993650868,0.2270784727674752,0.9970862900048503,0.10015368309323747,0.040583517102727035,1.4758695770194958,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_4_b_d_from_e_predictions.csv
HIGH,HIGH_direct_poly_rank_5,polynomial,log_gap,5,delta_peak_mm + u_r_estimated + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,0.9684295831985008,0.8901429086220883,0.9958443376486934,0.1141420422167387,1.3617615585932072,67,0.20613848649871216,0.9792970183599149,69.20903763308303,0.8101495883911162,69.20903763308299,0.8106661269403158,0.3199519892030691,0.9845651406525158,0.22734796277645702,0.9970793700915834,0.09996963106342138,0.03975614494900897,1.4805340117685306,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_5_b_d_from_e_predictions.csv
HIGH,HIGH_direct_exp_rank_4,exponential,log_gap,4,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,0.8957974743804162,0.8810078612580536,0.9462679042821868,0.4104331224485482,1.2819486349468343,67,0.3660232231821313,0.9347272345630688,95.11177531533157,0.6414460604337979,95.11177531533154,0.6424216018096831,0.7202476972966879,0.9217837835536438,0.2283056100170872,0.9970547134037981,0.1791037028396608,0.1536464938213485,0.690318892880275,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_exp_rank_4_b_d_from_e_predictions.csv
HIGH,HIGH_direct_poly_rank_1,polynomial,log_gap,1,delta_peak_mm + u_r_div_u_p + tau_r_div_tau_p,0.973644681685454,0.9164592040036932,0.9570092266915,0.3671243075036799,1.39911458219373,67,0.2086729647948124,0.9787848012936342,69.28449773370022,0.809735366731728,69.28449773370018,0.8102530322811441,0.29121559120316176,0.9872131876333075,0.23979535551068332,0.996750803858919,0.10478493421379823,0.05390329770917793,1.60835104699558,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_1_b_d_from_e_predictions.csv
HIGH,HIGH_direct_poly_rank_2,polynomial,log_gap,2,delta_peak_mm + tau_peak_estimated + u_r_div_u_p + tau_r_div_tau_p,0.973644681685454,0.9164592040036932,0.9570092266915006,0.3671243075036779,1.38911458219373,67,0.2086729647948124,0.9787848012936342,69.28449773370022,0.809735366731728,69.28449773370018,0.8102530322811441,0.2912155912031621,0.9872131876333073,0.23979535551068382,0.996750803858919,0.10478493421379842,0.05390329770917813,1.6083510469955833,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_poly_rank_2_b_d_from_e_predictions.csv
HIGH,HIGH_direct_exp_rank_3,exponential,log_gap,3,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r + tau_p_div_u_p,0.8748860205618263,0.9266180876252536,0.9542524649740106,0.3787122566893805,1.2858056027907687,67,0.3167830096476285,0.9511079224430402,92.57997119758164,0.66028086853829,92.57997119758161,0.6612051648082505,0.63202025643195,0.9397724713914605,0.31811773797728443,0.9942816574751151,0.17210920556706602,0.10768814661366284,2.07393703407843,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_exp_rank_3_b_d_from_e_predictions.csv
HIGH,HIGH_direct_exp_rank_2,exponential,log_gap,2,u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r + tau_p_div_u_p,0.8808125765808578,0.9173422504042604,0.941374137202802,0.4287164376852915,1.286359504245305,67,0.32239692014049187,0.9493596732171943,93.76751804574918,0.651509644190319,93.76751804574914,0.6524578049094584,0.7019128214799057,0.9257152958442401,0.31862498746310464,0.9942634067551314,0.18276289017917147,0.1181330994289336,1.986183291783171,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_exp_rank_2_b_d_from_e_predictions.csv
HIGH,HIGH_direct_exp_rank_1,exponential,log_gap,1,delta_peak_mm + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r + tau_p_div_u_p,0.8825207593684021,0.9156120741646732,0.9316820796770964,0.4627994460722732,1.2875191600190727,67,0.34283595466213085,0.9427352387020763,94.26269093606082,0.647819269941898,94.26269093606079,0.6487774713059014,0.7382159391361436,0.9178325360295424,0.3517664719197356,0.9930079700426989,0.19411874094923226,0.126912044499648,2.2235535530159023,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_exp_rank_1_b_d_from_e_predictions.csv
HIGH,HIGH_direct_exp_rank_5,exponential,log_gap,5,delta_peak_mm + tau_peak_estimated + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_r + tau_p_div_u_p,0.8825207593684021,0.9156120741646732,0.9316820796770966,0.4627994460722724,1.2775191600190727,67,0.34283595466213074,0.9427352387020763,94.2626909360607,0.647819269941899,94.26269093606066,0.6487774713059025,0.7382159391361448,0.9178325360295421,0.3517664719197359,0.9930079700426989,0.19411874094923245,0.12691204449964824,2.2235535530159054,67,67,67,67,/Users/hariderarako/Desktop/python/data/processed/direct_e/evaluations/high/HIGH_direct_exp_rank_5_b_d_from_e_predictions.csv
