Dataset,Model_Family,Features,Feature_List,N_Features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_z,RMSE_test_z,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test,Target_Mode,Target_Used_For_Training,Reconstructed_Gap_Formula,Reconstructed_E_Formula,Selection_Score
FULL,exponential,tau_r_MPa + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_u_p,"['tau_r_MPa', 'u_r_estimated', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_u_p']",6,0.8345254008991437,0.6035789715133825,0.9087643265454535,0.4783238530254608,0.8059657998602022,0.05762150935612109,0.39782316884742364,7.611350267271505,0.4441270276277526,7.14997171117897,0.6779619028370609,3.3214608709003124,0.4752076599327254,7.611350267271506,0.4665762855259562,7.14997171117897,0.8813014984095179,0.5123978447490072,0.7368072335533826,3.3214608709003124,0.8689881876158667,0.9795262465269322,0.14923930500636243,0.9987679324393683,0.15957006394346404,0.9990847606685227,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2459850755399424
FULL,exponential,u_r_mm + tau_r_MPa + u_r_estimated + u_p_x_tau_r + u_p_div_u_r + tau_r_div_u_p,"['u_r_mm', 'tau_r_MPa', 'u_r_estimated', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_u_p']",6,0.8743339268682775,0.5259899594392207,0.8692317726446915,0.5726520450921649,0.8557409834727224,0.040028822763671694,0.5195155934960567,6.798910686709689,0.2985302523592741,8.031950389367028,0.8617688176000278,2.1760983820138082,0.5812616444036678,6.79891068670969,0.32685952191409795,8.031950389367028,0.8964203184764356,0.4786542966523437,0.8870275050512797,2.1760983820138082,0.653891702099861,0.9884073859845826,0.127918292829891,0.9990948232364109,0.14897624980843208,0.9992022516544978,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2330993821046856
FULL,exponential,tau_peak_MPa_csds + tau_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_u_p,"['tau_peak_MPa_csds', 'tau_r_estimated', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_u_p']",6,0.8435414804884181,0.5869053117830414,0.9006414284984484,0.49916297815898814,0.7945582263602656,0.061542841272267355,0.3545992722635868,7.879785811316369,0.45686747828709573,7.067559094984743,0.6616820365344989,3.404380102434864,0.43753837632438586,7.879785811316369,0.4788022055698419,7.067559094984743,0.8768692766838131,0.5218766805975609,0.7235021522996437,3.404380102434864,0.5522155839422908,0.9917322556199305,0.11323396764448107,0.9992907137558737,0.14450203660670968,0.999249449751293,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2317662575513546
FULL,exponential,tau_peak_MPa_csds + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_r_div_u_p,"['tau_peak_MPa_csds', 'u_r_estimated', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_r_div_u_p']",6,0.8435414804884181,0.5869053117830414,0.9006414284984484,0.49916297815898814,0.7945582263602656,0.061542841272267355,0.3545992722635868,7.879785811316369,0.45686747828709573,7.067559094984743,0.6616820365344989,3.404380102434864,0.43753837632438586,7.879785811316369,0.4788022055698419,7.067559094984743,0.8768692766838131,0.5218766805975609,0.7235021522996437,3.404380102434864,0.5522155839422908,0.9917322556199305,0.11323396764448107,0.9992907137558737,0.14450203660670968,0.999249449751293,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2317662575513546
FULL,exponential,tau_peak_MPa_csds + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_r,"['tau_peak_MPa_csds', 'u_r_estimated', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_r']",6,0.8399684129416758,0.5935691049783384,0.877719852288039,0.5537550184171656,0.8171535445765243,0.04644040089974704,0.3628581540829007,7.82920657159312,0.5432478343591172,6.481221320263764,0.7239074128066652,3.0754090484530394,0.4447359264327172,7.82920657159312,0.5616940400062028,6.4812213202637645,0.8217715430144308,0.6278750122558413,0.7743572190402935,3.0754090484530394,0.3446950674350309,0.9967786355545293,0.12182463347086057,0.9991790091552941,0.18598327615261115,0.9987566894340131,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2216525844863262
FULL,exponential,tau_r_MPa + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + tau_p_div_u_p,"['tau_r_MPa', 'u_r_estimated', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'tau_p_div_u_p']",6,0.8084965084612245,0.6493170100644176,0.9000250513616561,0.5007088787810201,0.7757903459671472,0.06305128322581634,0.4078907933984386,7.5474560755029625,0.4604871337390498,7.043969185682988,0.6938781555705971,3.238341722367468,0.48398151500937026,7.5474560755029625,0.48227567910113733,7.043969185682988,0.8665822518375166,0.5432396730976806,0.7498151435656052,3.238341722367468,1.2028972447051396,0.9607692343820343,0.13775553244102198,0.9989502492666826,0.16508198213108982,0.9990204396749826,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.221615096022648
FULL,exponential,tau_peak_MPa_csds + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + sigma_n_div_tau_p,"['tau_peak_MPa_csds', 'u_r_estimated', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'sigma_n_div_tau_p']",6,0.8314992817382939,0.6090729471727445,0.8844990230485439,0.5381861616126339,0.8023414342565773,0.0632396203768694,0.3816897427559185,7.712637378557703,0.443229415653405,7.155742194509012,0.7607725893219908,2.8627339232897433,0.4611475068450387,7.712637378557703,0.46571492414069304,7.1557421945090125,0.8711343349305414,0.5338918432250878,0.8044861009275265,2.8627339232897433,0.3451423325468374,0.9967702702552532,0.11104494954460326,0.9993178722628082,0.1779120838370135,0.9988622607780359,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2193457781391457
FULL,exponential,tau_r_MPa + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_r + tau_r_div_u_p,"['tau_r_MPa', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_r', 'tau_r_div_u_p']",6,0.8363486692625235,0.6002445181558316,0.8736418353598651,0.5629130957061383,0.8141876315010237,0.0358771230731785,0.3833823169130055,7.702073784863329,0.39114441254498744,7.48296462803766,0.623706369721817,3.5903678637109837,0.4626225718204461,7.70207378486333,0.415733404607704,7.48296462803766,0.8031810096368356,0.6598089099124744,0.6924656976250664,3.5903678637109837,0.8169209110258943,0.9819062014983093,0.1626526936496765,0.9985365071428547,0.20259579382927503,0.9985246580675567,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.217147938803059
FULL,exponential,tau_peak_MPa_csds + u_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r,"['tau_peak_MPa_csds', 'u_r_estimated', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r']",5,0.818336800954921,0.6324146338142228,0.8759832823768899,0.5576732511493441,0.7934377143679817,0.06441765092463933,0.34025531221218985,7.966868306170074,0.5265100323471648,6.598905896316127,0.6989344816544387,3.211485928590668,0.42503772872093004,7.966868306170074,0.5456322040021171,6.5989058963161265,0.8386115563546639,0.5974765887851641,0.7539475380300688,3.211485928590668,0.3370798631088359,0.996919399785466,0.11553920954288821,0.9992615401779522,0.18429759244543562,0.998779125112104,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2162603744684168
FULL,exponential,sigma_n_MPa + tau_peak_MPa_csds + tau_r_estimated + u_r_x_u_p + u_p_x_tau_r + u_p_div_u_r,"['sigma_n_MPa', 'tau_peak_MPa_csds', 'tau_r_estimated', 'u_r_x_u_p', 'u_p_x_tau_r', 'u_p_div_u_r']",6,0.83535352263648,0.6020667642004194,0.8793435146855901,0.5500662927832182,0.8022330632693034,0.050977799690549344,0.3584593124342077,7.856186593241409,0.5279086185930777,6.589152823435746,0.7284330291307044,3.050099370428391,0.44090237076770666,7.85618659324141,0.546974307517464,6.589152823435746,0.8745850429026781,0.5266951788264116,0.7780558792009802,3.050099370428391,0.4331582566864361,0.9949129861753501,0.11161923583997835,0.9993107985583974,0.18029595872561885,0.9988315669801923,191,48,60,direct_constrained_e_via_log_e_minus_c,log_e_minus_c_csds,e_minus_c_pred = exp(z_pred),e_pred = c_target + exp(z_pred),1.2153622663511867
