,n,mean,median,mode,min,max,variance,std,cv_percent,Q1,Q3,IQR,outlier_low,outlier_high,n_outliers
sigma_n_MPa,163.0,130.80942944785275,0.5,0.5,0.01,2760.0,215913.45354009522,464.66488305024217,355.222773321155,0.0245,0.5,0.4755,-0.68875,1.21325,29.0
delta_peak_mm,163.0,1.1746012269938648,0.85,0.1,0.05,12.65,2.6720706733318185,1.6346469567866386,139.16612031558662,0.32,1.255,0.9349999999999998,-1.0824999999999998,2.6574999999999998,9.0
tau_peak_MPa_csds,163.0,0.7071453987730062,0.63,0.64,0.015,3.232,0.6138042607657349,0.7834566106465213,110.79144572048767,0.042,1.02,0.978,-1.425,2.487,9.0
u_r_mm,163.0,5.538027225029908,3.5,1.5666666666666669,0.6167440601439975,24.669762405759897,24.415777614588393,4.94123239835857,89.22369279851067,1.5750000000000002,7.4626031277423674,5.887603127742367,-7.256404691613551,16.29400781935592,4.0
tau_r_MPa,163.0,0.4705674174856531,0.4766666666666666,0.0153092991217785,0.014,2.8175,0.28426744725899633,0.5331673726504618,113.30307897204064,0.029249999999999998,0.6376666666666666,0.6084166666666666,-0.8833749999999999,1.5502916666666664,9.0
a_csds,163.0,0.4705674174856531,0.4766666666666666,0.0153092991217785,0.014,2.8175,0.28426744725899633,0.5331673726504618,113.30307897204064,0.029249999999999998,0.6376666666666666,0.6084166666666666,-0.8833749999999999,1.5502916666666664,9.0
b_csds,163.0,2.2777347799789176,0.4530839141628877,0.0008090983306987,0.0008090983306987,85.54466261294648,59.83632334756624,7.735394194710845,339.60908279156376,0.0565650196351899,1.3532793122752305,1.2967142926400406,-1.8885064193248708,3.298350751235291,23.0
c_csds,163.0,1.7753458523179622,1.4285714285714286,3.191489361702127,0.2026772661107024,8.107090644428094,1.5984104902943006,1.2642825990633189,71.21331302363544,0.6700532568140708,3.174606729494392,2.504553472680321,-3.086776952206411,6.9314369385148735,1.0
d_csds,163.0,2.7483021974645703,1.0427208983166083,0.0164195869070291,0.0164195869070291,88.02266261294648,63.85106640765809,7.990686228832796,290.74991229874774,0.08556090545071171,2.1192768157743798,2.033715910323668,-2.96501296003479,5.169850681259882,18.0
e_csds,163.0,8.421491753058065,3.6102895519762694,0.3027127732951231,0.3027127732951231,77.68977402204777,155.8178690639433,12.482702794825459,148.2243664288178,2.0759310675713243,8.48007695831207,6.404145890740746,-7.530287768539794,18.086295794423187,21.0
e_minus_c_csds,163.0,6.646145900740103,1.9625092995647175,0.016998487580837385,0.016998487580837385,73.47363196212504,138.70229721172316,11.777193944727376,177.2033614762488,0.924372768804286,6.3178334160067875,5.3934606472025015,-7.165818201999466,14.408024386810538,22.0
log_d_csds,163.0,-0.584976150382421,0.04183354511434433,-4.109280333189722,-4.109280333189722,4.477594311015701,3.692701788269961,1.9216403899455177,-328.49892917673117,-2.4585550245430587,0.7510561019712227,3.2096111265142815,-7.2729717143144805,5.5654727917426445,0.0
log_e_minus_c_csds,163.0,0.8529731674805942,0.6742239092949024,-4.07463090471671,-4.07463090471671,4.296926593038415,2.2671426358237583,1.505703369134757,176.5241189921737,-0.07866024570881813,1.843173151681525,1.9218333973903432,-2.961410341794333,4.72592324776704,3.0
